id,publisher_id,title,data,format,last_modified,period_id,schema
980291c8-2b93-44bf-b3d8-570d5ae2cb3a,scotland-office,"Spend over £25,000 in the Scotland Office / April 2009 - March 2010 return",http://localhost:8000/archive/2015-09-21/980291c8-2b93-44bf-b3d8-570d5ae2cb3a.csv,CSV,2013-06-19T02:59:34.892259,2009-04-01/2010-03-01,https://raw.githubusercontent.com/okfn/tabular-validator/master/examples/hmt/spend-publishing-schema.json
3bd7f3ae-a2a4-4390-a60b-7c0b92521b3f,scotland-office,"Spend over £25,000 in the Scotland Office / April - 11 May 2010 return",http://localhost:8000/archive/2015-09-21/3bd7f3ae-a2a4-4390-a60b-7c0b92521b3f.csv,CSV,2013-06-19T02:59:35.141617,2010-04-01/2010-05-01,https://raw.githubusercontent.com/okfn/tabular-validator/master/examples/hmt/spend-publishing-schema.json
29d847e7-b2de-4bcb-ba97-6c43d3d64a0b,scotland-office,"Spend over £25,000 in the Scotland Office / May 2010 return (after 12th) with descriptions ",http://localhost:8000/archive/2015-09-21/29d847e7-b2de-4bcb-ba97-6c43d3d64a0b.csv,CSV,2013-06-19T02:59:35.466215,2010-05-01,https://raw.githubusercontent.com/okfn/tabular-validator/master/examples/hmt/spend-publishing-schema.json
edc52c86-12ab-4d0a-b455-ac87f7553e49,scotland-office,"Spend over £25,000 in the Scotland Office / June 2010 return with descriptions ",http://localhost:8000/archive/2015-09-21/edc52c86-12ab-4d0a-b455-ac87f7553e49.csv,CSV,2013-06-19T02:59:35.740561,2010-06-01,https://raw.githubusercontent.com/okfn/tabular-validator/master/examples/hmt/spend-publishing-schema.json
7ae49567-b167-488f-8942-1f567a992181,scotland-office,"Spend over £25,000 in the Scotland Office / February 2011",http://localhost:8000/archive/2015-09-21/7ae49567-b167-488f-8942-1f567a992181.csv,CSV,2013-06-19T02:59:36.146620,2011-02-01,https://raw.githubusercontent.com/okfn/tabular-validator/master/examples/hmt/spend-publishing-schema.json
78fea3d9-a88c-4e8c-8600-5bd127a41572,scotland-office,"Spend over £25,000 in the Scotland Office / March 2011",http://localhost:8000/archive/2015-09-21/78fea3d9-a88c-4e8c-8600-5bd127a41572.csv,CSV,2013-06-19T02:59:36.471023,2011-03-01,https://raw.githubusercontent.com/okfn/tabular-validator/master/examples/hmt/spend-publishing-schema.json
b62d1901-7f8c-46ed-abce-4d199d24ac10,wales-office,Spend over £500 in the Wales Office / May 2010 return (after 12th) with descriptions ,http://localhost:8000/archive/2015-09-21/b62d1901-7f8c-46ed-abce-4d199d24ac10.csv,CSV,2013-06-19T03:08:21.766439,2010-05-01,https://raw.githubusercontent.com/okfn/tabular-validator/master/examples/hmt/spend-publishing-schema.json
f3aa9165-7dc3-4449-9203-39bbfb35cf7c,wales-office,Spend over £500 in the Wales Office / June 2010 return with descriptions ,http://localhost:8000/archive/2015-09-21/f3aa9165-7dc3-4449-9203-39bbfb35cf7c.csv,CSV,2013-06-19T03:08:21.973457,2010-06-01,https://raw.githubusercontent.com/okfn/tabular-validator/master/examples/hmt/spend-publishing-schema.json
fa31135e-a11d-4f73-9c9d-330404731073,wales-office,Spend over £500 in the Wales Office / July 2010 return with descriptions ,http://localhost:8000/archive/2015-09-21/fa31135e-a11d-4f73-9c9d-330404731073.csv,CSV,2013-06-19T03:08:22.324451,2010-07-01,https://raw.githubusercontent.com/okfn/tabular-validator/master/examples/hmt/spend-publishing-schema.json
276b1744-6133-4d7c-81f6-5baa8261e94d,wales-office,Spend over £500 in the Wales Office / August 2010 return with descriptions ,http://localhost:8000/archive/2015-09-21/276b1744-6133-4d7c-81f6-5baa8261e94d.csv,CSV,2013-06-19T03:08:22.657919,2010-08-01,https://raw.githubusercontent.com/okfn/tabular-validator/master/examples/hmt/spend-publishing-schema.json
81b1cb3e-7051-427e-9043-31ac95a3ddc3,wales-office,Spend over £500 in the Wales Office / September 2010 return with descriptions ,http://localhost:8000/archive/2015-09-21/81b1cb3e-7051-427e-9043-31ac95a3ddc3.csv,CSV,2013-06-19T03:08:23.149096,2010-09-01,https://raw.githubusercontent.com/okfn/tabular-validator/master/examples/hmt/spend-publishing-schema.json
