id,publisher_id,title,data,format,last_modified,period_id,schema,cache
a51cb60b-8e13-43fb-a13d-d5d575f7f2e4,ministry-of-justice,"Spend over £25,000 in the Ministry of Justice Arms-Length Bodies/September 2012 return",http://webarchive.nationalarchives.gov.uk/+/https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/172820/alb-data-sept-2012.zip.zip,ZIP,,2012-09-01,https://raw.githubusercontent.com/okfn/goodtables/master/examples/hmt/spend-publishing-schema.json,/home/g/Documents/okf/data-quality-uk-25k-spend/fetched/a51cb60b-8e13-43fb-a13d-d5d575f7f2e4.zip
4984e52e-0c51-4e95-8b4f-d1262df45a7f,ministry-of-justice,"Spend over £25,000 in the Ministry of Justice Arms-Length Bodies/October 2012 return",http://webarchive.nationalarchives.gov.uk/+/https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/172820/alb-data-sept-2012.zip.zip,ZIP,,2012-10-01,https://raw.githubusercontent.com/okfn/goodtables/master/examples/hmt/spend-publishing-schema.json,/home/g/Documents/okf/data-quality-uk-25k-spend/fetched/4984e52e-0c51-4e95-8b4f-d1262df45a7f.zip
7aff47cb-0f3d-4e29-8d41-9022dea3a4c7,department-for-environment-food-and-rural-affairs,"Spend over £25,000 in the Food and Environment Research Agency/September 2011 return",http://data.defra.gov.uk/ops/procurement/fera-over-25k-1109.csv ,CSV,,2011-09-01,https://raw.githubusercontent.com/okfn/goodtables/master/examples/hmt/spend-publishing-schema.json,/home/g/Documents/okf/data-quality-uk-25k-spend/fetched/7aff47cb-0f3d-4e29-8d41-9022dea3a4c7
1fb9d378-c1b2-4bf7-bbdc-c37ab0176303,department-for-environment-food-and-rural-affairs,"Spend over £25,000 in the Consumer Council for Water/September 2011 return",http://data.defra.gov.uk/ops/procurement/ccwater-over-25k-1109.csv ,CSV,,2011-09-01,https://raw.githubusercontent.com/okfn/goodtables/master/examples/hmt/spend-publishing-schema.json,/home/g/Documents/okf/data-quality-uk-25k-spend/fetched/1fb9d378-c1b2-4bf7-bbdc-c37ab0176303
74ec1beb-fdca-4d1d-a8e2-c523264b5968,department-for-environment-food-and-rural-affairs,"Spend over £25,000 in the Joint Nature Conservation Committee/September 2011 return",http://data.defra.gov.uk/ops/procurement/jncc-over-25k-1109.csv ,CSV,,2011-09-01,https://raw.githubusercontent.com/okfn/goodtables/master/examples/hmt/spend-publishing-schema.json,/home/g/Documents/okf/data-quality-uk-25k-spend/fetched/74ec1beb-fdca-4d1d-a8e2-c523264b5968
427314cc-417e-461c-af67-52ccaeb3448d,department-for-environment-food-and-rural-affairs,"Spend over £25,000 in the Centre for Environment, Fisheries & Aquaculture Science/September 2011 return",http://data.defra.gov.uk/ops/procurement/cefas-over-25k-1109.csv ,CSV,,2011-09-01,https://raw.githubusercontent.com/okfn/goodtables/master/examples/hmt/spend-publishing-schema.json,/home/g/Documents/okf/data-quality-uk-25k-spend/fetched/427314cc-417e-461c-af67-52ccaeb3448d
6d0fa692-ec3b-4efb-bbf9-79eb5cbfae65,department-for-environment-food-and-rural-affairs,"Spend over £25,000 in the Commission for Rural Communities/April 2010 return",http://data.defra.gov.uk/ops/procurement/crc-over-25k-1004.csv,CSV,,2010-04-01,https://raw.githubusercontent.com/okfn/goodtables/master/examples/hmt/spend-publishing-schema.json,/home/g/Documents/okf/data-quality-uk-25k-spend/fetched/6d0fa692-ec3b-4efb-bbf9-79eb5cbfae65.csv
6eb7e187-2a88-4e0a-9f16-e5350bfbcad2,department-for-environment-food-and-rural-affairs,"Spend over £25,000 in the Commission for Rural Communities/May 2010 return",http://data.defra.gov.uk/ops/procurement/crc-over-25k-1005.csv,CSV,,2010-05-01,https://raw.githubusercontent.com/okfn/goodtables/master/examples/hmt/spend-publishing-schema.json,/home/g/Documents/okf/data-quality-uk-25k-spend/fetched/6eb7e187-2a88-4e0a-9f16-e5350bfbcad2.csv
41da257b-781e-4cbf-9f4d-87c93fa05149,department-for-environment-food-and-rural-affairs,"Spend over £25,000 in the Commission for Rural Communities/June 2010 return",http://data.defra.gov.uk/ops/procurement/crc-over-25k-1006.csv,CSV,,2010-06-01,https://raw.githubusercontent.com/okfn/goodtables/master/examples/hmt/spend-publishing-schema.json,/home/g/Documents/okf/data-quality-uk-25k-spend/fetched/41da257b-781e-4cbf-9f4d-87c93fa05149.csv
aaa19eeb-dc2f-42aa-92cd-9fffbe0c6267,department-for-environment-food-and-rural-affairs,"Spend over £25,000 in the Commission for Rural Communities/July 2010 return",http://data.defra.gov.uk/ops/procurement/crc-over-25k-1007.csv,CSV,,2010-07-01,https://raw.githubusercontent.com/okfn/goodtables/master/examples/hmt/spend-publishing-schema.json,/home/g/Documents/okf/data-quality-uk-25k-spend/fetched/aaa19eeb-dc2f-42aa-92cd-9fffbe0c6267.csv
ab911900-a456-4407-93a4-cafb5eb20ea6,department-for-environment-food-and-rural-affairs,"Spend over £25,000 in the Commission for Rural Communities/August 2010 return",http://data.defra.gov.uk/ops/procurement/crc-over-25k-1008.csv,CSV,,2010-08-01,https://raw.githubusercontent.com/okfn/goodtables/master/examples/hmt/spend-publishing-schema.json,/home/g/Documents/okf/data-quality-uk-25k-spend/fetched/ab911900-a456-4407-93a4-cafb5eb20ea6.csv
a8d18a57-2eea-4cb1-bf3d-c480335a3ec6,department-for-environment-food-and-rural-affairs,"Spend over £25,000 in the Commission for Rural Communities/September 2010 return",http://data.defra.gov.uk/ops/procurement/crc-over-25k-1009.csv,CSV,,2010-09-01,https://raw.githubusercontent.com/okfn/goodtables/master/examples/hmt/spend-publishing-schema.json,/home/g/Documents/okf/data-quality-uk-25k-spend/fetched/a8d18a57-2eea-4cb1-bf3d-c480335a3ec6.csv
c106938c-10f7-425e-8e95-e6bc3bf407e4,department-for-environment-food-and-rural-affairs,"Spend over £25,000 in the Commission for Rural Communities/October 2010 return",http://data.defra.gov.uk/ops/procurement/crc-over-25k-1010.csv,CSV,,2010-10-01,https://raw.githubusercontent.com/okfn/goodtables/master/examples/hmt/spend-publishing-schema.json,/home/g/Documents/okf/data-quality-uk-25k-spend/fetched/c106938c-10f7-425e-8e95-e6bc3bf407e4.csv
f752f8bf-1895-4aeb-844a-517359ea0f5f,department-for-work-and-pensions,"Payments over £25,000 by the Department for Work and Pensions/May 2010 return",http://www.dwp.gov.uk/docs/dwp-payments-12may10.csv,CSV,,2010-05-01,https://raw.githubusercontent.com/okfn/goodtables/master/examples/hmt/spend-publishing-schema.json,/home/g/Documents/okf/data-quality-uk-25k-spend/fetched/f752f8bf-1895-4aeb-844a-517359ea0f5f.csv
