id,publisher_id,title,data,format,last_modified,schema,created_at,period_id
980291c8-2b93-44bf-b3d8-570d5ae2cb3a,scotland-office,"Spend over £25,000 in the Scotland Office/April 2009 - March 2010 return",https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/51038/Spend_20over_2025k_202009-10.csv,csv,,https://raw.githubusercontent.com/okfn/goodtables/master/examples/hmt/spend-publishing-schema.json,19/11/2010,30-04-2009/31-03-2010
4337054b-78c7-4f46-8707-1057be15b749,ministry-of-defence,"MOD: spending over £25,000/August 2010 MOD Transparency data",https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/28853/Aug2010MODTransparencydatav2.csv,csv,,https://raw.githubusercontent.com/okfn/goodtables/master/examples/hmt/spend-publishing-schema.json,2016-07-13T13:05:46.647541,01-08-2010/31-08-2010
5855575c-bca1-4a92-8ed9-959b9931065f,department-for-environment-food-and-rural-affairs,"Spend over £25,000 in the Department for Environment, Food and Rural Affairs/October  2013 return",http://data.defra.gov.uk/ops/procurement/Jul-Dec+2013/Over+25K+-+October+2013.csv,csv,,https://raw.githubusercontent.com/okfn/goodtables/master/examples/hmt/spend-publishing-schema.json,2013-12-23T18:34:44.961682,01-10-2013/31-10-2013
046d1301-33c2-4883-be92-ca0e528459ae,uk-export-finance,"Spend over £25,000 in Export Credits Guarantee Department/June 2011",http://webarchive.nationalarchives.gov.uk/+/http://www.ecgd.gov.uk/assets/bispartners/ecgd/files/publications/operational-data/spend-data/spend-data-june-2011.csv,csv,,https://raw.githubusercontent.com/okfn/goodtables/master/examples/hmt/spend-publishing-schema.json,2016-07-13T12:56:51.766421,01-06-2011/30-06-2011
a14559cc-0caf-4dbf-8346-a63ea50ba0e9,department-for-environment-food-and-rural-affairs,"Spend over £25,000 in the Veterinary Medicines Directorate/August 2012 return",http://data.defra.gov.uk/ops/procurement/1208/VMD-Over-25k-1208.csv,csv,,https://raw.githubusercontent.com/okfn/goodtables/master/examples/hmt/spend-publishing-schema.json,2013-02-07T11:24:22.831683,01-08-2012/31-08-2012
9f9f17df-1b83-4b30-afe8-e15b8502f3a4,ministry-of-justice,"Spend over £25,000 in the Ministry of Justice/September 2013 return",https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/307460/moj-spend-data-sep-13.csv,csv,,https://raw.githubusercontent.com/okfn/goodtables/master/examples/hmt/spend-publishing-schema.json,2015-02-16T15:32:01.649253,01-09-2013/30-09-2013
95a89b4d-904c-4f5e-9d56-5d138068da93,ministry-of-defence,"MOD: spending over £25,000/MOD's government procurement card spending over £500 on travel and stationery for December 2015",https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/497801/GPC_Transparency_Data_Nov_2015.csv,csv,,https://raw.githubusercontent.com/okfn/goodtables/master/examples/hmt/spend-publishing-schema.json,2016-07-13T13:05:46.648966,01-12-2015/31-12-2015
9a9f5b4e-1d11-4be8-928d-aaafd5941175,hm-treasury,"Spend over £25,000 in HM Treasury/May 2010 return (13th to 31st) with descriptions ",https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/184399/transparency_may.csv,csv,,https://raw.githubusercontent.com/okfn/goodtables/master/examples/hmt/spend-publishing-schema.json,2016-07-13T12:05:09.070815,01-05-2010/31-05-2010
d1c7eb28-36a9-4ab9-90b8-7ccf10c59d63,department-for-education,"Spend over £25,000 in the Department for Education/Transparency Spend over £25,000: June 2014",https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/436475/DfE_Spend_June_2014_with_EFA.csv,csv,,https://raw.githubusercontent.com/okfn/goodtables/master/examples/hmt/spend-publishing-schema.json,2014-07-30T21:58:17.263596,01-06-2014/30-06-2014
584d25fd-a895-4064-8222-4ceb63fe4cb1,department-for-environment-food-and-rural-affairs,"Spend over £25,000 in Natural England/August 2011 return",http://data.defra.gov.uk/ops/procurement/1108/NE-over-25k-1108.csv,csv,,https://raw.githubusercontent.com/okfn/goodtables/master/examples/hmt/spend-publishing-schema.json,22/12/2010,01-08-2011/31-08-2011
da1baff9-6b0f-4bf6-8dad-45ea64d89f4f,ministry-of-defence,"MOD: spending over £25,000/MOD's government procurement card spending over £500 on travel and stationery for August 2014",https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/380672/GPC_Transparency_data_Aug2014_Travel_Stationery.csv,csv,,https://raw.githubusercontent.com/okfn/goodtables/master/examples/hmt/spend-publishing-schema.json,2016-07-13T13:05:46.648557,01-08-2014/31-08-2014
5fcd0be5-ad05-45eb-88f2-2a50f94eebf1,department-for-work-and-pensions,"Payments over £25,000 by the Department for Work and Pensions/June 2010 return",https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/186396/dwp-payments-june10.csv,csv,,https://raw.githubusercontent.com/okfn/goodtables/master/examples/hmt/spend-publishing-schema.json,19/11/2010,01-06-2010/30-06-2010
779a88c7-358c-49a3-b469-82adf2cb7a75,department-for-environment-food-and-rural-affairs,"Spend over £25,000 in the Royal Botanic Gardens, Kew/July 2011 return",http://data.defra.gov.uk/ops/procurement/1107/kew-over-25K-1107.csv,csv,,https://raw.githubusercontent.com/okfn/goodtables/master/examples/hmt/spend-publishing-schema.json,22/12/2010,01-07-2011/31-07-2011
d5c1cf18-96ad-480d-a815-163687a853c3,department-for-environment-food-and-rural-affairs,"Spend over £25,000 in the National Forest Company/October 2010 return",http://data.defra.gov.uk/ops/procurement/nfc-over-25k-1010.csv,csv,,https://raw.githubusercontent.com/okfn/goodtables/master/examples/hmt/spend-publishing-schema.json,22/12/2010,01-10-2010/31-10-2010
08263362-45f7-40ea-a57c-1fed325c4b41,department-for-business-innovation-and-skills,"Spend over £25,000 in the Department for Business, Innovation and Skills/July 2015 return",https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/465776/BIS_July_2015.csv,csv,,https://raw.githubusercontent.com/okfn/goodtables/master/examples/hmt/spend-publishing-schema.json,2015-11-10T14:32:22.501210,01-07-2015/31-07-2015
56c6d8d6-6ad2-46a8-942d-86bbc0133a71,department-for-environment-food-and-rural-affairs,"Spend over £25,000 in the Royal Botanic Gardens, Kew/June 2012 return",http://data.defra.gov.uk/ops/procurement/1206/RBGKew-Over-25k-1206.csv,csv,,https://raw.githubusercontent.com/okfn/goodtables/master/examples/hmt/spend-publishing-schema.json,2013-02-07T10:53:51.749560,01-06-2012/30-06-2012
3b4cab57-1591-40d4-919a-36597f9103d1,home-office,"Spend over £25,000 in the Home Office/August 2015",https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/487522/HO_FY1516_AP5_Proc_Spend_25K_CSV.csv,csv,,https://raw.githubusercontent.com/okfn/goodtables/master/examples/hmt/spend-publishing-schema.json,2015-12-22T09:55:46.102203,01-08-2015/31-08-2015
820520a1-eaad-4abb-8cb3-f354246f6c35,department-for-environment-food-and-rural-affairs,"Spend over £25,000 in the Environment Agency/March 2011 return",http://data.defra.gov.uk/ops/procurement/ea-over-25k-1103.csv,csv,,https://raw.githubusercontent.com/okfn/goodtables/master/examples/hmt/spend-publishing-schema.json,22/12/2010,01-03-2011/31-03-2011
63798983-52f2-4aab-b333-216361aaa339,department-for-work-and-pensions,"Spend over £25,000 in the Department for Work and Pensions/April 2011 return",https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/186386/dwp-payments-april11.csv,csv,,https://raw.githubusercontent.com/okfn/goodtables/master/examples/hmt/spend-publishing-schema.json,2015-09-24T12:12:49.697024,01-04-2011/30-04-2011
fe75b917-cc87-4cd6-8d01-a925189c0836,department-for-environment-food-and-rural-affairs,"Spend over £25,000 in the Rural Payments Agency/August 2011 return",http://data.defra.gov.uk/ops/procurement/1108/rpa-over%2025K-1108.csv,csv,,https://raw.githubusercontent.com/okfn/goodtables/master/examples/hmt/spend-publishing-schema.json,22/12/2010,01-08-2011/31-08-2011
