id,timestamp,total_score
310037c140124c51acbffc616a85fe51,2016-08-10 10:45:04.029370+00:00,0
78f763d823d4409381b30f7bb35e47cf,2016-08-10 15:24:27.262673+00:00,40
d68effaf661e4f0d92c0ebb6ee742d03,2017-04-18 19:12:45.918830+00:00,46
