Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Postcode,Supplier Type,Expenditure Type
Cabinet Office,Government Procurement Service,07/03/12,WDHS Maintenance & Repairs,WDHS,Cofely,PINDOH 34047,"62,514.50",Whitehall heating systems management,HP12 3TA,Large,Programme
Cabinet Office,Government Procurement Service,07/03/12,Maintenance & Repairs - IT,Enablement Projects,Bravosolution UK Ltd,PINVP2P 661,"34,000.00",Strategic spend analysis,EC2M 7AD,Large,Administration
Cabinet Office,Cabinet Office,08/03/12,Accommodation and Utilities,ESTATE MANAGEMENT,ECOVERT FM LTD,3000023581,"32,240.15",Facilities Management Services,BN1 1HQ,Large,Administration
Cabinet Office,Cabinet Office,08/03/12,IT Costs,GOVERNMENT DIGITAL SERVICE,CIMEX MEDIA LTD,3000023579,"43,343.86",Support and Maintenance of the Directgov Mobile site,EC2A 4PJ,SME,Programme
Cabinet Office,Cabinet Office,08/03/12,Consultancy,GOVERNMENT PROPERTY UNIT,SAVILLS COMMERCIAL LTD,1000516,"46,621.60",Technical Due Diligence Report,CB2 9PA,Large,Programme
Cabinet Office,Cabinet Office,08/03/12,Agency and Temporary Staff,GOVERNMENT CIO SUMMARY,CAPITA RESOURCING LTD,3000023576,"31,417.96","Support for Public Service Network including development of technical standards, project management for the delivery of key services, stakeholder engagement and commercial advice",SL6 1DP,Large,Programme
Cabinet Office,Cabinet Office,08/03/12,Resource Grants to Local Authorities,OFFICE FOR CIVIL SOCIETY,OXFORDSHIRE COUNTY COUNCIL,3000023599,"31,959.00",National Citizen Service project grant,OX1 1ND,SME,Grants
Cabinet Office,Cabinet Office,08/03/12,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,THE CHALLENGE NETWORK,3000023612,"341,169.00",National Citizen Service project grant,SE1 7HS,Non-SME,Grants
Cabinet Office,Cabinet Office,08/03/12,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,BOLTON LADS & GIRLS CLUB,3000023573,"29,641.00",National Citizen Service project grant,BL1 4AG,Government Department,Grants
Cabinet Office,Cabinet Office,09/03/12,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,COMMUNITY FOUNDATION NETWORK SECRET MILLIONAIRE MATCH FUND,3000023629,"250,000.00",Support of a Christmas fundraising campaign,N1 9HS,Large,Grants
Cabinet Office,Cabinet Office,09/03/12,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,CONNEXIONS CUMBRIA,3000023630,"187,074.00",National Citizen Service project grant,CA10 2HX,SME,Grants
Cabinet Office,Cabinet Office,09/03/12,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,SALFORD FOUNDATION,3000023649,"59,849.00",National Citizen Service project grant,M5 4BD,Large,Grants
Cabinet Office,Cabinet Office,09/03/12,Resource Grants to NDPB's,OFFICE FOR CIVIL SOCIETY,BIG LOTTERY ADVICE SERVICES FUND,3000023626,"1,148,371.00",Funding to enable continuation of advice services such as those provided by the Citizens Advice Bureau,EC4A 1DE,SME,Grants
Cabinet Office,Cabinet Office,12/03/12,Freehold Non Residential Buildings,PRIME MINISTERS OFFICE,ECOVERT FM,3000023681,"43,103.44",Facilities Management Services,BN1 1HQ,Government Department,Administration
Cabinet Office,Cabinet Office,12/03/12,Other Staff Related Costs,ERG STRATEGY AND MANAGEMENT INFORMATION,PARITY SOLUTIONS LTD,3000023712,"92,992.30",Fast-stream recruitment,HP2 7DN,SME,Administration
Cabinet Office,Cabinet Office,12/03/12,Provisions provided for in year,GOVERNMENT PROPERTY UNIT,CB RICHARD ELLIS LTD,3000023674,"80,000.00","Final settlement payment to landlord in relation to Gemini Centre, Chelmsford.",EC4M 7HP,Large,Programme
Cabinet Office,Cabinet Office,12/03/12,GRANT FUND MANAGEMENT SERVICES,OFFICE FOR CIVIL SOCIETY,COMMUNITY DEVELOPMENT FOUNDATION,3000023677,"88,500.00",Management Fee for delivery of Community First programme,EC1V 2PT,Large,Programme
Cabinet Office,Cabinet Office,13/03/12,Assets Under Construction,ESTATE MANAGEMENT,ECOVERT FM LTD,3000023765,"243,322.61",Refurbishment of 70 Whitehall,BN1 1HQ,Large,Administration
Cabinet Office,Cabinet Office,13/03/12,Supplies and Services,ESTATE MANAGEMENT,RICOH UK LTD,3000023786," 36,636.60 ",Reprographic services,CR5 2HR,Large,Administration
Cabinet Office,Cabinet Office,13/03/12,IT Costs,IT AND TELECOMS BRANCH,FUJITSU SERVICES,3000023767,"279,988.14",Fujitsu service charge,SW1A 2WH,Large,Administration
Cabinet Office,Cabinet Office,13/03/12,IT Costs,GOVERNMENT DIGITAL SERVICE,CESG,3000023760,"31,459.75",Provision of Identity Assurance Support to GDS,GL51 0EX,Government Department,Programme
Cabinet Office,Cabinet Office,13/03/12,Agency and Temporary Staff,GOVERNMENT CIO SUMMARY,CAPITA RESOURCING LTD,3000023757,"53,813.52","Support for Public Service Network including development of technical standards, project management for the delivery of key services, stakeholder engagement and commercial advice",SL6 1DP,Large,Programme
Cabinet Office,Cabinet Office,14/03/12,IT Costs,INTELLIGENCE SECURITY AND RESILIENCE,RTS COMMUNICATIONS,3000023831,"28,522.25",An integrated media feed for staff to monitor news channels,SW8 1RY,Large,Administration
Cabinet Office,Cabinet Office,14/03/12,IT Costs,IT AND TELECOMS BRANCH,VERIZON UK LTD,3000023837,"39,312.00",Provision of telecommunications ,RG2 6DA,Large,Administration
Cabinet Office,Cabinet Office,14/03/12,Supplies and Services,INTELLIGENCE SECURITY AND RESILIENCE,BBC MONITORING,3000023801,"1,808,333.33",Monitoring services provided by the BBC,M14 0EP,SME,Programme
Cabinet Office,Cabinet Office,15/03/12,Accommodation and Utilities,ESTATE MANAGEMENT,ECOVERT FM LTD,3000023876,"904,263.16",Facilities Management Services,BN1 1HQ,Large,Administration
Cabinet Office,Cabinet Office,15/03/12,Accommodation and Utilities,ESTATE MANAGEMENT,ECOVERT FM LTD,3000023876,"56,561.66",Facilities Management Services,BN1 1HQ,Large,Administration
Cabinet Office,Cabinet Office,15/03/12,Accommodation and Utilities,ESTATE MANAGEMENT,ECOVERT FM LTD,3000023876,"76,418.17",Facilities Management Services,BN1 1HQ,Large,Administration
Cabinet Office,Cabinet Office,15/03/12,Accommodation and Utilities,ESTATE MANAGEMENT,ECOVERT FM LTD,3000023876,"81,683.16",Facilities Management Services,BN1 1HQ,Large,Administration
Cabinet Office,Cabinet Office,15/03/12,Agency and Temporary Staff,POLICY COMMUNICATIONS,COI CENTRAL OFFICE OF INFORMATION,3000023872,"32,532.00",Great Campaign,SE1 7DU,Government Department,Administration
Cabinet Office,Cabinet Office,15/03/12,Other Staff Related Costs,ERG STRATEGY AND MANAGEMENT INFORMATION,PARITY SOLUTIONS LTD,3000023888,"59,522.66",Fast-stream recruitment,HP2 7DN,SME,Administration
Cabinet Office,Cabinet Office,15/03/12,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,THE LINCOLNSHIRE & RUTLAND EBP,3000023892,"68,438.00",National Citizen Service project grant,LN2 4WH,SME,Grants
Cabinet Office,Cabinet Office,15/03/12,Other Staff Related Costs,OFFICE FOR CIVIL SOCIETY,PA CONSULTING SERVICES LTD,3000023887,"48,600.00",Provision of Mutuals Information Service,SW1W 9SR,SME,Programme
Cabinet Office,Cabinet Office,15/03/12,Resource Grants to NDPB's,OFFICE FOR CIVIL SOCIETY,BIG LOTTERY INFRASTRUCTURE FUND,3000023868,"15,551,847.00",Funding to local infrastructure organisations,EC4A 1DE,Non-SME,Grants
Cabinet Office,Government Procurement Service,15/03/12,Legal Fees,Legal Services,Treasury Solicitors,PINDOH 33965,"73,154.26",Legal services fee,WC2B 4TS,Large,Administration
Cabinet Office,Cabinet Office,16/03/12,Accommodation and Utilities,PRIME MINISTERS OFFICE,ECOVERT FM LTD,3000023934,"35,774.72",Facilities Management Services,BN1 1HQ,Large,Administration
Cabinet Office,Cabinet Office,16/03/12,Land and Buildings,ESTATE MANAGEMENT,JONES LANG LASALLE LTD,3000023945,"303,600.00",Rent for accommodation,BS8 9AQ,Government Department,Administration
Cabinet Office,Cabinet Office,16/03/12,Agency and Temporary Staff,POLICY COMMUNICATIONS,COI CENTRAL OFFICE OF INFORMATION,3000023925,"323,262.00",Great Campaign,SE1 7DU,Government Department,Administration
Cabinet Office,Cabinet Office,16/03/12,IT Costs,IT AND TELECOMS BRANCH,CABLE & WIRELESS PLC,3000023917,"52,421.68",Legacy System Support Cost,RG12 1RW,Large,Administration
Cabinet Office,Cabinet Office,16/03/12,Accommodation and Utilities,IT AND TELECOMS BRANCH,GOVERNMENT PROCUREMENT SERVICE,103431,"233,363.24",Telephony charges,L3 1PE,Government Department,Administration
