Spend over £25000 - Publication template,,,,,,,,
,,,,,,,,
Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,
Department for Education,National College for Leadership of Schools and Children's Services,15/11/2010,Programme Costs,Children's Services,Amber Publications & Training LLP,105196,188265.50,
Department for Education,National College for Leadership of Schools and Children's Services,25/11/2010,Irrecoverable Input VAT,Continuous Leadership Learning,Ashridge,105429,5250.00,
Department for Education,National College for Leadership of Schools and Children's Services,25/11/2010,Software Purchases,Continuous Leadership Learning,Ashridge,105429,30000.00,
Department for Education,National College for Leadership of Schools and Children's Services,24/11/2010,Grants Made,School Leadership Development,Ashton on Mersey School,Collaborative fund grant,56213.00,
Department for Education,National College for Leadership of Schools and Children's Services,29/11/2010,Grants Made,Children's Services,Bath & North East Somerset Council,2nd Succession planning grant,83158.00,
Department for Education,National College for Leadership of Schools and Children's Services,23/11/2010,Grants Made,School Leadership Development,Blair Peach Primary School,Collaborative fund grant,29000.00,
Department for Education,National College for Leadership of Schools and Children's Services,24/11/2010,Grants Made,"Policy, Research & Development",Bracknell Forest LEA,Annual RTF planning grants,26720.00,
Department for Education,National College for Leadership of Schools and Children's Services,12/11/2010,Irrecoverable Input VAT,Continuous Leadership Learning,BT Global Services Solutions,105014,1101.09,
Department for Education,National College for Leadership of Schools and Children's Services,12/11/2010,Irrecoverable Input VAT,Corporate Services,BT Global Services Solutions,105014,2998.45,
Department for Education,National College for Leadership of Schools and Children's Services,12/11/2010,Outsourcing,Continuous Leadership Learning,BT Global Services Solutions,105014,6292.00,
Department for Education,National College for Leadership of Schools and Children's Services,12/11/2010,Outsourcing,Corporate Services,BT Global Services Solutions,105014,17134.00,
Department for Education,National College for Leadership of Schools and Children's Services,12/11/2010,Irrecoverable Input VAT,School Leadership Development,BT Global Services Solutions,105014,32586.76,
Department for Education,National College for Leadership of Schools and Children's Services,12/11/2010,Outsourcing,School Leadership Development,BT Global Services Solutions,105014,186210.00,
Department for Education,National College for Leadership of Schools and Children's Services,11/11/2010,Irrecoverable Input VAT,Continuous Leadership Learning,BT Global Services Solutions,105083,9876.12,
Department for Education,National College for Leadership of Schools and Children's Services,11/11/2010,Irrecoverable Input VAT,Corporate Services,BT Global Services Solutions,105083,11809.52,
Department for Education,National College for Leadership of Schools and Children's Services,11/11/2010,Outsourcing,Continuous Leadership Learning,BT Global Services Solutions,105083,56435.00,
Department for Education,National College for Leadership of Schools and Children's Services,11/11/2010,Outsourcing,Corporate Services,BT Global Services Solutions,105083,67483.01,
Department for Education,National College for Leadership of Schools and Children's Services,23/11/2010,Irrecoverable Input VAT,Continuous Leadership Learning,BT Global Services Solutions,105160,9876.12,
Department for Education,National College for Leadership of Schools and Children's Services,23/11/2010,Irrecoverable Input VAT,Corporate Services,BT Global Services Solutions,105160,11809.52,
Department for Education,National College for Leadership of Schools and Children's Services,23/11/2010,Outsourcing,Continuous Leadership Learning,BT Global Services Solutions,105160,56435.00,
Department for Education,National College for Leadership of Schools and Children's Services,23/11/2010,Outsourcing,Corporate Services,BT Global Services Solutions,105160,67483.01,
Department for Education,National College for Leadership of Schools and Children's Services,24/11/2010,Grants Made,School Leadership Development,Burnley Brow Primary School,Collaborative fund Grant,1512.50,
Department for Education,National College for Leadership of Schools and Children's Services,02/11/2010,Grants Made,School Leadership Development,Burnley Brow Primary School,Collaborative fund Grant,31440.00,
Department for Education,National College for Leadership of Schools and Children's Services,29/11/2010,Grants Made,Children's Services,Bury MBC,2nd Succession planning grant,149539.00,
Department for Education,National College for Leadership of Schools and Children's Services,24/11/2010,Grants Made,"Policy, Research & Development",Bury MBC,Annual RTF planning grants,41000.00,
Department for Education,National College for Leadership of Schools and Children's Services,29/11/2010,Grants Made,Children's Services,Central Bedfordshire Council,2nd Succession planning grant,87171.00,
Department for Education,National College for Leadership of Schools and Children's Services,23/11/2010,Grants Made,Continuous Leadership Learning,Central Bedfordshire Council,Head start Local indctn grant,5000.00,
Department for Education,National College for Leadership of Schools and Children's Services,29/11/2010,Grants Made,School Leadership Development,Charles Darwin School,Collaborative fund grant,62590.00,
Department for Education,National College for Leadership of Schools and Children's Services,24/11/2010,Grants Made,School Leadership Development,Chesterton CE Primary School,Maximising Prog grnt 2nd pymt,15000.00,
Department for Education,National College for Leadership of Schools and Children's Services,29/11/2010,Grants Made,School Leadership Development,Chesterton CE Primary School,Maximising Prog grnt 2nd pymt,15000.00,
Department for Education,National College for Leadership of Schools and Children's Services,10/11/2010,Programme Costs,Continuous Leadership Learning,Eastern Leadership Centre,105095,77593.38,
Department for Education,National College for Leadership of Schools and Children's Services,01/11/2010,Programme Costs,Continuous Leadership Learning,EMLC,104820,78540.00,
Department for Education,National College for Leadership of Schools and Children's Services,05/11/2010,Programme Costs,Continuous Leadership Learning,EMLC,104924,54534.00,
Department for Education,National College for Leadership of Schools and Children's Services,25/11/2010,Programme Costs,Continuous Leadership Learning,EMLC,105451,98845.51,
Department for Education,National College for Leadership of Schools and Children's Services,23/11/2010,EHP Liability,Continuous Leadership Learning,EMLC,Nat Col EHP Payment Scheme,8018.95,
Department for Education,National College for Leadership of Schools and Children's Services,09/11/2010,EHP Liability,Continuous Leadership Learning,EMLC,Nat Col EHP Payment Scheme,11866.86,
Department for Education,National College for Leadership of Schools and Children's Services,17/11/2010,EHP Liability,Continuous Leadership Learning,EMLC,Nat Col EHP Payment Scheme,16470.70,
Department for Education,National College for Leadership of Schools and Children's Services,02/11/2010,EHP Liability,Continuous Leadership Learning,EMLC,Nat Col EHP Payment Scheme,18735.75,
Department for Education,National College for Leadership of Schools and Children's Services,24/11/2010,Programme Costs,Continuous Leadership Learning,Future Leaders Ltd,105400,274400.00,
Department for Education,National College for Leadership of Schools and Children's Services,24/11/2010,Programme Costs,Continuous Leadership Learning,Future Leaders Ltd,105401,71200.00,
