ENTITY,DATE,EXPENSE_AREA_3,EXPENSE_TYPE_3,SUPPLIER,TRANSACTION_NUMBER,AMOUNT
MoJ HQ,09/Dec/2010 ,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,LOGICA UK LTD,1035972,"£29,962.50"
MoJ HQ,09/Dec/2010 ,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,LOGICA UK LTD,1035972,"£40,897.05"
MoJ HQ,09/Dec/2010 ,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,LOGICA UK LTD,1035972,"£36,490.22"
MoJ HQ,09/Dec/2010 ,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,LOGICA UK LTD,1035972,"£34,731.83"
MoJ HQ,09/Dec/2010 ,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,LOGICA UK LTD,1035972,"£66,680.08"
MoJ HQ,09/Dec/2010 ,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,LOGICA UK LTD,1035972,"£63,177.05"
MoJ HQ,09/Dec/2010 ,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,LOGICA UK LTD,1035972,"£59,944.98"
MoJ HQ,13/Dec/2010 ,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,LOGICA UK LTD,1036329,"£52,461.92"
MoJ HQ,13/Dec/2010 ,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,LOGICA UK LTD,1036329,"£31,766.13"
MoJ HQ,13/Dec/2010 ,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,LOGICA UK LTD,1036329,"£41,855.85"
MoJ HQ,16/Dec/2010 ,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,LOGICA UK LTD,1036764,"£63,177.05"
MoJ HQ,16/Dec/2010 ,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,LOGICA UK LTD,1036763,"£92,629.63"
MoJ HQ,16/Dec/2010 ,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,LOGICA UK LTD,1036764,"£472,559.15"
MoJ HQ,16/Dec/2010 ,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,LOGICA UK LTD,1036764,"£188,076.73"
MoJ HQ,16/Dec/2010 ,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,LOGICA UK LTD,1036764,"£230,781.75"
MoJ HQ,16/Dec/2010 ,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,LOGICA UK LTD,1036764,"£29,962.50"
MoJ HQ,16/Dec/2010 ,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,LOGICA UK LTD,1036764,"£149,663.28"
MoJ HQ,16/Dec/2010 ,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,LOGICA UK LTD,1036764,"£40,897.05"
MoJ HQ,16/Dec/2010 ,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,LOGICA UK LTD,1036764,"£59,944.98"
MoJ HQ,16/Dec/2010 ,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,LOGICA UK LTD,1036764,"£172,613.38"
MoJ HQ,16/Dec/2010 ,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,LOGICA UK LTD,1036764,"£34,731.83"
MoJ HQ,16/Dec/2010 ,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,LOGICA UK LTD,1036764,"£27,982.63"
MoJ HQ,16/Dec/2010 ,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,LOGICA UK LTD,1036764,"£528,750.00"
MoJ HQ,16/Dec/2010 ,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,LOGICA UK LTD,1036764,"£36,490.22"
MoJ HQ,16/Dec/2010 ,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,LOGICA UK LTD,1036764,"£41,881.99"
MoJ HQ,16/Dec/2010 ,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,LOGICA UK LTD,1036764,"£64,780.14"
MoJ HQ,16/Dec/2010 ,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,LOGICA UK LTD,1036764,"£66,680.08"
MoJ HQ,16/Dec/2010 ,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,LOGICA UK LTD,1036764,"£52,461.92"
MoJ HQ,20/Dec/2010 ,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,LOGICA UK LTD,1037020,"£73,248.33"
MoJ HQ,20/Dec/2010 ,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,LOGICA UK LTD,1037020,"£45,356.18"
MoJ HQ,20/Dec/2010 ,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,LOGICA UK LTD,1037020,"£372,894.48"
