Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description ,,,,,,,,,,,,,,,,,,
Cabinet Office,Crown Commercial Service,07/11/2014,Legal Fees,Legal Services,Treasury Solicitors,PINDOH 40882,104585.00,Legal services ,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,07/11/2014,RESOURCE GRANTS PRIVATE SECTOR,OPEN DATA PROGRAMME,NEW ECONOMY,3000054233,330000.00,Delivery of open data infrastructure plan for Greater Manchester,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,10/11/2014,COACHING AND MENTORING,FAST STREAM COSTS CS RESOURCING,SAID BUSINESS SCHOOL,3000054283,25000.00,Major Projects Leadership Academy courses for Fast Streamers,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,10/11/2014,OTHER IS IT COSTS VAT RECOV,GDS TRANSFORMATION,COLQUHOUN INFORMATION TECHNOLOGY LTD TRADING AS CALBA,3000054261,25222.50,Managed services for the GDS transformation project,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,10/11/2014,FM CONTRACT FIXED COSTS,PMO FACILITIES MANAGEMENT,BOUYGUES E&S FM UK LTD,3000054282,26723.04,Facilities Management Services,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,10/11/2014,OTHER IS IT COSTS VAT RECOV,GDS OFFICE OF CHIEF TECHNOLOGY OFFICER,NORTH HIGHLAND LTD,3000054270,27880.00,Managed services for CO IT system ,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,10/11/2014,CONSULTANTS VAT RECOVERABLE,ERG CROWN HOSTING,ATKINS LTD,3000054297,49140.74,Technical support to Crown Hosting ,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,10/11/2014,OTHER IS IT COSTS VAT RECOV,GDS ID ASSURANCE,SKYSCAPE CLOUD SERVICES LTD,3000054291,73866.31,Storage and hosting services for the Identity Assurance Programme,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,10/11/2014,SERVICE PAYMENTS,STERIA SHARED SERVICES,SHARED SERVICES CONNECTED LTD,3000054272,125285.92,Shared Services costs,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,10/11/2014,OTHER IS IT COSTS VAT RECOV,CO IT SYSTEMS,VIGLEN LTD,3000054268,247468.79,Managed services for CO IT system,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,11/11/2014,RESOURCE GRANTS LOCAL AUTHORIT,GPU POLICY AND STRATEGY,NORFOLK COUNTY COUNCIL,3000054310,60000.00,Grant for work delivered under the One Public Estate project,,,,,,,,,,,,,,,,,,
