Organisation,,Partnerships for Schools,,,,,,
Submitted By,,Management Accountant,,,,,,
Spend Tolerance,,"£25,000",,,,,,
Month,,01.07.2011 to 31.07.2011,,,,,,
Department family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount Including VAT,VAT Registration Number
DfE,PfS,06/07/2011,Capital Grant,Schools Capital and Revenue Grants,SOUTHWARK DIOCESAN EDUCATION NO 2 ACCOUNT,369103,441634.75,
DfE,PfS,06/07/2011,Capital Grant,Schools Capital and Revenue Grants,URSULINE HIGH SCHOOL PUBLIC FUNDS,369285,28468.12,
DfE,PfS,06/07/2011,Capital Grant,Schools Capital and Revenue Grants,LDBS - SCHOOLS MAINTENANCE FUND,370151,709493.89,
DfE,PfS,06/07/2011,Capital Grant,Schools Capital and Revenue Grants,ROMAN CATHOLIC DIOCESE HEXHAM AND NEWCASTLE DIOCESAN SCHOOLS GRANT,370163,890484.4,
DfE,PfS,06/07/2011,Capital Grant,Schools Capital and Revenue Grants,NOTTINGHAM EDUCATION SERVICE SCHOOL CAPITAL ACCOUNT,370165,297223.09,
DfE,PfS,06/07/2011,Capital Grant,Schools Capital and Revenue Grants,SALISBURY DIOCESAN BOARD OF EDUCATION,370989,392999.66,
DfE,PfS,06/07/2011,Capital Grant,Schools Capital and Revenue Grants,ELY DIOCESAN SCHOOL SERVICES LTD DEVOLVED FORMULA CAPITAL ACCOUNT,371001,95538.18,
DfE,PfS,06/07/2011,Capital Grant,Schools Capital and Revenue Grants,CHELMSFORD DIOCESAN BOARD OF FINANCE,371003,165288.32,
DfE,PfS,06/07/2011,Capital Grant,Schools Capital and Revenue Grants,TRURO DIOCESAN BOARD OF FINANCE - DEVOLVED FORMULA CAPITAL CAPITAL ACCOUNT,371039,120389.78,
DfE,PfS,06/07/2011,Capital Grant,Schools Capital and Revenue Grants,DURHAM DIOCESAN DEVOLVED FORMULA CAPITAL ACCOUNT,371789,142517.52,
DfE,PfS,06/07/2011,Capital Grant,Schools Capital and Revenue Grants,LANCASTER ROYAL GRAMMAR DEVELOPMENT FUND,371837,26955.45,
DfE,PfS,06/07/2011,Capital Grant,Schools Capital and Revenue Grants,SALFORD ROMAN CATHOLIC DIOCESE DEVOLVED FORMULA CAPITAL 1 ACCOUNT,373867,848799.3,
DfE,PfS,06/07/2011,Capital Grant,Schools Capital and Revenue Grants,PORTSMOUTH ROMAN CATHOLIC DIOCESE TRUSTEES REGISTERED SCHOOLS CONDITION SCHEME NO 2 ACCOUNT,373877,135668.01,
DfE,PfS,06/07/2011,Capital Grant,Schools Capital and Revenue Grants,COVENTRY DIOCESAN BOARD OF EDUCATION,373879,93556.81,
DfE,PfS,06/07/2011,Capital Grant,Schools Capital and Revenue Grants,LA SAITE UNION CAPITAL FUND ACCOUNT,373885,26499.82,
DfE,PfS,06/07/2011,Capital Grant,Schools Capital and Revenue Grants,LANCASTER ROMAN CATHOLIC DIOCESE TRUSTEES REGISTERED FURNESS CONSORTIUM SBC,374391,39405.66,
DfE,PfS,06/07/2011,Capital Grant,Schools Capital and Revenue Grants,PORTSMOUTH DIOCESAN CHURCH SCHOOL GOVERNORS FUND,374401,92596.03,
DfE,PfS,06/07/2011,Capital Grant,Schools Capital and Revenue Grants,EDUCATIONAL DEVELOPMENT LTD - SCHOOLS ACCOUNT,374759,198566.03,
DfE,PfS,06/07/2011,Capital Grant,Schools Capital and Revenue Grants,SHREWSBURY COMBINED SCHOOLS DEVOLVED FORMULA CAPITAL ACCOUNT,374787,236480.1,
DfE,PfS,06/07/2011,Capital Grant,Schools Capital and Revenue Grants,BATH AND WELLS DIOCESAN BOARD OF FINANCE VA SCHOOLS,374827,181010.49,
DfE,PfS,08/07/2011,ICT - Capital Programme,Schools Capital and Revenue Grants,ORMISTON ACADEMIES TRUST,375416,475498.26,
DfE,PfS,08/07/2011,Capital Grant,Schools Capital and Revenue Grants,SHEFFIELD DIOCESAN BOARD OF FINANCE SCHOOLS FUND ACCOUNT,375418,40304.7,
DfE,PfS,08/07/2011,Capital Grant,Schools Capital and Revenue Grants,NORTHAMPTON ROMAN CATHOLIC DIOCESE TRUST,375424,51819.4,
DfE,PfS,08/07/2011,Capital Grant,Schools Capital and Revenue Grants,SALISBURY DIOCESAN BOARD OF EDUCATION,375426,56858.77,
DfE,PfS,08/07/2011,Capital Grant,Schools Capital and Revenue Grants,TRUSTEES OF THE DIOCESE OF LEEDS,375430,31033.5,
DfE,PfS,08/07/2011,Capital Grant,Schools Capital and Revenue Grants,ST ALBANS DIOCESAN BOARD OF FINANCE,375432,59423.47,
DfE,PfS,08/07/2011,Capital Grant,Schools Capital and Revenue Grants,TIFFIN SCHOOL,375442,37788.22,
DfE,PfS,08/07/2011,Capital Grant,Schools Capital and Revenue Grants,MEXBOROUGH ST JOHN THE BAPTIST SD,375454,91149.84,
DfE,PfS,08/07/2011,Capital Grant,Schools Capital and Revenue Grants,PARSON CROSS CHURCH OF ENGLAND PRIMARY SCHOOL SD,375456,42414.84,
DfE,PfS,13/07/2011,Contracted Staff,Central & West Director,HYDE AND SLEEK LTD.,375583,27021.39,
DfE,PfS,13/07/2011,"Agency fees(Site Search,Planning advice Acq Costs)",Free School Property Advice,DTZ  SHARED SERVICE CENTRE,375585,6012.3,
DfE,PfS,13/07/2011,Aquisition of New Leases - Capital,Free School Property Advice,DTZ  SHARED SERVICE CENTRE,375585,24000,
DfE,PfS,13/07/2011,Red Book Valuations,Free School Property Advice,DTZ  SHARED SERVICE CENTRE,375585,7200,
DfE,PfS,08/07/2011,Revenue Grant,Schools Capital and Revenue Grants,EXETER DIOCESAN BOARD OF FINANCE CHURCH,375769,181376.1,
DfE,PfS,08/07/2011,Revenue Grant,Schools Capital and Revenue Grants,ST THOMAS NORE CATHOLIC BIRMINGHAM DIOCESE ACCOUNT,375771,82412.71,
DfE,PfS,14/07/2011,Capital Grant,Schools Capital and Revenue Grants,SALISBURY DIOCESAN BOARD OF EDUCATION,375777,63284.13,
DfE,PfS,14/07/2011,Capital Grant,Schools Capital and Revenue Grants,OXFORD DIOCESAN COUNCIL OF EDUCATION,375779,57351.85,
DfE,PfS,14/07/2011,Capital Grant,Schools Capital and Revenue Grants,NORWICH DIOCESAN BOARD OF FINANCE LIMITED,375789,121335.98,
DfE,PfS,14/07/2011,Capital Grant,Schools Capital and Revenue Grants,ROMAN CATHOLIC ARCHDIOCESE OF SOUTHWARK,375791,143035.72,
DfE,PfS,14/07/2011,Capital Grant,Schools Capital and Revenue Grants,LONDON DIOCESAN BOARD FOR SCHOOLS ACCOUNT,375793,91342.17,
DfE,PfS,14/07/2011,Capital Grant,Schools Capital and Revenue Grants,BIRMINGHAM ROMAN CATHOLIC DIOCESAN TRUSTEES REGISTERED DEVOLVED,375803,25558.2,
DfE,PfS,14/07/2011,Capital Grant,Schools Capital and Revenue Grants,WAKEFIELD DIOCESAN COUNCIL OF EDUCATION,375805,39130.43,
DfE,PfS,14/07/2011,Capital Grant,Schools Capital and Revenue Grants,BRENTWOOD ROMAN CATHOLIC DIOCESAN TRUSTEES SCHOOL BUILDINGS ACCOUNT,375807,132533.51,
DfE,PfS,14/07/2011,Capital Grant,Schools Capital and Revenue Grants,LANCASTER SCHOOL BUILDING FUND ACCOUNT,375811,83377.94,
DfE,PfS,14/07/2011,Capital Grant,Schools Capital and Revenue Grants,SDS SALVAATORIAN COLLEGE AMENITIES FUND,375813,37544.99,
DfE,PfS,14/07/2011,Capital Grant,Schools Capital and Revenue Grants,SHREWSBURY DIOCESAN SCHOOLS ACCOUNT,375815,26407.17,
DfE,PfS,14/07/2011,Capital Grant,Schools Capital and Revenue Grants,HOLY CROSS ROMAN CATHOLIC PRIMARY SCHOOL - DEVOLVED FORMULA CAPITAL ACCOUNT,375821,46044.72,
DfE,PfS,14/07/2011,Capital Grant,Schools Capital and Revenue Grants,ISLAMIA PRIMARY SCHOOL,375833,28493.12,
