Department,Entity,Payment date,Transaction Number,Invoice Amount,Supplier,Account Description
FCO,FCO,17/12/2013,15952944,134529.50,ISS FACILITY SERVICES LTD FCO OP - POE,"Bank Charges (Oracle Cash Management Control Account), Electricity Non-Residential, Electricity Residential, Gas Non-Residential, Gas Residential, Rental Payments - residential, Telephone Call Charges, Waste Disposal, Water Residential"
FCO,FCO,24/12/2013,29715,128209.00,S MACNEILLIE & SON LTD,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,24/12/2013,29715,127884.00,S MACNEILLIE & SON LTD,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,16/12/2013,482157,122094.30,LANGUAGE SERVICES DIRECT,"Language Tuition: Course materials, Language Tuition: Essential, Language Tuition: Optional: Spouses & Partners"
FCO,FCO,11/12/2013,32928,121036.30,FCO SERVICES,Air Freight Dip Bags - Freight & Clearance Charges
FCO,FCO,24/12/2013,11886,120776.00,S MACNEILLIE & SON LTD,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,24/12/2013,11886,120776.00,S MACNEILLIE & SON LTD,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,05/12/2013,64760,120508.40,N A MOVING SERVICES LTD,Heavy Baggage
FCO,FCO,31/12/2013,32442,117771.20,KELLOGG BROWN AND ROOT,Property Maintenance Overseas Residential
FCO,FCO,11/12/2013,36602,117529.30,HEALIX INTERNATIONAL LTD,Fco Healthcare Scheme
FCO,FCO,06/12/2013,293516,116703.00,ARK FZC,Programme Spend (Oracle Projects Control Account)
FCO,FCO,18/12/2013,32928,115484.80,FCO SERVICES,Air Freight Dip Bags - Freight & Clearance Charges
FCO,FCO,10/12/2013,1898,115109.50,CAPGEMINI UK PLC,IT/IS Consultancy
FCO,FCO,31/12/2013,183588,110642.30,COFFEY INTERNATIONAL DEVELOPMENT,Programme Spend (Oracle Projects Control Account)
FCO,FCO,18/12/2013,13612,108611.80,HEWLETT PACKARD LTD,"Assets Under Construction (Oracle PA Control Account), IT/IS Consultancy"
FCO,FCO,23/12/2013,33532,108340.70,ABROTEA BULGARIA AD,Rental Payments - non residential
FCO,FCO,31/12/2013,115696,105879.40,THE ASIA FOUNDATION,Programme Spend (Oracle Projects Control Account)
FCO,FCO,18/12/2013,64760,104323.00,N A MOVING SERVICES LTD,Heavy Baggage
FCO,FCO,13/12/2013,214576,101057.00,CENTRE FOR HUMANITARIAN DIALOGUE,Programme Spend (Oracle Projects Control Account)
FCO,FCO,25/12/2013,318234,101045.00,CAPITA SYMONDS LIMITED,Residential Property Services
FCO,FCO,06/12/2013,214576,100407.00,CENTRE FOR HUMANITARIAN DIALOGUE,Programme Spend (Oracle Projects Control Account)
FCO,FCO,03/12/2013,152932,100053.90,DEPARTMENT OF STATE,Programme Spend (Oracle Projects Control Account)
FCO,FCO,19/12/2013,856210,98126.54,FACEO FRANCE,"Assets Under Construction (Oracle PA Control Account), Cleaning & Waste, Purchase of Furniture, Fittings and Domestic Appliances, Repairs And Refurbishment: Works Residential, Unscheduled repairs to building infrastructure"
FCO,FCO,13/12/2013,2697392,96771.48,ISS FACILITY SERVICES LTD FCO OP,"Building Fabric Services, Building Mechanical and Engineering Services, Cleaning & Waste, Contract Fees, Grounds Maintenance, Mail & Porterage Services, Manned Guarding Services, Miscellaneous Expenditure: inc subscriptions and equipment maintenance, Office Support Services, Reception Services, Repair and maintenance of furniture and fittings, Residential Property Services, Unscheduled repairs to building infrastructure"
FCO,FCO,12/12/2013,29184,96738.59,INTERSERVE FM LTD,"Construction Project more than £10k, FM Interserve BES Maintenance, FM Interserve Mail & Porterage, UK - Air Travel"
FCO,FCO,02/12/2013,196038,95007.85,MCN PROJECTS,Programme Spend (Oracle Projects Control Account)
FCO,FCO,18/12/2013,32928,94716.00,FCO SERVICES,Air Freight Dip Bags - Freight & Clearance Charges
FCO,FCO,19/12/2013,856210,94265.26,FACEO FRANCE,"Cleaning & Waste, Property Maintenance Overseas Non Residential, Property Maintenance Overseas Residential"
FCO,FCO,05/12/2013,684968,94265.26,FACEO FRANCE,"Cleaning & Waste, Property Maintenance Overseas Non Residential, Property Maintenance Overseas Residential"
FCO,FCO,23/12/2013,292848,93136.36,NATIONAL HOTEL COMPLEX,Rental Payments - non residential
FCO,FCO,13/12/2013,2413456,93056.16,ISS FACILITY SERVICES LTD FCO OP,"Building Mechanical and Engineering Services, Cleaning & Waste, Contract Fees, Grounds Maintenance, Manned Guarding Services, Miscellaneous Expenditure: inc subscriptions and equipment maintenance, Office Support Services, Reception Services, Repair and maintenance of furniture and fittings, Residential Property Services, Unscheduled repairs to building infrastructure"
FCO,FCO,11/12/2013,65706,93051.00,OSCE ORGANIZATION FOR SECURITY AND CO OPERATION IN EUROPE,Programme Spend (Oracle Projects Control Account)
FCO,FCO,23/12/2013,10209,92761.85,HEWLETT PACKARD LTD,"Assets Under Construction (Oracle PA Control Account), Temporary Staff (Admin and Clerical Only)"
FCO,FCO,10/12/2013,183952,91759.96,DIPLOMAT FREIGHT SERVICES LTD(DFS),Programme Spend (Oracle Projects Control Account)
FCO,FCO,11/12/2013,173178,87920.03,VFS BUSINESS INFORMATION CONSULTING (SHANGHAI) CO LTD,Commercial Partners (Visa)
FCO,FCO,06/12/2013,309026,87800.00,INTEGRITY RESEARCH AND CONSULTANCY LTD,Programme Spend (Oracle Projects Control Account)
FCO,FCO,12/12/2013,29320,84844.49,ELECTORAL REFORM INTERNATIONAL SERVICES LTD,Programme Spend (Oracle Projects Control Account)
FCO,FCO,08/12/2013,291224,77978.70,DA NAWEED NOORI CONSTRUCTION COMPANY,Programme Spend (Oracle Projects Control Account)
FCO,FCO,12/12/2013,3648,77321.22,INTERSERVE FM LTD,Construction Project more than £10k
FCO,FCO,13/12/2013,283936,75757.32,ISS FACILITY SERVICES LTD FCO OP,FM Interserve BES Maintenance
FCO,FCO,11/12/2013,136212,72893.71,GLOBAL PARTNERS GOVERNANCE PRACTICE LTD,Programme Spend (Oracle Projects Control Account)
FCO,FCO,23/12/2013,301034,72704.00,PEACEFUL CHANGE INITIATIVE,Programme Spend (Oracle Projects Control Account)
FCO,FCO,10/12/2013,1898,71302.38,CAPGEMINI UK PLC,IT/IS Consultancy
FCO,FCO,17/12/2013,41449167,70686.54,ISS FACILITY SERVICES LTD FCO OP - POE,"Bank Charges (Oracle Cash Management Control Account), Electricity Non-Residential, Electricity Residential, Rental Payments - residential, Telephone Call Charges, Water Non-Residential, Water Residential"
FCO,FCO,20/12/2013,16464,70146.26,FCO SERVICES,Security: Works Non-Residential
FCO,FCO,23/12/2013,4650,70000.00,CROWN AGENTS,Misc Security Payments
FCO,FCO,20/12/2013,32928,69958.66,FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,30/12/2013,325230,68634.61,AFRICAN SKIES LTD,Local Guards
FCO,FCO,23/12/2013,105728,68241.98,MACE INTERNATIONAL UK LIMITED,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,17/12/2013,32380,68228.63,N A MOVING SERVICES LTD,Personal Car Freight
FCO,FCO,10/12/2013,136212,66280.06,GLOBAL PARTNERS GOVERNANCE PRACTICE LTD,Programme Spend (Oracle Projects Control Account)
FCO,FCO,13/12/2013,157500,65133.36,LUCONEX SRL,Rental Payments - non residential
FCO,FCO,13/12/2013,3123296,65130.74,ISS FACILITY SERVICES LTD FCO OP,"FM Interserve Office Support Services, Freight & Customs Clearance Charges, Laundry, Purchase of Furniture, Fittings and Domestic Appliances"
FCO,FCO,11/12/2013,223164,64864.10,COGENT ELECTRICAL SERVICES LTD FORM WES,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,18/12/2013,116691,64850.00,FOND B92,Programme Spend (Oracle Projects Control Account)
