"Department of Health, September 2013, spend over £25,000",,,,,,,,,,,,,
Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,PO Line Description,Supplier Site Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
Department of Health,Department of Health,05/09/2013,Service charge,DG: ERD,GEORGE ELIOT HOSPITAL NHS TRUST,T0114026,"£60,024.28",Revenue: George Eliot FY 2013/14 STAF and LC costs for Lorenzo Deployment,CV10 7DJ,PUBLIC,,,Programme
Department of Health,Department of Health,06/09/2013,Professional fees,DG: GOAD,NHS SHARED BUSINESS SERVICES (SBS),100019181,£0.00,Closedown Agreement - Fixed Service Charges),WF3 1WE,PUBLIC,,,Admin
Department of Health,Department of Health,06/09/2013,Professional fees,DG: GOAD,NHS SHARED BUSINESS SERVICES (SBS),100019181,£0.00,Closedown Agreement - Variable Service Charges,WF3 1WE,PUBLIC,,,Admin
Department of Health,Department of Health,06/09/2013,Professional fees,DG: GOAD,NHS SHARED BUSINESS SERVICES (SBS),100019181,"£682,800.00",PCT/SHA closedown agreement - Fixed service charges for July and August 2013,WF3 1WE,PUBLIC,,,Admin
Department of Health,Department of Health,06/09/2013,Outsourcing Contract,DG: ERD,NHS EMPLOYERS LTD,13127,"£250,000.00","Quarters 2, 3 & 4 core contract",LS10 1JR,SME,,,Programme
Department of Health,Department of Health,30/09/2013,Additions PDC Revenue Support NHS T Permenant,DG: Central Technical,BARTS HEALTH NHS TRUST,HAFS-16112,"£50,700,000.00",,E1 8PR,PUBLIC,,,Other
Department of Health,Department of Health,06/09/2013,Addition Clearing - IT,DG: PHD,PUBLIC HEALTH ENGLAND,6003100,"£663,342.88",Public Health England Transition infrastructure capital costs,SW1W 9SZ,PUBLIC,,,Admin
Department of Health,Department of Health,06/09/2013,Policy Payments,DG: PHD,PUBLIC HEALTH ENGLAND,6003100,"£16,771.34",Public Health England Transition infrastructure costs - 2012-13 shortfall,SW1W 9SZ,PUBLIC,,,Admin
Department of Health,Department of Health,06/09/2013,Policy Payments,DG: PHD,PUBLIC HEALTH ENGLAND,6003100,"£702,996.28",Public Health England Transition infrastructure revenue costs - IS,SW1W 9SZ,PUBLIC,,,Admin
Department of Health,Department of Health,30/09/2013,Additions FT Financing Facility Loans,DG: Central Technical,THE WALTON CENTRE NHS FOUNDATION TRUST,HAFS-16111,"£800,000.00",,L9 7LJ,PUBLIC,,,Other
Department of Health,Department of Health,09/09/2013,Arm Length Bodies-Revenue Subsidy,DG: PHD,MEDICINES AND HEALTHCARE PRODUCTS REGULATORY AGENCY (MHRA),1455715,"£810,000.00",Medical and Healthcare Products Regulatory Agency (MHRA) 2013/14 Revenue allocation (Devices). ,SW1W 9SZ,PUBLIC,,,Other
Department of Health,Department of Health,09/09/2013,Arm Length Bodies-Revenue Subsidy,DG: PHD,MEDICINES AND HEALTHCARE PRODUCTS REGULATORY AGENCY (MHRA),1455716,"£1,500,000.00",Medical and Healthcare Products Regulatory Agency (MHRA) 2013/14 Revenue allocation NIBSC.  ,SW1W 9SZ,PUBLIC,,,Other
Department of Health,Department of Health,30/09/2013,Additions FT Financing Facility Loans,DG: Central Technical,SOUTH DEVON HEALTHCARE NHS FOUNDATION TRUST,HAFS-16110,"£1,000,000.00",,TQ2 7AN,PUBLIC,,,Other
Department of Health,Department of Health,30/09/2013,Additions FT Financing Facility Loans,DG: Central Technical,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,HAFS-16109,"£10,000,000.00",,CB2 2QQ,PUBLIC,,,Other
Department of Health,Department of Health,09/09/2013,Outsourcing Contract,DG: SFNHS,SOUTH WESTERN AMBULANCE SERVICE NHS FOUNDATION TRUST,6282747,"£199,167.00",Monthly charge for hosting of the Ambulance Radio Programme,EX2 7HY,PUBLIC,,,Programme
Department of Health,Department of Health,09/09/2013,Additions PDC Capital Support NHS T Permenant,DG: Central Technical,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,HAFS-16050,"£720,000.00",,HP7 0JD,PUBLIC,,,Other
Department of Health,Department of Health,09/09/2013,Additions PDC Capital Support NHS FT Permenant,DG: Central Technical,COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST,HAFS-16051,"£579,000.00",,CO4 5JL,PUBLIC,,,Other
Department of Health,Department of Health,09/09/2013,Additions PDC Capital Support NHS FT Permenant,DG: Central Technical,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,HAFS-16052,"£2,985,000.00",,E9 6SR,PUBLIC,,,Other
Department of Health,Department of Health,09/09/2013,Additions PDC Revenue Support NHS T Temporary,DG: Central Technical,MID YORKSHIRE HOSPITALS NHS TRUST,HAFS-16053,"£2,500,000.00",,WF1 4TU,PUBLIC,,,Other
Department of Health,Department of Health,09/09/2013,Additions PDC Revenue Support NHS T Temporary,DG: Central Technical,PLYMOUTH HOSPITALS NHS TRUST,HAFS-16054,"£2,000,000.00",,WF3 1WE,PUBLIC,,,Other
Department of Health,Department of Health,09/09/2013,Additions PDC Capital Support NHS FT Permenant,DG: Central Technical,SHEFFIELD HEALTH & SOCIAL CARE NHS FOUNDATION TRUST,HAFS-16055,"£166,000.00",,S10 3TH,PUBLIC,,,Other
Department of Health,Department of Health,09/09/2013,Additions PDC Revenue Support NHS T Temporary,DG: Central Technical,SOUTH LONDON HEALTHCARE NHS TRUST,HAFS-16056,"£5,550,000.00",,DA14 6LT,PUBLIC,,,Other
Department of Health,Department of Health,09/09/2013,Additions PDC Capital Support NHS FT Permenant,DG: Central Technical,SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,HAFS-16057,"£195,000.00",,CV34 5BW,PUBLIC,,,Other
Department of Health,Department of Health,09/09/2013,Additions PDC Capital Support NHS T Permenant,DG: Central Technical,SURREY & SUSSEX HEALTHCARE NHS TRUST,HAFS-16058,"£2,000,000.00",,RH1 5RH,PUBLIC,,,Other
Department of Health,Department of Health,11/09/2013,Arm Length Bodies-Revenue Subsidy,DG: PHD,NHS BLOOD AND TRANSPLANT (NHSBT),949743,"£5,100,000.00",NHSBT Drawdown 2013/14.  ,LS15 7TW,PUBLIC,,,Programme
Department of Health,Department of Health,11/09/2013,Research & development,DG: RDD,NORFOLK AND SUFFOLK NHS FOUNDATION TRUST,ERS-502934-78703,"£26,281.00",Research for Patient Benefit,NR6 5BE,PUBLIC,,,Programme
Department of Health,Department of Health,11/09/2013,Research & development,DG: RDD,GUYS AND ST THOMAS NHS FOUNDATION TRUST,ERS-502941-78702,"£49,798.00",Health Technology Co-operatives,SE1 9RT,PUBLIC,,,Programme
Department of Health,Department of Health,11/09/2013,Research & development,DG: RDD,THE LEEDS COMMUNITY HEALTHCARE NHS TRUST,ERS-502948-78717,"£9,471.00",AD-HOC - ETC,LS6 1PF,PUBLIC,,,Programme
Department of Health,Department of Health,11/09/2013,Research & development,DG: RDD,THE LEEDS COMMUNITY HEALTHCARE NHS TRUST,ERS-502948-78717,"£28,413.00",AD-HOC - ETC,LS6 1PF,PUBLIC,,,Programme
Department of Health,Department of Health,12/09/2013,Professional fees,DG: ERD,NHS BUSINESS SERVICES AUTHORITY (NHSBSA),7216,"£119,880.00",DH- CRC 2012/13 Energy offsetting payment (Energy Efficiency Scheme),NE1 6SN,PUBLIC,,,Programme
Department of Health,Department of Health,12/09/2013,Policy Payments,DG: Central Technical,HEALTH AND SOCIAL CARE INFORMATION CENTRE,12665395,"£108,000.00",Funding to Health and Social Care Information Centre to develop currency models to support QIPP LTC Year of Care Funding Model,,PUBLIC,,,Programme
Department of Health,Department of Health,16/09/2013,Outsourcing Contract,DG: PHD,NHS BLOOD AND TRANSPLANT (NHSBT),949655,"£298,338.39",mproving stem cell services in the UK 2012-15,LS15 7TW,PUBLIC,,,Programme
Department of Health,Department of Health,16/09/2013,Research & development,DG: RDD,AVON AND WILTSHIRE MENTAL HEALTH PARTNERSHIP NHS TRUST,ERS-503123-78887,"£51,819.00",Research Capability Funding,BA1 3QE,PUBLIC,,,Programme
Department of Health,Department of Health,16/09/2013,Research & development,DG: RDD,BARTS HEALTH NHS TRUST,ERS-503126-78958,"£5,875.00",Translational Research Partnerships,E1 8PR,PUBLIC,,,Programme
Department of Health,Department of Health,16/09/2013,Research & development,DG: RDD,BARTS HEALTH NHS TRUST,ERS-503126-78958,"£145,927.00",Research Capability Funding,E1 8PR,PUBLIC,,,Programme
Department of Health,Department of Health,16/09/2013,Research & development,DG: RDD,BARTS HEALTH NHS TRUST,ERS-503126-78958,"£49,837.00",Health Technology Co-operatives,E1 8PR,PUBLIC,,,Programme
Department of Health,Department of Health,16/09/2013,Research & development,DG: RDD,BIRMINGHAM AND SOLIHULL MENTAL HEALTH NHS FOUNDATION TRUST,ERS-503127-78912,"£52,746.00",Research Capability Funding,B15 2PZ,PUBLIC,,,Programme
Department of Health,Department of Health,16/09/2013,Research & development,DG: RDD,BIRMINGHAM COMMUNITY HEALTHCARE NHS TRUST,ERS-503130-78955,"£33,863.00",Research Capability Funding,B13 8JL,PUBLIC,,,Programme
Department of Health,Department of Health,16/09/2013,Research & development,DG: RDD,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,ERS-503135-78824,"£40,079.00",Research Capability Funding,WF3 1WE,PUBLIC,,,Programme
Department of Health,Department of Health,16/09/2013,Research & development,DG: RDD,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,ERS-503135-78824,"£50,000.00",Health Technology Co-operatives,WF3 1WE,PUBLIC,,,Programme
Department of Health,Department of Health,16/09/2013,Research & development,DG: RDD,BRIGHTON & SUSSEX UNIVERSITY HOSPITALS NHS TRUST,ERS-503137-78907,"£38,525.00",Research Capability Funding,BN2 3EW,PUBLIC,,,Programme
Department of Health,Department of Health,16/09/2013,Research & development,DG: RDD,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-503142-78843,"£464,108.00",Research Capability Funding,CB2 2QQ,PUBLIC,,,Programme
Department of Health,Department of Health,16/09/2013,Research & development,DG: RDD,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-503142-78843,"£5,875.00",Translational Research Partnerships,CB2 2QQ,PUBLIC,,,Programme
Department of Health,Department of Health,16/09/2013,Research & development,DG: RDD,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-503142-78843,"£50,000.00",Health Technology Co-operatives,CB2 2QQ,PUBLIC,,,Programme
Department of Health,Department of Health,16/09/2013,Research & development,DG: RDD,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-503142-78843,"£17,405.00",NIHR Fellowships,CB2 2QQ,PUBLIC,,,Programme
Department of Health,Department of Health,16/09/2013,Research & development,DG: RDD,CAMBRIDGESHIRE AND PETERBOROUGH NHS FOUNDATION TRUST,ERS-503145-78874,"£221,099.00",Research Capability Funding,CB1 5EE,PUBLIC,,,Programme
