"Department of Health, September 2013, spend over £25,000",,,,,,,,,,,,,
Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,PO Line Description,Supplier Site Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
Department of Health,Department of Health,23/09/2013,Additions PDC Revenue Support NHS T Temporary,DG: Central Technical,SOUTH LONDON HEALTHCARE NHS TRUST,HAFS-16081,"£10,500,000.00",,DA14 6LT,PUBLIC,,,Other
Department of Health,Department of Health,23/09/2013,Additions PDC Capital Support NHS FT Permenant,DG: Central Technical,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,HAFS-16082,"£1,700,000.00",,UB8 3NN,PUBLIC,,,Other
Department of Health,Department of Health,23/09/2013,Additions PDC Revenue Support NHS T Temporary,DG: Central Technical,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,HAFS-16083,"£6,000,000.00",,LN2 5QY,PUBLIC,,,Other
Department of Health,Department of Health,23/09/2013,Additions PDC Revenue Support NHS FT Permenant,DG: Central Technical,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,HAFS-16084,"£2,000,000.00",,LA1 4GG,PUBLIC,,,Other
Department of Health,Department of Health,23/09/2013,Additions PDC Capital Support NHS FT Permenant,DG: Central Technical,CENTRAL AND NORTH WEST LONDON NHS FOUNDATION TRUST,HAFS-16085,"£481,000.00",,W2 6LA,PUBLIC,,,Other
Department of Health,Department of Health,23/09/2013,Additions PDC Capital Support NHS FT Permenant,DG: Central Technical,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,HAFS-16086,"£124,000.00",,PL26 6AD,PUBLIC,,,Other
Department of Health,Department of Health,23/09/2013,Additions PDC Revenue Support NHS T Temporary,DG: Central Technical,EAST & NORTH HERTFORDSHIRE NHS TRUST,HAFS-16087,"£5,100,000.00",,SG1 4AB,PUBLIC,,,Other
Department of Health,Department of Health,23/09/2013,Additions PDC Capital Support NHS FT Permenant,DG: Central Technical,EAST LONDON NHS FOUNDATION TRUST,HAFS-16088,"£135,000.00",,E1 1RD,PUBLIC,,,Other
Department of Health,Department of Health,23/09/2013,Additions PDC Capital Support NHS FT Permenant,DG: Central Technical,GATESHEAD HEALTH NHS FOUNDATION TRUST,HAFS-16089,"£2,000,000.00",,NE8 4YL,PUBLIC,,,Other
Department of Health,Department of Health,23/09/2013,Additions PDC Revenue Support NHS FT Permenant,DG: Central Technical,HEATHERWOOD AND WEXHAM PARK HOSPITALS NHS FOUNDATION TRUST,HAFS-16090,"£4,300,000.00",,SL2 4HL,PUBLIC,,,Other
Department of Health,Department of Health,23/09/2013,Additions PDC Revenue Support NHS T Temporary,DG: Central Technical,MID ESSEX HOSPITAL SERVICES NHS TRUST,HAFS-16091,"£3,000,000.00",,CM8 2TT,PUBLIC,,,Other
Department of Health,Department of Health,23/09/2013,Additions PDC Revenue Support NHS FT Permenant,DG: Central Technical,MID STAFFORDSHIRE NHS FOUNDATION TRUST,HAFS-16092,"£3,500,000.00",,ST16 3SA,PUBLIC,,,Other
Department of Health,Department of Health,23/09/2013,Additions PDC Revenue Support NHS T Permenant,DG: Central Technical,NHS DIRECT NHS TRUST,HAFS-16093,"£4,500,000.00",,LS2 7UE,PUBLIC,,,Other
Department of Health,Department of Health,23/09/2013,Additions PDC Capital Support NHS FT Permenant,DG: Central Technical,NORFOLK & NORWICH UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,HAFS-16094,"£272,000.00",,NR4 7UY,PUBLIC,,,Other
Department of Health,Department of Health,23/09/2013,Additions FT Financing Facility Loans,DG: Central Technical,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,HAFS-16095,"£2,000,000.00",,RG24 9NA,PUBLIC,,,Other
Department of Health,Department of Health,23/09/2013,Additions NHS Trust Working Capital Loans,DG: Central Technical,EAST & NORTH HERTFORDSHIRE NHS TRUST,HAFS-16096,"£5,406,000.00",,BS1 2NP,PUBLIC,,,Other
Department of Health,Department of Health,30/09/2013,Research & development,DG: RDD,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,ERS-504581-79581,"£28,039.00",Research for Patient Benefit,EX2 5DW,PUBLIC,,,Programme
Department of Health,Department of Health,30/09/2013,Research & development,DG: RDD,NHS BRISTOL CCG,ERS-504580-79595,"£96,333.00",Research for Patient Benefit,BS1 3NX,PUBLIC,,,Programme
Department of Health,Department of Health,30/09/2013,Research & development,DG: RDD,NHS BRISTOL CCG,ERS-504572-79594,"£350,485.50",HTA Researcher Lead,BS1 3NX,PUBLIC,,,Programme
Department of Health,Department of Health,27/09/2013,Research & development,DG: RDD,YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,ERS-504519-79401,"£26,347.00",Research for Patient Benefit,BA21 4AT,PUBLIC,,,Programme
Department of Health,Department of Health,27/09/2013,Research & development,DG: RDD,WHITTINGTON HOSPITAL NHS TRUST,ERS-504518-79433,"£167,582.00",Programme Grants for NHS Trusts,N19 5NF,PUBLIC,,,Programme
Department of Health,Department of Health,24/09/2013,Provisions cash payment,DG: ERD,NHS INJURY BENEFITS SCHEME,ERS-504015-79201,"£4,439,580.36","Injury Allowance Recharging Payment, Sept 2013",FY7 8LG,PUBLIC,,,Programme
Department of Health,Department of Health,24/09/2013,Research & development,DG: RDD,OXFORD UNIVERSITY HOSPITALS NHS TRUST,ERS-504065-79221,"£112,302.00",Research for Patient Benefit,OX3 7HE,PUBLIC,,,Programme
Department of Health,Department of Health,24/09/2013,Research & development,DG: RDD,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-504067-79222,"£204,000.00",Invention for Innovation,M13 0JR,PUBLIC,,,Programme
Department of Health,Department of Health,27/09/2013,Research & development,DG: RDD,VELINDRE NHS TRUST,ERS-504513-79495,"£74,261.16",HTA Researcher Lead,CF11 9LJ,PUBLIC,,,Programme
Department of Health,Department of Health,26/09/2013,Research & development,DG: RDD,HEALTH EDUCATION ENGLAND,49290588,"£14,540,650.00",Integrated Academic Training,LS1 4PL,PUBLIC,,,Programme
Department of Health,Department of Health,26/09/2013,Research & development,DG: RDD,NHS GREATER GLASGOW AND CLYDE,ERS-504228-79369,"£58,048.00",HTA Researcher Lead,G12 0XH,PUBLIC,,,Programme
Department of Health,Department of Health,26/09/2013,Research & development,DG: RDD,ALDER HEY CHILDRENS NHS FOUNDATION TRUST,ERS-504246-79409,"£45,960.74",HTA Researcher Lead,L12 2AP,PUBLIC,,,Programme
Department of Health,Department of Health,26/09/2013,Research & development,DG: RDD,ALDER HEY CHILDRENS NHS FOUNDATION TRUST,ERS-504246-79409,"£128,989.11",HTA Researcher Lead,L12 2AP,PUBLIC,,,Programme
Department of Health,Department of Health,26/09/2013,Research & development,DG: RDD,AVON AND WILTSHIRE MENTAL HEALTH PARTNERSHIP NHS TRUST,ERS-504247-79463,"£63,726.00",Programme Grants for NHS Trusts,BA1 3QE,PUBLIC,,,Programme
Department of Health,Department of Health,26/09/2013,Research & development,DG: RDD,BARTS HEALTH NHS TRUST,ERS-504250-79564,"£18,304.00",Research for Patient Benefit,E1 8PR,PUBLIC,,,Programme
Department of Health,Department of Health,26/09/2013,Research & development,DG: RDD,BARTS HEALTH NHS TRUST,ERS-504250-79564,"£61,167.00",Invention for Innovation,E1 8PR,PUBLIC,,,Programme
Department of Health,Department of Health,26/09/2013,Research & development,DG: RDD,BARTS HEALTH NHS TRUST,ERS-504250-79564,"£187,714.00",Programme Grants for NHS Trusts,E1 8PR,PUBLIC,,,Programme
Department of Health,Department of Health,26/09/2013,Research & development,DG: RDD,BARTS HEALTH NHS TRUST,ERS-504250-79564,"£105,007.00",Programme Grants for NHS Trusts,E1 8PR,PUBLIC,,,Programme
Department of Health,Department of Health,26/09/2013,Research & development,DG: RDD,BARTS HEALTH NHS TRUST,ERS-504250-79564,"£32,483.00",Invention for Innovation,E1 8PR,PUBLIC,,,Programme
Department of Health,Department of Health,26/09/2013,Research & development,DG: RDD,BIRMINGHAM AND SOLIHULL MENTAL HEALTH NHS FOUNDATION TRUST,ERS-504253-79487,"£120,199.00",Programme Grants for NHS Trusts,B15 2PZ,PUBLIC,,,Programme
Department of Health,Department of Health,26/09/2013,Research & development,DG: RDD,BIRMINGHAM AND SOLIHULL MENTAL HEALTH NHS FOUNDATION TRUST,ERS-504253-79487,"£24,634.00",Research for Patient Benefit,B15 2PZ,PUBLIC,,,Programme
Department of Health,Department of Health,26/09/2013,Research & development,DG: RDD,BIRMINGHAM AND SOLIHULL MENTAL HEALTH NHS FOUNDATION TRUST,ERS-504253-79487,"£27,356.00",Research for Patient Benefit,B15 2PZ,PUBLIC,,,Programme
Department of Health,Department of Health,26/09/2013,Research & development,DG: RDD,BIRMINGHAM AND SOLIHULL MENTAL HEALTH NHS FOUNDATION TRUST,ERS-504253-79487,"£47,570.67",HTA Commissioned Research,B15 2PZ,PUBLIC,,,Programme
Department of Health,Department of Health,26/09/2013,Research & development,DG: RDD,BIRMINGHAM COMMUNITY HEALTHCARE NHS TRUST,ERS-504254-79559,"£29,432.00",Research for Patient Benefit,B13 8JL,PUBLIC,,,Programme
Department of Health,Department of Health,26/09/2013,Research & development,DG: RDD,BRADFORD DISTRICT CARE TRUST,ERS-504257-79554,"£35,320.00",Research for Patient Benefit,WF3 1WE,PUBLIC,,,Programme
Department of Health,Department of Health,26/09/2013,Research & development,DG: RDD,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,ERS-504258-79403,"£69,500.00",Programme Grants for NHS Trusts,WF3 1WE,PUBLIC,,,Programme
Department of Health,Department of Health,26/09/2013,Research & development,DG: RDD,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,ERS-504258-79403,"£27,276.48",HTA Commissioned Research,WF3 1WE,PUBLIC,,,Programme
Department of Health,Department of Health,26/09/2013,Research & development,DG: RDD,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,ERS-504258-79403,"£17,192.00",Research for Patient Benefit,WF3 1WE,PUBLIC,,,Programme
Department of Health,Department of Health,26/09/2013,Research & development,DG: RDD,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,ERS-504258-79403,"£37,424.43",NIHR Public Health Research ( NETSCC ),WF3 1WE,PUBLIC,,,Programme
Department of Health,Department of Health,26/09/2013,Research & development,DG: RDD,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,ERS-504258-79403,"£204,601.00",Programme Grants for NHS Trusts,WF3 1WE,PUBLIC,,,Programme
Department of Health,Department of Health,27/09/2013,Research & development,DG: RDD,BRIGHTON & SUSSEX UNIVERSITY HOSPITALS NHS TRUST,ERS-504281-79482,"£109,919.00",Programme Grants for NHS Trusts,BN2 3EW,PUBLIC,,,Programme
Department of Health,Department of Health,27/09/2013,Research & development,DG: RDD,BRIGHTON & SUSSEX UNIVERSITY HOSPITALS NHS TRUST,ERS-504281-79482,"£14,607.00",Research for Patient Benefit,BN2 3EW,PUBLIC,,,Programme
Department of Health,Department of Health,27/09/2013,Research & development,DG: RDD,BRIGHTON & SUSSEX UNIVERSITY HOSPITALS NHS TRUST,ERS-504281-79482,"£20,205.00",Research for Patient Benefit,BN2 3EW,PUBLIC,,,Programme
Department of Health,Department of Health,27/09/2013,Research & development,DG: RDD,BRIGHTON & SUSSEX UNIVERSITY HOSPITALS NHS TRUST,ERS-504281-79482,"£8,239.00",Research for Patient Benefit,BN2 3EW,PUBLIC,,,Programme
Department of Health,Department of Health,27/09/2013,Research & development,DG: RDD,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-504284-79422,"£46,974.00",CJD ,CB2 2QQ,PUBLIC,,,Programme
Department of Health,Department of Health,27/09/2013,Research & development,DG: RDD,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-504284-79422,"£77,495.00",Programme Grants for NHS Trusts,CB2 2QQ,PUBLIC,,,Programme
Department of Health,Department of Health,27/09/2013,Research & development,DG: RDD,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-504284-79422,"£21,044.00",Research for Patient Benefit,CB2 2QQ,PUBLIC,,,Programme
Department of Health,Department of Health,27/09/2013,Research & development,DG: RDD,CAMDEN AND ISLINGTON NHS FOUNDATION TRUST,ERS-504287-79556,"£108,860.00",Programme Grants for NHS Trusts,NW1 0PE,PUBLIC,,,Programme
Department of Health,Department of Health,27/09/2013,Research & development,DG: RDD,CAMDEN AND ISLINGTON NHS FOUNDATION TRUST,ERS-504287-79556,"£83,246.00",Programme Grants for NHS Trusts,NW1 0PE,PUBLIC,,,Programme
Department of Health,Department of Health,27/09/2013,Research & development,DG: RDD,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-504292-79466,"£19,257.00",Research for Patient Benefit,M13 0JR,PUBLIC,,,Programme
Department of Health,Department of Health,27/09/2013,Research & development,DG: RDD,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-504292-79466,"£31,812.00",Research for Patient Benefit,M13 0JR,PUBLIC,,,Programme
Department of Health,Department of Health,27/09/2013,Research & development,DG: RDD,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-504292-79466,"£28,125.00",Research for Patient Benefit,M13 0JR,PUBLIC,,,Programme
Department of Health,Department of Health,27/09/2013,Research & development,DG: RDD,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-504292-79466,"£16,664.00",Programme Grants for NHS Trusts,M13 0JR,PUBLIC,,,Programme
Department of Health,Department of Health,27/09/2013,Research & development,DG: RDD,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-504292-79466,"£45,815.94",HTA Commissioned Research,M13 0JR,PUBLIC,,,Programme
Department of Health,Department of Health,27/09/2013,Research & development,DG: RDD,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-504292-79466,"£43,737.70",HTA Researcher Lead,M13 0JR,PUBLIC,,,Programme
Department of Health,Department of Health,27/09/2013,Research & development,DG: RDD,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-504292-79466,"£27,116.00",HS & DR,M13 0JR,PUBLIC,,,Programme
Department of Health,Department of Health,27/09/2013,Research & development,DG: RDD,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-504292-79466,"£41,401.02",HS & DR,M13 0JR,PUBLIC,,,Programme
Department of Health,Department of Health,27/09/2013,Research & development,DG: RDD,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-504292-79466,"£3,561.62",HTA Commissioned Research,M13 0JR,PUBLIC,,,Programme
Department of Health,Department of Health,27/09/2013,Research & development,DG: RDD,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-504292-79466,"£66,976.00",HTA Researcher Lead,M13 0JR,PUBLIC,,,Programme
Department of Health,Department of Health,27/09/2013,Research & development,DG: RDD,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-504292-79466,"£20,365.00",Research for Patient Benefit,M13 0JR,PUBLIC,,,Programme
Department of Health,Department of Health,27/09/2013,Research & development,DG: RDD,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-504292-79466,"£9,353.00",Research for Patient Benefit,M13 0JR,PUBLIC,,,Programme
Department of Health,Department of Health,27/09/2013,Research & development,DG: RDD,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-504292-79466,"£9,877.69",CJD ,M13 0JR,PUBLIC,,,Programme
Department of Health,Department of Health,27/09/2013,Research & development,DG: RDD,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,ERS-504293-79448,"£57,758.00",Programme Grants for NHS Trusts,SW10 9NH,PUBLIC,,,Programme
Department of Health,Department of Health,27/09/2013,Research & development,DG: RDD,COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST,ERS-504295-79414,"£20,000.00",Research Capability Funding,CO4 5JL,PUBLIC,,,Programme
Department of Health,Department of Health,27/09/2013,Research & development,DG: RDD,COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST,ERS-504295-79414,"£13,307.00",Research for Patient Benefit,CO4 5JL,PUBLIC,,,Programme
Department of Health,Department of Health,27/09/2013,Research & development,DG: RDD,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,ERS-504296-79486,"£18,636.00",Research for Patient Benefit,DH1 5RD,PUBLIC,,,Programme
Department of Health,Department of Health,27/09/2013,Research & development,DG: RDD,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,ERS-504296-79486,"£8,153.00",Research for Patient Benefit,DH1 5RD,PUBLIC,,,Programme
Department of Health,Department of Health,27/09/2013,Research & development,DG: RDD,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,ERS-504296-79486,"£7,234.00",Research for Patient Benefit,DH1 5RD,PUBLIC,,,Programme
Department of Health,Department of Health,27/09/2013,Research & development,DG: RDD,COVENTRY & WARWICKSHIRE PARTNERSHIP NHS TRUST,ERS-504297-79490,"£20,364.00",Research for Patient Benefit,CV6 6NY,PUBLIC,,,Programme
Department of Health,Department of Health,27/09/2013,Research & development,DG: RDD,COVENTRY & WARWICKSHIRE PARTNERSHIP NHS TRUST,ERS-504297-79490,"£52,203.18",HTA Commissioned Research,CV6 6NY,PUBLIC,,,Programme
Department of Health,Department of Health,27/09/2013,Research & development,DG: RDD,DEVON PARTNERSHIP NHS TRUST,ERS-504300-79475,"£78,424.00",Programme Grants for NHS Trusts,EX2 5DW,PUBLIC,,,Programme
Department of Health,Department of Health,27/09/2013,Research & development,DG: RDD,EAST & NORTH HERTFORDSHIRE NHS TRUST,ERS-504304-79472,"£18,537.00",Research for Patient Benefit,BS1 2NP,PUBLIC,,,Programme
Department of Health,Department of Health,27/09/2013,Research & development,DG: RDD,EAST & NORTH HERTFORDSHIRE NHS TRUST,ERS-504304-79472,"£37,398.00",Research for Patient Benefit,BS1 2NP,PUBLIC,,,Programme
Department of Health,Department of Health,27/09/2013,Research & development,DG: RDD,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,ERS-504306-79464,"£17,992.00",Research for Patient Benefit,CT1 3NG,PUBLIC,,,Programme
Department of Health,Department of Health,27/09/2013,Research & development,DG: RDD,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,ERS-504306-79464,"£54,667.68",HTA Researcher Lead,CT1 3NG,PUBLIC,,,Programme
Department of Health,Department of Health,27/09/2013,Research & development,DG: RDD,EAST LONDON NHS FOUNDATION TRUST,ERS-504308-79474,"£48,612.00",Programme Grants for NHS Trusts,E1 1RD,PUBLIC,,,Programme
Department of Health,Department of Health,27/09/2013,Research & development,DG: RDD,EAST LONDON NHS FOUNDATION TRUST,ERS-504308-79474,"£57,907.00",Programme Grants for NHS Trusts,E1 1RD,PUBLIC,,,Programme
Department of Health,Department of Health,27/09/2013,Research & development,DG: RDD,GATESHEAD HEALTH NHS FOUNDATION TRUST,ERS-504313-79450,"£25,948.00",Research for Patient Benefit,NE8 4YL,PUBLIC,,,Programme
Department of Health,Department of Health,27/09/2013,Research & development,DG: RDD,GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS FOUNDATION TRUST,ERS-504316-79445,"£99,121.00",Programme Grants for NHS Trusts,WC1N 3JH,PUBLIC,,,Programme
Department of Health,Department of Health,27/09/2013,Research & development,DG: RDD,GREATER MANCHESTER WEST MENTAL HEALTH NHS FOUNDATION TRUST,ERS-504317-79488,"£20,262.00",Research for Patient Benefit,M25 3BL,PUBLIC,,,Programme
Department of Health,Department of Health,27/09/2013,Research & development,DG: RDD,GREATER MANCHESTER WEST MENTAL HEALTH NHS FOUNDATION TRUST,ERS-504317-79488,"£107,872.00",HTA Commissioned Research,M25 3BL,PUBLIC,,,Programme
Department of Health,Department of Health,27/09/2013,Research & development,DG: RDD,GUYS AND ST THOMAS NHS FOUNDATION TRUST,ERS-504319-79427,"£16,666.00",Programme Grants for NHS Trusts,SE1 9RT,PUBLIC,,,Programme
Department of Health,Department of Health,27/09/2013,Research & development,DG: RDD,GUYS AND ST THOMAS NHS FOUNDATION TRUST,ERS-504319-79427,"£79,351.65",HTA Commissioned Research,SE1 9RT,PUBLIC,,,Programme
Department of Health,Department of Health,27/09/2013,Research & development,DG: RDD,GUYS AND ST THOMAS NHS FOUNDATION TRUST,ERS-504319-79427,"£22,036.00",Research for Patient Benefit,SE1 9RT,PUBLIC,,,Programme
Department of Health,Department of Health,27/09/2013,Research & development,DG: RDD,GUYS AND ST THOMAS NHS FOUNDATION TRUST,ERS-504319-79427,"£31,973.00",Research for Patient Benefit,SE1 9RT,PUBLIC,,,Programme
Department of Health,Department of Health,27/09/2013,Research & development,DG: RDD,GUYS AND ST THOMAS NHS FOUNDATION TRUST,ERS-504319-79427,"£16,828.00",Research for Patient Benefit,SE1 9RT,PUBLIC,,,Programme
Department of Health,Department of Health,27/09/2013,Research & development,DG: RDD,GUYS AND ST THOMAS NHS FOUNDATION TRUST,ERS-504319-79427,"£49,865.00",Programme Grants for NHS Trusts,SE1 9RT,PUBLIC,,,Programme
Department of Health,Department of Health,27/09/2013,Research & development,DG: RDD,GUYS AND ST THOMAS NHS FOUNDATION TRUST,ERS-504319-79427,"£89,978.00",Programme Grants for NHS Trusts,SE1 9RT,PUBLIC,,,Programme
Department of Health,Department of Health,27/09/2013,Research & development,DG: RDD,HEART OF ENGLAND NHS FOUNDATION TRUST,ERS-504322-79449,"£27,411.00",Research for Patient Benefit,B9 5TA,PUBLIC,,,Programme
Department of Health,Department of Health,27/09/2013,Research & development,DG: RDD,HEART OF ENGLAND NHS FOUNDATION TRUST,ERS-504322-79449,"£71,930.34",HTA Commissioned Research,B9 5TA,PUBLIC,,,Programme
Department of Health,Department of Health,27/09/2013,Research & development,DG: RDD,HEART OF ENGLAND NHS FOUNDATION TRUST,ERS-504322-79449,"£36,406.08",HS & DR,B9 5TA,PUBLIC,,,Programme
Department of Health,Department of Health,27/09/2013,Research & development,DG: RDD,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,ERS-504325-79467,"£110,607.00",Programme Grants for NHS Trusts,HU16 5JQ,PUBLIC,,,Programme
Department of Health,Department of Health,27/09/2013,Research & development,DG: RDD,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,ERS-504329-79491,"£10,996.00",Programme Grants for NHS Trusts,W12 0HS,PUBLIC,,,Programme
Department of Health,Department of Health,27/09/2013,Research & development,DG: RDD,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,ERS-504329-79491,"£16,904.00",Research for Patient Benefit,W12 0HS,PUBLIC,,,Programme
Department of Health,Department of Health,27/09/2013,Research & development,DG: RDD,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,ERS-504341-79430,"£88,604.00",Programme Grants for NHS Trusts,SE5 9RS,PUBLIC,,,Programme
Department of Health,Department of Health,27/09/2013,Research & development,DG: RDD,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,ERS-504341-79430,"£23,327.00",Research for Patient Benefit,SE5 9RS,PUBLIC,,,Programme
Department of Health,Department of Health,27/09/2013,Research & development,DG: RDD,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,ERS-504341-79430,"£38,056.00",RISC,SE5 9RS,PUBLIC,,,Programme
Department of Health,Department of Health,27/09/2013,Research & development,DG: RDD,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,ERS-504341-79430,"£9,042.00",Research for Patient Benefit,SE5 9RS,PUBLIC,,,Programme
Department of Health,Department of Health,27/09/2013,Research & development,DG: RDD,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,ERS-504343-79485,"£25,377.00",Research for Patient Benefit,PR7 1GZ,PUBLIC,,,Programme
Department of Health,Department of Health,27/09/2013,Research & development,DG: RDD,LEEDS AND YORK PARTNERSHIP NHS FOUNDATION TRUST,ERS-504345-79419,"£6,161.00",Research for Patient Benefit,WF3 1WE,PUBLIC,,,Programme
Department of Health,Department of Health,27/09/2013,Research & development,DG: RDD,LEEDS AND YORK PARTNERSHIP NHS FOUNDATION TRUST,ERS-504345-79419,"£37,906.00",HTA Commissioned Research,WF3 1WE,PUBLIC,,,Programme
Department of Health,Department of Health,27/09/2013,Research & development,DG: RDD,LEEDS AND YORK PARTNERSHIP NHS FOUNDATION TRUST,ERS-504345-79419,"£10,566.64",HS & DR,WF3 1WE,PUBLIC,,,Programme
Department of Health,Department of Health,27/09/2013,Research & development,DG: RDD,LEEDS AND YORK PARTNERSHIP NHS FOUNDATION TRUST,ERS-504345-79419,"£23,721.50",Research for Patient Benefit,WF3 1WE,PUBLIC,,,Programme
Department of Health,Department of Health,27/09/2013,Research & development,DG: RDD,LEEDS TEACHING HOSPITAL NHS TRUST,ERS-504346-79451,"£100,933.00",Programme Grants for NHS Trusts,LS9 7TF,PUBLIC,,,Programme
Department of Health,Department of Health,27/09/2013,Research & development,DG: RDD,LEEDS TEACHING HOSPITAL NHS TRUST,ERS-504346-79451,"£44,067.00",HS & DR,LS9 7TF,PUBLIC,,,Programme
Department of Health,Department of Health,27/09/2013,Research & development,DG: RDD,LEEDS TEACHING HOSPITAL NHS TRUST,ERS-504346-79451,"£113,072.00",Programme Grants for NHS Trusts,LS9 7TF,PUBLIC,,,Programme
Department of Health,Department of Health,27/09/2013,Research & development,DG: RDD,LEEDS TEACHING HOSPITAL NHS TRUST,ERS-504346-79451,"£14,832.00",Research for Patient Benefit,LS9 7TF,PUBLIC,,,Programme
Department of Health,Department of Health,27/09/2013,Research & development,DG: RDD,LEEDS TEACHING HOSPITAL NHS TRUST,ERS-504346-79451,"£19,554.00",Research for Patient Benefit,LS9 7TF,PUBLIC,,,Programme
Department of Health,Department of Health,27/09/2013,Research & development,DG: RDD,LEEDS TEACHING HOSPITAL NHS TRUST,ERS-504346-79451,"£91,815.00",Programme Grants for NHS Trusts,LS9 7TF,PUBLIC,,,Programme
Department of Health,Department of Health,27/09/2013,Research & development,DG: RDD,MANCHESTER MENTAL HEALTH & SOCIAL CARE TRUST,ERS-504366-79555,"£18,748.00",Research for Patient Benefit,M21 9UN,PUBLIC,,,Programme
Department of Health,Department of Health,27/09/2013,Research & development,DG: RDD,MANCHESTER MENTAL HEALTH & SOCIAL CARE TRUST,ERS-504366-79555,"£18,734.00",Research for Patient Benefit,M21 9UN,PUBLIC,,,Programme
Department of Health,Department of Health,27/09/2013,Research & development,DG: RDD,MANCHESTER MENTAL HEALTH & SOCIAL CARE TRUST,ERS-504366-79555,"£26,398.02",HS & DR,M21 9UN,PUBLIC,,,Programme
Department of Health,Department of Health,27/09/2013,Research & development,DG: RDD,MEDICINES AND HEALTHCARE PRODUCTS REGULATORY AGENCY (MHRA),ERS-504370-79493,"£55,684.00",CJD ,SW1W 9SZ,PUBLIC,,,Programme
Department of Health,Department of Health,27/09/2013,Research & development,DG: RDD,NHS BLOOD AND TRANSPLANT (NHSBT),ERS-504382-79553,"£15,069.00",CJD ,LS15 7TW,PUBLIC,,,Programme
Department of Health,Department of Health,27/09/2013,Research & development,DG: RDD,NHS BLOOD AND TRANSPLANT (NHSBT),ERS-504382-79553,"£185,431.00",Programme Grants for NHS Trusts,LS15 7TW,PUBLIC,,,Programme
Department of Health,Department of Health,27/09/2013,Research & development,DG: RDD,NHS Bradford Districts CCG,ERS-504383-79573,"£37,163.00",Research for Patient Benefit,WF3 1WE,PUBLIC,,,Programme
