Department family,Entity,Payment Date,Expense type,Expense area,Supplier,Transaction number,Amount
Export Credits Guarantee Department,Export Credits Guarantee Department,10/04/2010,Rates,Human Resources / Facilities ,London Borough of Tower Hamlets,58085,"83,380.91"
Export Credits Guarantee Department,Export Credits Guarantee Department,17/04/2010,Online costs,Credit Risk Group,IHS Global Insight,58248,"27,917.00"
Export Credits Guarantee Department,Export Credits Guarantee Department,24/04/2010,Agency Staff,Human Resources / Facilities ,Deloitte & Touche,58289,"24,150.00"
Export Credits Guarantee Department,Export Credits Guarantee Department,27/04/2010,GEFCO2 FEES,FREF,Guaranteed Export Finance Corp Ltd,1122,"59,120.31"
