Spend over £25000 - Publication template,,,,,,,
,,,,,,,
Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount
Department for Education,National College for School Leadership,27/05/2011,ICT Running Costs,Corporate Services,BT Global Services Solutions,110031,65665
Department for Education,National College for School Leadership,27/05/2011,Irrecoverable Input VAT,Corporate Services,BT Global Services Solutions,110031,16933
Department for Education,National College for School Leadership,27/05/2011,Irrecoverable Input VAT,E-Learning,BT Global Services Solutions,110031,11287
Department for Education,National College for School Leadership,27/05/2011,Outsourcing,Corporate Services,BT Global Services Solutions,110031,19000
Department for Education,National College for School Leadership,27/05/2011,Outsourcing,E-Learning,BT Global Services Solutions,110031,56435
Department for Education,National College for School Leadership,20/05/2011,ICT Running Costs,Corporate Services,BT Global Services Solutions,110113,84907.57
Department for Education,National College for School Leadership,20/05/2011,ICT Running Costs,E-Learning,BT Global Services Solutions,110113,50769.06
Department for Education,National College for School Leadership,20/05/2011,Irrecoverable Input VAT,Corporate Services,BT Global Services Solutions,110113,16981.51
Department for Education,National College for School Leadership,20/05/2011,Irrecoverable Input VAT,E-Learning,BT Global Services Solutions,110113,10153.81
Department for Education,National College for School Leadership,03/05/2011,Building Running Costs,Corporate Services,Department for Education,109589,38862
Department for Education,National College for School Leadership,06/05/2011,Operational Associates,Leadership Development,EMLC,109870,814.36
Department for Education,National College for School Leadership,06/05/2011,Programme Costs,Leadership Development,EMLC,109870,56837.76
Department for Education,National College for School Leadership,27/05/2011,Programme Costs,Leadership Development,EMLC,110211,116886
Department for Education,National College for School Leadership,06/05/2011,Programme Costs,Leadership Development,Future Leaders Ltd,109885,86600
Department for Education,National College for School Leadership,06/05/2011,Programme Costs,Leadership Development,Future Leaders Ltd,109886,268300
Department for Education,National College for School Leadership,27/05/2011,Irrecoverable Input VAT,E-Learning,Central Office of Information (COI),109738,58790.4
Department for Education,National College for School Leadership,27/05/2011,Outsourcing,E-Learning,Central Office of Information (COI),109738,293952
Department for Education,National College for School Leadership,10/05/2011,Irrecoverable Input VAT,School to School support,Granada Learning Limited,109348,7274.04
Department for Education,National College for School Leadership,10/05/2011,Programme Costs,School to School support,Granada Learning Limited,109348,37365.96
Department for Education,National College for School Leadership,10/05/2011,Irrecoverable Input VAT,School to School support,Granada Learning Limited,109747,-4080
Department for Education,National College for School Leadership,10/05/2011,Programme Costs,School to School support,Granada Learning Limited,109747,-20400
Department for Education,National College for School Leadership,18/05/2011,Programme Costs,Leadership Development,HTI Leadership Centre Ltd,110060,63200
Department for Education,National College for School Leadership,27/05/2011,Programme Costs,Leadership Development,HTI Leadership Centre Ltd,110186,155350
Department for Education,National College for School Leadership,05/05/2011,Programme Costs,Leadership Development,Institute Of Education,109846,26597.36
Department for Education,National College for School Leadership,18/05/2011,Irrecoverable Input VAT,Leadership Development,Lightbox Education,110073,16497.8
Department for Education,National College for School Leadership,18/05/2011,Outsourcing,Leadership Development,Lightbox Education,110073,82489
Department for Education,National College for School Leadership,06/05/2011,Programme Costs,Leadership Development,Manchester Uni,109875,27509.6
Department for Education,National College for School Leadership,27/05/2011,Programme Costs,Leadership Development,Manchester Uni,110201,52800
Department for Education,National College for School Leadership,11/05/2011,Irrecoverable Input VAT,Leadership Development,Nord Anglia Education Ltd,109874,26617.4
Department for Education,National College for School Leadership,11/05/2011,Programme Costs,Leadership Development,Nord Anglia Education Ltd,109874,133087
Department for Education,National College for School Leadership,12/05/2011,"Communications, telephone running costs",Corporate Services,OGC Buying Solutions,109878,40373.35
Department for Education,National College for School Leadership,12/05/2011,Irrecoverable Input VAT,Corporate Services,OGC Buying Solutions,109878,8074.67
Department for Education,National College for School Leadership,12/05/2011,Irrecoverable Input VAT,Leadership Development,Serco Learning Solutions,109992,5279.56
Department for Education,National College for School Leadership,12/05/2011,Programme Costs,Leadership Development,Serco Learning Solutions,109992,26397.8
Department for Education,National College for School Leadership,13/05/2011,Irrecoverable Input VAT,Leadership Development,Serco Learning Solutions,110028,-408.62
Department for Education,National College for School Leadership,13/05/2011,Programme Costs,Leadership Development,Serco Learning Solutions,110028,-2043.08
Department for Education,National College for School Leadership,13/05/2011,Irrecoverable Input VAT,Leadership Development,Serco Learning Solutions,110029,-64.58
Department for Education,National College for School Leadership,13/05/2011,Programme Costs,Leadership Development,Serco Learning Solutions,110029,-369
Department for Education,National College for School Leadership,16/05/2011,Irrecoverable Input VAT,Leadership Development,Serco Learning Solutions,110047,6505.97
Department for Education,National College for School Leadership,16/05/2011,Programme Costs,Leadership Development,Serco Learning Solutions,110047,32529.84
Department for Education,National College for School Leadership,18/05/2011,Irrecoverable Input VAT,Corporate Services,Sodexo Ltd,110022,36336.45
Department for Education,National College for School Leadership,18/05/2011,FM Support Services,Corporate Services,Sodexo Ltd,110022,181682.81
