Department family,Entity,Date,Expense Type,Expense area,Supplier,Transation number,Amount,Original Narrative
Department for Culture Media and Sport,Department for Culture Media and Sport,16/01/2014,Fixtures+Fittings Capital Addn,Estates & Property Services,HM Revenue & Customs,30033617,"257,379.10",DCMS RESTACK - EXCHEQUER PART COSTS
Department for Culture Media and Sport,Department for Culture Media and Sport,17/01/2014,Grant to BBC:Home Broadcasting,Home Broadcasting:Grant to BBC,British Broadcasting Corporation,50000942,"35,278,750.00",BBC GIA JANUARY 2014 PT4
Department for Culture Media and Sport,Department for Culture Media and Sport,20/01/2014,Management Consultants,Broadband Delivery UK (Admin),KPMG LLP,30033702,"76,591.33",BDUK SUPPORT FEES DECEMBER 2013
Department for Culture Media and Sport,Department for Culture Media and Sport,20/01/2014,VAT-Recoverable Contracted-Out,Misc Balance Sheet,KPMG LLP,30033702,"15,318.27",BDUK SUPPORT FEES DECEMBER 2013
Department for Culture Media and Sport,Department for Culture Media and Sport,21/01/2014,Capital Grant Private Sector,Broadband UK Capital+Programme,Arqiva Limited,30033716,"116,351.00",MIP PERFORMANCE DEC 2013
Department for Culture Media and Sport,Department for Culture Media and Sport,21/01/2014,Capital Grants to LAs,Broadband UK Capital+Programme,East Sussex County Council,30033725,"172,769.00",BDUK RURAL-ESUS/C1/M1/JAN QTR 4 13/14
Department for Culture Media and Sport,Department for Culture Media and Sport,21/01/2014,Capital Grants to LAs,Broadband UK Capital+Programme,West Sussex County Council,30033726,"55,115.00",BDUK RURAL-WSUS/C1/M1/SEP Q4 13/14
Department for Culture Media and Sport,Department for Culture Media and Sport,21/01/2014,Capital Grants to LAs,Broadband UK Capital+Programme,Suffolk County Council,30033727,"1,604,160.00",BDUK RURAL-SUFF/C1/M1/SEP Q3 13/14
Department for Culture Media and Sport,Department for Culture Media and Sport,22/01/2014,Research,EAU Taking Part Survey,TNS UK LTD,30033731,"111,879.00",Y9 INVOICE 9 DEC 2013 FIELDWORK
Department for Culture Media and Sport,Department for Culture Media and Sport,22/01/2014,VAT-Recoverable Contracted-Out,Misc Balance Sheet,TNS UK LTD,30033731,"22,375.80",Y9 INVOICE 9 DEC 2013 FIELDWORK
Department for Culture Media and Sport,Department for Culture Media and Sport,22/01/2014,Equalities Helpline Service,GEO Equality Support Helpline,Sitel (UK) Ltd,30033732,"155,498.40",DCMS SERVICES DEC 2013
Department for Culture Media and Sport,Department for Culture Media and Sport,22/01/2014,VAT-Recoverable Contracted-Out,Misc Balance Sheet,Sitel (UK) Ltd,30033732,"31,099.68",DCMS SERVICES DEC 2013
Department for Culture Media and Sport,Department for Culture Media and Sport,22/01/2014,Temp staff Interim managers,Broadband Delivery UK (Admin),Capita Resourcing Ltd,30033765,"27,075.73",PAYMENT FOR INTERIM MANAGER
Department for Culture Media and Sport,Department for Culture Media and Sport,22/01/2014,VAT-Recoverable Contracted-Out,Misc Balance Sheet,Ubiqus,30033766,"6,994.25",PUBLIC ADDRESS SYSTEM-REMMB DAY/AJEX
Department for Culture Media and Sport,Department for Culture Media and Sport,22/01/2014,Ceremonial Event Costs,State Ceremonials Prog Costs,Ubiqus,30033766,"34,971.26",PUBLIC ADDRESS SYSTEM-REMMB DAY/AJEX
Department for Culture Media and Sport,Department for Culture Media and Sport,23/01/2014,IT Capital Additions,Information Services,Level 3 Communications LTD,30033625,"99,044.07",VOICE PS PM/TECH DES AUTH/3RD PARTY/MISC
Department for Culture Media and Sport,Department for Culture Media and Sport,23/01/2014,IT Capital Additions,Estates & Property Services,Atos IT Services UK Limited,30033704,576.41,DCMS NEW SERVICE DEC 2013
Department for Culture Media and Sport,Department for Culture Media and Sport,23/01/2014,IT Capital Additions,Information Services,Atos IT Services UK Limited,30033704,"60,019.78",DCMS NEW SERVICE DEC 2013
Department for Culture Media and Sport,Department for Culture Media and Sport,23/01/2014,VAT-Recoverable Contracted-Out,Misc Balance Sheet,Atos IT Services UK Limited,30033704,"4,200.73",DCMS NEW SERVICE DEC 2013
Department for Culture Media and Sport,Department for Culture Media and Sport,23/01/2014,Capital Grants to LAs,Broadband UK Capital+Programme,Norfolk County Council,30033780,"2,403,254.00",NDUK RURAL-NORF/C2/M1 001/DEC
Department for Culture Media and Sport,Department for Culture Media and Sport,23/01/2014,Grant to BBC:Home Broadcasting,Home Broadcasting:Grant to BBC,British Broadcasting Corporation,50000943,"35,278,750.00",BBC GIA JANUARY 2014 PT5
Department for Culture Media and Sport,Department for Culture Media and Sport,27/01/2014,Translations,Info Economy Admin DD1,Foreign & Commonwealth Office,30033729,"38,854.38",EU INTERPRETING SERV JAN-JUN 2013
Department for Culture Media and Sport,Department for Culture Media and Sport,27/01/2014,Current Grants Private Sector,Creative Skillset,Creative Skillset SIF,30033784,"557,968.00",Grant Claim January 2014
Department for Culture Media and Sport,Department for Culture Media and Sport,27/01/2014,Other Capital Grants,Spectrum Clearance Programme,CFOA National Resilience Ltd,30033800,"36,000.00",PHASE 2 CAPITAL
Department for Culture Media and Sport,Department for Culture Media and Sport,28/01/2014,Capital Grant Private Sector,Grant support to NFTS,National Film & Television School,50001010,"230,500.00",NFTS GIA JANUARY 2014
Department for Culture Media and Sport,Department for Culture Media and Sport,30/01/2014,Current Grants to LAs,GOE managed programme costs,Museum of London,30033833,"100,000.00",JANUARY CLAIM
Department for Culture Media and Sport,Department for Culture Media and Sport,30/01/2014,Equalities Helpline Service,GEO Equality Support Helpline,Sitel (UK) Ltd,30033834,"146,104.58",Charges
Department for Culture Media and Sport,Department for Culture Media and Sport,30/01/2014,VAT-Recoverable Contracted-Out,Misc Balance Sheet,Sitel (UK) Ltd,30033834,"29,220.92",Charges
Department for Culture Media and Sport,Department for Culture Media and Sport,30/01/2014,External Legal Costs - Other,Legal Advisers to DCMS (TSOL),Treasury Sols (Client Monies Only ),30033838,"147,000.00",BT Pensions Settlement Balance
Department for Culture Media and Sport,Department for Culture Media and Sport,30/01/2014,Debtors Unident Receipts,Misc Balance Sheet,HM Treasury (15811),30033839,"28,250.00",NLDF CRND fees Q3
