DEPARTMENT,ENTITY,ACCOUNTING_DATE,EXPENSE_TYPE,EXPENSE_AREA,SUPPLIER,TRANSACTION_NUM,AMOUNT,Description of Transaction,POSTCODE,SUPPLIER_TYPE,CONTRACT_NUMBER,PROJECT_CODE,EXPENDITURE_TYPE,VAT_REGISTRATION_NUM
DEFRA,DEFRA ORGANISATION,17/11/2011,Contractor - Management Cover,Green Economy and Corporate Services Group,Alpine Resourcing Ltd,7155,"36,505.19","Rural Payment Agency  Programme Assessment -Assignment of John Yard, October 2011",EC4A 2AB,SME,10075,0,Expense,
DEFRA,DEFRA ORGANISATION,17/11/2011,Business Rates,Green Economy and Corporate Services Group,D T Z,DEFRA110,"459,215.44","Rent, Rates, Service Charges, Gas, Electricity and Utilities charges ",B3 2ED,,,0,Expense,
DEFRA,DEFRA ORGANISATION,17/11/2011,FM Projects Non Capital Works,Green Economy and Corporate Services Group,Interserve (Facilities Mngmnt) Ltd,FI00013072,"3,263,571.06",Facilities services charges 1/10/11-31/10/11,BS34 8YU,,10321X,0,Expense,
DEFRA,DEFRA ORGANISATION,21/11/2011,Business & Technical/Consultancy Assignments,Green Economy and Corporate Services Group,Xancam Consulting Ltd,3169,"25,120.06",Senior Civil Servant talent pool assessments- OCT 2011,OX9 3EH,SME,10127/3,BDLCTLDE,Expense,
DEFRA,DEFRA ORGANISATION,21/11/2011,Publications - Storage & Distribution (C),Green Economy and Corporate Services Group,Iron Mountain (UK) Ltd,X640850X640859,"36,657.54","Department for Environment,Food and Rural Affairs records storage management",EH54 7DF,SME,10120,0,Expense,
DEFRA,DEFRA ORGANISATION,24/11/2011,Business Rates,Green Economy and Corporate Services Group,D T Z,DEFRA111,"2,156,140.39","Rent, Rates, Insurance, Service Charges and Utilities charges ",B3 2ED,,,0,Expense,
DEFRA,DEFRA ORGANISATION,25/11/2011,Evidence Non R&D,Green Economy and Corporate Services Group,A E A Technology - SPM Lead Contract,6145565,"134,780.87",Sustainable Consumption and Production -lead contract for Energy Using Product,OX11 0QJ,,10548,0,Expense,
DEFRA,DEFRA ORGANISATION,29/11/2011,Electricity,Green Economy and Corporate Services Group,E D F Energy,121041111,"154,350.24",Electricity 01/10/11-31/10/11 ,PL3 5XQ,,,B2810000,Expense,
DEFRA,DEFRA ORGANISATION,29/11/2011,IBM Base Services Control,Green Economy and Corporate Services Group,IBM United Kingdom Ltd,5810111939,"6,277,936.76","IT Base line services for November 2011 for Animal Health, Department of Environment Food and Rural Affairs and Natural England",GU1 2LD,SME,FRW10040-00,0,Expense,
DEFRA,DEFRA ORGANISATION,29/11/2011,Removal Expenses (Office Costs),Green Economy and Corporate Services Group,IBM United Kingdom Ltd,5811110614,"27,267.00",Decommission of DefraNet at Bristol Burghill Road and Eastbury House 01/11-30/11/11,GU1 2LD,SME,FRW10040-00,DISPOSAL,Expense,
DEFRA,DEFRA ORGANISATION,30/11/2011,Other recharges,Green Economy and Corporate Services Group,Interserve (Facilities Mngmnt) Ltd,FI00012211,"315,017.71",To refurbish 1st floor Foundary House for Natural England occupation- billing for August 2011,BS34 8YU,,14585,NENGLAND,Asset,
