DEPARTMENT,ENTITY,ACCOUNTING_DATE,EXPENSE_TYPE,EXPENSE_AREA,SUPPLIER,TRANSACTION_NUM,AMOUNT,Description of Transaction,POSTCODE,SUPPLIER_TYPE,CONTRACT_NUMBER,PROJECT_CODE,EXPENDITURE_TYPE,VAT_REGISTRATION_NUM
DEFRA,DEFRA ORGANISATION,11/11/2011,Other Current Payments (Evidence R&D),Food and Farming Group,A D A S UK Ltd,8.11113E+11,"28,205.00",Potential for nitrification inhibitors and fertiliser nitrogen application timing strategies to reduce direct and indirect nitrous oxide emissions from UK agriculture,WV6 8TQ,,exempt,SFFS0005,Expense,
DEFRA,DEFRA ORGANISATION,11/11/2011,Other Current Payments (Evidence R&D),Food and Farming Group,A D A S UK Ltd,8.11113E+11,"29,102.66",Air quality measurements on cracking clay soils,WV6 8TQ,,exempt,SFFS0005,Expense,
DEFRA,DEFRA ORGANISATION,11/11/2011,Other Current Payments (Evidence R&D),Food and Farming Group,A D A S UK Ltd,RIRP056866,"31,662.04","Reducing the impact of Sclerotinia disease on arable rotations, land use and vegetable crops ",WV6 8TQ,,exempt,SFFS0006,Expense,
DEFRA,DEFRA ORGANISATION,15/11/2011,Other Current Payments (Evidence R&D),Food and Farming Group,A D A S UK Ltd,RIRP057064,"79,498.33",Minimising nitrous oxide intensities of arable crop products (MIN NO),WV6 8TQ,,exempt,SFFS0005,Expense,
DEFRA,DEFRA ORGANISATION,21/11/2011,Other Current Payments (Evidence R&D),Food and Farming Group,Elm Farm Research Centre,1351,"51,511.86",Using legume-based mixtures to enhance the nitrogen use efficiency and economic viability of cropping systems,RG20 0HR,SME,,SFFS0006,Expense,
DEFRA,DEFRA ORGANISATION,21/11/2011,Other Current Payments (Evidence R&D),Food and Farming Group,A D A S UK Ltd,RIRP057093,"25,235.00",Improving the Sustainability of Phosphorus in Arable Farm,WV6 8TQ,,Exempt,SFFS0006,Expense,
DEFRA,DEFRA ORGANISATION,23/11/2011,Other Current Payments (Evidence R&D),Food and Farming Group,Elm Farm Research Centre,1350,"35,877.05","Adaptive winter wheat populations: development, genetic characterisation and application",RG20 0HR,SME,,0,Expense,
DEFRA,DEFRA ORGANISATION,23/11/2011,Payments to Agencies GB,Food and Farming Group,D L O Holding/Prionics AG,30001,"176,061.89",Foreign payment Purchase of Turbeculin,8952,SME,,0,Expense,
DEFRA,DEFRA ORGANISATION,23/11/2011,Other Current Payments (Evidence R&D),Food and Farming Group,Westpoint Veterinary Group Ltd.,171111,"33,275.16",Animal Health and Welfare R&D Project’ ,RH12 3SH,SME,exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,29/11/2011,Other Current Payments (Evidence R&D),Food and Farming Group,East Malling Ltd,10597,"32,594.00",Animal Health and Welfare R&D Project’ ,ME19 6BJ,SME,,0,Expense,
DEFRA,DEFRA ORGANISATION,02/11/2011,Transition & Transformation,Green Economy and Corporate Services Group,IBM United Kingdom Ltd,5810110828,"41,147.46",Security and Proactive Monitoring,GU1 2LD,SME,FRW10040-00,CTTPS009,Expense,
DEFRA,DEFRA ORGANISATION,03/11/2011,Business Rates,Green Economy and Corporate Services Group,D T Z,DEFRA108,"516,619.78","Rent, Rates, Insurance, Service Charges, Dilapidations and Water charges ",B3 2ED,,,0,Expense,
DEFRA,DEFRA ORGANISATION,07/11/2011,Estates Professional Fees & Services,Green Economy and Corporate Services Group,D T Z,176796,"36,047.92",Asset Management Fees - OCT 2011,EH3 9QG,,X,DTZ00000,Expense,
DEFRA,DEFRA ORGANISATION,09/11/2011,Contractor - Management Cover,Green Economy and Corporate Services Group,Alpine Resourcing Ltd,7137,"33,284.15","Rural Payment Agency  Programme Assessment -Assignment of John Yard, September 2011",EC4A 2AB,SME,10075,0,Expense,
DEFRA,DEFRA ORGANISATION,09/11/2011,IT Software,Green Economy and Corporate Services Group,BravoSolution UK Ltd,BUK10V0003642,"74,127.22",Procurement Software- e Tendering and eVendor Management Licences for Year 2 of 3,EC2M 7AD,SME,11141,0,Expense,
DEFRA,DEFRA ORGANISATION,11/11/2011,Business Rates,Green Economy and Corporate Services Group,D T Z,11111,"45,144.74","Rent, Service Charges and Rates charges",B3 2ED,,,0,Expense,
DEFRA,DEFRA ORGANISATION,11/11/2011,Training - Learning & Development,Green Economy and Corporate Services Group,The Copyright Licensing Agency Ltd,445443,"64,831.11",Copyright licence for Defra and selected agencies 1/4-31/8/11,EC1N 8TS,SME,15307,0,Expense,
DEFRA,DEFRA ORGANISATION,11/11/2011,Training - Learning & Development,Green Economy and Corporate Services Group,The Copyright Licensing Agency Ltd,445444,"77,797.32",Copyright licence for Defra and selected agencies 1/9/11-31/8/12,EC1N 8TS,SME,15307,0,Expense,
DEFRA,DEFRA ORGANISATION,11/11/2011,Other Current Payments (Evidence R&D),Green Economy and Corporate Services Group,A E A Technology - SPM Lead Contract,6145333,"26,850.00",Review of evidence on the use of reward and recognition schemes in enhancing recycling and waste prevention behaviour,OX11 0QJ,,Exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,11/11/2011,Laundry,Green Economy and Corporate Services Group,Interserve (Facilities Mngmnt) Ltd,FI00013169,"91,536.81",Facilities services: pass through billing-October 2011 COSTS,BS34 8YU,,15349,0,Expense,
DEFRA,DEFRA ORGANISATION,15/11/2011,Other Current Payments E,Green Economy and Corporate Services Group,SKM Enviros,JW02103,"34,915.36",Server hosting for WasteDataFlow 2011-2013 ,CB3 6DP,,13908,0,Expense,
