Department,Entity,Date,Expense Type,Expense Area,Supplier,Post Code,Transaction Number,Payment Description,Total
Ministry of Defence,Ministry of Defence,12/12/2013,Payment of utilities,Air Command,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,2E+11,Utilities consumed - electricity, 639.05 
Ministry of Defence,Ministry of Defence,10/12/2013,Fuel for military use,Head Office & Corporate Services,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,2E+11,Oil and lubricants consumed excluding those from the inventory system, 632.90 
Ministry of Defence,Ministry of Defence,02/12/2013,Purchase of inventory and services ,Land Forces,AAH PHARMACEUTICALS LTD,CV2 2TX,280419,Consumption of medical dental and veterinary inventory, 632.13 
Ministry of Defence,Ministry of Defence,17/12/2013,Building maintenance and accommodation stores,Land Forces,GODFREY-SYRETT LTD,NE12 6DY,287003,Building maintenance accommodation inventory, 630.00 
Ministry of Defence,Ministry of Defence,16/12/2013,IT and communication services,Navy Command,CANON (UK) LIMITED,RH2 8BF,286202,Computer equipment costing below the capitalisation threshold, 622.87 
Ministry of Defence,Ministry of Defence,12/12/2013,Spend on Inventory - General,Defence Equipment & Support,TURNER VIRR & CO. LTD,LS25 2DY,285356,Spend on Inventory - General, 622.85 
Ministry of Defence,Ministry of Defence,04/12/2013,Estate management,Defence Infrastructure Organisation ,LANDMARC SUPPORT SERVICES LIMITED,SP3 4RS,281617,Works - estate management, 621.09 
Ministry of Defence,Ministry of Defence,06/12/2013,Purchase of inventory and services ,Navy Command,BOC LIMITED,M28 2UT,282553,Consumption of engineering and technical inventory, 618.92 
Ministry of Defence,Ministry of Defence,19/12/2013,Food and clothing,Defence Equipment & Support,SODEXO LTD,M50 0AL,288389,Cost of food services, 618.14 
Ministry of Defence,Ministry of Defence,02/12/2013,IT and communication services,Defence Equipment & Support,CANON (UK) LIMITED,RH2 8BF,280504,Computer equipment costing below the capitalisation threshold, 615.91 
Ministry of Defence,Ministry of Defence,17/12/2013,Transport hire charges,Land Forces,RYDER PUBLIC LIMITED COMPANY,SK16 4UL,287189,Transport other hire charge, 615.61 
Ministry of Defence,Ministry of Defence,02/12/2013,"Transportation of personnel, freight and travel expenses",Head Office & Corporate Services,RAIL SETTLEMENT PLAN LIMITED,SG1 2YN,280854,Civilian short term detached duty, 615.50 
Ministry of Defence,Ministry of Defence,02/12/2013,"Transportation of personnel, freight and travel expenses",Air Command,TAL INTERNATIONAL CONTAINER CORPORATION,RM13 8EU,280930,Freight movement costs, 613.80 
Ministry of Defence,Ministry of Defence,09/12/2013,Estate management,Defence Infrastructure Organisation ,DEBUT SERVICES (SOUTH WEST)LIMITED,BA1 5AB,283141,Estate core services charge, 612.45 
Ministry of Defence,Ministry of Defence,18/12/2013,Spend on Inventory - General,Defence Infrastructure Organisation ,ARNOLD LAVER & COMPANY LIMITED,S2 4RJ,287321,Spend on Inventory - General, 609.60 
Ministry of Defence,Ministry of Defence,27/12/2013,"Transportation of personnel, freight and travel expenses",Head Office & Corporate Services,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,2E+11,Movement of service personnel, 608.04 
