Department Family,Entity,Transaction Date,Expense Type,Expense Area,Supplier Name,Transaction Number, Amount 
DFID,DFID,02/11/2010,Technical & Advisory services,West and Southern Africa,THE CROWN AGENTS,400126557,836.95
DFID,DFID,02/11/2010,Emergency / Humanitarian Assistance,"Security & Humanitarian, Middle East, Caribbean & Overseas Territories Division",THE CROWN AGENTS,400126563,811.16
DFID,DFID,02/11/2010,Emergency / Humanitarian Assistance,"Security & Humanitarian, Middle East, Caribbean & Overseas Territories Division",THE CROWN AGENTS,400126563,"156,455.96"
DFID,DFID,02/11/2010,Emergency / Humanitarian Assistance,"Security & Humanitarian, Middle East, Caribbean & Overseas Territories Division",THE CROWN AGENTS,400126566,"25,114.32"
DFID,DFID,02/11/2010,Technical & Advisory services,West and Southern Africa,THE ROYAL INSTITUTE OF INTERNATIONAL AFFAIRS,400126575,"57,512.00"
DFID,DFID,02/11/2010,Technical & Advisory services,West and Southern Africa,Society for Family  Health,400126577,"824,004.55"
DFID,DFID,02/11/2010,Aid to civil society organisations / NGOs,"Security & Humanitarian, Middle East, Caribbean & Overseas Territories Division",CONCILIATION RESOURCES (IWPR),400126578,"237,150.00"
DFID,DFID,02/11/2010,Aid to civil society organisations / NGOs,"Security & Humanitarian, Middle East, Caribbean & Overseas Territories Division",CONCILIATION RESOURCES (IWPR),400126578,"-237,150.00"
DFID,DFID,02/11/2010,Aid to civil society organisations / NGOs,"Security & Humanitarian, Middle East, Caribbean & Overseas Territories Division",CONCILIATION RESOURCES (IWPR),400126578,"277,988.00"
DFID,DFID,02/11/2010,Aid to civil society organisations / NGOs,"Security & Humanitarian, Middle East, Caribbean & Overseas Territories Division",CONCILIATION RESOURCES (IWPR),400126578,"-177,988.00"
DFID,DFID,02/11/2010,Aid to civil society organisations / NGOs,East and Central Africa,EISA,400126579,"511,581.20"
DFID,DFID,02/11/2010,Technical & Advisory services,Asia Division,CARE INTERNATIONAL,400126638,"8,795.62"
DFID,DFID,02/11/2010,Technical & Advisory services,Asia Division,CARE INTERNATIONAL,400126638,"41,125.00"
DFID,DFID,02/11/2010,Technical & Advisory services,Asia Division,CARE INTERNATIONAL,400126638,"107,906.13"
DFID,DFID,03/11/2010,Aid to civil society organisations / NGOs,"Security & Humanitarian, Middle East, Caribbean & Overseas Territories Division",Carnegie Endowment for International Peace,400126640,"62,500.00"
DFID,DFID,02/11/2010,Technical & Advisory services,Asia Division,CARE INTERNATIONAL,400126644,"39,455.68"
DFID,DFID,03/11/2010,Aid to civil society organisations / NGOs,Policy and Research Directorate,International Planned Parent,400126661,"2,150,000.00"
DFID,DFID,03/11/2010,Aid to international organisations,"Security & Humanitarian, Middle East, Caribbean & Overseas Territories Division",ECLAC (ECONOMIC COMMISSION FOR LATIN AMERICA AND THE CARIBBEAN),400126668,"250,000.00"
DFID,DFID,03/11/2010,Aid to international organisations,Policy and Research Directorate,IBRD HSBC T,400126682,"1,000,000.00"
