Spend over £25000 - Publication template,,,,,,,
,,,,,,,
Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount
Department for Education,National College for School Leadership,03/01/2012,Programme Costs,Leadership Development,Manchester Metropolitan Uni,113915,42451.2
Department for Education,National College for School Leadership,23/01/2012,Programme Costs,Leadership Development,Manchester Uni,114174,102400
Department for Education,National College for School Leadership,31/01/2012,Grants Made,School to School support,Meltham Moor Primary School,Collaborative Fund Grant,25000
Department for Education,National College for School Leadership,31/01/2012,Grants Made,School to School support,Milking Bank Primary School,Collaborative Fund Grant,25000
Department for Education,National College for School Leadership,26/01/2012,Irrecoverable Input VAT,Leadership Development,Nord Anglia Education Ltd,114246,31535.8
Department for Education,National College for School Leadership,26/01/2012,Programme Costs,Leadership Development,Nord Anglia Education Ltd,114246,157679
Department for Education,National College for School Leadership,31/01/2012,Grants Made,School to School support,Notre Dame RC High School,Collaborative Fund Grant,30000
Department for Education,National College for School Leadership,31/01/2012,Grants Made,School to School support,Park View Business and Enterprise School,Collaborative Fund Grant,25000
Department for Education,National College for School Leadership,31/01/2012,Grants Made,School to School support,Parkside Community Technology Cge,Collaborative Fund Grant,30000
Department for Education,National College for School Leadership,31/01/2012,Grants Made,School to School support,Perry Hall Primary,Collaborative Fund Grant,25000
Department for Education,National College for School Leadership,31/01/2012,Grants Made,School to School support,Pickhurst Infant School,Collaborative Fund Grant,25000
Department for Education,National College for School Leadership,26/01/2012,Grants Made,School to School support,Portswood Primary Sch,Collaborative Fund Grant,38250
Department for Education,National College for School Leadership,31/01/2012,Grants Made,School to School support,Rowanfield Junior School,Collaborative Fund Grant,25000
Department for Education,National College for School Leadership,03/01/2012,Building Running Costs,Business Services,Ruddington Build Co. Ltd,113931,68000
Department for Education,National College for School Leadership,03/01/2012,Irrecoverable Input VAT,Business Services,Ruddington Build Co. Ltd,113931,13600
Department for Education,National College for School Leadership,31/01/2012,Grants Made,School to School support,Rushey Mead School,Collaborative Fund Grant,25000
Department for Education,National College for School Leadership,31/01/2012,Grants Made,School to School support,Sacred Heart High School,Collaborative Fund Grant,40000
Department for Education,National College for School Leadership,24/01/2012,Grants Made,Leadership Development,School Development Support Agency,Wave 5 Targeted Support Grant,48930
Department for Education,National College for School Leadership,12/01/2012,Programme Costs,Leadership Development,SELT,114077,55100
Department for Education,National College for School Leadership,12/01/2012,Irrecoverable Input VAT,Leadership Development,Serco Learning Solutions,114071,8526.11
Department for Education,National College for School Leadership,12/01/2012,Programme Costs,Leadership Development,Serco Learning Solutions,114071,42630.56
Department for Education,National College for School Leadership,13/01/2012,Irrecoverable Input VAT,Leadership Development,Serco Learning Solutions,114083,4695.08
Department for Education,National College for School Leadership,13/01/2012,Programme Costs,Leadership Development,Serco Learning Solutions,114083,23475.42
Department for Education,National College for School Leadership,13/01/2012,Irrecoverable Input VAT,Leadership Development,Serco Learning Solutions,114084,8347.59
Department for Education,National College for School Leadership,13/01/2012,Programme Costs,Leadership Development,Serco Learning Solutions,114084,41737.91
Department for Education,National College for School Leadership,13/01/2012,Irrecoverable Input VAT,Leadership Development,Serco Learning Solutions,114085,5043.33
Department for Education,National College for School Leadership,13/01/2012,Programme Costs,Leadership Development,Serco Learning Solutions,114085,25216.66
Department for Education,National College for School Leadership,16/01/2012,Irrecoverable Input VAT,Leadership Development,Serco Learning Solutions,114123,13169.73
Department for Education,National College for School Leadership,16/01/2012,Programme Costs,Leadership Development,Serco Learning Solutions,114123,65848.64
Department for Education,National College for School Leadership,16/01/2012,Irrecoverable Input VAT,Leadership Development,Serco Learning Solutions,114124,5975.86
Department for Education,National College for School Leadership,16/01/2012,Programme Costs,Leadership Development,Serco Learning Solutions,114124,29879.3
Department for Education,National College for School Leadership,16/01/2012,Irrecoverable Input VAT,Leadership Development,Serco Learning Solutions,114125,22458.81
Department for Education,National College for School Leadership,16/01/2012,Programme Costs,Leadership Development,Serco Learning Solutions,114125,112294.03
Department for Education,National College for School Leadership,16/01/2012,Irrecoverable Input VAT,Leadership Development,Serco Learning Solutions,114126,11850.3
Department for Education,National College for School Leadership,16/01/2012,Programme Costs,Leadership Development,Serco Learning Solutions,114126,59251.5
Department for Education,National College for School Leadership,31/01/2012,Grants Made,School to School support,Sir Wiliam Burrough Sch,Collaborative Fund Grant,25000
Department for Education,National College for School Leadership,31/01/2012,Grants Made,School to School support,Sneinton St Stephen's C of E Primary School,Collaborative Fund Grant,25000
