Department Family,Entity,Date,Expense Area,Expense Area,Supplier,Transaction Number,Transation Description,Amount
HM Treasury,HM Treasury,23-Jul-12,Financial Management Reporting Grp,Financial Management,KPMG LLP,99976,"AUDIT PROCEDURES, PROPOSED INTERNATIONAL FINANCIAL REPORTING STANDARDS ADJUSTMENTS, AUDIT FOR THE CIVIL LIST AND AGGREGATION OF SOVEREIGN GRANT - 31 MARCH 2011",39000
HM Treasury,HM Treasury,25-Jul-12,Corporate Centre Group,FLEX Services,FUJITSU SERVICES LIMITED,99847,HMT RESTRICTED FLEX SERVICE CHARGES - APRIL 2012,769944.22
HM Treasury,HM Treasury,25-Jul-12,Financial Management Reporting Grp,Project OSCAR (inc DPI),IBM UK,99991,PROJECT OSCAR - IBM STAFF COSTS - OSCAR ASSISTED TRANSITION PERIOD - JUNE 2012,62866.98
HM Treasury,HM Treasury,25-Jul-12,Business & Int Tax Group,Equitable Life,NATIONAL SAVINGS AND INVESTMENTS,100035,OPERATIONAL COSTS FOR THE EQUITABLE LIFE PAYMENT SCHEME APRIL 2012,460253.68
HM Treasury,HM Treasury,25-Jul-12,Business & Int Tax Group,Equitable Life,NATIONAL SAVINGS AND INVESTMENTS,100036,COST FOR THE DEVELOPMENT AND IMPLEMENTATION OF THE PAYMENT SYSTEM FOR THE EQUITABLE LIFE PAYMENT SCHEME - APRIL 2012,613860.37
HM Treasury,HM Treasury,25-Jul-12,Economics Group,Economics,REUTERS LIMITED,99599,THOMSON REUTERS DATA STREAM LICENCE SUBSCRIPTION  - 1 JULY 2012 TO 30 SEPTEMBER 2012,13834.8
HM Treasury,HM Treasury,25-Jul-12,Intl and EU Grp,International & EU,REUTERS LIMITED,99599,THOMSON REUTERS DATA STREAM LICENCE SUBSCRIPTION - 1 JULY 2012 TO 30 SEPTEMBER 2012,13834.8
HM Treasury,HM Treasury,25-Jul-12,Fiscal Group,Fiscal,ROYAL MINT,99936,RECURRING SERVICES - JULY 2012 TO SEPTEMBER 2012,96218.8
HM Treasury,DMO,27-Jul-12,Debt Management Office,Settlements,BANK OF ENGLAND ,100087,BANKING CHARGES APRIL 12,99721.25
HM Treasury,HM Treasury,27-Jul-12,Business & Int Tax Group,Equitable Life,DELOITTE MCS LTD,100011,COST FOR PROFESSIONAL SERVICES FOR THE DESIGN OF THE EQUITABLE LIFE PAYMENTS SCHEME - JUNE 2012,55321.03
HM Treasury,HM Treasury,27-Jul-12,Corporate Centre Group,Estates,EXCHEQUER PARTNERSHIP PLC,100007,"POST, GOODS AND PORTERAGE SERVICES - JULY 2012",34940.95
HM Treasury,HM Treasury,31-Jul-12,Corporate Centre Group,Hmt Suspense,BARCLAYCARD COMMERCIAL ,100046,PURCHASING CARD STATEMENT - MAY 2012,41331
HM Treasury,HM Treasury,31-Jul-12,Corporate Centre Group,Hmt Suspense,BARCLAYCARD COMMERCIAL ,100061,LODGE CARD STATEMENT - JULY 2012,54596.53
HM Treasury,HM Treasury,31-Jul-12,Corporate Centre Group,Hmt Suspense,BARCLAYCARD COMMERCIAL ,100062,PURCHASING CARD STATEMENT JULY - 2012,67027.93
HM Treasury,HM Treasury,31-Jul-12,Business & Int Tax Group,Equitable Life,TOWERS WATSON,100146,ACTURIAL SUPPORT TO HM TREASURY IN RESPECT OF THE EQUITABLE LIFE PAYMENT SCHEME - JUNE 2012 ,162443.67
