Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,VAT registration number
Defra,JNCC,07-May-10,NON-JNCC EVENTS - DELEGATE ATTENDANCE COSTS                     ,Overseas Territories & Crown Dependancies,Barclaycard Business,Barclaycard April 2010,54.3,
Defra,JNCC,07-May-10,RAIL TRAVEL - UK,Marine Management Advice,Barclaycard Business,Barclaycard April 2010,30,
Defra,JNCC,07-May-10,RAIL TRAVEL - UK,Marine Surveillance,Barclaycard Business,Barclaycard April 2010,-34.9,
Defra,JNCC,07-May-10,RAIL TRAVEL - UK,Governance & Corporate Services,Barclaycard Business,Barclaycard April 2010,67.65,
Defra,JNCC,07-May-10,RAIL TRAVEL - UK,Governance & Corporate Services,Barclaycard Business,Barclaycard April 2010,91,
Defra,JNCC,07-May-10,RAIL TRAVEL - UK,Marine Protected Areas,Barclaycard Business,Barclaycard April 2010,22.7,
Defra,JNCC,07-May-10,ACCOMMODATION - UK,Marine Surveillance,Barclaycard Business,Barclaycard April 2010,148,
Defra,JNCC,07-May-10,EXTERNAL CONFERENCES                                        ,Global Advice,Barclaycard Business,Barclaycard April 2010,643.31,
Defra,JNCC,07-May-10,RAIL TRAVEL - UK,Marine Management Advice,Barclaycard Business,Barclaycard April 2010,61.4,
Defra,JNCC,07-May-10,OFFICE STATIONERY& CONSUMABLES                              ,Governance & Corporate Services,Barclaycard Business,Barclaycard April 2010,25.79,
Defra,JNCC,07-May-10,SUBSISTENCE - UK,Sustainability Advice,Barclaycard Business,Barclaycard April 2010,35.89,
Defra,JNCC,07-May-10,AIR TRAVEL - EUROPE,Marine Management Advice,Barclaycard Business,Barclaycard April 2010,498.5,
Defra,JNCC,07-May-10,ACCOMMODATION - OVERSEAS,Conservation Advice,Barclaycard Business,Barclaycard April 2010,36.12,
Defra,JNCC,07-May-10,VEHICLE FUEL                                                ,Governance & Corporate Services,Barclaycard Business,Barclaycard April 2010,20.55,
Defra,JNCC,07-May-10,RAIL TRAVEL - UK,Marine Management Advice,Barclaycard Business,Barclaycard April 2010,28.2,
Defra,JNCC,07-May-10,CORPORATE SUBSCRIPTIONS                                     ,Marine Management Advice,Barclaycard Business,Barclaycard April 2010,109,
Defra,JNCC,07-May-10,NON-JNCC EVENTS - DELEGATE ATTENDANCE COSTS                     ,Overseas Territories & Crown Dependancies,Barclaycard Business,Barclaycard April 2010,10,
Defra,JNCC,07-May-10,JOURNALS                                                    ,European Intelligence & Advice,Barclaycard Business,Barclaycard April 2010,7.48,
Defra,JNCC,07-May-10,OTHER PUBLICITY PRODUCTS                                    ,Governance & Corporate Services,Barclaycard Business,Barclaycard April 2010,21.13,
Defra,JNCC,07-May-10,AIR TRAVEL - UK,Marine Management Advice,Barclaycard Business,Barclaycard April 2010,243.6,
Defra,JNCC,07-May-10,ACCOMMODATION - UK,Marine Management Advice,Barclaycard Business,Barclaycard April 2010,15.34,
Defra,JNCC,07-May-10,ACCOMMODATION - UK,Overseas Territories & Crown Dependancies,Barclaycard Business,Barclaycard April 2010,341.15,
Defra,JNCC,07-May-10,OTHER PUBLICITY PRODUCTS                                    ,Governance & Corporate Services,Barclaycard Business,Barclaycard April 2010,73.15,
Defra,JNCC,07-May-10,OTHER PUBLICITY PRODUCTS                                    ,Governance & Corporate Services,Barclaycard Business,Barclaycard April 2010,182.13,
Defra,JNCC,07-May-10,EXTERNAL CONFERENCES                                        ,Marine Surveillance,Barclaycard Business,Barclaycard April 2010,30,
Defra,JNCC,07-May-10,ACCOMMODATION - UK,Marine Management Advice,Barclaycard Business,Barclaycard April 2010,102.66,
Defra,JNCC,07-May-10,COMPUTER EQUIPMENT (H&S/WARE)                               ,Overseas Territories & Crown Dependancies,Barclaycard Business,Barclaycard April 2010,263.11,
Defra,JNCC,07-May-10,COMPUTER EQUIPMENT (H&S/WARE)                               ,Governance & Corporate Services,Barclaycard Business,Barclaycard April 2010,13.47,
Defra,JNCC,07-May-10,RAIL TRAVEL - UK,Overseas Territories & Crown Dependancies,Barclaycard Business,Barclaycard April 2010,99.7,
Defra,JNCC,07-May-10,RAIL TRAVEL - UK,Marine Management Advice,Barclaycard Business,Barclaycard April 2010,127,
Defra,JNCC,07-May-10,ACCOMMODATION - UK,Governance & Corporate Services,Barclaycard Business,Barclaycard April 2010,95,
Defra,JNCC,07-May-10,SUBSISTENCE - UK,Governance & Corporate Services,Barclaycard Business,Barclaycard April 2010,26,
Defra,JNCC,07-May-10,SUBSISTENCE - UK,Marine Surveillance,Barclaycard Business,Barclaycard April 2010,5,
Defra,JNCC,07-May-10,AIR TRAVEL - INTER-CONTINENTAL,Overseas Territories & Crown Dependancies,Barclaycard Business,Barclaycard April 2010,40,
Defra,JNCC,07-May-10,ACCOMMODATION - OVERSEAS,Marine Management Advice,Barclaycard Business,Barclaycard April 2010,77.1,
Defra,JNCC,07-May-10,RAIL TRAVEL - UK,Global Advice,Barclaycard Business,Barclaycard April 2010,37.5,
Defra,JNCC,07-May-10,ACCOMMODATION - OVERSEAS,Global Advice,Barclaycard Business,Barclaycard April 2010,"2,448.52",
Defra,JNCC,07-May-10,OFFICE STATIONERY& CONSUMABLES                              ,Governance & Corporate Services,Barclaycard Business,Barclaycard April 2010,14.54,
Defra,JNCC,07-May-10,RAIL TRAVEL - UK,Sustainability Advice,Barclaycard Business,Barclaycard April 2010,25,
Defra,JNCC,07-May-10,RAIL TRAVEL - UK,Sustainability Advice,Barclaycard Business,Barclaycard April 2010,43.5,
Defra,JNCC,07-May-10,EXTERNAL CONFERENCES                                        ,Surveillance & Monitoring,Barclaycard Business,Barclaycard April 2010,65,
Defra,JNCC,07-May-10,AIR TRAVEL - INTER-CONTINENTAL,Overseas Territories & Crown Dependancies,Barclaycard Business,Barclaycard April 2010,20,
Defra,JNCC,07-May-10,RAIL TRAVEL - UK,Overseas Territories & Crown Dependancies,Barclaycard Business,Barclaycard April 2010,48.9,
Defra,JNCC,07-May-10,AIR TRAVEL - INTER-CONTINENTAL,Overseas Territories & Crown Dependancies,Barclaycard Business,Barclaycard April 2010,523.97,
Defra,JNCC,07-May-10,RAIL TRAVEL - UK,Sustainability Advice,Barclaycard Business,Barclaycard April 2010,25.9,
Defra,JNCC,07-May-10,CAR PARKING,Governance & Corporate Services,Barclaycard Business,Barclaycard April 2010,18,
Defra,JNCC,07-May-10,RAIL TRAVEL - UK,Marine Protected Areas,Barclaycard Business,Barclaycard April 2010,21.7,
Defra,JNCC,07-May-10,CAR PARKING,Governance & Corporate Services,Barclaycard Business,Barclaycard April 2010,18,
Defra,JNCC,07-May-10,AIR TRAVEL - INTER-CONTINENTAL,Overseas Territories & Crown Dependancies,Barclaycard Business,Barclaycard April 2010,20,
Defra,JNCC,07-May-10,CAR PARKING,Marine Protected Areas,Barclaycard Business,Barclaycard April 2010,3.5,
Defra,JNCC,07-May-10,HOSPITALITY                                                 ,Access to Information,Barclaycard Business,Barclaycard April 2010,32.3,
Defra,JNCC,07-May-10,COMPUTER EQUIPMENT (H&S/WARE)                               ,Access to Information,Barclaycard Business,Barclaycard April 2010,94,
Defra,JNCC,07-May-10,RAIL TRAVEL - UK,Global Advice,Barclaycard Business,Barclaycard April 2010,18.8,
Defra,JNCC,07-May-10,RAIL TRAVEL - UK,Global Advice,Barclaycard Business,Barclaycard April 2010,75.3,
Defra,JNCC,07-May-10,AIR TRAVEL - UK,Governance & Corporate Services,Barclaycard Business,Barclaycard April 2010,306,
Defra,JNCC,07-May-10,AIR TRAVEL - INTER-CONTINENTAL,Overseas Territories & Crown Dependancies,Barclaycard Business,Barclaycard April 2010,336.9,
Defra,JNCC,07-May-10,FOREIGN TRAVEL                                              ,Global Advice,Barclaycard Business,Barclaycard April 2010,140,
Defra,JNCC,07-May-10,AIR TRAVEL - EUROPE,Marine Mapping & Ecosystem Assessment,Barclaycard Business,Barclaycard April 2010,256.9,
Defra,JNCC,07-May-10,RAIL TRAVEL - UK,Marine Protected Areas,Barclaycard Business,Barclaycard April 2010,32,
Defra,JNCC,07-May-10,AIR TRAVEL - UK,Governance & Corporate Services,Barclaycard Business,Barclaycard April 2010,253,
Defra,JNCC,07-May-10,RAIL TRAVEL - UK,Overseas Territories & Crown Dependancies,Barclaycard Business,Barclaycard April 2010,10,
Defra,JNCC,07-May-10,RAIL TRAVEL - UK,Marine Protected Areas,Barclaycard Business,Barclaycard April 2010,169.3,
Defra,JNCC,07-May-10,ACCOMMODATION - OVERSEAS,Overseas Territories & Crown Dependancies,Barclaycard Business,Barclaycard April 2010,707.29,
Defra,JNCC,07-May-10,AIR TRAVEL - EUROPE,Access to Information,Barclaycard Business,Barclaycard April 2010,119.98,
Defra,JNCC,07-May-10,RAIL TRAVEL - UK,Overseas Territories & Crown Dependancies,Barclaycard Business,Barclaycard April 2010,39.3,
Defra,JNCC,07-May-10,AIR TRAVEL - INTER-CONTINENTAL,Overseas Territories & Crown Dependancies,Barclaycard Business,Barclaycard April 2010,571.97,
Defra,JNCC,07-May-10,RAIL TRAVEL - UK,Marine Protected Areas,Barclaycard Business,Barclaycard April 2010,99.2,
Defra,JNCC,07-May-10,JOURNALS                                                    ,European Intelligence & Advice,Barclaycard Business,Barclaycard April 2010,142.49,
Defra,JNCC,07-May-10,COACH/BUS TRAVEL,Overseas Territories & Crown Dependancies,Barclaycard Business,Barclaycard April 2010,15.95,
Defra,JNCC,07-May-10,SUBSISTENCE - OVERSEAS,Overseas Territories & Crown Dependancies,Barclaycard Business,Barclaycard April 2010,14.43,
Defra,JNCC,07-May-10,RAIL TRAVEL - UK,Sustainability Advice,Barclaycard Business,Barclaycard April 2010,48,
Defra,JNCC,07-May-10,SUBSISTENCE - OVERSEAS,Overseas Territories & Crown Dependancies,Barclaycard Business,Barclaycard April 2010,1.39,
Defra,JNCC,07-May-10,SUBSISTENCE - OVERSEAS,Overseas Territories & Crown Dependancies,Barclaycard Business,Barclaycard April 2010,15.44,
Defra,JNCC,07-May-10,RAIL TRAVEL - UK,Governance & Corporate Services,Barclaycard Business,Barclaycard April 2010,122.4,
Defra,JNCC,07-May-10,CAR PARKING,Governance & Corporate Services,Barclaycard Business,Barclaycard April 2010,39,
Defra,JNCC,07-May-10,ACCOMMODATION - UK,Marine Protected Areas,Barclaycard Business,Barclaycard April 2010,33.34,
Defra,JNCC,07-May-10,RAIL TRAVEL - UK,Marine Protected Areas,Barclaycard Business,Barclaycard April 2010,53,
Defra,JNCC,07-May-10,CAR PARKING,Marine Protected Areas,Barclaycard Business,Barclaycard April 2010,19.5,
Defra,JNCC,07-May-10,AIR TRAVEL - INTER-CONTINENTAL,Overseas Territories & Crown Dependancies,Barclaycard Business,Barclaycard April 2010,326.8,
Defra,JNCC,07-May-10,AIR TRAVEL - INTER-CONTINENTAL,Overseas Territories & Crown Dependancies,Barclaycard Business,Barclaycard April 2010,40,
Defra,JNCC,07-May-10,RAIL TRAVEL - UK,Marine Protected Areas,Barclaycard Business,Barclaycard April 2010,15.4,
Defra,JNCC,07-May-10,RAIL TRAVEL - UK,Marine Protected Areas,Barclaycard Business,Barclaycard April 2010,10.2,
Defra,JNCC,07-May-10,ACCOMMODATION - UK,Marine Surveillance,Barclaycard Business,Barclaycard April 2010,58.16,
Defra,JNCC,07-May-10,AIR TRAVEL - INTER-CONTINENTAL,Global Advice,Barclaycard Business,Barclaycard April 2010,481.97,
Defra,JNCC,07-May-10,AIR TRAVEL - INTER-CONTINENTAL,Global Advice,Barclaycard Business,Barclaycard April 2010,40,
Defra,JNCC,07-May-10,RAIL TRAVEL - UK,Marine Protected Areas,Barclaycard Business,Barclaycard April 2010,50.5,
Defra,JNCC,07-May-10,RAIL TRAVEL - UK,Global Advice,Barclaycard Business,Barclaycard April 2010,87,
Defra,JNCC,07-May-10,RAIL TRAVEL - UK,Governance & Corporate Services,Barclaycard Business,Barclaycard April 2010,29,
Defra,JNCC,07-May-10,ACCOMMODATION - UK,Governance & Corporate Services,Barclaycard Business,Barclaycard April 2010,150,
Defra,JNCC,07-May-10,AIR TRAVEL - UK,Marine Management Advice,Barclaycard Business,Barclaycard April 2010,159.4,
Defra,JNCC,07-May-10,BOOKS                                                       ,Global Advice,Barclaycard Business,Barclaycard April 2010,38.45,
Defra,JNCC,07-May-10,ACCOMMODATION - UK,Marine Mapping & Ecosystem Assessment,Barclaycard Business,Barclaycard April 2010,58.17,
Defra,JNCC,07-May-10,RAIL TRAVEL - UK,Marine Management Advice,Barclaycard Business,Barclaycard April 2010,160.5,
Defra,JNCC,07-May-10,RAIL TRAVEL - UK,Overseas Territories & Crown Dependancies,Barclaycard Business,Barclaycard April 2010,37.3,
Defra,JNCC,07-May-10,CAR PARKING,Governance & Corporate Services,Barclaycard Business,Barclaycard April 2010,30.8,
Defra,JNCC,07-May-10,VEHICLE FUEL                                                ,Governance & Corporate Services,Barclaycard Business,Barclaycard April 2010,36.63,
Defra,JNCC,07-May-10,AIR TRAVEL - EUROPE,Sustainability Advice,Barclaycard Business,Barclaycard April 2010,238,
Defra,JNCC,07-May-10,ACCOMMODATION - UK,Marine Surveillance,Barclaycard Business,Barclaycard April 2010,81.21,
Defra,JNCC,07-May-10,ACCOMMODATION - UK,Governance & Corporate Services,Barclaycard Business,Barclaycard April 2010,55,
Defra,JNCC,07-May-10,RAIL TRAVEL - UK,Marine Protected Areas,Barclaycard Business,Barclaycard April 2010,88.6,
Defra,JNCC,07-May-10,COMPUTER EQUIPMENT (H&S/WARE)                               ,Marine Management Advice,Barclaycard Business,Barclaycard April 2010,12.86,
Defra,JNCC,07-May-10,SUBSISTENCE - OVERSEAS,Overseas Territories & Crown Dependancies,Barclaycard Business,Barclaycard April 2010,2.83,
Defra,JNCC,07-May-10,ACCOMMODATION - OVERSEAS,Policy Relevant Info & Reporting,Barclaycard Business,Barclaycard April 2010,129.46,
Defra,JNCC,07-May-10,ACCOMMODATION - UK,Conservation Advice,Barclaycard Business,Barclaycard April 2010,30,
Defra,JNCC,07-May-10,COMPUTER EQUIPMENT (H&S/WARE)                               ,Marine Management Advice,Barclaycard Business,Barclaycard April 2010,13.03,
Defra,JNCC,07-May-10,RAIL TRAVEL - UK,Marine Protected Areas,Barclaycard Business,Barclaycard April 2010,68.7,
Defra,JNCC,07-May-10,RAIL TRAVEL - UK,Marine Protected Areas,Barclaycard Business,Barclaycard April 2010,64.5,
Defra,JNCC,07-May-10,ACCOMMODATION - UK,Governance & Corporate Services,Barclaycard Business,Barclaycard April 2010,184,
