Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,Description
DEFRA,Core Dept,Jan-11,Other Current Payments (R&D) (E),Food and Farming Group,University Of Bristol,ERS-470128-31571,"28,614.00",
DEFRA,Core Dept,Jan-11,Other Current Payments (R&D) (E),Food and Farming Group,University Of Oxford,ERS-470207-31597,"28,746.83",
DEFRA,Core Dept,Jan-11,Other Current Payments (R&D) (E),Environment and Rural Group,A D A S UK Ltd,1.10E+12,"28,856.00",
DEFRA,Core Dept,Jan-11,Current Grants E,Environment and Rural Group,University Of Leeds,171210,"28,956.65",
DEFRA,Core Dept,Jan-11,Other Current Payments (R&D) (E),Environment and Rural Group,C E F A S,8000682,"28,968.92",
DEFRA,Core Dept,Jan-11,Other Current Payments UK,Environment and Rural Group,Hartley Mcmaster Ltd,12086,"28,992.30",
DEFRA,Core Dept,Jan-11,Other Current Payments (R&D) (E),Environment and Rural Group,University Of Birmingham,21007140,"29,018.75",
DEFRA,Core Dept,Jan-11,Other Current Payments (R&D) (E),Food and Farming Group,A D A S UK Ltd,RIRP050656,"29,381.38",
DEFRA,Core Dept,Jan-11,Other Current Payments (R&D) (E),Food and Farming Group,North Wyke Research.,50111,"29,385.70",
DEFRA,Core Dept,Jan-11,Telephony Services/Audio Conferencing Facilities,Corporate Services Group,IBM United Kingdom Ltd,5812102270,"29,396.89",
DEFRA,Core Dept,Jan-11,Other Current Payments E,Strategy and Evidence Group,CSIR,PC0021571,"29,400.00",
DEFRA,Core Dept,Jan-11,Other Current Payments (R&D) (E),Food and Farming Group,B B S R C,4445,"29,558.32",
DEFRA,Core Dept,Jan-11,Other Current Payments (R&D) (E),Food and Farming Group,Sac Commercial Ltd,5.01E+11,"29,799.12",
DEFRA,Core Dept,Jan-11,Other Current Payments (R&D) (E),Food and Farming Group,Genesis Faraday Partnership,982,"30,000.00",
DEFRA,Core Dept,Jan-11,Other Current Payments (R&D) (E),Environment and Rural Group,National Physical Laboratory,106730,"30,434.85",
DEFRA,Core Dept,Jan-11,Other Current Payments (R&D) (E),Environment and Rural Group,Capacity Builders (UK) Ltd,56,"30,940.66",
DEFRA,Core Dept,Jan-11,Other Current Payments (E) (R and D Agency),Food and Farming Group,Veterinary Laboratories Agency,ERS-470136-31614,"32,276.50",
DEFRA,Core Dept,Jan-11,Other Current Payments (R&D) (E),Food and Farming Group,Food & Environment Research Ag,F0012486,"32,365.34",
DEFRA,Core Dept,Jan-11,Other Current Payments (R&D) (E),Environment and Rural Group,Natural Environ Research Counc,7060000216,"32,588.50",
DEFRA,Core Dept,Jan-11,Other Current Payments (R&D) (E),Food and Farming Group,A D A S UK Ltd,5.01E+11,"32,599.00",
DEFRA,Core Dept,Jan-11,Other Current Payments E,Strategy and Evidence Group,International Development UEA,3938,"32,627.80",
DEFRA,Core Dept,Jan-11,Other Current Payments (R&D) (E),Food and Farming Group,Institute For Animal Health,ERS-470184-31541,"32,828.08",
DEFRA,Core Dept,Jan-11,Other Current Payments UK,Food and Farming Group,A D A S UK Ltd,RIRP050224,"33,544.83",
DEFRA,Core Dept,Jan-11,Payments to Agencies GB,Food and Farming Group,Veterinary Laboratories Agency,ERS-471080-31688,"33,583.00",
DEFRA,Core Dept,Jan-11,Other Current Payments (R&D) (E),Strategy and Evidence Group,Brook Lyndhurst Ltd,604,"33,829.43",
DEFRA,Core Dept,Jan-11,Other Current Payments (GB),Food and Farming Group,Flintshire County Council (Rev,TB098733,"34,425.71",
DEFRA,Core Dept,Jan-11,Other Current Payments (E) (R and D Agency),Food and Farming Group,Veterinary Laboratories Agency,ERS-470148-31620,"34,492.83",
DEFRA,Core Dept,Jan-11,Civil service Pension Administration,Corporate Services Group,JSS Pensions Administration,1345,"34,638.89",
DEFRA,Core Dept,Jan-11,Other Current Payments E,Strategy and Evidence Group,World Wildlife Fund,GRANTRECEIPT08,"34,777.61",
DEFRA,Core Dept,Jan-11,Other Current Payments (E) (R and D Agency),Food and Farming Group,Veterinary Laboratories Agency,ERS-470213-31654,"34,925.25",
DEFRA,Core Dept,Jan-11,Other Current Payments (E) (R and D Agency),Food and Farming Group,Food & Environment Research Ag,ERS-470242-31797,"34,945.25",
DEFRA,Core Dept,Jan-11,Sundry Creditors,Food and Farming Group,Gangmasters Licensing Authorit,GIAKAJJAN20111312103501667,"35,016.67",
DEFRA,Core Dept,Jan-11,Salary - Permanent Staff,Corporate Services Group,Marine Management Organisation,6001817,"35,579.51",
DEFRA,Core Dept,Jan-11,Gas,Corporate Services Group,Corona Energy,V5328301,"35,692.26",
DEFRA,Core Dept,Jan-11,Other Current Payments (R&D) (E),Environment and Rural Group,C E F A S,8000662,"35,728.16",
DEFRA,Core Dept,Jan-11,Consultancy Non-Scheme,Food and Farming Group,Rosemary A Radcliffe,1002,"35,983.20",
DEFRA,Core Dept,Jan-11,Scheme Pay UK,Strategy and Evidence Group,University Of Westminster,9800902,"36,750.00",
DEFRA,Core Dept,Jan-11,Other Current Payments (R&D) (E),Food and Farming Group,Lancaster University,8626614,"36,771.78",
DEFRA,Core Dept,Jan-11,Other Current Payments (R&D) (E),Environment and Rural Group,Kings College London,SINV1233168,"36,836.25",
DEFRA,Core Dept,Jan-11,Other Current Payments (GB),Food and Farming Group,Identigen Ltd,40513,"37,207.20",
DEFRA,Core Dept,Jan-11,Contractor - Management Cover,Environment and Rural Group,A E A Technology plc,6142103,"37,544.53",
DEFRA,Core Dept,Jan-11,Other Current Payments (R&D) (E),Food and Farming Group,B B S R C,ERS-470226-31518,"37,680.50",
DEFRA,Core Dept,Jan-11,Other Current Payments E,Environment and Rural Group,Bureau Veritas UK Ltd,10022632,"37,724.11",
DEFRA,Core Dept,Jan-11,Other Current Payments (R&D) (E),Strategy and Evidence Group,University Of Southampton,44075202,"37,800.00",
DEFRA,Core Dept,Jan-11,Other Capital UK,Strategy and Evidence Group,Local Government Association,40116748,"38,000.00",
DEFRA,Core Dept,Jan-11,Contractor - Management Cover,Corporate Services Group,Alpine Resourcing Ltd,6605,"38,898.61",
DEFRA,Core Dept,Jan-11,Other Current Payments (R&D) (E),Food and Farming Group,A D A S UK Ltd,5.01E+11,"39,001.50",
DEFRA,Core Dept,Jan-11,Clearing - CIP - IBM Capital Projects,Strategy and Evidence Group,IBM United Kingdom Ltd,5812102280,"39,660.96",
DEFRA,Core Dept,Jan-11,Other Current Payments (R&D) (E),Food and Farming Group,Lancaster University,8626623,"39,738.11",
DEFRA,Core Dept,Jan-11,Other Current Payments (R&D) (E),Strategy and Evidence Group,A E A Technology - SPM Lead Co,6141853,"39,742.68",
DEFRA,Core Dept,Jan-11,Other Current Payments (R&D) (E),Environment and Rural Group,Food & Environment Research Ag,ERS-470783-31788,"39,821.34",
DEFRA,Core Dept,Jan-11,Other Current Payments (GB),Food and Farming Group,Food Standards Agency,915920,"40,362.19",
DEFRA,Core Dept,Jan-11,Other Current Payments (GB),Food and Farming Group,Food Standards Agency,915905,"40,828.61",
DEFRA,Core Dept,Jan-11,Other Current Payments (R&D) (E),Food and Farming Group,The Royal Veterinary College,4.01E+11,"41,069.58",
DEFRA,Core Dept,Jan-11,Other Current Payments UK,Food and Farming Group,Soil Association Certification,171210,"41,358.00",
DEFRA,Core Dept,Jan-11,FM Projects Non Capital Works,Corporate Services Group,Interserve (Facilities Mngmnt),FI00008270,"42,298.98",
DEFRA,Core Dept,Jan-11,Current Transfers Abroad UK,Environment and Rural Group,Lacors,40401192,"43,758.88",
DEFRA,Core Dept,Jan-11,Estate Maintenance Admin,Corporate Services Group,Walter Lilly & Co Ltd,1383PPM002,"44,036.65",
DEFRA,Core Dept,Jan-11,Other Current Payments (R&D) (E),Food and Farming Group,Warwick H R I,ERS-470498-31741,"45,714.41",
DEFRA,Core Dept,Jan-11,Estates Professional Fees & Services,Corporate Services Group,D T Z,157221,"46,118.75",
DEFRA,Core Dept,Jan-11,Current Transfers Abroad UK,Environment and Rural Group,Lacors,40401210,"46,187.54",
DEFRA,Core Dept,Jan-11,Estates Professional Fees & Services,Corporate Services Group,D T Z,159134,"46,760.00",
DEFRA,Core Dept,Jan-11,Training - Learning & Development,Strategy and Evidence Group,BPP Professional Development,DEFRAJANSEPT10,"47,359.62",
DEFRA,Core Dept,Jan-11,Other Current Payments (R&D) (E),Environment and Rural Group,A E A Technology plc,6141848,"48,308.95",
DEFRA,Core Dept,Jan-11,Other Current Payments (R&D) (E),Strategy and Evidence Group,Z Punkt Gmbh,10105,"49,030.00",
DEFRA,Core Dept,Jan-11,Other Current Payments (R&D) (E),Food and Farming Group,A D A S UK Ltd,RIRP050506,"49,217.37",
DEFRA,Core Dept,Jan-11,Other Current Payments E,Strategy and Evidence Group,University Of Birmingham,212SCIA1395,"49,811.00",
DEFRA,Core Dept,Jan-11,Other Current Payments (R&D) (E),Strategy and Evidence Group,B B S R C,4496,"50,000.00",
DEFRA,Core Dept,Jan-11,Other Current Payments (R&D) (E),Strategy and Evidence Group,University Of Southampton,44075200,"50,300.00",
DEFRA,Core Dept,Jan-11,Clearing - CIP - IBM Capital Projects,Food and Farming Group,IBM United Kingdom Ltd,5812100740,"50,583.44",
DEFRA,Core Dept,Jan-11,Other Current Payments UK,Environment and Rural Group,National Physical Laboratory,106729,"51,030.25",
DEFRA,Core Dept,Jan-11,Other Current Payments (R&D) (E),Food and Farming Group,B B S R C,4443101210,"51,197.12",
DEFRA,Core Dept,Jan-11,Other Current Payments (GB),Food and Farming Group,Identigen Ltd,40483,"52,169.69",
DEFRA,Core Dept,Jan-11,Other Current Payments (R&D) (E),Environment and Rural Group,A D A S UK Ltd,311210,"53,815.00",
DEFRA,Core Dept,Jan-11,Other Current Payments (R&D) (E),Environment and Rural Group,A D A S UK Ltd,3.11E+12,"53,815.00",
DEFRA,Core Dept,Jan-11,Other Current Payments (R&D) (E),Environment and Rural Group,A D A S UK Ltd,3112105381500A,"53,815.00",
DEFRA,Core Dept,Jan-11,Recruitment Charges,Strategy and Evidence Group,Cabinet Office,250001295,"54,625.00",
DEFRA,Core Dept,Jan-11,Other Current Payments (E) (R and D Agency),Food and Farming Group,Veterinary Laboratories Agency,ERS-470132-31610,"54,927.16",
DEFRA,Core Dept,Jan-11,Other Current Payments (R&D) (E),Environment and Rural Group,A D A S UK Ltd,1.10E+12,"54,960.00",
DEFRA,Core Dept,Jan-11,Gas,Corporate Services Group,Corona Energy,V5319485,"55,290.37",
DEFRA,Core Dept,Jan-11,Other Current Payments E,Environment and Rural Group,Inland Revenue,190111,"56,713.55",
DEFRA,Core Dept,Jan-11,Other Current Payments (R&D) (E),Environment and Rural Group,Department Of Energy and Clima,40005037,"57,000.00",
DEFRA,Core Dept,Jan-11,FM Projects Non Capital Works,Corporate Services Group,Interserve (Facilities Mngmnt),FI00008098,"58,114.21",
DEFRA,Core Dept,Jan-11,Other Current Payments (R&D) (E),Food and Farming Group,Food & Environment Research Ag,ERS-471166-31794,"58,333.34",
DEFRA,Core Dept,Jan-11,Other Current Payments E,Strategy and Evidence Group,Central Office Of Information,729706,"58,515.00",
DEFRA,Core Dept,Jan-11,Other Current Payments (R&D) (E),Food and Farming Group,Institute For Animal Health,ERS-470168-31537,"58,612.25",
DEFRA,Core Dept,Jan-11,Other Current Payments (GB),Environment and Rural Group,Mineral Industry Research Orga,SIN000509,"58,750.00",
DEFRA,Core Dept,Jan-11,IBM Base Services Control,Corporate Services Group,IBM United Kingdom Ltd,5812101161,"61,010.84",
DEFRA,Core Dept,Jan-11,Agency Recharge,Corporate Services Group,Walter Lilly & Co Ltd,1383PC001,"61,354.98",
DEFRA,Core Dept,Jan-11,Grant-in Aid Payments,Food and Farming Group,Gangmasters Licensing Authorit,GIAKAJJAN2011131210,"61,770.00",
DEFRA,Core Dept,Jan-11,Other Current Payments (R&D) (E),Environment and Rural Group,A E A Technology plc,6141810,"63,595.70",
DEFRA,Core Dept,Jan-11,Other Current Payments (R&D) (E),Environment and Rural Group,A E A Technology plc,120111,"64,953.49",
DEFRA,Core Dept,Jan-11,Other Current Payments (E) (R and D Agency),Food and Farming Group,Veterinary Laboratories Agency,ERS-470146-31619,"66,396.80",
DEFRA,Core Dept,Jan-11,Other Current Payments UK,Environment and Rural Group,Food & Environment Research Ag,F0012774,"66,681.00",
DEFRA,Core Dept,Jan-11,Other Current Payments E,Food and Farming Group,Forum For The Future,5937,"66,997.83",
DEFRA,Core Dept,Jan-11,Gas,Corporate Services Group,Corona Energy,V5328311,"67,014.37",
DEFRA,Core Dept,Jan-11,Other Current Payments E,Environment and Rural Group,Lancaster University,8624667,"68,054.00",
DEFRA,Core Dept,Jan-11,FM Projects Non Capital Works,Corporate Services Group,Interserve (Facilities Mngmnt),FI00008102,"69,352.47",
DEFRA,Core Dept,Jan-11,Computer & IT Services,Corporate Services Group,IBM United Kingdom Ltd,5812102277,"70,500.00",
