,,,,,,,,,,,,,,,
Department,Entity,Date,Expense Type,Expense Area,Supplier ,Transaction Number, Amount ,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type,Vat Registration Number,
DEFRA,Natural England,05/09/2012,Land Management payments,Customers & Land Management,A D A S UK Ltd,RIRP063758," £46,382.12 ",Farm Advice Training and Information Agreement (FATI),WV6 5AP,,24117,,,,
DEFRA,Natural England,03/09/2012,Grants & contributions,"People, Landscape & Biodiversity",B T C V.,ERS-980561-40666," £29,260.16 ",Access to Nature Grant,DN4 8DB,SME,,,,,
DEFRA,Natural England,03/09/2012,Grants & contributions,"People, Landscape & Biodiversity",Birmingham City Council,ERS-980559-40647," £55,153.80 ",Access to Nature Grant,B1 1BB,,,,,,
DEFRA,Natural England,17/09/2012,Legal costs,Corporate Services,Browne Jacobson,224249," £121,855.58 ",Legal services,NG1 7BJ,,,,,,
DEFRA,Natural England,17/09/2012,Legal costs,Corporate Services,Browne Jacobson,224247," £28,942.80 ",Legal services,NG1 7BJ,,,,,,
DEFRA,Natural England,05/09/2012,Grants & contributions,"People, Landscape & Biodiversity",Community Forests Northwest Ltd.,ERS-980608-40698," £39,159.32 ",Access to Nature Grant,M50 2GL,SME,,,,,
DEFRA,Natural England,17/09/2012,Reprographic Services,Corporate Services,Computacenter (UK) Ltd,3804198601," £60,000.00 ",Document scanning services,AL10 9TW,SME,23573,,,,
DEFRA,Natural England,13/09/2012,Grants & contributions,"People, Landscape & Biodiversity",Dorset Wildlife Trust,ERS-980641-40706," £30,852.95 ",Access to Nature Grant,DT2 7AA,SME,,,,,
DEFRA,Natural England,07/09/2012,Grants & contributions,Customers & Land Management,Environment Agency,1146543," £30,000.00 ",Water Framework Directive Agreement,YO30 4GZ,,24674,,,,
DEFRA,Natural England,19/09/2012,Grants & contributions,"People, Landscape & Biodiversity",Framework,ERS-980682-40749," £27,415.28 ",Access to Nature Grant,NG7 6NX,,,,,,
DEFRA,Natural England,03/09/2012,Grants & contributions,"People, Landscape & Biodiversity",Groundwork North East.,ERS-980540-40668," £40,598.59 ",Access to Nature Grant,DL14 7NP,,,,,,
DEFRA,Natural England,19/09/2012,Grants & contributions,"People, Landscape & Biodiversity",Hampshire & Isle Of Wight Wildlife Trust,ERS-980685-40754," £25,129.62 ",Access to Nature Grant,SO32 2DP,,,,,,
DEFRA,Natural England,03/09/2012,Grants & contributions,"People, Landscape & Biodiversity",Lancashire County Council,ERS-980553-40648," £117,791.00 ",National Trails Grant,PR1 0LD,,23617,,,,
DEFRA,Natural England,27/09/2012,Grants & contributions,"People, Landscape & Biodiversity",London Wildlife Trust,ERS-980758-41024," £27,359.95 ",Access to Nature Grant,SE1 0LX,,,,,,
DEFRA,Natural England,27/09/2012,Grants & contributions,"People, Landscape & Biodiversity",Middlesbrough Council,ERS-980748-41014," £33,242.32 ",Access to Nature Grant,TS1 9FW,,,,,,
DEFRA,Natural England,13/09/2012,Land Management payments,Customers & Land Management,Moorhouse Commoners Committee,ERS-980653-40712," £37,657.00 ",Wildlife Enhancement Scheme Management Arrangement annual payment,CA10 1NN,SME,,,,,
DEFRA,Natural England,27/09/2012,Grants & contributions,"People, Landscape & Biodiversity",Nottinghamshire Wildlife Trust,ERS-980753-41011," £32,552.10 ",Access to Nature Grant,NG1 1EA,SME,,,,,
DEFRA,Natural England,03/09/2012,Grants & contributions,"People, Landscape & Biodiversity",Octopus Community Network Ltd,ERS-980584-40669," £43,055.52 ",Access to Nature Grant,N19 3RQ,SME,,,,,
DEFRA,Natural England,07/09/2012,RBS purchases,Corporate Services,Royal Bank Of Scotland,5.5695E+21," £401,944.74 ",August monthly payment for Government Procurement Card expenditure,EC2M 4BA,,,,,,
DEFRA,Natural England,13/09/2012,Grants & contributions,"People, Landscape & Biodiversity",Sightlines Initiative,ERS-980652-40720," £32,848.80 ",Access to Nature Grant,NE2 4PS,SME,,,,,
DEFRA,Natural England,19/09/2012,Grants & contributions,"People, Landscape & Biodiversity",The Centre for Sustainable Healthcare,ERS-980665-40761," £27,784.62 ",Access to Nature Grant,OX2 7QJ,SME,,,,,
DEFRA,Natural England,17/09/2012,Asset purchases,"People, Landscape & Biodiversity",Toyota (GB) Ltd,YF359378," £26,501.47 ",Toyota Hilux pickup vehicle,KT18 5UX,,23825C,,,,
DEFRA,Natural England,03/09/2012,Telephony costs,Corporate Services,Vodafone Ltd,64394554," £89,836.60 ",Mobile phone charges,RG14 5FF,,,,,,
