Department Family,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Transactions Number, Amount (�) ,VAT Registration Number
FCO,FCO,18-Oct-10,Programme and Project Management Consultancy,DG FINANCE,CONCERTO CONSULTING LTD,1001247,"28,050.00",
FCO,FCO,18-Oct-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,CONCERTO CONSULTING LTD,1001247,"5,509.70",
FCO,FCO,28-Oct-10,Programme Spend (Oracle Projects Control Account),DG POLITICAL,MERCY CORPS,21462,"34,938.00",
FCO,FCO,12-Oct-10,Programme Spend (Oracle Projects Control Account),DG POLITICAL,THE OXFORD COMMITEE FOR FAMINE RELIEF,30148,"50,127.07",
FCO,FCO,14-Oct-10,Programme Spend (Oracle Projects Control Account),DG EUROPE AND GLOBALISATION,NATIONAL CARBON SEQUESTRATION FOUNDATION,2005034,"29,269.27",
FCO,FCO,28-Oct-10,General Information Services,DG CHANGE & DELIVERY,BULLET MARKETING LTD,1002000,"26,572.00",
FCO,FCO,28-Oct-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,BULLET MARKETING LTD,1002000,"4,650.10",
FCO,FCO,12-Oct-10,Programme Spend (Oracle Projects Control Account),DG EUROPE AND GLOBALISATION,EUCONNECT LTD,1000840,"44,058.00",
FCO,FCO,25-Oct-10,Rent and Condominium Charges Non-Residential,DG CHANGE & DELIVERY,COLLIERS MEREDITH & GREW / TECHNOLOGY AGENCY ACCT,40000000165,"38,248.73",
FCO,FCO,15-Oct-10,Programme Spend (Oracle Projects Control Account),DG EUROPE AND GLOBALISATION,CAMCO ADVISORY SERVICES LTD,21098,"17,278.00",
FCO,FCO,15-Oct-10,Programme Spend (Oracle Projects Control Account),DG EUROPE AND GLOBALISATION,CAMCO ADVISORY SERVICES LTD,21098,"16,726.00",
FCO,FCO,25-Oct-10,Inward Visits/Uk Conferences,DG CHANGE & DELIVERY,TRAVELHIRE,1001739,"24,205.03",
FCO,FCO,25-Oct-10,Inward Visits/Uk Conferences,DG CHANGE & DELIVERY,TRAVELHIRE,1001739,"14,687.77",
FCO,FCO,25-Oct-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,TRAVELHIRE,1001739,"4,235.88",
FCO,FCO,28-Oct-10,Recharge Suspense Account (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,SUPPORT LOGISTICS,1002070,"4,567.80",
FCO,FCO,28-Oct-10,Recharge Suspense Account (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,SUPPORT LOGISTICS,1002070,"8,206.40",
FCO,FCO,28-Oct-10,Recharge Suspense Account (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,SUPPORT LOGISTICS,1002070,"4,531.00",
FCO,FCO,28-Oct-10,Recharge Suspense Account (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,SUPPORT LOGISTICS,1002070,"9,098.80",
FCO,FCO,28-Oct-10,Recharge Suspense Account (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,SUPPORT LOGISTICS,1002070,"11,674.80",
FCO,FCO,28-Oct-10,Recharge Suspense Account (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,SUPPORT LOGISTICS,1002070,"7,341.60",
FCO,FCO,20-Oct-10,Nursery Childcare Subsidy,DG CHANGE & DELIVERY,EDENRED,1001455,"29,663.00",
FCO,FCO,20-Oct-10,Nursery Childcare Subsidy,DG CHANGE & DELIVERY,EDENRED,1001455,"1,483.15",
FCO,FCO,20-Oct-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,EDENRED,1001455,259.55,
FCO,FCO,13-Oct-10,Programme Spend (Oracle Projects Control Account),DG EUROPE AND GLOBALISATION,UNDP FIJI MULTI-COUNTY OFFICE,8000001204,"27,451.63",
FCO,FCO,22-Oct-10,Programme Spend (Oracle Projects Control Account),DG POLITICAL,ELECTORAL REFORM INTERNATIONAL SERVICES LTD,1001634,"23,839.75",
FCO,FCO,22-Oct-10,Programme Spend (Oracle Projects Control Account),DG POLITICAL,ELECTORAL REFORM INTERNATIONAL SERVICES LTD,1001634,"23,839.75",
FCO,FCO,13-Oct-10,Publications,DG CHANGE & DELIVERY,PARK COMMUNICATIONS LTD,1001019,"47,760.00",
FCO,FCO,04-Oct-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1000217,"45,200.00",
FCO,FCO,04-Oct-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1000217,"1,500.00",
FCO,FCO,04-Oct-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1000217,900,
FCO,FCO,04-Oct-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1000217,238,
FCO,FCO,04-Oct-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1000217,306,
FCO,FCO,04-Oct-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1000217,250,
FCO,FCO,04-Oct-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1000217,159.1,
FCO,FCO,04-Oct-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1000217,377.8,
FCO,FCO,04-Oct-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,ASHRIDGE MANAGEMENT COLLEGE,1000217,"8,521.26",
FCO,FCO,04-Oct-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1000217,-306,
FCO,FCO,04-Oct-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1000217,"-1,500.00",
FCO,FCO,04-Oct-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1000217,-238,
FCO,FCO,04-Oct-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1000217,-250,
FCO,FCO,04-Oct-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1000217,-159.1,
FCO,FCO,04-Oct-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1000217,-377.8,
FCO,FCO,04-Oct-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1000217,-900,
FCO,FCO,04-Oct-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1000217,"1,500.00",
FCO,FCO,04-Oct-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1000217,900,
FCO,FCO,04-Oct-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1000217,224,
FCO,FCO,04-Oct-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1000217,288,
FCO,FCO,04-Oct-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1000217,18,
FCO,FCO,04-Oct-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1000217,14,
FCO,FCO,04-Oct-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1000217,250,
FCO,FCO,04-Oct-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1000217,377.8,
FCO,FCO,04-Oct-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1000217,159.1,
FCO,FCO,19-Oct-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1001293,"24,000.00",
FCO,FCO,19-Oct-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1001293,"16,000.00",
FCO,FCO,19-Oct-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1001293,"1,300.00",
FCO,FCO,19-Oct-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1001293,170,
FCO,FCO,19-Oct-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1001293,155,
FCO,FCO,19-Oct-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1001293,90,
FCO,FCO,19-Oct-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1001293,155,
FCO,FCO,19-Oct-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1001293,140,
FCO,FCO,19-Oct-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1001293,15,
FCO,FCO,19-Oct-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1001293,"1,466.00",
FCO,FCO,19-Oct-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1001293,126,
FCO,FCO,19-Oct-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,ASHRIDGE MANAGEMENT COLLEGE,1001293,"7,632.99",
FCO,FCO,19-Oct-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1001293,-170,
FCO,FCO,19-Oct-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1001293,-155,
FCO,FCO,19-Oct-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1001293,-90,
FCO,FCO,19-Oct-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1001293,-155,
FCO,FCO,19-Oct-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1001293,-140,
FCO,FCO,19-Oct-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1001293,196,
FCO,FCO,19-Oct-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1001293,217,
FCO,FCO,19-Oct-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1001293,217,
FCO,FCO,19-Oct-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1001293,168,
