Department,Entity,Date,Expense Type,Expense Area,Supplier,Post Code,Transaction Number,Payment Description,Total
Ministry of Defence,Ministry of Defence,16/05/2013,Spend on Inventory - General,Defence Equipment & Support,FUCHS LUBRICANTS (UK) PLC,ST1 5HU,206890,Spend on Inventory - General,"11,623.17"
Ministry of Defence,Ministry of Defence,28/05/2013,Spend on Inventory - General,Defence Equipment & Support,BAE SYSTEMS SURFACE SHIPS LIMITED,PO1 9NW,210469,Spend on Inventory - General,"11,589.31"
Ministry of Defence,Ministry of Defence,09/05/2013,Design services and minor equipment purchases,Defence Equipment & Support,DEVONPORT ROYAL DOCKYARD LIMITED,PL1 4SG,204151,Equipment support non-project costs,"11,551.63"
Ministry of Defence,Ministry of Defence,16/05/2013,Medical treatment & stores and welfare services,Joint Forces Command,HAYS SPECIALIST RECRUITMENT LIMITED,SW1W 0NT,206915,Medical health services,"11,535.06"
Ministry of Defence,Ministry of Defence,22/05/2013,Purchase of inventory and services ,Land Forces,XMA LTD,NG11 7EP,209260,Cost of other material consumed,"11,423.84"
Ministry of Defence,Ministry of Defence,14/05/2013,Development costs for military equipment,Defence Equipment & Support,DEFENCE SCIENCE & TECHNOLOGY LABORATORY,PO14 9HL,205900,Intangible single use military equipment asset  - in year capital addition,"11,400.00"
Ministry of Defence,Ministry of Defence,17/05/2013,Purchase of inventory and services ,Defence Equipment & Support,XMA LTD,NG11 7EP,207800,Cost of other material consumed,"11,398.56"
Ministry of Defence,Ministry of Defence,17/05/2013,General services and support,Defence Equipment & Support,AMETHYST RISK MANAGEMENT LIMITED,RG23 8PX,207239,Defence equipment CLS/IOS service charge,"11,376.00"
Ministry of Defence,Ministry of Defence,07/05/2013,Purchase of inventory and services ,Land Forces,AAH PHARMACEUTICALS LTD,CV2 2TX,202816,Consumption of medical dental and veterinary inventory,"11,358.08"
Ministry of Defence,Ministry of Defence,15/05/2013,Purchase of inventory and services ,Air Command,AAH PHARMACEUTICALS LTD,CV2 2TX,206192,Consumption of medical dental and veterinary inventory,"11,322.05"
Ministry of Defence,Ministry of Defence,31/05/2013,IT and communication services,Air Command,SPECIALIST COMPUTER CENTRES PLC,B11 2LE,212274,Information technology services,"11,302.75"
Ministry of Defence,Ministry of Defence,07/05/2013,Food and clothing,Joint Forces Command,TECHNOGYM U K LIMITED,RG12 8PE,203395,Cost of purchasing and repairing clothing,"11,273.07"
Ministry of Defence,Ministry of Defence,30/05/2013,Fuel for military use,Defence Infrastructure Organisation ,WATSON PETROLEUM LTD,SN15 5DN,211803,Cost of ground diesel fuel consumed,"11,262.33"
Ministry of Defence,Ministry of Defence,13/05/2013,Purchase of inventory and services ,Air Command,XMA LTD,NG11 7EP,205791,Cost of other material consumed,"11,224.55"
Ministry of Defence,British Defence Staff - United States,02/05/2013,Medical-Non Hospital Treatment,Air Command,MERITAIN HEALTH,,337059,Medical-non hospital treatment,"11,207.45"
Ministry of Defence,Ministry of Defence,08/05/2013,Purchase of inventory and services ,Defence Equipment & Support,AAH PHARMACEUTICALS LTD,CV2 2TX,203468,Consumption of medical dental and veterinary inventory,"11,204.27"
Ministry of Defence,Ministry of Defence,13/05/2013,Development costs for military equipment,Defence Equipment & Support,DEFENCE SCIENCE & TECHNOLOGY LABORATORY,PO14 9HL,205392,Intangible single use military equipment asset  - in year capital addition,"11,200.00"
Ministry of Defence,Ministry of Defence,24/05/2013,Food and clothing,Defence Infrastructure Organisation ,SODEXO LTD,M50 0AL,210279,Cost of food services,"11,194.38"
Ministry of Defence,Ministry of Defence,29/05/2013,Medical treatment & stores and welfare services,Joint Forces Command,CASTLEROCK RECRUITMENT GROUP LIMITED,WA9 1UA,211111,Medical health services,"11,179.03"
Ministry of Defence,Ministry of Defence,28/05/2013,Purchase of inventory and services ,Land Forces,AAH PHARMACEUTICALS LTD,CV2 2TX,210414,Consumption of medical dental and veterinary inventory,"11,134.14"
Ministry of Defence,Ministry of Defence,29/05/2013,Purchase of inventory and services ,Defence Equipment & Support,XMA LTD,NG11 7EP,211278,Cost of other material consumed,"11,074.51"
Ministry of Defence,Ministry of Defence,22/05/2013,Spend on Inventory - General,Land Forces,BUNZL UK LIMITED,W1H 7JT,177103,Spend on Inventory - General,"11,065.02"
Ministry of Defence,Ministry of Defence,20/05/2013,"Transportation of personnel, freight and travel expenses",Defence Equipment & Support,AGILITY LOGISTICS LIMITED,RG1 2LG,207814,Movement of service personnel,"11,050.72"
Ministry of Defence,Ministry of Defence,23/05/2013,Medical treatment & stores and welfare services,Joint Forces Command,CASTLEROCK RECRUITMENT GROUP LIMITED,WA9 1UA,209369,Medical health services,"11,020.57"
Ministry of Defence,Ministry of Defence,31/05/2013,Purchase of inventory and services ,Joint Forces Command,WILLIAMS LEA LIMITED,NR3 1PD,212350,Cost of other material consumed,"10,975.26"
Ministry of Defence,Ministry of Defence,31/05/2013,Purchase of inventory and services ,Land Forces,XMA LTD,NG11 7EP,212357,Cost of other material consumed,"10,970.92"
Ministry of Defence,Ministry of Defence,28/05/2013,Food and clothing,Defence Infrastructure Organisation ,SODEXO LTD,M50 0AL,210974,Cost of food services,"10,948.70"
Ministry of Defence,Ministry of Defence,08/05/2013,Service and civilian recruitment,Head Office & Corporate Services,HAVAS PEOPLE LTD,EC1M 5NR,203701,Civilian recruitment excluding recruitment related external assistance,"10,926.27"
Ministry of Defence,Ministry of Defence,10/05/2013,Design services and minor equipment purchases,Defence Equipment & Support,ULTRA ELECTRONICS LIMITED,UB6 8UA,176964,Equipment support project costs,"10,911.51"
Ministry of Defence,Ministry of Defence,24/05/2013,Purchase of inventory and services ,Joint Forces Command,AAH PHARMACEUTICALS LTD,CV2 2TX,209803,Consumption of medical dental and veterinary inventory,"10,894.61"
Ministry of Defence,Ministry of Defence,31/05/2013,"Transportation of personnel, freight and travel expenses",Head Office & Corporate Services,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,2.00E+11,Movement of service personnel,"10,891.44"
Ministry of Defence,Ministry of Defence,21/05/2013,Purchase of inventory and services ,Air Command,BOC LIMITED,M28 2UT,208340,Consumption of engineering and technical inventory,"10,871.99"
Ministry of Defence,Ministry of Defence,02/05/2013,Research and development,Defence Equipment & Support,QINETIQ LIMITED,GU14 0LX,201897,Research and development excluding defence science and technology laboratory,"10,870.00"
Ministry of Defence,Ministry of Defence,31/05/2013,Research and development,Defence Equipment & Support,QINETIQ LIMITED,GU14 0LX,212218,Research and development excluding defence science and technology laboratory,"10,870.00"
Ministry of Defence,Ministry of Defence,28/05/2013,Spend on Inventory - General,Defence Infrastructure Organisation ,FORBO FLOORING UK LIMITED,DE5 3NT,210616,Spend on Inventory - General,"10,830.18"
