Department,Entity,Date,Expense Type,Expense Area,Supplier,Transaction number, Amount ,Additional Narrative
Defra,Core Dept,09-May-11,Payover,Central Finance Group,C E F A S,310311,"87,167.55",VAT Return Qtr4 2010/11
Defra,Core Dept,06-May-11,Other Current Payments (GB),Food and Farming Group,Ceredigion County Council,ESMC1007895,"86,656.89",Animal movement Licensing Scheme costs OCT 10 TO MAR 11
Defra,Core Dept,23-May-11,Agents Fees,Green Economy and Corporate Services Group,Interserve (Facilities Mngmnt),FI00006051,"86,496.00",Facilities Management costs
Defra,Core Dept,05-May-11,Evidence Non R&D,Food and Farming Group,Office For National Statistics,1021166,"81,742.25",Living costs & food survey- request for sponsorship for the Laboratory Customer Forum 2011-12 April 2011 1st quarter.
Defra,Core Dept,19-May-11,Grant-in Aid Payments,Food and Farming Group,Gangmasters Licensing Authorit,GIAKAJMAY2011,"80,969.00",Gangmasters Licensing Authority Compliance Grant-in-Aid (May 2011)
Defra,Core Dept,19-May-11,Other Current Payments (GB),Food and Farming Group,Lincolnshire County Council,70411,"79,997.89",Animal Movement Licensing Scheme COSTS OCT 10 - MARCH 11
Defra,Core Dept,13-May-11,Other Current Payments (Evidence R&D),Food and Farming Group,A D A S UK Ltd,50511,"78,094.20",Understanding the behaviour of livestock manure multiple pollutants costs
Defra,Core Dept,04-May-11,Other Current Payments (GB),Food and Farming Group,Warwickshire County Council,10005860,"77,869.01",Animal movement Licensing Scheme costs Apr to Sept 2010
Defra,Core Dept,09-May-11,Payover,Central Finance Group,Veterinary Medicines Directora,310311,"76,470.10",VAT Return Qtr4 2010/11
Defra,Core Dept,27-May-11,Other Current Payments (Evidence R&D),Environment and Rural Group,Centre For Ecology & Hydrology,ERS-479351-33945,"75,469.16",Project payment : 'The Provision of Ecosystem Services in the Environmental Stewardship Scheme' (1/10/10 to 30/9/14)
Defra,Core Dept,17-May-11,Application Services/Applications Delivery,Green Economy and Corporate Services Group,IBM United Kingdom Ltd,5805110218,"73,716.00",IT services   
Defra,Core Dept,19-May-11,Insurance,Green Economy and Corporate Services Group,D T Z,DEFRA081,"72,510.56",DTZ Funding: property related costs predominantly rent
Defra,Core Dept,13-May-11,Other Current Payments (GB),Food and Farming Group,Suffolk County Council,9049831,"72,326.06",Animal Movement Licensing Scheme Costs : 2010/11 LICENSING COSTS OCT 2010
Defra,Core Dept,13-May-11,Other Current Payments (GB),Food and Farming Group,Essex County Council,1004023106,"72,283.88",Animal Movement Licensing Scheme COSTS OCT 10 - MARCH 11
Defra,Core Dept,23-May-11,Other Current Payments (Evidence R&D),Environment and Rural Group,Revill Nation Ltd,INV100503,"71,205.60",Market-Led sustainability  10/11 and 11/12
Defra,Core Dept,03-May-11,Other Current Payments E,Food and Farming Group,Food Standards Agency,1700680,"69,685.27",Cleansing and Disinfecting supervision costs
Defra,Core Dept,06-May-11,Other Current Payments (GB),Food and Farming Group,Cornwall County Council,CCES137160,"67,281.00",Animal movement Licensing Scheme costs Q3 & Q4 2010/11
Defra,Core Dept,06-May-11,Other Current Payments (GB),Food and Farming Group,Pembrokeshire County Council,M0000431585,"66,093.68",Animal Movement Licensing Scheme COSTS PERIOD: 01/10/2010 TO 31/03/2011
Defra,Core Dept,13-May-11,Other Current Payments (GB),Food and Farming Group,Oxfordshire County Council,2206015272,"63,964.46",Animal Movement Licensing Scheme COSTS OCT 10 - MAR 11
Defra,Core Dept,19-May-11,Sundry Creditors,Food and Farming Group,Gangmasters Licensing Authorit,GIAKAJMAY2011210411,"62,999.88",Gangmaster Licensing Authority - Grant from Migration Fund payment for May 2011
Defra,Core Dept,13-May-11,FM Projects Non Capital Works,Green Economy and Corporate Services Group,Interserve (Facilities Mngmnt),FI00009949,"62,968.33",Facilities Management costs
Defra,Core Dept,05-May-11,Clearing Construction in Progress (I.T.),Food and Farming Group,S F W Ltd,10920,"62,560.80",Costs for research into surveillance profiles- Phase 2
Defra,Core Dept,13-May-11,Other Current Payments (GB),Food and Farming Group,Norfolk County Council,1200616,"61,299.01",Animal Movement Licensing Scheme COSTS OCTOBER 2010 TO MARCH 2011
Defra,Core Dept,06-May-11,Other Current Payments (GB),Food and Farming Group,Food & Environment Research Ag,F0014809,"61,160.00",Memorandum Of Understanding work for Badger Vaccination Deployment Project
Defra,Core Dept,27-May-11,Other Current Payments (Evidence R&D),Environment and Rural Group,University Of Exeter,GHA0094005,"60,179.00",R&D project payment
Defra,Core Dept,19-May-11,Other Current Payments (GB),Food and Farming Group,Shropshire Council,HTS001203,"59,936.85",Animal Movement Licensing Scheme COSTS PERIOD: OCT 10- MAR 11
Defra,Core Dept,05-May-11,Other Current Payments (Evidence R&D) (Agency),Food and Farming Group,Veterinary Laboratories Agency,3000006631,"59,027.00",MOLECULAR & TRANSMISSION CHARACTERISTICS OF OVINE SCRAPIE PRION CSA 6764 WORK CARRIED OUT IN 4TH FINANCIAL QUARTER 01/01/11 - 31/03/11
Defra,Core Dept,04-May-11,Gas,Green Economy and Corporate Services Group,Corona Energy,V5671005,"57,611.22",Gas Costs
Defra,Core Dept,19-May-11,Electricity,Green Economy and Corporate Services Group,E D F Energy,117030511,"57,251.72",Electricity Costs
Defra,Core Dept,06-May-11,Other Current Payments (Evidence R&D),Environment and Rural Group,Jacobs Engineering UK Ltd,B1588100001GMC,"56,679.00",The development of a new generation of horticultural crop forecasting techniques 
Defra,Core Dept,27-May-11,Other Current Payments (Evidence R&D),Food and Farming Group,Institute For Animal Health,ERS-478819-33791,"56,287.33",Costs for GRFA development of novel Foot and Mouth Disease vaccines
Defra,Core Dept,10-May-11,Work package/WPO Implementation,Green Economy and Corporate Services Group,IBM United Kingdom Ltd,5804110578,"56,029.20",Charges for Authority Project Request10-042
Defra,Core Dept,27-May-11,Other Current Payments (Evidence R&D),Food and Farming Group,B B S R C,ERS-478849-33770,"55,904.50"," Costs for EMIDA Molecular studies of orbivirus transmission, epidemiology and diagnostics - May 2011 (EMIDA = Emerging and Major infectious diseases of livestock)"
Defra,Core Dept,04-May-11,Clearing Construction in Progress (I.T.),Food and Farming Group,Evolve Business Consultancy Lt,3750,"55,540.80","DEFRA NEW, ENDEMIC & ZOONOTIC DISEASE DIVISION Rapid Analysis and Detection of Animal-related Risks PROGRAMME-PROFESSIONAL SERVICES-MARCH 2011 "
Defra,Core Dept,04-May-11,IBM Base Services Control,Green Economy and Corporate Services Group,IBM United Kingdom Ltd,5804110857,"55,516.19",Charges for Contract Change Note for Natural England.
Defra,Core Dept,25-May-11,Other Current Payments (Evidence R&D) (Agency),Food and Farming Group,Veterinary Laboratories Agency,ERS-478768-33867,"55,124.41",Cost of Maintenance of a TSE-free sheep flock after importation from New Zealand May FY 2011/2012
Defra,Core Dept,04-May-11,Other Current Payments (Evidence R&D),Environment and Rural Group,SKM Enviros,260411,"54,000.00",Milestone payment for studies to explore Greenhouse Gas Emissions & Mitigation.
Defra,Core Dept,13-May-11,Other Current Payments (Evidence R&D),Environment and Rural Group,A E A Technology plc,6143608,"53,006.40",Project costs: UK Ambient Air Quality Assessments
Defra,Core Dept,13-May-11,FM Projects Non Capital Works,Green Economy and Corporate Services Group,Interserve (Facilities Mngmnt),FI00010436,"52,914.24",Facilities Management costs
Defra,Core Dept,25-May-11,Evidence Non R&D,Food and Farming Group,Identigen Ltd,Apr-11,"51,652.74",Laboratory payment for BSE testing April 2011
Defra,Core Dept,23-May-11,Agents Fees,Green Economy and Corporate Services Group,Interserve (Facilities Mngmnt),FI00008133,"50,450.98",Facilities Management costs
Defra,Core Dept,27-May-11,Other Current Payments (Evidence R&D),Food and Farming Group,University Of Manchester,15038555,"50,000.00",Costs for ASSESSMENT OF WASTE REDUCTION THROUGH IMPLEMENTATION OF SMART TRACKING AFM287
Defra,Core Dept,23-May-11,Other Current Payments (GB),Food and Farming Group,Durham County Council,25122035,"49,540.80",Animal Movement Licensing Scheme COSTS OCT 10 - MARCH 11
Defra,Core Dept,05-May-11,Other Current Payments (Evidence R&D),Environment and Rural Group,Food & Environment Research Ag,F0014817,"49,284.95",Improvements in the eddicacy and production of insecticidal fusion protiems for environmentally benign pest control
Defra,Core Dept,25-May-11,Other Current Payments (Evidence R&D) (Agency),Food and Farming Group,Veterinary Laboratories Agency,ERS-478784-33875,"48,965.83",Costs for Pathology and Pathogenesis of prion diseases research May FY 2011/12
Defra,Core Dept,17-May-11,Other Current Payments (Evidence R&D),Food and Farming Group,A E A Technology plc,6143288,"48,607.20",Costs for implementation of anaerobic digestion in England and Wales 
Defra,Core Dept,25-May-11,Agency Recharge,Green Economy and Corporate Services Group,Walter Lilly & Co Ltd,1383015,"48,298.18",Building costs in Veterinary laboratory Agency
Defra,Core Dept,10-May-11,Application Services/Applications Delivery,Green Economy and Corporate Services Group,IBM United Kingdom Ltd,5804110242,"48,000.00",Charges for Authority Project Request 10D-048
Defra,Core Dept,27-May-11,Other Current Payments (Evidence R&D),Food and Farming Group,Institute For Animal Health,ERS-478815-33787,"47,894.23",Costs for Predicting antigenic relationships between Foot and Mouth Disease vaccine strains and field isolates using viral capsid sequence comparisons - Apr 11 and May11
Defra,Core Dept,10-May-11,Clearing - CIP - IBM Capital Projects,Food and Farming Group,IBM United Kingdom Ltd,5804110383,"46,848.20",Authority Project Request (9D 134) 01/03/11 TO 31/03/11
Defra,Core Dept,25-May-11,Other Current Payments (Evidence R&D) (Agency),Food and Farming Group,Veterinary Laboratories Agency,ERS-478853-33901,"46,016.16",Costs relating to the Evaluation of the protection efficacy of vaccines against bovine TB in a natural transmission setting.
Defra,Core Dept,23-May-11,Other Current Payments (Evidence R&D),Food and Farming Group,The Freshwater Biological Asso,160511,"44,508.00",Costs for Demonstration Test Catchments: Data sharing and archival 2010/11
Defra,Core Dept,17-May-11,Application Services/Minor Enhancements,Green Economy and Corporate Services Group,IBM United Kingdom Ltd,5804111668,"44,357.56",Quarterly charge for business applications software licences
Defra,Core Dept,13-May-11,FM Projects Non Capital Works,Green Economy and Corporate Services Group,Interserve (Facilities Mngmnt),FI00009942,"43,198.96",Cost of Contract Variariations JULY 2010
Defra,Core Dept,23-May-11,Other Current Payments (GB),Food and Farming Group,Veterinary Laboratories Agency,3000006635,"42,952.50",Fallen cattle stock sampling 
Defra,Core Dept,23-May-11,Agents Fees,Green Economy and Corporate Services Group,Interserve (Facilities Mngmnt),FI00009276,"42,937.00",Facilities Management costs
Defra,Core Dept,13-May-11,Current Grants E,Environment and Rural Group,R S P B,210411,"42,828.25",Rural Development Programme England transition from Regional Development Agencies to Defra
Defra,Core Dept,19-May-11,Health Screening,Green Economy and Corporate Services Group,Atos Origin IT Services UK Ltd,5584081381,"42,787.10",Healthcare Costs
Defra,Core Dept,13-May-11,Other Current Payments (GB),Food and Farming Group,Buckinghamshire County Council,2205019956,"41,506.84",Animal Movement Licensing Scheme COSTS OCT 10 - MARCH 11
Defra,Core Dept,13-May-11,Other Current Payments (Evidence R&D),Food and Farming Group,The Royal Veterinary College,9.05E+11,"40,765.44",Costs for Assessment of tailored farm-level biosecurity strategies for beef suckler farms in England and Wales
Defra,Core Dept,25-May-11,IBM Miscellaneous Goods and Services,Green Economy and Corporate Services Group,IBM United Kingdom Ltd,5805110351,"40,339.78",DECC's connection to DefraNet as part of the Onboarding project.
Defra,Core Dept,05-May-11,Other Current Payments (Evidence R&D),Environment and Rural Group,Royal Botanic Garden Edinburgh,11260,"40,234.00",Research costs :The use of DNA barcoding to address major taxonomic problems for UK BAP listed bryophytes
Defra,Core Dept,27-May-11,Other Current Payments (Evidence R&D),Environment and Rural Group,University Of Reading,95404,"40,211.00",Project milestone payment: An investigation into three climate change issues for Priority Habitats and protected sites.
Defra,Core Dept,13-May-11,FM Projects Non Capital Works,Green Economy and Corporate Services Group,Interserve (Facilities Mngmnt),FI00009943,"40,181.42",Facilities Management costs
Defra,Core Dept,19-May-11,Other Current Payments (GB),Food and Farming Group,Northamptonshire County Counci,300311,"39,822.00",Animal Movement Licensing Scheme COSTS OCT 10-MARCH 11
Defra,Core Dept,19-May-11,Other Current Payments (Evidence R&D),Environment and Rural Group,Meteorological Office,160511,"39,105.48",Scientific Support For National and International Policy costs
Defra,Core Dept,19-May-11,Other Current Payments (GB),Food and Farming Group,Nottinghamshire County Council,PRA058346,"38,926.81", STANDING REGIME MOVEMENT CONTROL costs OCT 10-MAR 11
