Department,Entity,Date,Expense Type,Expense Area,Supplier,Transaction number, Amount ,Additional Narrative
Defra,Core Dept,13-May-11,Other Current Payments (Evidence R&D),Food and Farming Group,A D A S UK Ltd,5.05E+11,"34,923.19",Air quality measurements on cracking clay soils costs
Defra,Core Dept,27-May-11,Other Current Payments (Evidence R&D),Food and Farming Group,Institute For Animal Health,ERS-478836-33795,"34,468.66",Costs for Using the Foot and Mouth Disease integrin receptor for improved vaccine delivery and cross-serotype diagnosis
Defra,Core Dept,25-May-11,Other Current Payments (Evidence R&D) (Agency),Food and Farming Group,Veterinary Laboratories Agency,ERS-478787-33876,"34,304.83",Costs for TSE Molecular Sciences May FY 2011/2012
Defra,Core Dept,17-May-11,Other Current Payments (Evidence R&D),Environment and Rural Group,University Of Wales Aberystwyt,RG004406,"33,906.00",research project on assessment of air pollution damages’
Defra,Core Dept,13-May-11,Other Current Payments (Evidence R&D),Food and Farming Group,A D A S UK Ltd,5.05E+11,"33,846.00",Costs for research on  nitrification inhibitors and fertiliser nitrogen application timing strategies. 
Defra,Core Dept,23-May-11,Other Current Payments UK,Environment and Rural Group,Local Government Information U,3001098,"33,800.00",BIG SOC & CLIMATE ADAPTATION REPORT
Defra,Core Dept,27-May-11,Other Current Payments (Evidence R&D),Food and Farming Group,North Wyke Research.,ERS-479119-33985,"32,770.00",Costs for GHG Platform- Nitrous Oxide Emmissions Factors
Defra,Core Dept,19-May-11,Other Current Payments (Evidence R&D),Food and Farming Group,Elm Farm Research Centre,1309,"32,306.74","Research costs for Adaptive winter wheat populations: development, genetic characterisation and application Jan to Mar 11"
Defra,Core Dept,10-May-11,Contractor - Management Cover,Food and Farming Group,Alpine Resourcing Ltd,6920,"32,210.46",Interim management services April 2011
Defra,Core Dept,27-May-11,Other Current Payments (Evidence R&D),Food and Farming Group,University Of Strathclyde,ERS-478922-33858,"32,209.00",Costs for Aquaculture Sampling Approaches for Detection of Veterinary Residues - May 11
Defra,Core Dept,06-May-11,Other Current Payments (GB),Food and Farming Group,City & County Of Swansea,60123790,"32,208.00",Animal movement Licensing Scheme costs 01/10/2010 - 31/03/2011
Defra,Core Dept,27-May-11,Other Current Payments (Evidence R&D),Food and Farming Group,Institute For Animal Health,ERS-478817-33789,"31,657.71", Detection and modelling of airborne spread of foot and mouth disease (May 2011) - IAH
Defra,Core Dept,27-May-11,Other Current Payments (GB),Food and Farming Group,Leicestershire County Council,25301408,"31,335.60",Animal Movement Licensing Scheme COSTS OCT 10 - MARCH 11
Defra,Core Dept,27-May-11,Other Current Payments (Evidence R&D),Food and Farming Group,University of Oxford,ERS-478856-33847,"31,322.33",Costs for - Exploitation of the Campylobacter sequence typing databases - May 2011
Defra,Core Dept,25-May-11,Agency Recharge,Green Economy and Corporate Services Group,Walter Lilly & Co Ltd,1383PC004,"30,664.80",Building costs in Veterinary laboratory Agency
Defra,Core Dept,13-May-11,Other Current Payments (Evidence R&D),Food and Farming Group,A D A S UK Ltd,5.05E+11,"30,593.20",Payment to ADAS for costs relating to Research on Nitrous Oxide Emissions Factors Feb 2011
Defra,Core Dept,13-May-11,Overhead Incidental Expenses,Environment and Rural Group,A C R E,5188,"30,325.04",Rural Communities Fund management by Action with Communities in Rural England.
Defra,Core Dept,17-May-11,Accom HQ - New Work up to #500 & Reps & Maintenance,Green Economy and Corporate Services Group,Interserve (Facilities Mngmnt),FI00010434,"30,234.76",2010/11 Inbound secondment costs 
Defra,Core Dept,13-May-11,Other Current Payments E,Environment and Rural Group,IBM United Kingdom Ltd,5804111498,"29,996.22",Rural Development Programme England transition from Regional Development Agencies to Defra
Defra,Core Dept,19-May-11,Other Current Payments (Evidence R&D),Food and Farming Group,N I A B,27959,"29,446.21",Research costs for Buglossoides arvensis: A new crop for the UK May 2011
Defra,Core Dept,25-May-11,Business & Technical/Consultancy Assignments,Green Economy and Corporate Services Group,IBM United Kingdom Ltd,5805110353,"29,442.00",DECC's connection to DefraNet as part of the Onboarding project.
Defra,Core Dept,06-May-11,Current Grants E,Environment and Rural Group,Birdlife International,150411,"29,416.75",Darwin initiative project grant payment
Defra,Core Dept,25-May-11,Other Current Payments (Evidence R&D),Food and Farming Group,University Of Wales Aberystwyt,IRG10710,"29,411.80",Costs for Harnessing new technologies for sustainable oat production and utilisation
Defra,Core Dept,11-May-11,Other Current Payments (Evidence R&D),Food and Farming Group,A D A S UK Ltd,RIRP052835,"29,399.18",Payment to ADAS for costs relating to Practical cost-effective techniques to reduce pollution from tramlines in combinable crops: a field and catchment scale evaluation 2011
Defra,Core Dept,25-May-11,Application Services/Applications Delivery,Green Economy and Corporate Services Group,IBM United Kingdom Ltd,5805110354,"29,256.00",IT charges. May 2011
Defra,Core Dept,25-May-11,Other Current Payments (Evidence R&D) (Agency),Food and Farming Group,Veterinary Laboratories Agency,ERS-478865-33907,"28,996.16",Assessment of the risk of selection of Extended Spectrum Beta Lactamase resistance in calves by feeding waste milk containing - VLA - May 2011
Defra,Core Dept,17-May-11,FM Projects Non Capital Works,Green Economy and Corporate Services Group,Interserve (Facilities Mngmnt),FI00010441,"28,825.93",Facilities Management costs
Defra,Core Dept,13-May-11,Other Current Payments (Evidence R&D),Food and Farming Group,University Of Wales Aberystwyt,IRG10709,"28,818.15",Cost for Development of productive and persistent high quality forage grasses and white clover with increased water-use-efficiency and resilience to summer droughts FOR JANUARY -MARCH 2011
Defra,Core Dept,10-May-11,Work package/WPO  Development,Green Economy and Corporate Services Group,Forrester Research Ltd,FRLON05544,"28,800.00",Forrester Leadership Board costs 
Defra,Core Dept,06-May-11,Other Current Payments (GB),Food and Farming Group,Wrexham County Borough Council,INV2882682,"28,707.66",Animal Movement Licensing Scheme COSTS OCTOBER 2010 TO MARCH 2011
Defra,Core Dept,05-May-11,Consultancy Non-Scheme,Environment and Rural Group,Department For Transport,9300099677,"28,320.00", Re-shaping of National Standards and New Impact Assessment for consultation
Defra,Core Dept,23-May-11,Other Current Payments (GB),Food and Farming Group,Food & Environment Research Ag,F0014738,"27,996.00",Annex B Memorandum of Understanding Food and Environment Research Agency 2010/11
