Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type,Contract Number,Project Code,Expenditure Type
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Professional Training,Economics & Markets - Labour Market,CIVIL SERVICE COLLEGE LTD,96060,1700.00,E&M Devolved Admin-Professional Training,SW1H 9BU,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/05/2015,Technical Advice / Services & Support,"People, Strategy and Higher Education - Human Resources",DEAN LEPLEY,96061,300.00,PSHE Non Devolved Admin-Technical Advice / Services & Support,UB10 9AT,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Current Grants To Private Sector - NPISH,Enterprise & Skills Group - Enterprise Directorate,HAMPSHIRE COUNTY COUNCIL,96062,11300.65,Business Link: Helpline-Current Grants To Private Sector - NPISH,SO23 8UB,WGA ONLY,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/05/2015,Other Staff Welfare Costs,"People, Strategy and Higher Education - Human Resources",RIGHT CORECARE LTD T/A RIGHT MANAGEMENT WORKPLACE WELLNESS,96063,151.78,PSHE Non Devolved Admin-Other Staff Welfare Costs,EC4N 7BE,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/05/2015,Other Staff Welfare Costs,"People, Strategy and Higher Education - Human Resources",RIGHT CORECARE LTD T/A RIGHT MANAGEMENT WORKPLACE WELLNESS,96063,926.79,PSHE Devolved Admin-Other Staff Welfare Costs,EC4N 7BE,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Project Management Costs,Enterprise & Skills Group - Enterprise Directorate,GWE BUSINESS WEST LTD,96064,25000.00,Growth Vouchers-Project Management Costs,BS8 3RA,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Research and Development Expenditure,Knowledge & Innovation Group - Innovation Directorate,LGC LTD,96065,145541.00,British Israeli Technical Assistance-Research and Development Expenditure,TW11 0LY,GRANT,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Technical Advice / Services & Support,"Business & Local Growth - Energy, Materials and Agri-Tech",WILLIAMS LEA LTD,96066,6249.00,BLG Devolved Admin-Technical Advice / Services & Support,EC1M 4NA,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Research and Development Expenditure,Knowledge & Innovation Group - Innovation Directorate,LGC LTD,96067,58000.00,British Israeli Technical Assistance-Research and Development Expenditure,TW11 0LY,GRANT,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Utilisation of Provisions - Purchase of Goods & Services - Other,Business & Local Growth - Advanced Manufacturing Services,THOMPSONS SOLICITORS,96068,1137.71,AMD: Vosper Gap- British Shipbuilders-Utilisation of Provisions - Purchase of Goods & Services - Other,WC1B 3LW,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Research and Development Expenditure,Knowledge & Innovation Group - Innovation Directorate,LGC LTD,96069,66450.00,British Israeli Technical Assistance-Research and Development Expenditure,TW11 0LY,GRANT,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Current Grants To Private Sector - NPISH,"Business & Local Growth - Energy, Materials and Agri-Tech",CONFEDERATION OF BRITISH METALFORMING,96070,12500.00,MRI: Sponsorship-Current Grants To Private Sector - NPISH,B70 6PY,GRANT,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/05/2015,Economic Consultancy & Research,Government Office for Science -  Government Office for Science,UNIVERSITY OF EAST ANGLIA,96071,5000.00,Foresight: Demography and Ageing-Economic Consultancy & Research,NR4 7TJ,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,External Legal Advice and Service,Legal Services - Legal Services,GOVERNMENT LEGAL DEPARTMENT,96080,527.00,Legal Services Admin-External Legal Advice and Service,WC2B 4TS,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,External Legal Advice and Service,Legal Services - Legal Services,GOVERNMENT LEGAL DEPARTMENT,96080,126402.13,Legal Services Admin-External Legal Advice and Service,WC2B 4TS,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,External Legal Advice and Service,Legal Services - Legal Services,GOVERNMENT LEGAL DEPARTMENT,96081,50.00,Legal Services Admin-External Legal Advice and Service,WC2B 4TS,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,External Legal Advice and Service,Legal Services - Legal Services,GOVERNMENT LEGAL DEPARTMENT,96081,1784.40,Legal Services Admin-External Legal Advice and Service,WC2B 4TS,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/05/2015,Hire of Agency Staff,"People, Strategy and Higher Education - Communications Directorate",BROOK STREET (UK) LTD,96082,295.74,PSHE Devolved Admin-Hire of Agency Staff,AL1 4JB,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/05/2015,Hire of Agency Staff,Shareholder Executive - Business Portfolio,BROOK STREET (UK) LTD,96085,1051.25,ShEx Devolved Admin-Hire of Agency Staff,AL1 4ZX,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/05/2015,Hire of Agency Staff,Shareholder Executive - Business Portfolio,BROOK STREET (UK) LTD,96086,867.50,ShEx Devolved Admin-Hire of Agency Staff,AL1 4ZX,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/05/2015,Capital Grants to Private Sector - Companies,Business & Local Growth - Regional Growth,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,96088,3155011.00,EX RDA Portfolio Management Office-Capital Grants to Private Sector - Companies,B29 6JS,GRANT,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Criminal Law and Prosecution Work,Legal Services - Legal Services,VICTIM SUPPORT,96119,800.00,Asset Recovery Incentivisation Scheme-Criminal Law and Prosecution Work,EC1Y 8ST,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Professional Training,"People, Strategy and Higher Education - Communications Directorate",BESPOKE SPEECHWRITING SERVICES LTD,96120,1500.00,PSHE Devolved Admin-Professional Training,WC2N 6AA,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Occupational Health Service,"People, Strategy and Higher Education - Human Resources",HEALTH MANAGEMENT LTD,96121,1998.34,PSHE Non Devolved Admin-Occupational Health Service,BN8 5NN,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Eye Tests,Finance & Commercial Group - Estates,"Personal Expense, Name Witheld",96125,90.00,F&C Non Devolved Admin-Eye Tests,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Rail Travel UK,Shareholder Executive - Corporate Finance Practice,"Personal Expense, Name Witheld",96133,10.20,ShEx Devolved Admin-Rail Travel UK,,,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Taxi Services UK,Shareholder Executive - Corporate Finance Practice,"Personal Expense, Name Witheld",96133,24.30,ShEx Devolved Admin-Taxi Services UK,,,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Air Travel UK,Shareholder Executive - Corporate Finance Practice,"Personal Expense, Name Witheld",96133,52.32,ShEx Devolved Admin-Air Travel UK,,,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Subsistence UK,"People, Strategy and Higher Education -  Ministerial and Parliamentary Support Team","Personal Expense, Name Witheld",96134,5.00,PSHE Devolved Admin-Subsistence UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Other Travel,Enterprise & Skills Group - Better Regulation Delivery Office,"Personal Expense, Name Witheld",96139,4.60,BRDO: Risk and Data Sharing-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Subsistence UK,Enterprise & Skills Group - Better Regulation Delivery Office,"Personal Expense, Name Witheld",96139,10.00,BRDO: Risk and Data Sharing-Subsistence UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Other Travel,Enterprise & Skills Group - Better Regulation Delivery Office,"Personal Expense, Name Witheld",96139,17.68,BRDO: Risk and Data Sharing-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Subsistence UK,Enterprise & Skills Group - Better Regulation Delivery Office,"Personal Expense, Name Witheld",96139,17.99,BRDO: Risk and Data Sharing-Subsistence UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Subsistence UK,Economics & Markets - Business Environment,"Personal Expense, Name Witheld",96140,5.90,E&M Devolved Admin-Subsistence UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Subsistence UK,Economics & Markets - Business Environment,"Personal Expense, Name Witheld",96140,15.00,E&M Devolved Admin-Subsistence UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Other Travel,Economics & Markets - Business Environment,"Personal Expense, Name Witheld",96140,35.20,E&M Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Other Travel,Economics & Markets - Business Environment,"Personal Expense, Name Witheld",96140,35.30,E&M Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Subsistence UK,Economics & Markets - Business Environment,"Personal Expense, Name Witheld",96140,41.10,E&M Devolved Admin-Subsistence UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Rail Travel UK,Economics & Markets - Business Environment,"Personal Expense, Name Witheld",96140,42.00,E&M Devolved Admin-Rail Travel UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Other Travel,Economics & Markets - Business Environment,"Personal Expense, Name Witheld",96140,105.50,E&M Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Hotel & Accommodation UK,Economics & Markets - Business Environment,"Personal Expense, Name Witheld",96140,125.00,E&M Devolved Admin-Hotel & Accommodation UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Mileage Allowance UK,Business & Local Growth - Office for Life Sciences,"Personal Expense, Name Witheld",96141,69.30,BLG Devolved Admin-Mileage Allowance UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Subsistence UK,Legal Services - Legal Services,"Personal Expense, Name Witheld",96143,5.00,Legal Services Admin-Subsistence UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Subsistence UK,Legal Services - Legal Services,"Personal Expense, Name Witheld",96143,8.79,Legal Services Admin-Subsistence UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Other Travel,Legal Services - Legal Services,"Personal Expense, Name Witheld",96143,18.00,Legal Services Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Other Travel,Legal Services - Legal Services,"Personal Expense, Name Witheld",96143,21.60,Legal Services Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Other Travel,Legal Services - Legal Services,"Personal Expense, Name Witheld",96143,35.00,Legal Services Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Mileage Allowance UK,Legal Services - Legal Services,"Personal Expense, Name Witheld",96143,95.40,Legal Services Admin-Mileage Allowance UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Rail Travel Overseas,Business & Local Growth - Europen Reform,"Personal Expense, Name Witheld",96145,3.04,BLG Devolved Admin-Rail Travel Overseas,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Subsistence Overseas,Business & Local Growth - Europen Reform,"Personal Expense, Name Witheld",96145,6.09,BLG Devolved Admin-Subsistence Overseas,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Subsistence Overseas,Business & Local Growth - Europen Reform,"Personal Expense, Name Witheld",96145,10.00,BLG Devolved Admin-Subsistence Overseas,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Mileage Allowance UK,Knowledge & Innovation Group - International Knowledge and Innovation,"Personal Expense, Name Witheld",96146,35.56,K&I Devolved Admin-Mileage Allowance UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Rail Travel Overseas,Knowledge & Innovation Group - Innovation Directorate,"Personal Expense, Name Witheld",96147,3.06,K&I Devolved Admin-Rail Travel Overseas,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Subsistence Overseas,Knowledge & Innovation Group - Innovation Directorate,"Personal Expense, Name Witheld",96147,22.07,K&I Devolved Admin-Subsistence Overseas,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Subsistence Overseas,Knowledge & Innovation Group - Innovation Directorate,"Personal Expense, Name Witheld",96147,30.00,K&I Devolved Admin-Subsistence Overseas,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Subsistence Overseas,Knowledge & Innovation Group - Innovation Directorate,"Personal Expense, Name Witheld",96147,71.35,K&I Devolved Admin-Subsistence Overseas,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Hotel & Accommodation Overseas,Knowledge & Innovation Group - Innovation Directorate,"Personal Expense, Name Witheld",96147,365.38,K&I Devolved Admin-Hotel & Accommodation Overseas,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Other Travel,Knowledge & Innovation Group - Innovation Directorate,"Personal Expense, Name Witheld",96148,3.60,K&I Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Other Travel,Knowledge & Innovation Group - Innovation Directorate,"Personal Expense, Name Witheld",96148,3.75,K&I Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Subsistence UK,Knowledge & Innovation Group - Innovation Directorate,"Personal Expense, Name Witheld",96148,10.00,K&I Devolved Admin-Subsistence UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Taxi Services UK,Knowledge & Innovation Group - Innovation Directorate,"Personal Expense, Name Witheld",96148,14.70,K&I Devolved Admin-Taxi Services UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Other Travel,Knowledge & Innovation Group - Innovation Directorate,"Personal Expense, Name Witheld",96148,16.10,K&I Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Subsistence UK,Knowledge & Innovation Group - Innovation Directorate,"Personal Expense, Name Witheld",96148,25.19,K&I Devolved Admin-Subsistence UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Subsistence UK,Business & Local Growth - BIS Local,"Personal Expense, Name Witheld",96150,3.00,BLG Devolved Admin-Subsistence UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Other Travel,Business & Local Growth - BIS Local,"Personal Expense, Name Witheld",96150,3.70,BLG Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Other Travel,Business & Local Growth - BIS Local,"Personal Expense, Name Witheld",96150,10.00,BLG Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Mileage Allowance UK,Business & Local Growth - BIS Local,"Personal Expense, Name Witheld",96150,11.97,BLG Devolved Admin-Mileage Allowance UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Subsistence Overseas,Business & Local Growth - Europen Reform,"Personal Expense, Name Witheld",96151,10.40,BLG Devolved Admin-Subsistence Overseas,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Other Travel,Business & Local Growth - Europen Reform,"Personal Expense, Name Witheld",96151,15.34,BLG Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Subsistence Overseas,Business & Local Growth - Europen Reform,"Personal Expense, Name Witheld",96151,26.53,BLG Devolved Admin-Subsistence Overseas,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Other Travel,"People, Strategy and Higher Education - Human Resources","Personal Expense, Name Witheld",96152,9.95,PSHE Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Other Travel,"People, Strategy and Higher Education - Human Resources","Personal Expense, Name Witheld",96152,28.60,PSHE Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Subsistence UK,Enterprise & Skills Group - Vocational Education Directorate,"Personal Expense, Name Witheld",96153,10.60,E&S Devolved Admin-Subsistence UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Mileage Allowance UK,Enterprise & Skills Group - Vocational Education Directorate,"Personal Expense, Name Witheld",96153,19.80,E&S Devolved Admin-Mileage Allowance UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Other Travel,Enterprise & Skills Group - Vocational Education Directorate,"Personal Expense, Name Witheld",96153,23.00,E&S Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Other Travel,Legal Services - Legal Services,"Personal Expense, Name Witheld",96154,5.00,Legal Services Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Other Travel,Legal Services - Legal Services,"Personal Expense, Name Witheld",96154,21.30,Legal Services Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Subsistence UK,Legal Services - Legal Services,"Personal Expense, Name Witheld",96154,35.00,Legal Services Admin-Subsistence UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Subsistence UK,Legal Services - Legal Services,"Personal Expense, Name Witheld",96154,85.79,Legal Services Admin-Subsistence UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Mileage Allowance UK,Legal Services - Legal Services,"Personal Expense, Name Witheld",96154,550.35,Legal Services Admin-Mileage Allowance UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Other Travel,Legal Services - Legal Services,"Personal Expense, Name Witheld",96155,13.60,Legal Services Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Subsistence UK,Legal Services - Legal Services,"Personal Expense, Name Witheld",96155,20.00,Legal Services Admin-Subsistence UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Rail Travel UK,Legal Services - Legal Services,"Personal Expense, Name Witheld",96155,27.70,Legal Services Admin-Rail Travel UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Other Travel,Legal Services - Legal Services,"Personal Expense, Name Witheld",96155,43.80,Legal Services Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Subsistence UK,Legal Services - Legal Services,"Personal Expense, Name Witheld",96155,53.27,Legal Services Admin-Subsistence UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Mileage Allowance UK,Legal Services - Legal Services,"Personal Expense, Name Witheld",96155,576.90,Legal Services Admin-Mileage Allowance UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Other Travel,"Business & Local Growth - Energy, Materials and Agri-Tech","Personal Expense, Name Witheld",96156,18.40,BLG Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Subsistence Overseas,Legal Services - Legal Services,"Personal Expense, Name Witheld",96157,6.82,Legal Services Admin-Subsistence Overseas,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Subsistence Overseas,Legal Services - Legal Services,"Personal Expense, Name Witheld",96157,29.44,Legal Services Admin-Subsistence Overseas,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Taxi Services Overseas,Legal Services - Legal Services,"Personal Expense, Name Witheld",96157,47.39,Legal Services Admin-Taxi Services Overseas,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Other Travel,Finance & Commercial Group - Finance Directoreate,"Personal Expense, Name Witheld",96158,7.09,F&C Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Subsistence UK,Finance & Commercial Group - Finance Directoreate,"Personal Expense, Name Witheld",96158,9.64,F&C Devolved Admin-Subsistence UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Taxi Services UK,Finance & Commercial Group - Finance Directoreate,"Personal Expense, Name Witheld",96158,12.00,F&C Devolved Admin-Taxi Services UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Subsistence UK,Finance & Commercial Group - Finance Directoreate,"Personal Expense, Name Witheld",96158,15.00,F&C Devolved Admin-Subsistence UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Subsistence UK,Finance & Commercial Group - Finance Directoreate,"Personal Expense, Name Witheld",96158,29.48,F&C Devolved Admin-Subsistence UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Other Travel,Knowledge & Innovation Group - International Knowledge and Innovation,"Personal Expense, Name Witheld",96159,1.90,K&I Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Other Travel,Knowledge & Innovation Group - International Knowledge and Innovation,"Personal Expense, Name Witheld",96159,2.90,K&I Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Hotel & Accommodation UK,Government Office for Science -  Government Office for Science,"Personal Expense, Name Witheld",96160,80.00,Other Devolved Admin-Hotel & Accommodation UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Other Travel,Government Office for Science -  Government Office for Science,"Personal Expense, Name Witheld",96160,92.02,Other Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Other Travel,Government Office for Science -  Government Office for Science,"Personal Expense, Name Witheld",96161,1.50,Other Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Other Travel,Government Office for Science -  Government Office for Science,"Personal Expense, Name Witheld",96161,10.00,Other Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Subsistence UK,Government Office for Science -  Government Office for Science,"Personal Expense, Name Witheld",96162,5.00,Other Devolved Admin-Subsistence UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Other Travel,Government Office for Science -  Government Office for Science,"Personal Expense, Name Witheld",96162,6.38,Other Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Taxi Services UK,Government Office for Science -  Government Office for Science,"Personal Expense, Name Witheld",96162,11.20,Other Devolved Admin-Taxi Services UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Subsistence UK,Government Office for Science -  Government Office for Science,"Personal Expense, Name Witheld",96163,3.90,Other Devolved Admin-Subsistence UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Other Travel,Government Office for Science -  Government Office for Science,"Personal Expense, Name Witheld",96163,7.54,Other Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Taxi Services UK,Government Office for Science -  Government Office for Science,"Personal Expense, Name Witheld",96163,12.00,Other Devolved Admin-Taxi Services UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Taxi Services UK,Government Office for Science -  Government Office for Science,"Personal Expense, Name Witheld",96164,12.00,Other Devolved Admin-Taxi Services UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Other Travel,Government Office for Science -  Government Office for Science,"Personal Expense, Name Witheld",96164,13.34,Other Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Subsistence UK,Government Office for Science -  Government Office for Science,"Personal Expense, Name Witheld",96165,5.00,Other Devolved Admin-Subsistence UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Other Travel,Government Office for Science -  Government Office for Science,"Personal Expense, Name Witheld",96165,9.89,Other Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Taxi Services UK,Government Office for Science -  Government Office for Science,"Personal Expense, Name Witheld",96165,11.50,Other Devolved Admin-Taxi Services UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Other Travel,Enterprise & Skills Group - Vocational Education Directorate,"Personal Expense, Name Witheld",96166,4.25,E&S Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Other Travel,Enterprise & Skills Group - Better Regulation Delivery Office,"Personal Expense, Name Witheld",96167,5.00,E&M Devolved Admin-Other Travel,,EMPLOYEE,,,
