Entity,Date,Supplier , Amount ,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type,Vat Registration Num
AHVLA,25/11/2013,TORCH FARM AND EQUINE LTD~136138523," £34,898.75 ",Payment to veterinary practice for services provided in an official capacity,EX31 3FG,SME,,00000000,Expense,
AHVLA,25/11/2013,SYNERGY FARM HEALTH LTD~979392255," £33,801.94 ",Payment to veterinary practice for services provided in an official capacity.,DT2 0LD,SME,,00000000,Expense,
AHVLA,25/11/2013,George Veterinary Group~137680257," £27,112.88 ",Payment to veterinary practice for services provided in an official capacity,SN16 9AA,SME,,00000000,Expense,
AHVLA,21/11/2013,Redfern Travel Ltd," £105,560.63 ",Travel charges - October 2013,BD1 3AZ,SME,,00000000,Asset,
AHVLA,07/11/2013,Barclaycard Business Issuing," £71,495.15 ",Government Procurement Card spend - October 2013,TS17 6YG,SME,,00000000,Asset,
AHVLA,01/11/2013,Vodafone Ltd," £31,204.20 ",Mobile phone charges - October 2013.,,,,00000000,Asset,
AHVLA,25/11/2013,Penbode Veterinary Group~143290584," £40,495.66 ",Payment to veterinary practice for services provided in an official capacity.,EX22 6HB,SME,,00000000,Expense,
AHVLA,11/11/2013,H M Revenue & Customs," £34,156.47 ",Employer's National Insurance Contribution on outsourced vets - October 2013,BD98 8AA,,,00000000,Liability,
AHVLA,21/11/2013,D T Z," £47,982.09 ","Quarterly rates, electricity, gas and water arrears (Worcester) - 01 July-30 September 2013",B4 6HT,,,HARDESTA,Expense,
AHVLA,21/11/2013,D T Z," £40,577.04 ","Quarterly rates, insurance, rent, service charge, Electricity, gas and water arrears (Carlisle) - 01 July-30 September 2013",B4 6HT,,,HARDESTA,Expense,
AHVLA,21/11/2013,D T Z," £65,406.93 ","Quarterly rates, rent, electricity, gas and water arrears (Carmarthen) - 01 July-30 September 2013",B4 6HT,,,HARDESTA,Expense,
AHVLA,21/11/2013,D T Z," £40,565.16 ","Quarterly rates, rent, service charge, electricity, gas and water arrears (Bristol) - 01 July-30 September 2013 ",B4 6HT,,,HARDESTA,Expense,
AHVLA,21/11/2013,D T Z," £72,992.62 ","Quarterly rates, rent, service charge, electricity arrears (Gloucester) - 01 July-30 September 2013",B4 6HT,,,HARDESTA,Expense,
AHVLA,21/11/2013,D T Z," £50,033.66 ",Quarterly rent and service charge arrears (Truro) - 01 July-30 September 2013 ,B4 6HT,,,HARDESTA,Expense,
AHVLA,21/11/2013,D T Z," £74,975.20 ","Quarterly rates, Insurance, rent, electricity, gas and water arrears (Reigate) - 01 July-30 September 2013 ",B4 6HT,,,HARDESTA,Expense,
AHVLA,21/11/2013,D T Z," £75,515.33 ","Quarterly rates, rent, service charge, electricity, gas and water arrears (Westminster Nobel House) - 01 July-30 September 2013 ",B4 6HT,,,HARDESTA,Expense,
AHVLA,25/11/2013,IBM United Kingdom Ltd," £415,164.80 ",Business Release Programme - Release 7 and 8: Detailed Technical Design - November 2013.,GU1 2LD,SME,,BRP00247,Expense,
AHVLA,25/11/2013,IBM United Kingdom Ltd," £142,383.06 ",Business Release Programme - Release 7 and 8: Construction and Unit Test - November 2013,GU1 2LD,SME,,BRP00247,Expense,
AHVLA,25/11/2013,IBM United Kingdom Ltd," £50,505.29 ",Business Release Programme - Release 7: Management Team - November 2013,GU1 2LD,SME,,BRP00247,Expense,
AHVLA,21/11/2013,IBM United Kingdom Ltd," £50,505.29 ",Business Release Programme - Release 7: Management Team - October 2013,GU1 2LD,SME,,BRP00247,Expense,
AHVLA,11/11/2013,IBM United Kingdom Ltd," £344,795.41 ",Business Release Programme - Release 7 and 8: Detailed Technical Design - October 2013,GU1 2LD,SME,,BRP00247,Expense,
AHVLA,25/11/2013,Food & Environment Research Agency," £83,375.00 ",Contribution for Wildlife Unit hard charges - October 2013,YO41 1LZ,,,00000000,Expense,
AHVLA,13/11/2013,The Royal Veterinary College," £36,892.55 ","Provision of veterinary surveillance, diagnostic necropsy and laboratory testing services - Jul-September 2013",NW1 0TU,SME,,RDED1008,Expense,
AHVLA,13/11/2013,The Royal Veterinary College," £36,892.55 ","Provision of veterinary surveillance, diagnostic necropsy and laboratory testing services - April-June 2013",NW1 0TU,SME,,RDED1008,Expense,
AHVLA,05/11/2013,D T Z," £85,864.95 ",Office Services (Weybridge) - 01 April-30 June 2013  ,B4 6HT,,,HARDESTA,Expense,
AHVLA,21/11/2013,D T Z," £27,021.89 ",Office Services (Exeter - Starcross) - 01 July-30 September 2013  ,B4 6HT,,,HARDESTA,Expense,
AHVLA,21/11/2013,D T Z," £30,235.85 ",Office Services (Sutton Bonnington) - 01 July-30 September 2013   ,B4 6HT,,,HARDESTA,Expense,
AHVLA,21/11/2013,D T Z," £40,665.97 ",Establishment Costs (Weybridge) - November 2013 ,B4 6HT,,,HARDESTA,Expense,
AHVLA,21/11/2013,D T Z," £1,385,525.92 ",Office Services (Weybridge) - 01 July-30 September 2013   ,B4 6HT,,,HARDESTA,Expense,
AHVLA,13/11/2013,A D A S UK Ltd," £36,032.22 ",Research Studies: Maintenance of a Transmissible Spongiform Encephalopathies (TSE)-free flock - October 2013,WV6 5AP,,,TSSE1931,Expense,
AHVLA,25/11/2013,A D A S UK Ltd," £36,032.22 ",Research Studies: Maintenance of a Transmissible Spongiform Encephalopathies (TSE)-free flock - November 2013,WV6 5AP,,,TSSE1931,Expense,
AHVLA,21/11/2013,The Pirbright Institute," £31,872.00 ",Disinfectant efficacy testing against Foot and Mouth Disease and Swine Vesicular Disease,GU24 0NF,,,RDFT1368,Expense,
AHVLA,01/11/2013,L G C Limited," £75,048.20 ",Transmissible Spongiform Encephalopathies (TSE) samples - September 2013,TW11 0LY,SME,,TSTS5902,Expense,
AHVLA,05/11/2013,DX Network Services Ltd," £25,804.10 ",Movement of samples for the fallen stock project - October 2013,NN3 6YG,,,TSTS5902,Expense,
AHVLA,15/11/2013,A D A S UK Ltd," £125,625.00 ",BCG (Bacillus Calmette-Guerin) Vaccine Safety Study in Lactating Cows - second staged payment 01 April 2013 - 31 May 2014.,WV6 5AP,,,TBSE3266,Expense,
AHVLA,21/11/2013,Becton Dickinson UK Ltd," £26,137.32 ",Purchase of laboratory consumables ,OX4 4DQ,,,00000000,Expense,
AHVLA,19/11/2013,Celtic Diagnostics Ltd," £123,000.00 ",Purchase of Specialist Laboratory Kits,,SME,,EXSV3997,Expense,
AHVLA,25/11/2013,Willis Ltd," £28,381.50 ",Fully comprehensive insurance for sixty three cars - 01 November 2013-31 October 2014,IP1 1TA,,,CARLEASE,Expense,
AHVLA,21/11/2013,Hitachi Capital Vehicle Solutions," £73,020.43 ",Monthly Vehicle Rental Charges - November 2013,RG14 2NU,,,CARLEASE,Expense,
AHVLA,01/11/2013,S F W Ltd," £34,438.36 ",Managed Services and Applications Support Service Costs - 01 October-31 December 2013,GU22 7UY,SME,,00000000,Expense,
Seafish,12/11/2013,British Nutrition Foundation," £35,632.80 ",Fish is the Dish - Education resource packs,WC2B 6UN,,,,,381 7380 37
Seafish,01/11/2013,A.C. Nielsen Company Limited," £35,322.97 ",Payment towards twelve month contract on market information - July-October 2013,OX3 9RX,,,,,GB663603929
Seafish,27/11/2013,Billingsgate Seafood Training School," £30,000.00 ",Delivery of a children’s education outreach programme in the South East of England - 1st April–30th September 2013 ,E14 5ST,,,,,
Royal Botanic Gardens Kew,01/11/2013,EDF Energy Customers plc," £59,426.41 ",Kew Gardens electricity costs - October 2013 ,,,,,,
Royal Botanic Gardens Kew,19/11/2013,Turner & Townsend Project Management Ltd," £110,290.90 ",Work on the Temperate House renovation project,,,,,,
Royal Botanic Gardens Kew,19/11/2013,Turner & Townsend Project Management Ltd," £72,480.00 ",Work on the Temperate House renovation project,,,,,,
Royal Botanic Gardens Kew,19/11/2013,Design Clean Limited," £42,310.64 ",Cleaning contract  - October 2013 contract charge,,,,,,
Royal Botanic Gardens Kew,13/11/2013,Swets Information Services Ltd," £48,848.46 ",Annual costs of scientific and botanic journals and information subscriptions used in the Royal Botanic Gardens' Library and Archives - 2013-14,,,,,,
Royal Botanic Gardens Kew,26/11/2013,CORONA ENERGY RETAIL 4 LIMITED," £50,488.31 ",Gas costs - November 2013 ,,,,,,
Royal Botanic Gardens Kew,11/11/2013,Skanska Rashleigh Weatherfoil," £123,312.58 ","Replacement of cooling systems and associated works in the Herbarium Building, Wing D",,,,,,
Royal Botanic Gardens Kew,01/11/2013,EDF Energy Customers plc," £54,557.56 ",Electricity costs - November 2013,,,,,,
Fera,05/11/2013,Dhl International Uk Ltd," £32,397.23 ",Microbiology Rounds as part of the Proficiency Testing Scheme,TW3 9LP,,N/A,V2AZ5006,,
Fera,05/11/2013,Nuvia Ltd," £38,027.46 ",Development of methodology of Government Decontamination Service contractors,WA3 6TW,,N/A,Y2BI2200,,
Fera,05/11/2013,Studsvik Uk Ltd," £37,674.00 ",Development of methodology of Government Decontamination Service contractors,NE11 0NF,,N/A,Y2BI2200,,
Fera,11/11/2013,Universiteit Gent," £100,716.87 ","Bystanders', Residents', Operators' and Workers' Exposure models for plant protection products",.,,N/A,V1UN4007,,
Fera,12/11/2013,National Westminster Bank Plc," £162,354.35 ",Payment of all Fera Government Procurement Card usage - November 2013.,SS1 9AJ,,N/A,!,,
Fera,12/11/2013,National Veterinary Research Institute," £65,956.34 ",Integrated monitoring and control of foodborne viruses in European food supply chains project,.,,N/A,S4MZ4000,,
Fera,12/11/2013,National Veterinary Research Institute," £74,000.91 ",Integrated monitoring and control of foodborne viruses in European food supply chains project,.,,N/A,S4MZ4000,,
Fera,14/11/2013,Health And Safety Laboratory," £45,000.00 ",Development of methodology of Government Decontamination Service contractors,SK17 9JN,,N/A,Y2BI2370,,
Fera,19/11/2013,National Institute of Agricultural Botany," £56,616.65 ",Government and Regulation Service for Seed Certification/Marketing ,CB3 0LE,,N/A,A2AO1000,,
Fera,19/11/2013,National Institute of Agricultural Botany," £25,165.35 ",Government and Regulation Service for Seed Certification/Marketing ,CB3 0LE,,N/A,A2AO1000,,
Fera,19/11/2013,National Institute of Agricultural Botany," £92,049.65 ",Government and Regulation Service for Seed Certification/Marketing ,CB3 0LE,,N/A,A2AO1000,,
Fera,19/11/2013,National Institute of Agricultural Botany," £43,431.91 ",Government and Regulation Service for Seed Certification/Marketing ,CB3 0LE,,N/A,A2AO1000,,
Fera,25/11/2013,Genxpro Gmbh," £34,495.58 ",Abstress - Improving the resistance of legume crops to combined abiotic and biotic stress project,.,,N/A,W8KH3600,,
