Entity,Date,Supplier , Amount ,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type,Vat Registration Num
EA,12/11/2013,EDF Energy Plc," £41,672.89 ",Renewable electricity to Above 100kWh sites - Kennett Pumping Station,PL3 5ZN,,30367261,,Administration,
EA,12/11/2013,EDF Energy Plc," £78,806.72 ",Renewable electricity to Above 100kWh sites - Wixoe pumping station,PL3 5ZN,,30367261,  REAN000470  ,Project,
EA,26/11/2013,British Gas Business," £39,760.70 ",Renewable electricity to sub100kWh sites in Anglian region,OX4 2JY,,30367262,,Administration,
EA,26/11/2013,British Gas Business," £58,404.95 ",Renewable Electricity to Sub100kWh Sites in South East Region,OX4 2JY,,30331286,,Administration,
EA,26/11/2013,British Gas Business," £34,160.95 ",Renewable electricity to sub100kWh sites in South West region,OX4 2JY,,30367267,,Administration,
EA,26/11/2013,Roshal Space Consultants Ltd," £35,197.20 ",Renewal of car park surface at Riversmeet House,LE67 8QT,,30144299,,Administration,
EA,05/11/2013,DTZ Debenham Tie Leung," £47,624.47 ","Rent for Dragonfly House, Norwich - 01 July-30 September 2013",EC2N 2BQ,,,,Administration,
EA,05/11/2013,HR Wallingford Ltd," £124,800.00 ","Rental for the Red Kite House, Howbery Park, Wallinford  - 01 July-30 September 2013",OX10 8BA,,,,Administration,
EA,01/11/2013,Black and Veatch Ltd," £33,995.89 ",River Avon appraisal works,RH1 1LQ,,30072271,IMSW001547,Project,
EA,21/11/2013,Cain Bio Engineering Ltd," £27,018.00 ",River Avon Restoration Project,SP6 2AB,,30357329,IMSW001547,Project,
EA,05/11/2013,Severn Trent Water," £29,698.39 ",River Derwent Agreement,B3 1SE,,,,Administration,
EA,26/11/2013,Galliford Try Infrastructure Ltd," £38,337.94 ",River Etherow replacement gates,LE10 3JF,,30142734,IMNW000461,Project,
EA,19/11/2013,Fugro Geos," £50,285.93 ",River Hull defence work,OX10 9RB,,,IMNE000209,Project,
EA,01/11/2013,Birse Civils Ltd," £281,122.81 ",River Mersey - Warrington flood risk management scheme.,DN18 5BW,,30142670,IMNW000699,Project,
EA,07/11/2013,Jacobs UK Ltd," £50,540.11 ",River Mersey - Warrington flood risk management scheme.,G2 7HX,,30072261,IMNW000699,Project,
EA,21/11/2013,J Breheny Contractors Ltd," £26,115.44 ",River Mole access track works,IP6 8NH,,30343170,RESE500056,Project,
EA,21/11/2013,River Nene Regional Park CIC," £25,000.00 ",River Nene - Regional Park Project Officer costs,NN1 1AY,,,,Administration,
EA,19/11/2013,Ribble Catchment Conservation Trust," £30,000.00 ",River restoration in Burnley and design and modelling in preparation of works on one reach of river restoration in Burnley,BB7 4QF,,,RENW002113,Project,
EA,14/11/2013,Salmon and Trout Association Trust," £50,000.00 ",Riverfly Partnership Project,EC4R 9EL,,,EBPLW13011,Project,
EA,21/11/2013,AEBI UK Ltd," £64,413.60 ","Robo-flail vario, wood chipper, transport trailer",DN22 7HQ,,30261702,HOFOFRM008,Project,
EA,26/11/2013,Galliford Try Infrastructure Ltd," £174,760.46 ",Rock amour stabilisation to the banks of the River Irwell,LE10 3JF,,30142734,IMNW000884,Project,
EA,01/11/2013,Post Office Ltd," £340,579.00 ",Rod fishing licences and provision of associated services - October 2013,PE4 5PG,,30180918,,Administration,
EA,12/11/2013,CEH," £27,487.55 ",Royalties for use of information in data products.,SN2 1EU,,,,Administration,
EA,12/11/2013,William Pye Ltd," £39,068.44 ",Royles Brook de-silt works,PR3 3BT,,30239798,RENW100122,Project,
EA,21/11/2013,Volkerstevin Ltd," £394,848.25 ",Salmons Brook flood alleviation scheme,EN11 9BX,,30142737,IMTH000620,Project,
EA,19/11/2013,Jackson Civil Engineering Ltd," £1,031,271.36 ",Sandwich Town tidal defence work.,IP1 5LT,,30142731,IMSO001057,Project,
EA,01/11/2013,Halcrow Group Ltd," £52,395.38 ",Sandwich Town tidal defence work,SN4 0QD,,30071913,IMSO001057,Project,
EA,05/11/2013,Atkins Ltd," £44,109.32 ",Secondment to National Capital Programme to assist the commercial team in the South East Region - July 2013-April 2014,KT18 5BW,,30072266,,Administration,
EA,19/11/2013,MITIE Security London Ltd," £77,309.42 ",Security Guard services at Thames Barrier and associated sites - 28 September-25 October 2013,E14 9RH,,30390972,,Administration,
EA,26/11/2013,Tony Hole Marine Ltd," £79,090.06 ","Service, inspect, maintain and repair of non-coded marine fleet",PL9 7HP,,30322647,,Administration,
EA,12/11/2013,Hitachi Capital Commercial Vehicle Services," £597,350.01 ","Service, Inspection, Maintenance and Repair of Agricultural and Construction Plant",BA14 8QU,,30318149,,Administration,
EA,26/11/2013,Shared Services Connected Ltd," £940,843.98 ",Shared Services - HR and Finance Services to the Environment Agency - November 2013,M14 0WN,,,,Administration,
EA,21/11/2013,Land and Water Services Ltd," £109,903.51 ",Shaw Mill Fish Pass works,GU5 9AF,,30357321,RESE000108,Project,
EA,19/11/2013,Cabinet Office," £295,891.20 ",Single operating platform - Phase 1 recharge,RG21 4HG,,,BBXXX200013L01,Project,
EA,21/11/2013,Esh Construction Ltd," £37,740.00 ",Small Works - Holy Island - Remaining Monies,DH6 5PF,,30204740,RENE970039,Project,
EA,21/11/2013,Esh Construction Ltd," £42,900.00 ",Small Works - Malton Floodwall - Original Works,DH6 5PF,,30204740,NRNE793068,Project,
EA,26/11/2013,Esh Construction Ltd," £59,984.88 ",Small Works - River Hull Revetment Works,DH6 5PF,,30204740,NRNE793070,Project,
EA,26/11/2013,Esh Construction Ltd," £29,747.04 ",Small Works - Skeffling Drain,DH6 5PF,,30204740,NRNE793071,Project,
EA,01/11/2013,Jackson Civil Engineering Ltd," £120,993.20 ",South East Asset reconditioning programme,IP1 5LT,,30142731,IMSE100197,Project,
EA,21/11/2013,Canterbury City Council," £44,236.50 ",South East Beach Management Plan project,CT1 1YW,,,IMSE100035,Project,
EA,19/11/2013,3KQ," £63,492.00 ",Stakeholder Engagement and Related Services,TN1 1XP,,30366167,HOEV121302,Project,
EA,07/11/2013,Team Van Oord," £397,164.42 ",Steart Coastal Management Project,RG14 5QS,,30142735,IMSW001389,Project,
EA,05/11/2013,ArcelorMittal Commercial RPS UK Ltd," £77,233.17 ",Steel piles for the Arksey Slips project,B90 4SS,,30331415,IMNE000251,Project,
EA,01/11/2013,Birse Civils Ltd," £69,873.08 ",Stoke Canon project,DN18 5BW,,30142670,IMSW001685,Project,
EA,21/11/2013,Birse Civils Ltd," £290,802.62 ",Street Water End Flood Alleviation Scheme,DN18 5BW,,30142670,IMNE000775,Project,
EA,07/11/2013,Natural Resources Wales," £88,857.19 ",Subcontracted laboratory analysis work,SA15 4EL,,,,Administration,
EA,21/11/2013,Agilent Technologies UK Ltd," £65,088.87 ",Supply of Gas Chromatograph Mass Spectrometer system for the analysis of Water Framework Directive samples including additional data processing station,E14 1HH,,,NL00000072,Project,
EA,21/11/2013,Hitachi Capital Vehicle Solutions Ltd," £1,935,301.73 ",Supply of lease cars - 2013-14,RG14 2NU,,30340333,,Administration,
EA,01/11/2013,Halcrow Group Ltd," £70,368.40 ",Tame appraisal works,SN4 0QD,,30071913,IMMI000978,Project,
EA,26/11/2013,CSE Servelec Ltd," £41,022.00 ",Telemetry System Maintenance South West Region,S21 4HL,,30009217,,Administration,
EA,05/11/2013,Pertemps Recruitment Partnership Ltd," £356,988.35 ",Temporary Staff Services fees - 27 September-18 October 2013 ,CV7 7YX,,,,Administration,
EA,07/11/2013,Reed Personnel Services Plc," £298,458.72 ",Temporary Staff Services fees - 27 September-18 October 2013 ,SW20 0BA,,,,Administration,
EA,26/11/2013,Galliford Try Infrastructure Ltd," £96,852.41 ",Teston Lock refurbishment,LE10 3JF,,30142734,IMSO000841,Project,
EA,26/11/2013,Birse Civils Ltd," £90,863.81 ",Tetney to Saltfleet works,DN18 5BW,,30142670,IMAN002115,Project,
EA,05/11/2013,Atkins Ltd," £140,015.76 ",Thames Barrier Drive Equipment Phase 2,KT18 5BW,,30072266,IMTH001493,Project,
EA,19/11/2013,Stonefield Systems Europe Ltd," £27,840.00 ",Thames Barrier LED Navigation Light Trial Phase 2,RH17 6SR,,,IMSE500072,Project,
EA,19/11/2013,Port Of London Authority," £73,182.94 ",Thames Barrier running costs - October 2013,DA12 2BG,,,,Administration,
EA,12/11/2013,Turner and Townsend Project Management," £75,074.52 ",Thames Estuary 2100 Phase 1 programme,LS18 4CH,,30314194,IMSE500060,Project,
EA,07/11/2013,Atkins Ltd," £83,216.23 ",Thames Tidal Frontages Programme,KT18 5BW,,30072266,IMTH001749,Project,
EA,07/11/2013,Rose Engineering Ltd," £35,260.80 ",Thames waterways maintenance rafts,WS2 8AQ,,,,Administration,
EA,07/11/2013,Team Van Oord," £207,781.57 ",Thames Weirs Package 1 - Molesey B Weir,RG14 5QS,,30142735,IMTH001685,Project,
EA,14/11/2013,Birse Civils Ltd," £25,710.85 ",Tipton Fish Pass works,DN18 5BW,,30142670,IMSW001821,Project,
EA,21/11/2013,TN Sneath and Sons," £27,924.00 ",Vegetation maintenance - Riverbank grass cutting (Anglian Region),PE11 3SN,,30151699,FRA01S217  FRA01S122  FRA01S214  FRA01S119  FRA01S127,Project,
EA,14/11/2013,Ford Motor Co Ltd," £25,484.06 ",Vehicle Purchase - Light Vans,CM13 3BW,,30358499,HOFOFRM007,Project,
EA,05/11/2013,Westminster Dredging  Dean and Dyball JV," £102,944.10 ",Wash Tide Gauge works,PO15 5SS,,30142738,IMAN002504,Project,
EA,26/11/2013,Virgin Media," £143,181.93 ",Water End Flood Alleviation Scheme,B26 3RZ,,,IMNE000775,Project,
EA,12/11/2013,Galliford Try Infrastructure Ltd," £29,891.39 ",Waterside Construction Works ,LE10 3JF,,30142734,IMMI000870,Project,
EA,21/11/2013,P and R Plant Lincolnshire Ltd," £26,244.00 ",Weed control by Weed Boat Fen Catch waters,PE12 8NG,,30246240,,Administration,
EA,21/11/2013,P and R Plant Lincolnshire Ltd," £27,216.00 ","Weed Control by Weed Boat River Steeping, Wainfleet Relief Channel and Burgh Sluice Bypass",PE12 8NG,,30246240,,Administration,
EA,12/11/2013,Land and Water Services Ltd," £40,171.73 ",Weed cutting at East Stour,GU5 9AF,,30343164,,Administration,
EA,12/11/2013,Halcrow Group Ltd," £28,719.96 ",Welland Pilot Catchment,SN4 0QD,,30071913,REAN001603,Project,
EA,26/11/2013,Interserve Construction Ltd," £817,873.42 ",Whittlesey Washes South Bank Barriers Works,UB8 2XL,,30142730,IMAN001790,Project,
EA,21/11/2013,William Pye Ltd," £41,215.46 ",Wigan Urban Diffuse Pollution Project,PR3 3BT,,30239798,RENW001930,Project,
EA,07/11/2013,Birch Brothers Kidderminster Ltd," £66,321.60 ",Wilden Marsh Lower Weir Repairs.,DY13 9QB,,30224314,IMMI001105,Project,
EA,21/11/2013,Birse Civils Ltd," £40,011.98 ",Yorkshire and North East Culvert works,DN18 5BW,,30142670,IMNE000197,Project,
