Department Family,Entity,Date,Expense Type,Expense Area,Supplier Name,Transaction Number,  Spend  ,,,,,,,,
Home Office,DBS - Disclosure & Barring Service,26/01/2016,Criminal Records,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISSIONER FOR SOUTH WALES POLICE,1001823898,78993.3,,,,,,,,
Home Office,DBS - Disclosure & Barring Service,26/01/2016,Criminal Records,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISSIONER FOR SURREY,1001823899,43409.03,,,,,,,,
Home Office,DBS - Disclosure & Barring Service,26/01/2016,Criminal Records,DBS - Disclosure & Barring Service,POLICE AND CRIME COMMISSIONER FOR BEDFORDSHIRE (THE),1001823901,45627.81,,,,,,,,
Home Office,DBS - Disclosure & Barring Service,26/01/2016,Criminal Records,DBS - Disclosure & Barring Service,WEST MERCIA PCC,1001823928,32455.06,,,,,,,,
Home Office,DBS - Disclosure & Barring Service,26/01/2016,Criminal Records,DBS - Disclosure & Barring Service,WEST MIDLANDS OFFICE FOR POLICING & CRIME,1001823929,141741.19,,,,,,,,
Home Office,DBS - Disclosure & Barring Service,27/01/2016,IT Running Costs,DBS - Disclosure & Barring Service,IBM DIRECT UNITED KINGDOM LTD,1001824518,32940.72,,,,,,,,
Home Office,DBS - Disclosure & Barring Service,27/01/2016,IT Running Costs,DBS - Disclosure & Barring Service,IBM DIRECT UNITED KINGDOM LTD,1001824518,26803.8,,,,,,,,
Home Office,DBS - Disclosure & Barring Service,27/01/2016,IT Running Costs,DBS - Disclosure & Barring Service,IBM DIRECT UNITED KINGDOM LTD,1001824518,6832.1,,,,,,,,
Home Office,DBS - Disclosure & Barring Service,27/01/2016,IT Running Costs,DBS - Disclosure & Barring Service,IBM DIRECT UNITED KINGDOM LTD,1001824518,41724.91,,,,,,,,
Home Office,DBS - Disclosure & Barring Service,27/01/2016,IT Running Costs,DBS - Disclosure & Barring Service,IBM DIRECT UNITED KINGDOM LTD,1001824518,27222.06,,,,,,,,
Home Office,Home Office,11/01/2016,Education & Training Services,Civil Service Learning ,CAPITA BUSINESS SERVICES LTD,1001817642,374348.02,,,,,,,,
Home Office,Home Office,12/01/2016,"IT, Broadcasting & Telecomms",Civil Service Learning ,KAINOS,1001818208,40392.24,,,,,,,,
Home Office,Home Office,04/01/2016,Legal Services,CPG - Crime & Policing Group,DENTONS UKMEA LLP,1001815285,121618.52,,,,,,,,
Home Office,Home Office,04/01/2016,Legal Services,CPG - Crime & Policing Group,DENTONS UKMEA LLP,1001815285,89509.5,,,,,,,,
Home Office,Home Office,04/01/2016,Legal Services,CPG - Crime & Policing Group,DENTONS UKMEA LLP,1001815285,-6749.57,,,,,,,,
Home Office,Home Office,04/01/2016,Grant,CPG - Crime & Policing Group,DORSET POLICE & CRIME COMMISSIONERS (G),1001815055,26984.71,,,,,,,,
Home Office,Home Office,04/01/2016,Grant,CPG - Crime & Policing Group,MAYORS OFFICE FOR POLICING AND CRIME (MOPC) (G),1001815056,247605.82,,,,,,,,
Home Office,Home Office,04/01/2016,Grant,CPG - Crime & Policing Group,NORTHAMPTONSHIRE OFFICE OF THE POLICE & CRIME COMMISSIONER (G),1001815057,63338.05,,,,,,,,
Home Office,Home Office,04/01/2016,Grant,CPG - Crime & Policing Group,NOTTINGHAMSHIRE OFFICE OF THE POLICE & CRIME COMMISSIONER (THE) (G),1001815058,72921.43,,,,,,,,
Home Office,Home Office,04/01/2016,Grant,CPG - Crime & Policing Group,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR GREATER MANCHESTER (G),1001815059,325879.8,,,,,,,,
Home Office,Home Office,04/01/2016,Grant,CPG - Crime & Policing Group,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR LEICESTERSHIRE (THE) (G),1001815060,51912.9,,,,,,,,
Home Office,Home Office,04/01/2016,Grant,CPG - Crime & Policing Group,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR MERSEYSIDE (G),1001815061,77683.2,,,,,,,,
Home Office,Home Office,04/01/2016,Grant,CPG - Crime & Policing Group,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR STAFFORDSHIRE (G),1001815062,68178.47,,,,,,,,
Home Office,Home Office,04/01/2016,Grant,CPG - Crime & Policing Group,OFFICE OF THE WEST YORKSHIRE POLICE & CRIME COMMISSIONER (G),1001815063,215189.81,,,,,,,,
Home Office,Home Office,04/01/2016,Grant,CPG - Crime & Policing Group,POLICE & CRIME COMMISIONER FOR THAMES VALLEY (G),1001815064,97226.81,,,,,,,,
Home Office,Home Office,04/01/2016,Grant,CPG - Crime & Policing Group,POLICE & CRIME COMMISSIONER FOR CLEVELAND (G),1001815065,86655.53,,,,,,,,
Home Office,Home Office,04/01/2016,Grant,CPG - Crime & Policing Group,POLICE & CRIME COMMISSIONER FOR LANCASHIRE (THE) (G),1001815069,59680.4,,,,,,,,
Home Office,Home Office,04/01/2016,Grant,CPG - Crime & Policing Group,POLICE & CRIME COMMISSIONER FOR SOUTH YORKSHIRE (G),1001815071,315202.03,,,,,,,,
Home Office,Home Office,04/01/2016,Grant,CPG - Crime & Policing Group,THE OFFICE OF THE POLICE & CRIME COMMISSIONER FOR NORTHUMBRIA (G),1001815072,54919.45,,,,,,,,
Home Office,Home Office,04/01/2016,Grant,CPG - Crime & Policing Group,WEST MIDLANDS OFFICE FOR POLICING & CRIME (G),1001815073,233578.57,,,,,,,,
Home Office,Home Office,06/01/2016,Grant,CPG - Crime & Policing Group,AVON & SOMERSET POLICE & CRIME COMMISSIONER (G),1001816043,197449,,,,,,,,
Home Office,Home Office,06/01/2016,Grant,CPG - Crime & Policing Group,AVON & SOMERSET POLICE & CRIME COMMISSIONER (G),1001816043,4734604,,,,,,,,
