Spend over £25000 - Publication template,,,,,,,

Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount
Department for Education,National College for Leadership of Schools and Children's Services,14/04/2011,Irrecoverable Input VAT,Corporate Services,BT Global Services Solutions,109484,7889.6
Department for Education,National College for Leadership of Schools and Children's Services,14/04/2011,Irrecoverable Input VAT,Continuous Leadership Learning,BT Global Services Solutions,109484,16684.68
Department for Education,National College for Leadership of Schools and Children's Services,14/04/2011,Outsourcing,Corporate Services,BT Global Services Solutions,109484,39448
Department for Education,National College for Leadership of Schools and Children's Services,14/04/2011,Outsourcing,Continuous Leadership Learning,BT Global Services Solutions,109484,83423.44
Department for Education,National College for Leadership of Schools and Children's Services,28/04/2011,Irrecoverable Input VAT,Corporate Services,BT Global Services Solutions,109572,2749.2
Department for Education,National College for Leadership of Schools and Children's Services,20/04/2011,Irrecoverable Input VAT,Continuous Leadership Learning,BT Global Services Solutions,109572,12606.15
Department for Education,National College for Leadership of Schools and Children's Services,20/04/2011,Outsourcing,School Leadership Development,BT Global Services Solutions,109572,13746
Department for Education,National College for Leadership of Schools and Children's Services,20/04/2011,Irrecoverable Input VAT,Corporate Services,BT Global Services Solutions,109572,17240.07
Department for Education,National College for Leadership of Schools and Children's Services,20/04/2011,Outsourcing,Continuous Leadership Learning,BT Global Services Solutions,109572,63030.73
Department for Education,National College for Leadership of Schools and Children's Services,20/04/2011,Outsourcing,Corporate Services,BT Global Services Solutions,109572,86200.38
Department for Education,National College for Leadership of Schools and Children's Services,04/04/2011,Irrecoverable Input VAT,Continuous Leadership Learning,CfBT,109337,7960.6
Department for Education,National College for Leadership of Schools and Children's Services,04/04/2011,Programme Costs,Continuous Leadership Learning,CfBT,109337,39803
Department for Education,National College for Leadership of Schools and Children's Services,19/04/2011,Building Running Costs,Corporate Services,"Department for Children, Schools & Families",LCC Finance Lease Q1,7056.45
Department for Education,National College for Leadership of Schools and Children's Services,19/04/2011,Finance Leases > 1 Yr,Corporate Services,"Department for Children, Schools & Families",LCC Finance Lease Q1,180443.55
Department for Education,National College for Leadership of Schools and Children's Services,11/04/2011,Programme Costs,Continuous Leadership Learning,EMLC,Nat Col EHP Payment Scheme,62839.85
Department for Education,National College for Leadership of Schools and Children's Services,11/04/2011,Programme Costs,Continuous Leadership Learning,SELT,Nat Col EHP Payment Scheme,50588.5
Department for Education,National College for Leadership of Schools and Children's Services,26/04/2011,Irrecoverable Input VAT,Continuous Leadership Learning,Central Office of Information (COI),109739,5089
Department for Education,National College for Leadership of Schools and Children's Services,26/04/2011,ICT Running Costs,Continuous Leadership Learning,Central Office of Information (COI),109739,25445
Department for Education,National College for Leadership of Schools and Children's Services,04/04/2011,Irrecoverable Input VAT,School Leadership Development,Granada Learning Limited,109189,11790
Department for Education,National College for Leadership of Schools and Children's Services,04/04/2011,Programme Costs,School Leadership Development,Granada Learning Limited,109189,58950
Department for Education,National College for Leadership of Schools and Children's Services,04/04/2011,Irrecoverable Input VAT,School Leadership Development,Granada Learning Limited,109193,5400
Department for Education,National College for Leadership of Schools and Children's Services,04/04/2011,Programme Costs,School Leadership Development,Granada Learning Limited,109193,27000
Department for Education,National College for Leadership of Schools and Children's Services,08/04/2011,Irrecoverable Input VAT,School Leadership Development,Granada Learning Limited,109396,5120
Department for Education,National College for Leadership of Schools and Children's Services,08/04/2011,Programme Training,School Leadership Development,Granada Learning Limited,109396,25600
Department for Education,National College for Leadership of Schools and Children's Services,19/04/2011,Irrecoverable Input VAT,Continuous Leadership Learning,Headshift,109667,6876
Department for Education,National College for Leadership of Schools and Children's Services,19/04/2011,Outsourcing,Continuous Leadership Learning,Headshift,109667,34380
Department for Education,National College for Leadership of Schools and Children's Services,19/04/2011,Irrecoverable Input VAT,Continuous Leadership Learning,Headshift,109668,6876
Department for Education,National College for Leadership of Schools and Children's Services,19/04/2011,Outsourcing,Continuous Leadership Learning,Headshift,109668,34380
Department for Education,National College for Leadership of Schools and Children's Services,13/04/2011,VAT Payable,Corporate Services,Hm Customs and Excise,764 0419 35 VAT Return,29513.76
Department for Education,National College for Leadership of Schools and Children's Services,04/04/2011,Irrecoverable Input VAT,School Leadership Development,IAM,109303,3902
Department for Education,National College for Leadership of Schools and Children's Services,04/04/2011,Professional Fees,School Leadership Development,IAM,109303,30760
Department for Education,National College for Leadership of Schools and Children's Services,11/04/2011,Programme Costs,Continuous Leadership Learning,Manchester Uni,109458,68523.72
Department for Education,National College for Leadership of Schools and Children's Services,18/04/2011,Programme Costs,Continuous Leadership Learning,Manchester Uni,Nat Col EHP Payment Scheme,6336.36
Department for Education,National College for Leadership of Schools and Children's Services,11/04/2011,Programme Costs,Continuous Leadership Learning,Manchester Uni,Nat Col EHP Payment Scheme,64655.97
Department for Education,National College for Leadership of Schools and Children's Services,01/04/2011,Programme Costs,School Leadership Development,Manchester Metropolitan Uni,109254,38592
Department for Education,National College for Leadership of Schools and Children's Services,04/04/2011,Programme Costs,School Leadership Development,Manchester Metropolitan Uni,109351,53655.06
Department for Education,National College for Leadership of Schools and Children's Services,19/04/2011,Programme Costs,School Leadership Development,Manchester Metropolitan Uni,109662,34481
Department for Education,National College for Leadership of Schools and Children's Services,04/04/2011,Grants Made,School Leadership Development,New Greenhall School,REFUND,-11880
Department for Education,National College for Leadership of Schools and Children's Services,15/04/2011,Irrecoverable Input VAT,Continuous Leadership Learning,Nord Anglia Education Ltd,109231,20141.07
Department for Education,National College for Leadership of Schools and Children's Services,15/04/2011,Programme Costs,Continuous Leadership Learning,Nord Anglia Education Ltd,109231,100705.33
Department for Education,National College for Leadership of Schools and Children's Services,18/04/2011,Irrecoverable Input VAT,Continuous Leadership Learning,Nord Anglia Education Ltd,109358,10000
Department for Education,National College for Leadership of Schools and Children's Services,18/04/2011,Programme Costs,Continuous Leadership Learning,Nord Anglia Education Ltd,109358,50000
Department for Education,National College for Leadership of Schools and Children's Services,26/04/2011,Irrecoverable Input VAT,Corporate Services,Nottingham Uni,109722,5376.95
Department for Education,National College for Leadership of Schools and Children's Services,26/04/2011,Building Running Costs,Corporate Services,Nottingham Uni,109722,26884.76
Department for Education,National College for Leadership of Schools and Children's Services,04/04/2011,Grants Made,School Leadership Development,Oakwood High School,REFUND,-10940
Department for Education,National College for Leadership of Schools and Children's Services,17/04/2011,Irrecoverable Input VAT,School Leadership Development,Serco Learning Solutions,109523,11127.96
Department for Education,National College for Leadership of Schools and Children's Services,17/04/2011,Programme Costs,School Leadership Development,Serco Learning Solutions,109523,55639.81
Department for Education,National College for Leadership of Schools and Children's Services,17/04/2011,Irrecoverable Input VAT,School Leadership Development,Serco Learning Solutions,109524,8419.49
Department for Education,National College for Leadership of Schools and Children's Services,17/04/2011,Programme Costs,School Leadership Development,Serco Learning Solutions,109524,42097.44
Department for Education,National College for Leadership of Schools and Children's Services,28/04/2011,Irrecoverable Input VAT,Corporate Services,Sodexo Ltd,109582,43199.23
Department for Education,National College for Leadership of Schools and Children's Services,28/04/2011,FM Support Services,Corporate Services,Sodexo Ltd,109582,215996.13
Department for Education,National College for Leadership of Schools and Children's Services,01/04/2011,Grants Made,School Leadership Development,Thorpe Greenways Junior School,SBM Primary partnership gr,25000
