Department,Entity,Date,Expense Type,Expense Area,Supplier ,Transaction Number,Amount,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type,Vat Registration Num,,,,,,,,,,,,,,
DEFRA,DEFRA,03/02/2016,Other Current Payments (Evidence R&D),Environment and Rural DG Group,Fera Science Limited,8098500377,-35215.25 ,PO 378725 CREDIT NOTE FOR REF INVOICE NO. 6138005161,YO41 1LZ,,PS2558,00000000,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,04/02/2016,Evidence Non R&D,Environment and Rural DG Group,L T S International Ltd,2646,27652.34 ,PO 358324 SERVICE PROVIDED 30 SEP 15,EH26 0PH,SME,16445,00000000,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,04/02/2016,Other Current Payments E,Environment and Rural DG Group,D S T L,MST009510,30307.44 ,"PO 379637,  EVALUATION OF ITT RESPONSE",PO14 9HL,,22500,CM000001,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,04/02/2016,Electricity,Chief Operating Officer DG,British Gas Trading Ltd,954059059,31167.39 ,SITE 577 ELECT 16/11/2015 TO 15/12/2015 A/C 601376449,OX4 2JY,,,B0860000,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,04/02/2016,Application Services/Applications Delivery,Chief Operating Officer DG,IBM United Kingdom Ltd,5812151932,86517.16 ,PO 381572 OCT 15 VOLUMETRIC TRUEUP 01.10.2015 - 31.10.2015,GU1 2LD,SME,10040,00000000,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,04/02/2016,Current Grants E,Environment and Rural DG Group,Local Partnerships LLP,41101907,60500.00 ,PO 378269 REVISED DEFRA,SW1P 3HZ,SME,22130,WFUNDCON,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,04/02/2016,Other Current Payments (Evidence R&D),Environment and Rural DG Group,Ricardo-A E A Ltd,6162636,39269.50 ,PO 351104 CORE WORK UNDERTAKEN FOR NAEI,OX11 0QR,,AQ0726,AQRDXXXX,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,04/02/2016,Contractor - Management Cover,Chief Operating Officer DG,Capita Business Services Ltd,LO10088574,47079.04 ,REFERENCE PRE BILLER P50557 FEES & EXPENSES INCLUDED WITHIN PERIOD ENDING 16.01.2016,SL6 1DP,,,00000000,Asset,,,,,,,,,,,,,,,
DEFRA,DEFRA,04/02/2016,Clearing Construction in Progress (Building Works),Chief Operating Officer DG,Powercontinuity Ltd,13200,156000.00 ,PO 381960 UPS CHLORIDE 90,DE73 8LX,SME,22841,B087P001,Asset,,,,,,,,,,,,,,,
DEFRA,DEFRA,04/02/2016,Clearing Construction in Progress (I.T.),Chief Operating Officer DG,Sopra Steria Ltd,100085408,331422.49 ,PO 378216 BILLING FOR SERVICES T AND M FOR NOVEMBER 2015,HP2 7AH,,CAP380,CAPDFA02,Asset,,,,,,,,,,,,,,,
DEFRA,DEFRA,08/02/2016,Redfern Suspense,Central Finance Group,Redfern Travel Ltd,119291,186857.73 ,DEFRA JAN 2016 BILL,BD1 3AZ,SME,,00000000,Asset,,,,,,,,,,,,,,,
DEFRA,DEFRA,08/02/2016,Current Grants E,Environment and Rural DG Group,Lancaster City Council,280116,97746.24 ,PO 382041 INTERIM CLAIM  FROM 01/04/15 TO 31/12/15,LA1 1PJ,,GIA,ARNSIDE1,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,08/02/2016,Other Current Payments E,Environment and Rural DG Group,JSS Pensions Administration,RCPS10648,122016.50 ,PO 376876 JAN PENSIONS NCC,SN2 1UH,,,00000000,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,08/02/2016,Current Grants E,Environment and Rural DG Group,North Yorkshire County Council,250116,87082.00 ,PO 382051 INTERIM CLAIM FROM 1ST APRIL 2015 TO 31 JANUARY 2016,DL7 8AL,,GIA,HOWARD01,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,08/02/2016,Grant-in Aid Payments,Environment and Rural DG Group,The National Forest Co,260116,9000000.00 ,PO 376763 GRANT IN AID PAYMENT FOR NATURAL ENGLAND - FEB 16,YO1 7PX,,DFP,00000000,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,08/02/2016,Gas,Chief Operating Officer DG,Corona Energy,10748213,35216.14 ,SITE 087  GAS 01/12/2015 TO 01/01/2016 A/C SITE 087,WD17 1JW,,,B0870000,Expense,,,,,,,,,,,,,,,
