Aug-12,,,,,,,,
,,,,,,,,
,,,,,,Transaction ,,
Department family,Entity,Date paid,Expense type,Expense area,Supplier,number,Amount,Description
,,,,,,,,
,,,,,,,,
DEFRA ,Consumer Council for Water ,03/09/2012,Rent,Corporate Services,G V A GRIMLEY,8156111361,"82,356.00",Rent for premises re  Victoria Square House Birmingham (Multiple)
DEFRA ,Consumer Council for Water ,30/08/2012,Rentals - Operating Lease - IT,Consumer Relations,NORTHGATE MANAGED SERVICES LTD,91225990,"27,529.50",IT Managed Services (Multiple)
