Department,Entity,Payment date,Transaction Number,Invoice Amount ,Supplier ,Account Description
FCO,FCO,11/28/2013,4511300.00,174416.80,ISS FACILITY SERVICES LTD FCO OP - POE,"Bank Charges (Oracle Cash Management Control Account), Electricity Non-Residential, Electricity Residential, Rent Deposits, Rental Payments - residential, Telephone Call Charges, Water Non-Residential, Water Residential"
FCO,FCO,11/20/2013,4504531.00,172312.80,ADAM SMITH INTERNATIONAL,Programme Spend (Oracle Projects Control Account)
FCO,FCO,11/27/2013,4515256.00,171993.40,FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,11/27/2013,4509902.00,169229.30,FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,11/20/2013,4505095.00,168041.40,N A MOVING SERVICES LTD,Heavy Baggage
FCO,FCO,11/28/2013,4511297.00,155366.20,ISS FACILITY SERVICES LTD FCO OP - POE,"Electricity Non-Residential, Electricity Residential, Gas Residential, Property Maintenance Overseas Non Residential, Property Maintenance Overseas Residential, Rent Deposits, Rental Payments - non residential, Rental Payments - residential, Telephone Call Charges, Water Residential"
FCO,FCO,11/14/2013,4500568.00,154250.90,INTERSERVE FM LTD,"Assets Under Construction (Oracle PA Control Account), Construction Project more than £10k, FM Interserve Building Fabric Maintenance, FM Interserve Works, Selling into Wider Markets"
FCO,FCO,11/5/2013,4490108.00,151528.00,CONTROL RISKS GROUP,UK Mobile Guarding Contract overseas
FCO,FCO,11/20/2013,4505131.00,150979.60,N A MOVING SERVICES LTD,Heavy Baggage
FCO,FCO,11/22/2013,4507123.00,150000.00,COUNSELLING SERVICES UNIT,Programme Spend (Oracle Projects Control Account)
FCO,FCO,11/28/2013,4511294.00,147716.10,ISS FACILITY SERVICES LTD FCO OP - POE,"Electricity Non-Residential, Electricity Residential, Gas Residential, Property Maintenance Overseas Non Residential, Rental Payments - non residential, Rental Payments - residential, Telephone Call Charges, Water Residential"
FCO,FCO,11/19/2013,4504728.00,145345.00,BBC MEDIA ACTION,Programme Spend (Oracle Projects Control Account)
FCO,FCO,11/12/2013,4496684.00,139329.90,OROSTREAM INTERNATIONAL CONTRACTS LTD,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,11/28/2013,4511307.00,133937.00,ISS FACILITY SERVICES LTD FCO OP - POE,"Bank Charges (Oracle Cash Management Control Account), Electricity Non-Residential, Electricity Residential, Gas Residential, Rent Deposits, Rental Payments - residential, Telephone Call Charges, Water Non-Residential, Water Residential"
FCO,FCO,11/27/2013,4509907.00,133198.00,FCO SERVICES,Misc Security Payments
FCO,FCO,11/22/2013,4502580.00,129493.40,FIELD FISHER WATERHOUSE,Specialist Contractors
FCO,FCO,11/22/2013,4510030.00,129438.90,FIELD FISHER WATERHOUSE,Specialist Contractors
FCO,FCO,11/21/2013,4508068.00,129313.20,KELLOGG BROWN AND ROOT,Property Maintenance Overseas Residential
FCO,FCO,11/19/2013,4504675.00,126933.10,LEVEL 3 COMMUNICATIONS UK LTD,"Information Systems Implementation, Information Systems Maintenance, Telephone line and equipment rental charges"
FCO,FCO,11/21/2013,4500458.00,126399.10,ISS FACILITY SERVICES LTD FCO OP,FM Interserve BES Maintenance
FCO,FCO,11/27/2013,4516001.00,125059.20,COUNCIL OF THE EUROPEAN UNION,Interpreter Fees
FCO,FCO,11/21/2013,4508359.00,125000.00,UNIVERSITY OF OXFORD,Programme Spend (Oracle Projects Control Account)
FCO,FCO,11/21/2013,4508354.00,125000.00,UNIVERSITY OF OXFORD,Programme Spend (Oracle Projects Control Account)
FCO,FCO,11/22/2013,4494161.00,121077.70,THE ASIA FOUNDATION,Programme Spend (Oracle Projects Control Account)
FCO,FCO,11/26/2013,4513737.00,120912.00,ARK FZC,Programme Spend (Oracle Projects Control Account)
FCO,FCO,11/18/2013,4501078.00,119672.00,INTERSERVE FM LTD,Construction Project more than £10k
FCO,FCO,11/8/2013,4494676.00,117529.30,HEALIX INTERNATIONAL LTD,Fco Healthcare Scheme
FCO,FCO,11/13/2013,4499252.00,115109.50,CAPGEMINI UK PLC,IT/IS Consultancy
FCO,FCO,11/20/2013,4506559.00,114634.40,FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,11/25/2013,4511607.00,113423.20,N A MOVING SERVICES LTD,Heavy Baggage
FCO,FCO,11/20/2013,4505066.00,112174.60,N A MOVING SERVICES LTD,Heavy Baggage
FCO,FCO,11/13/2013,4497957.00,108113.20,LANGUAGE SERVICES DIRECT,"Language Tuition: Essential, Language Tuition: Optional: Spouses & Partners"
FCO,FCO,11/14/2013,4500549.00,105600.00,VODAFONE LTD,Accommodation
FCO,FCO,11/21/2013,4500468.00,99801.53,ISS FACILITY SERVICES LTD FCO OP,"Building Fabric Services, Building Mechanical and Engineering Services, Cleaning & Waste, Contract Fees, Grounds Maintenance, Mail & Porterage Services, Manned Guarding Services, Miscellaneous Expenditure: inc subscriptions and equipment maintenance, Office Support Services, Reception Services, Repair and maintenance of furniture and fittings, Residential Property Services, Unscheduled repairs to building infrastructure"
FCO,FCO,11/21/2013,4500450.00,98714.84,ISS FACILITY SERVICES LTD FCO OP,"Building Mechanical and Engineering Services, Cleaning & Waste, Contract Fees, Grounds Maintenance, Manned Guarding Services, Miscellaneous Expenditure: inc subscriptions and equipment maintenance, Office Support Services, Reception Services, Repair and maintenance of furniture and fittings, Residential Property Services, Unscheduled repairs to building infrastructure"
FCO,FCO,11/26/2013,4514754.00,96538.67,BAHWAN ENGINEERING CO LLC,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,11/26/2013,4513752.00,96023.00,ARK FZC,Programme Spend (Oracle Projects Control Account)
FCO,FCO,11/26/2013,4513786.00,94583.00,DEPARTMENT OF HEALTH SOCIAL SERVICES AND PUBLIC SAFETY,Inward visits to the UK and UK Conferences
FCO,FCO,11/6/2013,4492379.00,93411.38,DIPLOMAT FREIGHT SERVICES LTD(DFS),Programme Spend (Oracle Projects Control Account)
FCO,FCO,11/11/2013,4492576.00,92824.20,ADYAN FOUNDATION,Programme Spend (Oracle Projects Control Account)
FCO,FCO,11/27/2013,4515260.00,88037.90,FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,11/8/2013,4494988.00,87120.70,VODAFONE LTD CABLE AND WIRELESS UK,"Assets Under Construction (Oracle PA Control Account), FTN Unitary Payment"
FCO,FCO,11/20/2013,4506978.00,81894.38,INTERPEACE,Programme Spend (Oracle Projects Control Account)
FCO,FCO,11/28/2013,4511302.00,80905.47,ISS FACILITY SERVICES LTD FCO OP - POE,"Bank Charges (Oracle Cash Management Control Account), Electricity Non-Residential, Electricity Residential, Gas Non-Residential, Gas Residential, Rental Payments - residential, Telephone Call Charges, Waste Disposal, Water Non-Residential, Water Residential"
FCO,FCO,11/29/2013,4513762.00,79273.00,POWER ELECTRICS BRISTOL LTD,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,11/20/2013,4507391.00,78300.00,AIR PARTNER PLC,Programme Spend (Oracle Projects Control Account)
FCO,FCO,11/20/2013,4507398.00,78152.00,INSTITUTE FOR WAR AND PEACE REPORTING IWPR,Programme Spend (Oracle Projects Control Account)
FCO,FCO,11/11/2013,4496509.00,77370.23,ELECTORAL REFORM INTERNATIONAL SERVICES LTD,Programme Spend (Oracle Projects Control Account)
FCO,FCO,11/18/2013,4503780.00,77174.84,KINGS COLLEGE LONDON,Programme Spend (Oracle Projects Control Account)
FCO,FCO,11/18/2013,4503784.00,77015.86,N A MOVING SERVICES LTD,Heavy Baggage
FCO,FCO,11/8/2013,4495245.00,76165.07,REUTERS FOUNDATION,Programme Spend (Oracle Projects Control Account)
FCO,FCO,11/6/2013,4491325.00,74642.62,VFS BUSINESS INFORMATION CONSULTING (SHANGHAI) CO LTD,Commercial Partners (Visa)
FCO,FCO,11/12/2013,4497939.00,73736.30,GLOBAL PARTNERS GOVERNANCE PRACTICE LTD,Programme Spend (Oracle Projects Control Account)
FCO,FCO,11/18/2013,4503832.00,73085.70,BRITISH TELECOM PLC,Telephone line and equipment rental charges
FCO,FCO,11/25/2013,4511849.00,73000.00,ORGANISATION FOR ECONOMIC CO OPERATION AND DEVELOPMENT OECD,Programme Spend (Oracle Projects Control Account)
FCO,FCO,11/21/2013,4508627.00,72736.48,N A MOVING SERVICES LTD,Heavy Baggage
