Department,Entity,Payment date,Transaction Number,Invoice Amount,Supplier,Account Description
FCO,FCO,20/01/2014,4566218,39252.42,ISS FACILITY SERVICES LTD FCO OP,"Building Fabric Services, Building Mechanical and Engineering Services, Cleaning & Waste, Contract Fees, Grounds Maintenance, Manned Guarding Services, Miscellaneous Expenditure: inc subscriptions and equipment maintenance, Office Support Services, Reception Services, Unscheduled repairs to building infrastructure"
FCO,FCO,14/01/2014,4559183,39164.29,HOTELLINE FOR TOURISTIC INVESTMENT LTD,Rental Payments - residential
FCO,FCO,15/01/2014,4563969,38715.93,VFS BUSINESS INFORMATION CONSULTING (SHANGHAI) CO LTD,Commercial Partners (Visa)
FCO,FCO,20/01/2014,4566236,38505.19,ISS FACILITY SERVICES LTD FCO OP,FM Interserve BES Maintenance
FCO,FCO,29/01/2014,4576575,38300.95,FCO SERVICES,Air Freight Dip Bags - Freight & Clearance Charges
FCO,FCO,29/01/2014,4573849,38278.71,ISS FACILITY SERVICES LTD FCO OP - POE,"Electricity Non-Residential, Electricity Residential, Gas Residential, Rental Payments - non residential, Rental Payments - residential, Telephone Call Charges, Waste Disposal, Water Residential"
FCO,FCO,17/01/2014,4567406,38256.08,BK GULF,Construction Project more than £10k
FCO,FCO,14/01/2014,4557941,38213.11,G4S SECURITY SERVICES,Local Guards
FCO,FCO,16/01/2014,4564540,38118.36,THE SECRETARY GENERAL OF THE OSCE,Programme Spend (Oracle Projects Control Account)
FCO,FCO,29/01/2014,4573898,38018.49,FCO SERVICES,IT/IS Consultancy
FCO,FCO,03/01/2014,4553338,38000.00,OBSERVATOIRE NATIONAL DE LA JEUNESSE,Programme Spend (Oracle Projects Control Account)
FCO,FCO,08/01/2014,4556083,37693.02,FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,31/01/2014,4582886,37681.39,CONTROL RISKS SERVICES WEST AFRICA LIMITED,Local Guards
FCO,FCO,03/01/2014,4552124,37524.00,CROWN AGENTS FINANCIAL SERVICES LTD,Programme Spend (Oracle Projects Control Account)
FCO,FCO,13/01/2014,4560074,37382.12,GLOBAL PARTNERS AND ASSOCIATES,Programme Spend (Oracle Projects Control Account)
FCO,FCO,09/01/2014,4555640,37147.85,NORTEL SECURITY ZAO OP,Local Guards
