DEPARTMENTAL FAMILY,ENTITY,DATE,EXPENSE AREA,EXPENSE TYPE,SUPPLIER,TRANSACTION NUMBER,AMOUNT
Ministry of Justice,HMCS,17-Nov-10,CZ999-South East Region,222001-Maintenance,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,1405893,"£41,321.37"
Ministry of Justice,HMCS,17-Nov-10,DZ999-South West Region,222001-Maintenance,NORLAND MANAGED SERVICES LTD,1405921,"£38,544.62"
Ministry of Justice,HMCS,17-Nov-10,CZ999-South East Region,222001-Maintenance,NORLAND MANAGED SERVICES LTD,1405922,"£40,518.14"
Ministry of Justice,HMCS,17-Nov-10,DZ999-South West Region,222001-Maintenance,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,1405894,"£91,945.72"
Ministry of Justice,HMCS,17-Nov-10,BZ999-London Region,222001-Maintenance,NORLAND MANAGED SERVICES LTD,1405922,"£27,783.47"
Ministry of Justice,HMCS,19-Nov-10,BZ999-London Region,222001-Maintenance,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,1408376,"£117,286.57"
Ministry of Justice,HMCS,19-Nov-10,GZ999-North West Region,222001-Maintenance,CARILLION PLANNED MAINTENANCE,1408098,"£190,299.44"
Ministry of Justice,HMCS,24-Nov-10,FZ999-Midlands Region,222001-Maintenance,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,1413002,"£82,475.94"
Ministry of Justice,HMCS,24-Nov-10,FZ999-Midlands Region,222001-Maintenance,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,1413002,"£33,399.38"
Ministry of Justice,HMCS,26-Nov-10,BZ999-London Region,222001-Maintenance,NORLAND MANAGED SERVICES LTD,1416103,"£34,923.82"
Ministry of Justice,HMCS,26-Nov-10,HZ999-North East and Yorkshire,222001-Maintenance,BAILEY MAINTENANCE LTD,1415688,"£46,945.25"
Ministry of Justice,HMCS,26-Nov-10,IZ999-RCJ Group,222001-Maintenance,CARILLION PLANNED MAINTENANCE,1415759,"£64,601.79"
Ministry of Justice,HMCS,26-Nov-10,HZ999-North East and Yorkshire,222001-Maintenance,BAILEY MAINTENANCE LTD,1415688,"£55,255.91"
Ministry of Justice,HMCS,26-Nov-10,IZ999-RCJ Group,222001-Maintenance,CARILLION PLANNED MAINTENANCE,1415759,"£64,601.79"
Ministry of Justice,HMCS,05-Nov-10,IZ999-RCJ Group,222001-Maintenance,SYKES & SON LTD,1393219,"£36,660.59"
Ministry of Justice,HMCS,10-Nov-10,CZ999-South East Region,222001-Maintenance,NEEDHAM (BULDING CONTRACTORS) LTD,1398060,"£31,002.38"
Ministry of Justice,HMCS,12-Nov-10,BZ999-London Region,222001-Maintenance,SYKES & SON LTD,1401282,"£27,361.05"
