DEPARTMENTAL FAMILY,ENTITY,DATE,EXPENSE AREA,EXPENSE TYPE,SUPPLIER,TRANSACTION NUMBER,AMOUNT
Ministry of Justice,HMCS,19-Nov-10,AU999-National Taxing Teams,311200-Criminal Legal Aid,MESSRS SAMUEL & CO#DX 8500,247932,"£121,672.01"
Ministry of Justice,HMCS,19-Nov-10,AU999-National Taxing Teams,311200-Criminal Legal Aid,MESSRS AHMED SOLICITORS#B19 1NH,247542,"£143,088.19"
Ministry of Justice,HMCS,19-Nov-10,AU999-National Taxing Teams,311200-Criminal Legal Aid,FRISBY SOLICITORS LTD T/A FRISBY & CO#DX 14564,1407636,"£33,561.83"
Ministry of Justice,HMCS,19-Nov-10,AU999-National Taxing Teams,311200-Criminal Legal Aid,MESSRS STOKOE PARTNERSHIP#DX 58205,1407825,"£71,059.09"
Ministry of Justice,HMCS,19-Nov-10,AU999-National Taxing Teams,311200-Criminal Legal Aid,MESSRS ESHAGHIAN & CO#DX 57052,247677,"£37,392.20"
Ministry of Justice,HMCS,19-Nov-10,AU999-National Taxing Teams,311200-Criminal Legal Aid,MESSRS BLACKFORDS LLP#DX2617,1407682,"£62,891.95"
Ministry of Justice,HMCS,19-Nov-10,AU999-National Taxing Teams,311200-Criminal Legal Aid,MESSRS B H MOHAMMED#DX 707271,247559,"£78,027.60"
Ministry of Justice,HMCS,19-Nov-10,AU999-National Taxing Teams,311200-Criminal Legal Aid,MESSRS TAIT FARRIER GRAHAM#DX60304,1407830,"£29,937.23"
Ministry of Justice,HMCS,19-Nov-10,AU999-National Taxing Teams,311200-Criminal Legal Aid,MESSRS OPUS LAW#DX 11706,247877,"£98,300.68"
Ministry of Justice,HMCS,24-Nov-10,DZ999-South West Region,532000-Tangible GBV - Additions,CABLE & WIRELESS GLOBAL CARD SERVICES,1412572,"£76,972.73"
Ministry of Justice,HMCS,10-Nov-10,CZ999-South East Region,532000-Tangible GBV - Additions,POWERPERFECTOR PLC,1398885,"£45,826.19"
Ministry of Justice,HMCS,26-Nov-10,BZ999-London Region,532000-Tangible GBV - Additions,RAPISCAN SYSTEMS LTD,1416172,"£48,051.63"
Ministry of Justice,HMCS,26-Nov-10,BZ999-London Region,532000-Tangible GBV - Additions,EC HARRIS LLP,1415842,"£26,661.08"
Ministry of Justice,HMCS,03-Nov-10,BZ999-London Region,532000-Tangible GBV - Additions,EC HARRIS LLP,1389865,"£89,091.54"
Ministry of Justice,HMCS,03-Nov-10,EZ999-Wales Region,532000-Tangible GBV - Additions,WYG MANAGEMENT SERVICES LTD,1390702,"£40,992.32"
Ministry of Justice,HMCS,05-Nov-10,FZ999-Midlands Region,532000-Tangible GBV - Additions,POINTER LTD,1393103,"£47,807.20"
Ministry of Justice,HMCS,05-Nov-10,EZ999-Wales Region,532000-Tangible GBV - Additions,TURNER & TOWNSEND PROJECT MANAGEMENT,1393254,"£47,773.70"
Ministry of Justice,HMCS,12-Nov-10,GZ999-North West Region,532000-Tangible GBV - Additions,HURD ROLLAND PARTNERSHIP,1400962,"£30,530.21"
Ministry of Justice,HMCS,12-Nov-10,BZ999-London Region,532000-Tangible GBV - Additions,HURD ROLLAND PARTNERSHIP,1400962,"£63,988.84"
Ministry of Justice,HMCS,12-Nov-10,BZ999-London Region,532000-Tangible GBV - Additions,TURNER & TOWNSEND PROJECT MANAGEMENT,1401319,"£142,277.97"
Ministry of Justice,HMCS,17-Nov-10,EZ999-Wales Region,532000-Tangible GBV - Additions,DERYN PROPERTIES (INVESTMENTS) LLP,1405464,"£205,977.39"
Ministry of Justice,HMCS,17-Nov-10,FZ999-Midlands Region,532000-Tangible GBV - Additions,POINTER LTD,1406595,"£39,650.96"
Ministry of Justice,HMCS,17-Nov-10,CZ999-South East Region,532000-Tangible GBV - Additions,GALLIFORD TRY CONSTRUCTION LTD CENTRAL,1405561,"£835,514.41"
Ministry of Justice,HMCS,17-Nov-10,CZ999-South East Region,532000-Tangible GBV - Additions,R&M CLARKSON LTD,1406621,"£78,322.08"
Ministry of Justice,HMCS,17-Nov-10,CZ999-South East Region,532000-Tangible GBV - Additions,GALLIFORD TRY CONSTRUCTION LTD CENTRAL,1405561,"£368,092.02"
Ministry of Justice,HMCS,19-Nov-10,FZ999-Midlands Region,532000-Tangible GBV - Additions,BDS FIRE & SECURITY LTD,1408036,"£32,527.81"
Ministry of Justice,HMCS,19-Nov-10,GZ999-North West Region,532000-Tangible GBV - Additions,CSH ELECTRICAL LTD,1408135,"£31,158.94"
Ministry of Justice,HMCS,19-Nov-10,HZ999-North East and Yorkshire,532000-Tangible GBV - Additions,HONEYWELL CONTROL SYSTEMS LTD,1408254,"£37,395.61"
Ministry of Justice,HMCS,03-Nov-10,BZ999-London Region,532000-Tangible GBV - Additions,NORLAND MANAGED SERVICES LTD,1390299,"£47,619.23"
Ministry of Justice,HMCS,05-Nov-10,DZ999-South West Region,532000-Tangible GBV - Additions,STRUCTURA UK LIMITED,1393208,"£256,570.52"
Ministry of Justice,HMCS,10-Nov-10,BZ999-London Region,532000-Tangible GBV - Additions,GEOFFREY OSBORNE LTD,1397772,"£411,250.59"
Ministry of Justice,HMCS,10-Nov-10,BZ999-London Region,532000-Tangible GBV - Additions,LAING O'ROURKE CONSTRUCTION SOUTH LTD,1397945,"£2,453,879.40"
Ministry of Justice,HMCS,10-Nov-10,HZ999-North East and Yorkshire,532000-Tangible GBV - Additions,VEST CONSTRUCTION (LIVECO LTD),1399104,"£33,688.85"
Ministry of Justice,HMCS,10-Nov-10,EZ999-Wales Region,532000-Tangible GBV - Additions,HENSTAFF CONSTRUCTION LTD,1397837,"£48,529.34"
