Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Voucher Number,Transaction Description,Amount
HM Treasury,DMO,18-Feb-2014,DMO - Banking Costs,Settlements,BANK OF ENGLAND ,109180,MONTHLY BANKING CHARGES,90355.74
HM Treasury,DMO,18-Feb-2014,DMO - Banking Costs,Settlements,BANK OF ENGLAND ,109181,MONTHLY BANKING CHARGES,296357.15
HM Treasury,HM Treasury,28-Feb-2014,Procurement Card Suspense,Hmt Suspense,BARCLAYCARD COMMERCIAL ,109300,MONTHLY GPC COSTS,77881.2
HM Treasury,HM Treasury,28-Feb-2014,RBS LODGE CARD (TRAVEL),Hmt Suspense,BARCLAYCARD COMMERCIAL ,109329,MONTHLY LODGE CARD COSTS,126947.74
HM Treasury,HM Treasury,06-Feb-2014,Security,Estates,CABINET OFFICE ,108837,CONTRIBUTION TO GOVERMENT ZONE,40000
HM Treasury,DMO,12-Feb-2014,IT Software Services & Maintenance Non VAT Recoverable,Business Delivery,CRMWORKS LIMITED,109062,SERVICE DESK APPLICATION MAINTENANCE & SUPPORT 29/1/14 -28/1/17,33634.44
HM Treasury,HM Treasury,20-Jan-14,Professional Services - Management Consultancy,"Personal Tax, Welfare & Pensions Team",ECONOMIC INSIGHT LTD,108434,CHILDCARE VOUCHERS ADVICE,37800
HM Treasury,HM Treasury,10-Feb-2014,Electricity,Estates,EDF ENERGY,108996,MONTHLY  ELECTRICITY CHARGES,54117.19
HM Treasury,DMO,18-Feb-2014, IT/Office equipment purchase - over £5k,Consolidated Projects,EUROPEAN ELECTRONIQUE LTD,109041,IT HARDWARE (TAPE BACK UP SOLUTION),40384.8
HM Treasury,HM Treasury,24-Feb-2014,Facilities Service Charges Non-recoverable,Estates,EXCHEQUER PARTNERSHIP PLC,109010,"MONTHLY POST, GOODS AND PORTERAGE SERVICES",36086.77
HM Treasury,HM Treasury,18-Feb-2014,CONTINGENT RENT ON HORSEGUARDS PFI,Estates,EXCHEQUER PARTNERSHIP PLC,109011,MONTHLY UNITARY PAYMENT ,1987938
HM Treasury,HM Treasury,12-Feb-2014,IT Hardware Services & Maintenance VAT Recoverable,FLEX Services,FUJITSU SERVICES LIMITED,109058,HMT CONFIDENTIAL SERVICE CHARGE [JULY 2013],857640.58
HM Treasury,HM Treasury,26-Feb-2014,Consultancy - Financial,Public Spending,GOVERNMENT ACTUARY'S DEPT,109276,MONTHLY ACTURARIAL CHARGES ,67066.9
HM Treasury,UKFI,28-Feb-2014,Rent,UKFI,HM REVENUE & CUSTOMS (WORTHING),109301,UKFI QUARTERLY RENT CHARGES,38726.54
HM Treasury,UKFI,28-Feb-2014,Rent,UKFI,HM REVENUE & CUSTOMS (WORTHING),109302,UKFI QUARTERLY RENT CHARGES,42296.83
HM Treasury,UKFI,06-Feb-2014,VAT Control Account,UKFI Balance Sheet,HM REVENUE AND CUSTOMS,109025,UKFI QUARTERLY VAT CHARGES,82112
HM Treasury,HM Treasury,26-Feb-2014,Professional Services - IT,Project OSCAR (inc DPI),IBM UK,109173,PROJECT OSCAR STAFFING COSTS ,31612.8
HM Treasury,HM Treasury,26-Feb-2014,IT Hardware Services & Maintenance Non VAT Recoverable,Project OSCAR (inc DPI),IBM UK,109227,PROJECT OSCAR - HOSTING COSTS,36630
HM Treasury,HM Treasury,20-Feb-2014,Archives & Storage,Knowledge & Information Management,IRON MOUNTAIN,108153,CHARGES FOR RECORDS MANAGEMENT,100629.9
HM Treasury,DMO,18-Feb-2014, IT/Office equipment purchase - over £5k,Consolidated Projects,LOGICALIS UK LTD,109126,IT EQUIPMENT - SERVER,49734.52
HM Treasury,Help to Buy,14-Feb-2014,Advertising and Publicity - Admin (not recruitment ads),HTB OCS,M4C,109158,HELP TO BUY ADVERTSING CAMPAIGN,72651.45
HM Treasury,HM Treasury,20-Feb-2014,Equitable Life Enquiry VAT non - recoverable,Equitable Life,NATIONAL SAVINGS AND INVESTMENTS,109075,OPERATIONAL COSTS FOR THE EQUITABLE LIFE PAYMENT SCHEME - NOV 2013,1289203.25
HM Treasury,Help to Buy,29-Jan-2014,Advertising and Publicity - Admin (not recruitment ads),HTB OCS,PLUMLIFE,108846,HELP TO BUY ADVERTSING CAMPAIGN,31456.8
HM Treasury,HM Treasury,14-Feb-2014,AME Mint Stock Metal Costs,Hmt Suspense,ROYAL MINT,109084,UK CIRCULATING COINS METAL COSTS,602664.52
HM Treasury,HM Treasury,14-Feb-2014,DEL Mint Stock Manufacturing Costs,Hmt Suspense,ROYAL MINT,109084,UK CIRCULATING COINS MANUFACTURE COSTS,1758164.3
HM Treasury,DMO,07-Feb-2014,IT Software services and maintenance  Rec,Business Delivery,SS&C TECHNOLOGIES,109066,ANNUAL MAINTENANCE FEE 16/02/14-15/02/15,159480.7
HM Treasury,HM Treasury,26-Feb-2014,Equitable Life Enquiry VAT recoverable,Equitable Life,TOWERS WATSON,109230,OPERATIONAL COSTS FOR THE EQUITABLE LIFE PAYMENT SCHEME - NOV 2013,37472.74
HM Treasury,HM Treasury,04-Feb-2014,UKFI Management Fee,UKFI MANAGEMENT FEE,UK FINANCIAL INVESTMENTS LTD,109071,UKFI MONTHLY MANAGEMENT FEE,350000
HM Treasury,HM Treasury,25-Feb-2014,UKFI Management Fee,UKFI MANAGEMENT FEE,UK FINANCIAL INVESTMENTS LTD,109319,UKFI ADDITIONAL MANAGEMENT FEE ,250000
