Department Family,Entity,Date,4 Expense Type,Expense Area,Supplier,Transaction No,Amount  
DEFRA,Core Dept,11-Apr-11,GPC Card,Central Finance Group,Barclaycard Business Issuing,4.72E+21,"314,298.76"
DEFRA,Core Dept,05-Apr-11,Input VAT,Central Finance Group,A E A Technology plc,614323334,"138,312.00"
DEFRA,Core Dept,05-Apr-11,Grant-in Aid Payments,Environment and Rural Group,Environment Agency,EAGIAAPR11,"55,012,000.00"
DEFRA,Core Dept,05-Apr-11,Grant-in Aid Payments,Environment and Rural Group,Environment Agency,EACPFGIAAPR11,"40,034,000.00"
DEFRA,Core Dept,18-Apr-11,Other Current Payments E,Environment and Rural Group,Natural England,240311,"15,000,000.00"
DEFRA,Core Dept,05-Apr-11,Grant-in Aid Payments,Environment and Rural Group,Marine Management Organisation,290311,"5,027,000.00"
DEFRA,Core Dept,07-Apr-11,Other Current Payments E,Environment and Rural Group,British Waterways,310311,"4,848,000.00"
DEFRA,Core Dept,13-Apr-11,Current Grants E,Environment and Rural Group,Keep Britain Tidy,103998,"3,000,000.00"
DEFRA,Core Dept,01-Apr-11,Current Grants E,Environment and Rural Group,Peak District National Park Au,240311,"2,835,000.00"
DEFRA,Core Dept,11-Apr-11,Other Current Payments E,Environment and Rural Group,Dorset County Council,1800109246,"2,750,000.00"
DEFRA,Core Dept,05-Apr-11,Other Current Payments (GB),Environment and Rural Group,C E F A S,8001008,"2,086,926.30"
DEFRA,Core Dept,28-Apr-11,EC Creditor,Environment and Rural Group,Department Of Agriculture & Ru,ERS-476666-33300,"1,860,967.18"
DEFRA,Core Dept,01-Apr-11,Current Grants E,Environment and Rural Group,Lake District National Park Au,110311,"1,787,300.00"
DEFRA,Core Dept,11-Apr-11,Other Current Payments E,Environment and Rural Group,Dept For Communities & Local G,70411,"1,741,666.67"
DEFRA,Core Dept,21-Apr-11,Overhead Incidental Expenses,Environment and Rural Group,Acre.,5180,"1,600,000.00"
DEFRA,Core Dept,01-Apr-11,Current Grants E,Environment and Rural Group,South Downs National Park Auth,100311,"1,568,935.00"
DEFRA,Core Dept,01-Apr-11,Current Grants E,Environment and Rural Group,Yorkshire Dales National Autho,10311,"1,534,118.00"
DEFRA,Core Dept,15-Apr-11,Grant-in Aid Payments,Environment and Rural Group,The National Forest Co,50411,"1,285,771.00"
DEFRA,Core Dept,01-Apr-11,Current Grants E,Environment and Rural Group,North York Moors National Park,90311,"1,277,401.00"
DEFRA,Core Dept,01-Apr-11,Current Grants E,Environment and Rural Group,Northumberland Nat Park Author,110311,"1,274,000.00"
DEFRA,Core Dept,01-Apr-11,Current Grants E,Environment and Rural Group,Dartmoor National Park Authori,40311,"1,168,286.00"
DEFRA,Core Dept,19-Apr-11,Grant-in Aid Payments,Environment and Rural Group,Consumer Council for Water (CC,130411,"1,137,637.00"
DEFRA,Core Dept,01-Apr-11,Current Grants E,Environment and Rural Group,New Forest National Park Auth,100311,"1,095,391.00"
DEFRA,Core Dept,01-Apr-11,Current Grants E,Environment and Rural Group,Broads Authority,90311,"1,000,537.00"
DEFRA,Core Dept,01-Apr-11,Current Grants E,Environment and Rural Group,Exmoor National Park Authority,80311,"978,700.00"
DEFRA,Core Dept,11-Apr-11,Other Capital UK,Environment and Rural Group,Association Of Rivers Trusts,1106,"769,052.00"
DEFRA,Core Dept,19-Apr-11,Other Current Payments (GB),Environment and Rural Group,Mineral Industry Research Orga,SIN000533,"765,397.47"
DEFRA,Core Dept,13-Apr-11,Other Current Payments (GB),Environment and Rural Group,Carbon Trust,240211,"500,000.00"
DEFRA,Core Dept,11-Apr-11,Other Current Payments (Evidence R&D),Environment and Rural Group,University of Oxford,RIRF120073812,"306,413.04"
DEFRA,Core Dept,05-Apr-11,Other Current Payments E,Environment and Rural Group,Lincolnshire Fire & Rescue,300311,"250,000.00"
DEFRA,Core Dept,11-Apr-11,Other Current Payments (GB),Environment and Rural Group,Dept For Communities & Local G,60411,"250,000.00"
DEFRA,Core Dept,15-Apr-11,Other Current Payments (Evidence R&D),Environment and Rural Group,H R Wallingford Ltd,HR042966,"227,160.00"
DEFRA,Core Dept,11-Apr-11,Other Current Payments UK,Environment and Rural Group,Bureau Veritas UK Ltd,11006422,"217,165.20"
DEFRA,Core Dept,01-Apr-11,Current Grants E,Environment and Rural Group,North York Moors National Park,9.03E+12,"200,000.00"
DEFRA,Core Dept,07-Apr-11,Other Current Payments (Evidence R&D),Environment and Rural Group,University Of Bristol,RES31851,"168,600.00"
DEFRA,Core Dept,05-Apr-11,Other Current Payments UK,Environment and Rural Group,National Physical Laboratory,107406,"157,136.40"
DEFRA,Core Dept,11-Apr-11,Other Current Payments (Evidence R&D),Environment and Rural Group,University of Salford,15073091,"155,257.00"
DEFRA,Core Dept,07-Apr-11,Other Current Payments (GB),Environment and Rural Group,Carbon Trust,4,"150,000.00"
DEFRA,Core Dept,08-Apr-11,Other Current Payments E,Environment and Rural Group,Global Bio Info Facility Sec,2011UK27,"148,463.00"
DEFRA,Core Dept,19-Apr-11,Other Current Payments (Evidence R&D),Environment and Rural Group,A E A Technology plc,6143311,"136,785.68"
DEFRA,Core Dept,01-Apr-11,Other Current Payments E,Environment and Rural Group,Cotswolds Conservation Board,250311,"129,845.75"
DEFRA,Core Dept,05-Apr-11,Other Current Payments E,Environment and Rural Group,The Chilterns Conservation Boa,250311,"125,961.25"
DEFRA,Core Dept,19-Apr-11,Other Current Payments UK,Environment and Rural Group,A E A Technology plc,6143257,"120,908.40"
