Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description ,,
Cabinet Office,CABINET OFFICE,9/11/2015,FM CONTRACT FIXED COSTS,ROSEBERY COURT FM CONTRACT,MITIE BUSINESS SERVICES LTD,3000066103,48922.81,Facilities Management Services,,
Cabinet Office,CABINET OFFICE,9/11/2015,RESOURCE GRANTS PRIVATE SECTOR,ADULT VOLUNTEERING,BRITISH YOUTH COUNCIL.,3000066110,25000.00,Grant for youth participation in public decision making,,
Cabinet Office,CABINET OFFICE,9/11/2015,HARDWARE LEASE,CERT,E2E ASSURE LTD,3000066111,27360.00,"Hardware Lease, Support and Protective Monitoring",,
Cabinet Office,CABINET OFFICE,9/11/2015,INSIGNIA OVERHEAD COSTS,HONOURS AND DIGNITIES,TREASURER TO THE QUEEN,3000066101,71603.00,Insignia overhead costs,,
Cabinet Office,CABINET OFFICE,9/11/2015,SUNNINGDALE PARK PFI SERVICE CHARGES,NSG TRANSITION COSTS,DE VERE VENUES GROUP LTD,3000066120,152926.78,PFI Service Charge for Sunningdale Park,,
Cabinet Office,CABINET OFFICE,9/11/2015,OPERATING LEASES - RENT,NSG TRANSITION COSTS,DE VERE VENUES GROUP LTD,3000066116,49440.00,Rent for accommodation,,
Cabinet Office,CABINET OFFICE,9/11/2015,OTHER IS IT COSTS VAT RECOV,GDS ID ASSURANCE,SKYSCAPE CLOUD SERVICES LTD,3000066100,75172.95,Identity Assurance Programme,,
Cabinet Office,CABINET OFFICE,10/11/2015,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,COUNSEL,LEXIS NEXIS BUTTERWORTHS,3000066138,27972.72,Copies of Halsbury Statutes,,
Cabinet Office,CABINET OFFICE,10/11/2015,TELECOM RENTALS,CCS RESILIENT TELECOMMUNICATIONS,MINISTRY OF DEFENCE,3000066129,86116.34,High Integrity Telecoms System Project,,
Cabinet Office,CABINET OFFICE,10/11/2015,CONTRACTORS & STAFF SUBSTITUTIONS,GDS COMMUNICATIONS AND CREATIVE,CAPITA BUSINESS SERVICES LTD,3000066149,27078.67,Interim IT specialists,,
Cabinet Office,CABINET OFFICE,10/11/2015,CONTRACTORS & STAFF SUBSTITUTIONS,COMMON TECHNOLOGY SERVICES,CAPITA BUSINESS SERVICES LTD,3000066149,30793.44,Interim IT specialists,,
Cabinet Office,CABINET OFFICE,10/11/2015,CONTRACTORS & STAFF SUBSTITUTIONS,GDS Enabling Strategy,CAPITA BUSINESS SERVICES LTD,3000066149,65170.75,Interim IT specialists,,
Cabinet Office,CABINET OFFICE,10/11/2015,CONTRACTORS & STAFF SUBSTITUTIONS,GDS PUBLISHING PLATFORM TECHNOLOGY,CAPITA BUSINESS SERVICES LTD,3000066149,67928.18,Interim IT specialists,,
Cabinet Office,CABINET OFFICE,10/11/2015,OTHER IS IT COSTS VAT RECOV,CERT,MDS TECHNOLOGIES LTD,3000066160,73820.72,IT Support for CERT UK,,
Cabinet Office,CABINET OFFICE,10/11/2015,CONTRACTORS & STAFF SUBSTITUTIONS,CABINET OFFICE DIGITAL AND TECHNOLOGY TEAM,MISCO,3000066154,49782.20,Interim IT specialists,,
Cabinet Office,CABINET OFFICE,10/11/2015,OPERATING LEASES - RENT,1 HORSEGUARDS ROAD,HM TREASURY,3000066139,2636463.23,Rent for accommodation,,
Cabinet Office,CABINET OFFICE,11/11/2015,IS/IT COSTS - NON RECOVERABLE VAT,GDS PUBLISHING PLATFORM TECHNOLOGY,UNBOXED CONSULTING LTD,3000066191,46202.51,Developer services to support GDS,,
Cabinet Office,CABINET OFFICE,11/11/2015,SERVICE CHARGES,10 GREAT GEORGE STREET,HOME OFFICE,3000066189,43726.87,Facilities Management Services,,
Cabinet Office,CABINET OFFICE,11/11/2015,OTHER IS IT COSTS VAT RECOV,GDS BUS DEV CONSULTANT AND STAFF COSTS,CARRENZA LTD,3000066165,73679.24,Hosting costs for GOV.UK,,
Cabinet Office,CABINET OFFICE,11/11/2015,CONSULTANTS VAT RECOVERABLE,ERG MAJOR PROJECTS TEAM,GREEN PARK INTERIM AND EXECUTIVE LTD,3000066170,49744.00,Interim services to support Major Projects Authority,,
Cabinet Office,CABINET OFFICE,11/11/2015,OTHER IS IT COSTS VAT RECOV,CERT,RISUAL LTD,3000066167,31210.65,IT Support for CERT UK,,
Cabinet Office,CABINET OFFICE,11/11/2015,IS/IT COSTS - NON RECOVERABLE VAT,PLATFORMS AND STANDARDS,EQUAL EXPERTS UK LTD,3000066174,36900.00,Services to GDS to support Platforms and Standards team,,
Cabinet Office,CABINET OFFICE,12/11/2015,CONSULTANTS VAT RECOVERABLE,ERG DEBT MARKET INTEGRATOR,ATKINS MANAGEMENT CONSULTANTS,3000066212,49224.72,Consultant expenses,,
Cabinet Office,CABINET OFFICE,12/11/2015,TELECOM RENTALS,CABINET OFFICE BAU RESOURCE B,VODAFONE LTD,3000066229,64703.72,Core Connectivity Charges,,
Cabinet Office,CABINET OFFICE,12/11/2015,NON PRIME UTILITIES,FEM MISC,BOUYGUES E&S FM UK LTD,3000066214,53103.04,Facilities Management Services,,
Cabinet Office,CABINET OFFICE,12/11/2015,FM CONTRACT VARIABLE,TOTAL FM CONTRACT,BOUYGUES E&S FM UK LTD,3000066214,75693.86,Facilities Management Services,,
Cabinet Office,CABINET OFFICE,12/11/2015,IS/IT COSTS - NON RECOVERABLE VAT,GDS ID ASSURANCE,POST OFFICE LTD,3000066230,68929.20,Identity Assurance Programme,,
Cabinet Office,CABINET OFFICE,12/11/2015,OTHER IS IT COSTS VAT RECOV,GDS ID ASSURANCE,POST OFFICE LTD,3000066230,110679.50,Identity Assurance Programme,,
Cabinet Office,CABINET OFFICE,12/11/2015,IS/IT COSTS - NON RECOVERABLE VAT,COMMON TECHNOLOGY SERVICES,E SYNERGY SOLUTIONS LTD,3000066219,38280.00,Services to GDS to support Common Technology Services,,
Cabinet Office,CABINET OFFICE,12/11/2015,IS/IT COSTS - NON RECOVERABLE VAT,AGENCY TRANSFORMATION,METHODS DIGITAL LTD,3000066228,32400.00,Services to GDS to support Government as a Platform team,,
Cabinet Office,CABINET OFFICE,12/11/2015,OTHER IS IT COSTS VAT RECOV,AGENCY TRANSFORMATION,METHODS DIGITAL LTD,3000066228,51850.00,Services to GDS to support Government as a Platform team,,
Cabinet Office,CABINET OFFICE,12/11/2015,OTHER IS IT COSTS VAT RECOV,PLATFORMS AND STANDARDS,E SYNERGY SOLUTIONS LTD,3000066219,30912.50,Services to GDS to support Platforms and Standards team,,
Cabinet Office,Crown Commercial Service,13/11/2015,WSDS Maintenance & Repairs,Whitehall Standby Dist Systems,Cofely,PINP2P 1383,34692.45,Whitehall heating systems management,,
Cabinet Office,CABINET OFFICE,13/11/2015,OTHER IS IT COSTS VAT RECOV,ERG NEXT GENERATION SHARED SERVICES,SHARED SERVICES CONNECTED LTD,3000066244,1518500.00,Shared Operating Platform Payments for Next Generation Shared Services,,
Cabinet Office,CABINET OFFICE,16/11/2015,CONSULTANTS VAT RECOVERABLE,Pension Scheme Finance Team,GOVERNMENT ACTUARYS DEPARTMENT GAD,3000066258,35074.14,Actuarial services,,
Cabinet Office,CABINET OFFICE,16/11/2015,OTHER IS IT COSTS VAT RECOV,ERTP IER LIVE SERVICE,FCO SERVICES,3000066268,51503.33,Individual Electoral Registration Live Service running costs,,
Cabinet Office,CABINET OFFICE,16/11/2015,CONTRACTORS & STAFF SUBSTITUTIONS,GDS OFFICE OF CHIEF TECHNOLOGY OFFICER,CAPITA BUSINESS SERVICES LTD,3000066277,30516.06,Interim IT specialists,,
