Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Transation Description,Amount
HM Treasury,APA,20-Jul-11,Consultancy - Legal,APA,SLAUGHTER AND MAY,93572,"PROFESSIONAL FEES - MAR 11 - ASSET PROTECTION AGENCY LEGAL ADVICE
",23829.92
HM Treasury,APA,20-Jul-11,Consultancy - Legal,APA,SLAUGHTER AND MAY,93573,"PROFESSIONAL FEES - APR 11 - ASSET PROTECTION AGENCY - LEGAL ADVICE
",31554.5
HM Treasury,APA,22-Jul-11,Consultancy - Legal,APA,SLAUGHTER AND MAY,93574,"PROFESSIONAL FEES - MAY 11 - ASSET PROTECTION AGENCY - LEGAL ADVICE
",60551.5
HM Treasury,APA,22-Jul-11,Consultancy - Legal,APA,SLAUGHTER AND MAY,93690,"PROFESSIONAL FEES - JUN 11 - ASSET PROTECTION AGENCY - LEGAL ADVICE
",105873.41
HM Treasury,HM Treasury,27-Jul-11,Consultancy - Legal,Corporate Centre,THE TREASURY SOLICITOR,93753,TSOL -  TREASURY LEGAL ADVISORS SALARY COSTS RECHARGED FROM TSOL JUNE 2011,249687.87
HM Treasury,HM Treasury,27-Jul-11,Professional Services - Legal representation Services,Corporate Centre,THE TREASURY SOLICITOR,93753,CHARGES FOR EMPLOYMENT LAW ADVICE,5187.76
HM Treasury,HM Treasury,20-Jul-11,Consultancy - Legal,Corporate Centre,THE TREASURY SOLICITOR,93145,TSOL -  TREASURY LEGAL ADVISORS SALARY COSTS RECHARGED FROM TSOL MAY 2011,255003
HM Treasury,HM Treasury,29-Jul-11,Equitable Life Enquiry VAT recoverable,Business & International Tax,TOWERS WATSON,93791,ACTURIAL SUPPORT TO HM TREASURY IN RESPECT OF THE EQUITABLE LIFE PAYMENT SCHEME - JUNE 2011,243288.07
HM Treasury,HM Treasury,04-Jul-11,Equitable Life Enquiry VAT recoverable,Business & International Tax,TOWERS WATSON,93279,ACTURIAL SUPPORT TO HM TREASURY IN RESPECT OF THE EQUITABLE LIFE PAYMENT SCHEME - MAY 2011,384910.2
HM Treasury,HM Treasury,27-Jul-11,Consultancy -Property Services,Corporate Centre,TURNER AND TOWNSEND,93767,WORKPLACE OPTIMISATION PROJECT - HMT PROJECT BRIEF SIGN OFF,124930.39
HM Treasury,HM Treasury,27-Jul-11,Consultancy -Property Services,Corporate Centre,TURNER AND TOWNSEND,93768,WORKPLACE OPTIMISATION PROJECT - DELIVERY OF PROJECT DESIGN,148354.85
HM Treasury,HM Treasury,20-Jul-11,UKFI Management Fee,Corporate Centre,UK FINANCIAL INVESTMENTS LTD,93683,UKFI MANAGEMENT FEE FOR JULY 2011 ,58000
HM Treasury,HM Treasury,04-Jul-11,UKFI Management Fee,Corporate Centre,UK FINANCIAL INVESTMENTS LTD,93371,UKFI MANAGEMENT FEE FOR JULY 2011,110000
