Department,Entity,Payment date,Transaction Number,Invoice Amount,Supplier ,Account Description
FCO,FCO,21/04/2014,4677001,"37,101.08",HAYAT INSURANCE BROKERS S/B,Subsidy To Local Medical Schemes
FCO,FCO,16/04/2014,4664280,"37,083.78",INTERNATIONAL PEACE COOPERATION CENTER,Programme Spend (Oracle Projects Control Account)
FCO,FCO,08/04/2014,4664351,"36,884.30",G4S SECURITY SERVICES,Local Guards
FCO,FCO,30/04/2014,4684692,"36,700",UNIVERSITY OF OXFORD,Programme Spend (Oracle Projects Control Account)
FCO,FCO,10/04/2014,4668781,"36,606.19",CONTROL RISKS SERVICES WEST AFRICA LIMITED,Local Guards
FCO,FCO,08/04/2014,4665959,"36,456.95",INTERNATIONAL LAW AND POLICY GROUP,Programme Spend (Oracle Projects Control Account)
FCO,FCO,09/04/2014,4667416,"36,425.03",FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,30/04/2014,4681104,"36,413.35",FCO SERVICES,Air Freight Dip Bags - Freight & Clearance Charges
FCO,FCO,23/04/2014,4676529,"36,158.16",WEST YORKSHIRE POLICE AUTHORITY,Consular Crisis Expenditure
FCO,FCO,15/04/2014,4671755,"36,108.21",INSTITUTE OF ECONOMIC RESEARCH NATIONAL DEVELOPMENT AND REFORM COMMISSION,Programme Spend (Oracle Projects Control Account)
FCO,FCO,29/04/2014,4681825,"36,060.82",TOLO TV INTERNATIONAL INC,Programme Spend (Oracle Projects Control Account)
FCO,FCO,09/04/2014,4667008,"36,024.73",FCO SERVICES,"Assets Under Construction (Oracle PA Control Account), Freight & Customs Clearance Charges"
FCO,FCO,29/04/2014,4679246,"35,971.52",ISS FACILITY SERVICES LTD FCO OP - POE,"Electricity Non-Residential, Electricity Residential, Gas Residential, Rental Payments - non residential, Telephone Call Charges, Water Residential"
FCO,FCO,29/04/2014,4679248,"35,519.98",ISS FACILITY SERVICES LTD FCO OP - POE,"Electricity Non-Residential, Electricity Residential, Gas Residential, Rent Deposits, Rental Payments - non residential, Rental Payments - residential, Telephone Call Charges, Waste Disposal, Water Non-Residential, Water Residential"
FCO,FCO,03/04/2014,4662134,"35,248.35",ARTICLE 19,Programme Spend (Oracle Projects Control Account)
FCO,FCO,24/04/2014,4679068,"35,126.98",IR CONSILIUM LTD,Programme Spend (Oracle Projects Control Account)
FCO,FCO,18/04/2014,4660305,"35,059.69",UTRIKESDEPARTEMENTET,"Le Staff Pay, Miscellaneous Expenditure: inc subscriptions and equipment maintenance, Post - Air Travel"
FCO,FCO,30/04/2014,4684678,"34,888",CLIMATE PARLIAMENT,Programme Spend (Oracle Projects Control Account)
FCO,FCO,09/04/2014,4664259,"34,704.88",GOVERNMENT MEDIA CENTER,Programme Spend (Oracle Projects Control Account)
FCO,FCO,30/04/2014,4682225,"34,586.36",FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,17/04/2014,4675400,"34,445.19",MARSH UK LTD,Programme Spend (Oracle Projects Control Account)
FCO,FCO,16/04/2014,4668636,"34,381.63",FCO SERVICES,Air Freight Dip Bags - Freight & Clearance Charges
FCO,FCO,03/04/2014,4662035,"34,361.45",N A MOVING SERVICES LTD,Heavy Baggage
FCO,FCO,22/04/2014,4676416,"34,051.63",ADAM SMITH INTERNATIONAL,Recharge Suspense Account (Oracle PA Control Account)
FCO,FCO,23/04/2014,4675511,"33,913.59",FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,08/04/2014,4660995,"33,876.60",SUPREME FUELS TRADING FZE,Fuel
FCO,FCO,09/04/2014,4664324,"33,839.13",FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,24/04/2014,4673624,"33,572.27",OCO GLOBAL LTD,Recharge Suspense Account (Oracle PA Control Account)
FCO,FCO,09/04/2014,4664997,"33,418.67",DEVELOPMENT RESEARCH CENTER OF THE STATE COUNCIL,Programme Spend (Oracle Projects Control Account)
FCO,FCO,16/04/2014,4669509,"33,287.37",SEARCH FOR COMMON GROUND NEPAL,Programme Spend (Oracle Projects Control Account)
FCO,FCO,29/04/2014,4679255,"33,278",ISS FACILITY SERVICES LTD FCO OP - POE,"Bank Charges (Oracle Cash Management Control Account), Electricity Non-Residential, Electricity Residential, Gas Non-Residential, Gas Residential, Property Maintenance Overseas Non Residential, Property Maintenance Overseas Residential, Rental Payments - residential, Telephone Call Charges, Water Non-Residential, Water Residential"
FCO,FCO,22/04/2014,4675946,"33,254.54",AGENCIA CONSULTING LTD,Programme Spend (Oracle Projects Control Account)
