Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Additional Narrative
HM Treasury,DMO,22-Oct-2010,DMO - Banking Costs,Settlements,BANK OF ENGLAND,88399,"110,154.16",
HM Treasury,HM Treasury,22-Oct-2010,Procurement Card,Corporate Services,NATWEST BANK PLC,88398,"122,761.83",various purchases on Procurement Card
HM Treasury,HM Treasury,26-Oct-2010,Contracted out svcs - other,Public Services & Growth,GOVERNMENT ACTUARY'S DEPT,88416,"23,812.35",Actuarial Advice Sept 10
HM Treasury,HM Treasury,26-Oct-2010,Telephone Rental,Corporate Services,VODAFONE CORPORATE LTD,88436,"33,162.32",IT/ telephony services
HM Treasury,DMO,26-Oct-2010,Software Licences,Business Delivery,EUROPEAN ELECTRONIQUE LTD,88440,"120,829.72",
HM Treasury,HM Treasury,26-Oct-2010,Travel,Corporate Services,RBS LODGE,88462,"144,919.06",various travel costs
HM Treasury,HM Treasury,26-Oct-2010,Consultancy - Legal -  Contracted out services,Corporate Services,THE TREASURY SOLICITOR,88419,"279,312.29",Treasury Legal Advisors - salary costs recharged from TSOL 
HM Treasury,HM Treasury,28-Oct-2010,IT Equipment  - Current,Corporate Services,BUYING SOLUTIONS,88466,"45,914.89",IT services
HM Treasury,HM Treasury,28-Oct-2010,Equitable Life  - professional services,Equitable Life,DELOITTE LLP,87547,"42,024.63",
HM Treasury,HM Treasury,29-Oct-2010,IT Equipment  - Current,Corporate Services,BUYING SOLUTIONS,88465,"140,992.36",IT services
,,,,,,,,
,,,,,,,,
additional lines of data  excluded from previous publications ,,,,,,,,
,,,,,,,,
Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Additional Narrative
HM Treasury,HM Treasury,25-Jun-2010,Consultants-Management-Staff Substitution,Corporate Services,FUJITSU SERVICES LIMITED,84863,12690.00,IT services 
HM Treasury,HM Treasury,25-Jun-2010,Contracted Out Services Other,Corporate Services,FUJITSU SERVICES LIMITED,84863,33384.00,IT services 
HM Treasury,HM Treasury,25-Jun-2010,IT profssnl svcs contractd out,Corporate Services,FUJITSU SERVICES LIMITED,84863,17864.00,IT services 
HM Treasury,HM Treasury,15-Jul-2010,Consultants-Mgt-Advisory,Corporate Services,FUJITSU SERVICES LIMITED,85846,197446.37,IT services 
HM Treasury,HM Treasury,19-Jul-2010,Consultants-Mgt-Advisory,Corporate Services,FUJITSU SERVICES LIMITED,85181,197447.37,IT services 
HM Treasury,HM Treasury,03-Sep-2010,Consultants-Mgt-Advisory,Corporate Services,FUJITSU SERVICES LIMITED,87023,196299.77,IT services 
HM Treasury,HM Treasury,09-Sep-2010,IT profssnl svcs contractd out,Corporate Services,FUJITSU SERVICES LIMITED,87189,82403.75,IT services 
HM Treasury,HM Treasury,09-Sep-2010,IT profssnl svcs contractd out,Corporate Services,FUJITSU SERVICES LIMITED,87188,141711.25,IT services 
HM Treasury,HM Treasury,09-Sep-2010,IT profssnl svcs contractd out,Corporate Services,FUJITSU SERVICES LIMITED,87190,322992.00,IT services 
HM Treasury,HM Treasury,13-Sep-2010,IT profssnl svcs contractd out,Corporate Services,FUJITSU SERVICES LIMITED,87074,49000.00,IT services 
HM Treasury,HM Treasury,22-Sep-2010,IT profssnl svcs contractd out,Corporate Services,FUJITSU SERVICES LIMITED,87467,37649.38,IT services 
HM Treasury,HM Treasury,28-Sep-2010,IT profssnl svcs contractd out,Corporate Services,FUJITSU SERVICES LIMITED,87187,765058.50,IT services 
