Organisation,,Partnerships for Schools,,,,,,
Submitted By,,,,,,,,
Spend Tolerance,,"25,000",,,,,,
Month,,01.12.2010 to 31.12.2010,,,,,,
Department family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount Including VAT,VAT Registration Number
DfE,PfS,06/12/2010,Capital Grant,Schools Capital and Revenue Grants,WORCESTER DIOCESE BOARD FOR EDUCATION GENERAL,294979,99729.53
DfE,PfS,06/12/2010,Capital Grant,Schools Capital and Revenue Grants,DIOCESAN (BARCHESTER) SCHEME,294981,221627.47
DfE,PfS,06/12/2010,Capital Grant,Schools Capital and Revenue Grants,LEICESTERSHIRE CATHOLIC SCHOOLS COUNCIL,294985,128063.25
DfE,PfS,06/12/2010,Capital Grant,Schools Capital and Revenue Grants,BIRMINGHAM ROMAN CATHOLIC DIOCESAN TRUSTEES REGISTERED DEVOLVED,294991,47172.33
DfE,PfS,06/12/2010,Capital Grant,Schools Capital and Revenue Grants,ST GEORGES ROMAN CATHOLIC PRIMARY SCHOOL,294993,40185
DfE,PfS,06/12/2010,Capital Grant,Schools Capital and Revenue Grants,SOUTHWARK DIOCESAN BOARD OF EDUCATION NO.4 ACCOUNT,294999,213855.02
DfE,PfS,06/12/2010,Capital Grant,Schools Capital and Revenue Grants,PORTSMOUTH DIOCESAN CHURCH SCHOOL GOVERNORS FUND,295001,41554.81
DfE,PfS,10/12/2010,Capital Grant,Schools Capital and Revenue Grants,BATH AND WELLS DIOCESAN BOARD OF FINANCE,298556,48857.03
DfE,PfS,10/12/2010,Capital Grant,Schools Capital and Revenue Grants,LICHFIELD DIOCESAN EDUCATION COUNCIL BARCHESTER,298558,134095.29
DfE,PfS,10/12/2010,Capital Grant,Schools Capital and Revenue Grants,ROMAN CATHOLIC ARCHDIOCESE OF SOUTHWARK,298560,39481.25
DfE,PfS,10/12/2010,Capital Grant,Schools Capital and Revenue Grants,ROMAN CATHOLIC DIOCESE HEXHAM AND NEWCASTLE,298562,74394.08
DfE,PfS,10/12/2010,Capital Grant,Schools Capital and Revenue Grants,PATES GRAMMAR SCHOOL,298564,145776.14
DfE,PfS,10/12/2010,Capital Grant,Schools Capital and Revenue Grants,SOUTHWARK DIOCESAN BOARD OF EDUCATION NO.4 ACCOUNT,298566,37113.92
DfE,PfS,10/12/2010,Capital Grant,Schools Capital and Revenue Grants,SALFORD ROMAN CATHOLIC DIOCESE DEVOLVED FORMULA CAPITAL 1 ACCOUNT,298568,104557.58
DfE,PfS,10/12/2010,Capital Grant,Schools Capital and Revenue Grants,PORTSMOUTH DIOCESAN CHURCH SCHOOL GOVERNORS FUND,298570,44540.55
DfE,PfS,13/12/2010,Capital Grant,Schools Capital and Revenue Grants,BARKING AND DAGENHAM LONDON BOROUGH COUNCIL,298572,13852980.11
DfE,PfS,13/12/2010,Capital Grant,Schools Capital and Revenue Grants,BARNET,298574,1820831.21
DfE,PfS,13/12/2010,Capital Grant,Schools Capital and Revenue Grants,BEXLEY LONDON BOROUGH COUNCIL,298576,10972923.28
DfE,PfS,13/12/2010,Capital Grant,Schools Capital and Revenue Grants,BRENT LONDON BOROUGH COUNCIL,298578,9686401.98
DfE,PfS,13/12/2010,Capital Grant,Schools Capital and Revenue Grants,BROMLEY LONDON BOROUGH COUNCIL,298580,7375383.26
DfE,PfS,13/12/2010,Capital Grant,Schools Capital and Revenue Grants,CROYDON LONDON BOROUGH COUNCIL,298582,11920271.3
DfE,PfS,13/12/2010,Capital Grant,Schools Capital and Revenue Grants,EALING LONDON BOROUGH COUNCIL,298584,10292914.17
DfE,PfS,13/12/2010,Capital Grant,Schools Capital and Revenue Grants,ENFIELD LONDON BOROUGH COUNCIL,298586,6732622.56
DfE,PfS,13/12/2010,Capital Grant,Schools Capital and Revenue Grants,HARINGEY,298588,8263224.73
DfE,PfS,13/12/2010,Capital Grant,Schools Capital and Revenue Grants,HARROW LONDON BOROUGH COUNCIL,298590,1573269.38
DfE,PfS,13/12/2010,Capital Grant,Schools Capital and Revenue Grants,HAVERING LONDON BOROUGH COUNCIL,298592,7203679.46
DfE,PfS,13/12/2010,Capital Grant,Schools Capital and Revenue Grants,HILLINGDON LONDON BOROUGH COUNCIL,298594,4458511.82
DfE,PfS,13/12/2010,Capital Grant,Schools Capital and Revenue Grants,HOUNSLOW LONDON BOROUGH COUNCIL,298596,5466987.38
DfE,PfS,13/12/2010,Capital Grant,Schools Capital and Revenue Grants,KINGSTON UPON THAMES ROYAL BOROUGH,298598,3299254.62
DfE,PfS,13/12/2010,Capital Grant,Schools Capital and Revenue Grants,MERTON LONDON BOROUGH COUNCIL,298600,1728792.59
DfE,PfS,13/12/2010,Capital Grant,Schools Capital and Revenue Grants,NEWHAM LONDON BOROUGH COUNCIL,298602,14471179.03
DfE,PfS,13/12/2010,Capital Grant,Schools Capital and Revenue Grants,REDBRIDGE LONDON BOROUGH COUNCIL,298604,9240958.63
DfE,PfS,13/12/2010,Capital Grant,Schools Capital and Revenue Grants,RICHMOND UPON THAMES LONDON BOROUGH COUNCIL,298606,5549035.08
DfE,PfS,13/12/2010,Capital Grant,Schools Capital and Revenue Grants,SUTTON LONDON BOROUGH COUNCIL,298608,4441006.47
DfE,PfS,13/12/2010,Capital Grant,Schools Capital and Revenue Grants,WALTHAM FOREST LONDON BOROUGH COUNCIL,298610,3880556.07
DfE,PfS,13/12/2010,Capital Grant,Schools Capital and Revenue Grants,BIRMINGHAM CITY COUNCIL,298612,20819628.38
DfE,PfS,13/12/2010,Capital Grant,Schools Capital and Revenue Grants,COVENTRY COUNTY COUNCIL,298614,6464385.35
DfE,PfS,13/12/2010,Capital Grant,Schools Capital and Revenue Grants,DUDELEY METROPOLITAN BOROUGH COUNCIL,298616,4707049.68
DfE,PfS,13/12/2010,Capital Grant,Schools Capital and Revenue Grants,SANDWELL METROPOLITAN BOROUGH COUNCIL,298618,13022778.73
DfE,PfS,13/12/2010,Capital Grant,Schools Capital and Revenue Grants,SOLIHULL METROPOLITAN BOROUGH COUNCIL,298620,2742538.59
DfE,PfS,13/12/2010,Capital Grant,Schools Capital and Revenue Grants,WALSALL METROPOLITAN BOROUGH COUNCIL,298622,7260933.47
DfE,PfS,13/12/2010,Capital Grant,Schools Capital and Revenue Grants,WOLVERHAMPTON COUNTY COUNCIL,298624,10499985.14
DfE,PfS,13/12/2010,Capital Grant,Schools Capital and Revenue Grants,KNOWSLEY METROPOLITAN BOROUGH COUNCIL,298626,3789981.99
DfE,PfS,13/12/2010,Capital Grant,Schools Capital and Revenue Grants,LIVERPOOL COUNTY COUNCIL,298628,21735765.89
DfE,PfS,13/12/2010,Capital Grant,Schools Capital and Revenue Grants,ST HELENS METROPOLITAN BOROUGH COUNCIL,298630,12125877.58
DfE,PfS,13/12/2010,Capital Grant,Schools Capital and Revenue Grants,SEFTON COUNCIL,298632,7663673.76
DfE,PfS,13/12/2010,Capital Grant,Schools Capital and Revenue Grants,WIRRAL METROPOLITAN BOROUGH COUNCIL,298634,7024953.49
DfE,PfS,13/12/2010,Capital Grant,Schools Capital and Revenue Grants,BOLTON METROPOLITAN BOROUGH COUNCIL,298636,8577318.47
DfE,PfS,13/12/2010,Capital Grant,Schools Capital and Revenue Grants,BURY METROPOLITAN BOROUGH COUNCIL,298638,3256651.13
DfE,PfS,13/12/2010,Capital Grant,Schools Capital and Revenue Grants,MANCHESTER COUNTY COUNCIL,298640,27910871.82
DfE,PfS,13/12/2010,Capital Grant,Schools Capital and Revenue Grants,OLDHAM METROPOLITAN BOROUGH COUNCIL,298642,9405181.01
DfE,PfS,13/12/2010,Capital Grant,Schools Capital and Revenue Grants,ROCHDALE METROPOLITAN BOROUGH COUNCIL,298644,12045523.84
DfE,PfS,13/12/2010,Capital Grant,Schools Capital and Revenue Grants,SALFORD CITY COUNCIL,298646,2627294.95
