Department Family,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Transactions Number, Amount (£)
Foreign & Commonwealth Office,Foreign & Commonwealth Office,01-Jun-10,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,COGENT ELECTRICAL SERVICES LTD,1164926,"62,794.99"
Foreign & Commonwealth Office,Foreign & Commonwealth Office,01-Jun-10,IT/IS Consultancy,DG CENTRAL GROUP,HEWLETT-PACKARD LTD,1164949,"55,103.00"
Foreign & Commonwealth Office,Foreign & Commonwealth Office,01-Jun-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,HEWLETT-PACKARD LTD,1164949,"9,643.03"
Foreign & Commonwealth Office,Foreign & Commonwealth Office,01-Jun-10,IT/IS Consultancy,DG CENTRAL GROUP,LOGICA UK LTD,1164970,"824,362.00"
Foreign & Commonwealth Office,Foreign & Commonwealth Office,01-Jun-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,LOGICA UK LTD,1164970,"144,263.35"
Foreign & Commonwealth Office,Foreign & Commonwealth Office,01-Jun-10,IT/IS Consultancy,DG CENTRAL GROUP,TRIBAL CONSULTING GROUP LTD,1165014,516
Foreign & Commonwealth Office,Foreign & Commonwealth Office,01-Jun-10,IT/IS Consultancy,DG CENTRAL GROUP,TRIBAL CONSULTING GROUP LTD,1165014,"7,000.00"
Foreign & Commonwealth Office,Foreign & Commonwealth Office,01-Jun-10,IT/IS Consultancy,DG CENTRAL GROUP,TRIBAL CONSULTING GROUP LTD,1165014,"11,868.00"
Foreign & Commonwealth Office,Foreign & Commonwealth Office,01-Jun-10,IT/IS Consultancy,DG CENTRAL GROUP,TRIBAL CONSULTING GROUP LTD,1165014,"3,150.00"
Foreign & Commonwealth Office,Foreign & Commonwealth Office,01-Jun-10,IT/IS Consultancy,DG CENTRAL GROUP,TRIBAL CONSULTING GROUP LTD,1165014,"1,225.00"
Foreign & Commonwealth Office,Foreign & Commonwealth Office,01-Jun-10,IT/IS Consultancy,DG CENTRAL GROUP,TRIBAL CONSULTING GROUP LTD,1165014,90.3
Foreign & Commonwealth Office,Foreign & Commonwealth Office,01-Jun-10,IT/IS Consultancy,DG CENTRAL GROUP,TRIBAL CONSULTING GROUP LTD,1165014,"2,076.90"
Foreign & Commonwealth Office,Foreign & Commonwealth Office,01-Jun-10,IT/IS Consultancy,DG CENTRAL GROUP,TRIBAL CONSULTING GROUP LTD,1165014,551.25
Foreign & Commonwealth Office,Foreign & Commonwealth Office,01-Jun-10,IT/IS Consultancy,DG CENTRAL GROUP,TRIBAL CONSULTING GROUP LTD,1165014,-516
Foreign & Commonwealth Office,Foreign & Commonwealth Office,01-Jun-10,IT/IS Consultancy,DG CENTRAL GROUP,TRIBAL CONSULTING GROUP LTD,1165014,-90.3
Foreign & Commonwealth Office,Foreign & Commonwealth Office,01-Jun-10,IT/IS Consultancy,DG CENTRAL GROUP,TRIBAL CONSULTING GROUP LTD,1165014,516
Foreign & Commonwealth Office,Foreign & Commonwealth Office,01-Jun-10,IT/IS Consultancy,DG CENTRAL GROUP,TRIBAL CONSULTING GROUP LTD,1165014,90.3
Foreign & Commonwealth Office,Foreign & Commonwealth Office,01-Jun-10,IT/IS Consultancy,DG CENTRAL GROUP,TRIBAL CONSULTING GROUP LTD,1165014,"-7,000.00"
Foreign & Commonwealth Office,Foreign & Commonwealth Office,01-Jun-10,IT/IS Consultancy,DG CENTRAL GROUP,TRIBAL CONSULTING GROUP LTD,1165014,"-11,868.00"
Foreign & Commonwealth Office,Foreign & Commonwealth Office,01-Jun-10,IT/IS Consultancy,DG CENTRAL GROUP,TRIBAL CONSULTING GROUP LTD,1165014,"-3,150.00"
Foreign & Commonwealth Office,Foreign & Commonwealth Office,01-Jun-10,IT/IS Consultancy,DG CENTRAL GROUP,TRIBAL CONSULTING GROUP LTD,1165014,"7,000.00"
Foreign & Commonwealth Office,Foreign & Commonwealth Office,01-Jun-10,IT/IS Consultancy,DG CENTRAL GROUP,TRIBAL CONSULTING GROUP LTD,1165014,"3,150.00"
Foreign & Commonwealth Office,Foreign & Commonwealth Office,01-Jun-10,IT/IS Consultancy,DG CENTRAL GROUP,TRIBAL CONSULTING GROUP LTD,1165014,"11,868.00"
Foreign & Commonwealth Office,Foreign & Commonwealth Office,01-Jun-10,IT/IS Consultancy,DG CENTRAL GROUP,TRIBAL CONSULTING GROUP LTD,1165014,"-1,225.00"
Foreign & Commonwealth Office,Foreign & Commonwealth Office,01-Jun-10,IT/IS Consultancy,DG CENTRAL GROUP,TRIBAL CONSULTING GROUP LTD,1165014,"-2,076.90"
Foreign & Commonwealth Office,Foreign & Commonwealth Office,01-Jun-10,IT/IS Consultancy,DG CENTRAL GROUP,TRIBAL CONSULTING GROUP LTD,1165014,-551.25
Foreign & Commonwealth Office,Foreign & Commonwealth Office,01-Jun-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,TRIBAL CONSULTING GROUP LTD,1165014,"3,853.15"
Foreign & Commonwealth Office,Foreign & Commonwealth Office,01-Jun-10,IT/IS Consultancy,DG CENTRAL GROUP,TRIBAL CONSULTING GROUP LTD,1165014,-516
Foreign & Commonwealth Office,Foreign & Commonwealth Office,01-Jun-10,IT/IS Consultancy,DG CENTRAL GROUP,TRIBAL CONSULTING GROUP LTD,1165014,516
Foreign & Commonwealth Office,Foreign & Commonwealth Office,01-Jun-10,IT/IS Consultancy,DG CENTRAL GROUP,TRIBAL CONSULTING GROUP LTD,1165014,-90.3
Foreign & Commonwealth Office,Foreign & Commonwealth Office,01-Jun-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,TRIBAL CONSULTING GROUP LTD,1165014,90.3
Foreign & Commonwealth Office,Foreign & Commonwealth Office,01-Jun-10,Programme Spend (Oracle Projects Control Account),DG POLITICAL,WESTMINSTER FOUNDATION FOR DEMOCRACY,1165020,"164,104.00"
Foreign & Commonwealth Office,Foreign & Commonwealth Office,02-Jun-10,Maintenance M and E,DG CHANGE & DELIVERY,INTERSERVE FM LTD,1001598,"14,362.48"
Foreign & Commonwealth Office,Foreign & Commonwealth Office,02-Jun-10,Minor New Works <10K,DG CHANGE & DELIVERY,INTERSERVE FM LTD,1001598,"10,032.44"
Foreign & Commonwealth Office,Foreign & Commonwealth Office,02-Jun-10,Grounds Mainteance,DG CHANGE & DELIVERY,INTERSERVE FM LTD,1001598,516.73
Foreign & Commonwealth Office,Foreign & Commonwealth Office,02-Jun-10,Cleaning,DG CHANGE & DELIVERY,INTERSERVE FM LTD,1001598,"30,420.06"
Foreign & Commonwealth Office,Foreign & Commonwealth Office,02-Jun-10,Cleaning,DG CHANGE & DELIVERY,INTERSERVE FM LTD,1001598,72.02
Foreign & Commonwealth Office,Foreign & Commonwealth Office,02-Jun-10,Miscellaneous Expenditure,DG CHANGE & DELIVERY,INTERSERVE FM LTD,1001598,"1,092.08"
Foreign & Commonwealth Office,Foreign & Commonwealth Office,02-Jun-10,Waste Disposal,DG CHANGE & DELIVERY,INTERSERVE FM LTD,1001598,653.26
Foreign & Commonwealth Office,Foreign & Commonwealth Office,02-Jun-10,Reception Services,DG CHANGE & DELIVERY,INTERSERVE FM LTD,1001598,"13,705.12"
Foreign & Commonwealth Office,Foreign & Commonwealth Office,02-Jun-10,Contract Porterage,DG CHANGE & DELIVERY,INTERSERVE FM LTD,1001598,"8,559.42"
