Department,Entity,Date,Expense Type,Expense Area,Supplier,Post Code,Transaction No,Payment Description, Total 
Ministry of Defence,Ministry of Defence,29/10/2013,"Transportation of personnel, freight and travel expenses",Head Office & Corporate Services,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,2.00E+11,Military short term detached duty,"9,772.77"
Ministry of Defence,Ministry of Defence,14/10/2013,Design services and minor equipment purchases,Defence Equipment & Support,KIDDE GRAVINER LIMITED,SL3 0HB,260284,Equipment support non-project costs,"9,665.62"
Ministry of Defence,Ministry of Defence,28/10/2013,Purchase of inventory and services ,Land Forces,XMA LTD,NG11 7EP,266335,Cost of other material consumed,"9,646.54"
Ministry of Defence,Ministry of Defence,22/10/2013,IT and communication services,Land Forces,COMPUTACENTER (UK) LIMITED,SE1 8HL,263559,IT Services -internal costs,"9,639.22"
Ministry of Defence,Ministry of Defence,18/10/2013,Spend on Inventory - General,Defence Infrastructure Organisation ,JOSEPH GLEAVE & SON LTD,M32 0NB,262518,Spend on Inventory - General,"9,583.46"
Ministry of Defence,Ministry of Defence,14/10/2013,Design services and minor equipment purchases,Defence Equipment & Support,DEFENCE SCIENCE & TECHNOLOGY LABORATORY,PO14 9HL,260171,Safety regulators and assuror costs in support of concept procurement operation and disposal of defence equipment and services,"9,554.20"
Ministry of Defence,Ministry of Defence,09/10/2013,Purchase of inventory and services ,Land Forces,AAH PHARMACEUTICALS LTD,CV2 2TX,258438,Consumption of medical dental and veterinary inventory,"9,547.39"
Ministry of Defence,Ministry of Defence,03/10/2013,Purchase of inventory and services ,Defence Equipment & Support,XMA LTD,NG11 7EP,257107,Cost of other material consumed,"9,534.94"
Ministry of Defence,Ministry of Defence,18/10/2013,Administration,Land Forces,ROYAL MAIL GROUP LIMITED,S49 1HQ,262766,General administration,"9,473.34"
Ministry of Defence,Ministry of Defence,14/10/2013,Purchase of inventory and services ,Defence Infrastructure Organisation ,XMA LTD,NG11 7EP,260544,Cost of other material consumed,"9,432.45"
Ministry of Defence,Ministry of Defence,25/10/2013,IT and communication services,Air Command,RICOH UK.LIMITED,NN4 7YL,265599,Computer equipment costing below the capitalisation threshold,"9,427.53"
Ministry of Defence,Ministry of Defence,02/10/2013,Medical treatment & stores and welfare services,Joint Forces Command,HONEYBEERECRUITMENT.COM LTD,TW12 1PD,256241,Medical health services,"9,418.22"
Ministry of Defence,Ministry of Defence,04/10/2013,"Transportation of personnel, freight and travel expenses",Navy Command,ROYAL MAIL GROUP LIMITED,S49 1HQ,257446,Freight movement costs,"9,399.13"
Ministry of Defence,Ministry of Defence,25/10/2013,Purchase of inventory and services ,Land Forces,GOODYEAR DUNLOP TYRES UK LTD,B24 9HY,265329,Cost of other material consumed,"9,366.71"
Ministry of Defence,Ministry of Defence,16/10/2013,Fuel for military use,Defence Infrastructure Organisation ,HENTY OIL LTD,SW1E 5BH,261253,Cost of ground diesel fuel consumed,"9,334.08"
Ministry of Defence,Ministry of Defence,09/10/2013,Spend on Inventory - General,Defence Equipment & Support,BAE SYSTEMS SURFACE SHIPS LIMITED,PO1 9NW,258495,Spend on Inventory - General,"9,302.28"
Ministry of Defence,Ministry of Defence,01/10/2013,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,MODERN HOUSING SOLUTIONS (PRIME)LIMITED,PE28 4QG,255910,Fiscal asset under construction - capital in year addition,"9,266.47"
Ministry of Defence,Ministry of Defence,24/10/2013,Purchase of inventory and services ,Defence Equipment & Support,AAH PHARMACEUTICALS LTD,CV2 2TX,264462,Consumption of medical dental and veterinary inventory,"9,225.40"
Ministry of Defence,Ministry of Defence,30/10/2013,Purchase of inventory and services ,Defence Equipment & Support,AAH PHARMACEUTICALS LTD,CV2 2TX,266762,Consumption of medical dental and veterinary inventory,"9,199.27"
