Department,Entity,Payment date,Transaction Number,Invoice Amount,Supplier ,Account Description,,,,,,,,,,,,,,,,,,,,
FCO,FCO,09/07/2014,4752850,250029.50,OROSTREAM INTERNATIONAL CONTRACTS LTD,Assets Under Construction (Oracle PA Control Account),,,,,,,,,,,,,,,,,,,,
FCO,FCO,22/07/2014,4764139,250000.00,THE CELTIC MANOR RESORT,Accommodation,,,,,,,,,,,,,,,,,,,,
FCO,FCO,17/07/2014,4761166,240000.00,DAI EUROPE LIMITED,Programme Spend (Oracle Projects Control Account),,,,,,,,,,,,,,,,,,,,
FCO,FCO,03/07/2014,4747191,225168.00,CAPGEMINI UK PLC,Assets Under Construction (Oracle PA Control Account),,,,,,,,,,,,,,,,,,,,
FCO,FCO,08/07/2014,4749555,221913.00,BAE SYSTEMS APPLIED INTELLIGENCE LIMITED,Assets Under Construction (Oracle PA Control Account),,,,,,,,,,,,,,,,,,,,
FCO,FCO,14/07/2014,4758156,218323.40,IOM INTERNATIONAL ORGANIZATION FOR MIGRATION,Programme Spend (Oracle Projects Control Account),,,,,,,,,,,,,,,,,,,,
FCO,FCO,21/07/2014,4762664,204895.00,G4S SECURITY SERVICES,Programme Spend (Oracle Projects Control Account),,,,,,,,,,,,,,,,,,,,
FCO,FCO,09/07/2014,4752366,204074.50,MSECURE LIMITED,Assets Under Construction (Oracle PA Control Account),,,,,,,,,,,,,,,,,,,,
FCO,FCO,09/07/2014,4748135,194176.70,FCO SERVICES,IT/IS Consultancy,,,,,,,,,,,,,,,,,,,,
FCO,FCO,23/07/2014,4763984,190588.00,FCO SERVICES,Misc Security Payments,,,,,,,,,,,,,,,,,,,,
FCO,FCO,08/07/2014,4752011,189957.00,DAI EUROPE LIMITED,Programme Spend (Oracle Projects Control Account),,,,,,,,,,,,,,,,,,,,
FCO,FCO,30/07/2014,4773122,187534.40,LONDON ENERGY,Electricity Non-Residential,,,,,,,,,,,,,,,,,,,,
FCO,FCO,25/07/2014,4758145,185757.00,MICROSOFT IRELAND OPERATIONS LTD,Information Systems Under £3000 (non-capitalised),,,,,,,,,,,,,,,,,,,,
FCO,FCO,21/07/2014,4763688,182952.60,STRENGTHENING PARTICIPATORY ORGANISATION,Programme Spend (Oracle Projects Control Account),,,,,,,,,,,,,,,,,,,,
FCO,FCO,21/07/2014,4763688,182952.60,STRENGTHENING PARTICIPATORY ORGANISATION,Programme Spend (Oracle Projects Control Account),,,,,,,,,,,,,,,,,,,,
FCO,FCO,29/07/2014,4772194,163137.10,WESTMINSTER FOUNDATION FOR DEMOCRACY,Programme Spend (Oracle Projects Control Account),,,,,,,,,,,,,,,,,,,,
FCO,FCO,21/07/2014,4764165,162032.20,G4S SECURE SOLUTIONS (UK),Manned Guarding Services,,,,,,,,,,,,,,,,,,,,
FCO,FCO,16/07/2014,4760149,157083.30,INTERSERVE FM LTD,Cleaning & Waste,,,,,,,,,,,,,,,,,,,,
FCO,FCO,25/07/2014,4771012,150709.60,PLUS SPACE INTERNATIONAL,Assets Under Construction (Oracle PA Control Account),,,,,,,,,,,,,,,,,,,,
FCO,FCO,25/07/2014,4752685,146824.00,CONTROL RISKS GROUP,UK Mobile Guarding Contract overseas,,,,,,,,,,,,,,,,,,,,
FCO,FCO,22/07/2014,4764229,146790.40,HTM DESIGN AND CONSULTANT CO LTD,Assets Under Construction (Oracle PA Control Account),,,,,,,,,,,,,,,,,,,,
FCO,FCO,31/07/2014,4774646,144533.40,NORTHERN IRELAND CO OPERATION OVERSEAS NI CO LIMITED,Programme Spend (Oracle Projects Control Account),,,,,,,,,,,,,,,,,,,,
FCO,FCO,29/07/2014,4771356,140519.50,ARK FZC,Programme Spend (Oracle Projects Control Account),,,,,,,,,,,,,,,,,,,,
FCO,FCO,16/07/2014,4760149,138572.60,INTERSERVE FM LTD,Building Mechanical and Engineering Services,,,,,,,,,,,,,,,,,,,,
FCO,FCO,18/07/2014,4762612,137129.00,G4S RISK MANAGEMENT LTD FORMALLY ARMOURGROUP SERVICES LTD,UK Mobile Guarding Contract overseas,,,,,,,,,,,,,,,,,,,,
FCO,FCO,11/07/2014,4755421,136762.80,BBC MEDIA ACTION,Programme Spend (Oracle Projects Control Account),,,,,,,,,,,,,,,,,,,,
FCO,FCO,30/07/2014,4773472,132621.60,KELLOGG BROWN AND ROOT,Estates Management Services,,,,,,,,,,,,,,,,,,,,
FCO,FCO,08/07/2014,4750983,128750.00,PRISONERS ABROAD,Human Rights : Prisoners,,,,,,,,,,,,,,,,,,,,
FCO,FCO,16/07/2014,4754916,128079.50,FCO SERVICES,Assets Under Construction (Oracle PA Control Account),,,,,,,,,,,,,,,,,,,,
FCO,FCO,03/07/2014,4748349,125359.20,MSECURE LIMITED,Assets Under Construction (Oracle PA Control Account),,,,,,,,,,,,,,,,,,,,
FCO,FCO,16/07/2014,4760237,120153.80,AKTIS STRATEGY,Programme Spend (Oracle Projects Control Account),,,,,,,,,,,,,,,,,,,,
