Department,Entity,Payment date,Transaction Number,Invoice Amount,Supplier ,Account Description,,,,,,,,,,,,,,,,,,,,
FCO,FCO,10/07/2014,4754015,32741.92,AEGIS DEFENCE SERVICES LTD,Local Guards,,,,,,,,,,,,,,,,,,,,
FCO,FCO,07/07/2014,4747087,32699.81,HOWARD ORLOFF IMPORTS INC,Assets Under Construction (Oracle PA Control Account),,,,,,,,,,,,,,,,,,,,
FCO,FCO,14/07/2014,4757731,32596.37,HEALIX INTERNATIONAL LTD,Hospital/Specialist Treatment,,,,,,,,,,,,,,,,,,,,
FCO,FCO,14/07/2014,4756923,32136.77,RTKL-UK LTD,Assets Under Construction (Oracle PA Control Account),,,,,,,,,,,,,,,,,,,,
FCO,FCO,16/07/2014,4756997,31751.65,UNDP CONTRIBUTIONS,Programme Spend (Oracle Projects Control Account),,,,,,,,,,,,,,,,,,,,
FCO,FCO,17/07/2014,4761569,31700.00,CAMBRIDGE ECONOMIC POLICY ASSOCIATES,Programme Spend (Oracle Projects Control Account),,,,,,,,,,,,,,,,,,,,
FCO,FCO,25/07/2014,4768420,31679.71,INICIATIVA DE LA EDUCACION PARA LA PROSPERIDAD MEXICO SA DE CV,Programme Spend (Oracle Projects Control Account),,,,,,,,,,,,,,,,,,,,
FCO,FCO,08/07/2014,4750878,31466.89,BRYTYJSKO POLSKIE USLUGI SP Z O O,UKTI HQ Allocation- DSO,,,,,,,,,,,,,,,,,,,,
FCO,FCO,14/07/2014,4758312,31058.88,THE CITIZENS ARCHIVE OF PAKISTAN,Programme Spend (Oracle Projects Control Account),,,,,,,,,,,,,,,,,,,,
FCO,FCO,09/07/2014,4752200,30881.88,SUPPLY PLUS,Estates - Other Machinery and Equipment,,,,,,,,,,,,,,,,,,,,
FCO,FCO,31/07/2014,4774923,30603.00,CHATHAM HOUSE,Programme Spend (Oracle Projects Control Account),,,,,,,,,,,,,,,,,,,,
FCO,FCO,30/07/2014,4772166,30542.74,FCO SERVICES,Security: Works Non-Residential,,,,,,,,,,,,,,,,,,,,
FCO,FCO,24/07/2014,4765557,30461.97,ISS FACILITY SERVICES LTD FCO OP - POE,Rental Payments - residential,,,,,,,,,,,,,,,,,,,,
FCO,FCO,16/07/2014,4755361,30325.22,FCO SERVICES,Air Freight Dip Bags - Freight & Clearance Charges,,,,,,,,,,,,,,,,,,,,
FCO,FCO,24/07/2014,4765548,30009.07,ISS FACILITY SERVICES LTD FCO OP - POE,Rental Payments - non residential,,,,,,,,,,,,,,,,,,,,
FCO,FCO,21/07/2014,4765177,30000.00,SACH - STRUGGLE FOR CHANGE,Human Rights: FMU,,,,,,,,,,,,,,,,,,,,
FCO,FCO,23/07/2014,4767201,30000.00,HEATHROW TRAVEL CARE,Human Rights : Assistance Policy,,,,,,,,,,,,,,,,,,,,
FCO,FCO,15/07/2014,4758140,30000.00,GREENSPACE LIMITED,Miscellaneous Expenditure: inc subscriptions and equipment maintenance,,,,,,,,,,,,,,,,,,,,
FCO,FCO,15/07/2014,4758972,29834.75,CERUTTI ET GIANNASI SARL,Local Guards,,,,,,,,,,,,,,,,,,,,
FCO,FCO,22/07/2014,4762136,29500.76,ADILET LEGAL CLINIC PUBLIC FUND,Programme Spend (Oracle Projects Control Account),,,,,,,,,,,,,,,,,,,,
FCO,FCO,14/07/2014,4758317,29407.53,FORMATION AWARENESS AND COMMUNITY EMPOWERMENT SOCIETY,Programme Spend (Oracle Projects Control Account),,,,,,,,,,,,,,,,,,,,
FCO,FCO,25/07/2014,4765409,29384.11,SWRA,Programme Spend (Oracle Projects Control Account),,,,,,,,,,,,,,,,,,,,
FCO,FCO,25/07/2014,4769593,29384.11,COUNSELLING SERVICES UNIT,Programme Spend (Oracle Projects Control Account),,,,,,,,,,,,,,,,,,,,
FCO,FCO,14/07/2014,4758328,29321.16,PILDAT,Programme Spend (Oracle Projects Control Account),,,,,,,,,,,,,,,,,,,,
FCO,FCO,29/07/2014,4765202,29307.40,LANKA UNITES,Programme Spend (Oracle Projects Control Account),,,,,,,,,,,,,,,,,,,,
FCO,FCO,22/07/2014,4762133,28868.01,PRI REP OFFICE CENTRAL ASIA,Programme Spend (Oracle Projects Control Account),,,,,,,,,,,,,,,,,,,,
FCO,FCO,02/07/2014,4749518,28659.40,BRITISH CHAMBER OF COMMERCE,UKTI HQ Allocation- DSO,,,,,,,,,,,,,,,,,,,,
FCO,FCO,14/07/2014,4758201,28651.00,ORGANISATION FOR ECONOMIC CO OPERATION AND DEVELOPMENT OECD,Programme Spend (Oracle Projects Control Account),,,,,,,,,,,,,,,,,,,,
FCO,FCO,31/07/2014,4774858,28547.84,GLOBAL PARTNERS GOVERNANCE PRACTICE LTD,Programme Spend (Oracle Projects Control Account),,,,,,,,,,,,,,,,,,,,
FCO,FCO,03/07/2014,4747131,28304.30,JORDAN AND BATEMAN ARCHITECTS,Assets Under Construction (Oracle PA Control Account),,,,,,,,,,,,,,,,,,,,
FCO,FCO,14/07/2014,4757508,28196.28,TURNER AND TOWNSEND PROPERTY SERVICES,Assets Under Construction (Oracle PA Control Account),,,,,,,,,,,,,,,,,,,,
FCO,FCO,02/07/2014,4746663,28162.79,AFRICAN SKIES LTD,Local Guards,,,,,,,,,,,,,,,,,,,,
FCO,FCO,15/07/2014,4760225,28143.51,HENRY KEVEN MC BRYAN,Programme Spend (Oracle Projects Control Account),,,,,,,,,,,,,,,,,,,,
FCO,FCO,02/07/2014,4749514,27832.31,BRITISH CHAMBER OF COMMERCE,UKTI HQ Allocation- DSO,,,,,,,,,,,,,,,,,,,,
FCO,FCO,17/07/2014,4758512,27829.69,HOTELLINE FOR TOURISTIC INVESTMENT LTD,Rental Payments - residential,,,,,,,,,,,,,,,,,,,,
FCO,FCO,21/07/2014,4764781,27788.01,BANK OF ENGLAND,UK Based Staff Pay (Oracle PAY Control Account),,,,,,,,,,,,,,,,,,,,
FCO,FCO,29/07/2014,4762887,27738.60,G4S SECURITY SERVICE DRC SPRL,Local Guards,,,,,,,,,,,,,,,,,,,,
FCO,FCO,16/07/2014,4758542,27656.06,FCO SERVICES,Assets Under Construction (Oracle PA Control Account),,,,,,,,,,,,,,,,,,,,
FCO,FCO,16/07/2014,4758548,27656.06,FCO SERVICES,Assets Under Construction (Oracle PA Control Account),,,,,,,,,,,,,,,,,,,,
FCO,FCO,09/07/2014,4752390,27445.65,CENTRAL HALL WESTMINSTER,Inward visits to the UK and UK Conferences,,,,,,,,,,,,,,,,,,,,
FCO,FCO,07/07/2014,4750400,27164.75,PAKISTAN PEACE COLLECTIVE,Programme Spend (Oracle Projects Control Account),,,,,,,,,,,,,,,,,,,,
FCO,FCO,17/07/2014,4754874,27161.26,HOTELLINE FOR TOURISTIC INVESTMENT LTD,Rental Payments - residential,,,,,,,,,,,,,,,,,,,,
FCO,FCO,11/07/2014,4754976,27102.00,ELECTORAL REFORM INTERNATIONAL SERVICES LTD,Programme Spend (Oracle Projects Control Account),,,,,,,,,,,,,,,,,,,,
FCO,FCO,23/07/2014,4767237,27042.00,M4C,Programme Spend (Oracle Projects Control Account),,,,,,,,,,,,,,,,,,,,
FCO,FCO,31/07/2014,4775475,27007.09,AMONAT TECH SERVICE LLC,Assets Under Construction (Oracle PA Control Account),,,,,,,,,,,,,,,,,,,,
FCO,FCO,31/07/2014,4774591,26809.00,INSTITUTE FOR HUMAN RIGHTS AND BUSINESS,Programme Spend (Oracle Projects Control Account),,,,,,,,,,,,,,,,,,,,
FCO,FCO,24/07/2014,4765552,26434.78,ISS FACILITY SERVICES LTD FCO OP - POE,Rental Payments - residential,,,,,,,,,,,,,,,,,,,,
FCO,FCO,16/07/2014,4760344,26193.71,LANGUAGE SERVICES DIRECT,Language Tuition: Essential,,,,,,,,,,,,,,,,,,,,
FCO,FCO,15/07/2014,4758759,26145.89,MME NGABALA OU M SODONON,Programme Spend (Oracle Projects Control Account),,,,,,,,,,,,,,,,,,,,
FCO,FCO,24/07/2014,4765559,26064.91,ISS FACILITY SERVICES LTD FCO OP - POE,Rental Payments - residential,,,,,,,,,,,,,,,,,,,,
FCO,FCO,23/07/2014,4764044,26007.00,FCO SERVICES,Assets Under Construction (Oracle PA Control Account),,,,,,,,,,,,,,,,,,,,
FCO,FCO,30/07/2014,4773168,25934.00,INTER MEDIATE,Programme Spend (Oracle Projects Control Account),,,,,,,,,,,,,,,,,,,,
FCO,FCO,23/07/2014,4763951,25863.89,FOREIGN AFFAIRS AND INTERNATIONAL TRADE CANADA,Recharge Suspense Account (Oracle PA Control Account),,,,,,,,,,,,,,,,,,,,
FCO,FCO,03/07/2014,4747074,25595.98,MEDIA DIVERSITY INSTITUTE,Programme Spend (Oracle Projects Control Account),,,,,,,,,,,,,,,,,,,,
FCO,FCO,23/07/2014,4762710,25571.95,FCO SERVICES,Assets Under Construction (Oracle PA Control Account),,,,,,,,,,,,,,,,,,,,
FCO,FCO,16/07/2014,4755365,25461.07,FCO SERVICES,Air Freight Dip Bags - Freight & Clearance Charges,,,,,,,,,,,,,,,,,,,,
FCO,FCO,16/07/2014,4760149,25321.75,INTERSERVE FM LTD,Contract Fees,,,,,,,,,,,,,,,,,,,,
FCO,FCO,24/07/2014,4768210,25144.70,GEORGIA RED CROSS SOCIETY,Programme Spend (Oracle Projects Control Account),,,,,,,,,,,,,,,,,,,,
FCO,FCO,31/07/2014,4770046,25010.27,IA MEMO RU,Programme Spend (Oracle Projects Control Account),,,,,,,,,,,,,,,,,,,,
FCO,FCO,18/07/2014,4762958,25000.00,LIFE AND PEACE INSTITUTE,Programme Spend (Oracle Projects Control Account),,,,,,,,,,,,,,,,,,,,
FCO,FCO,31/07/2014,4774511,25000.00,THE CARIBBEAN COUNCIL,Programme Spend (Oracle Projects Control Account),,,,,,,,,,,,,,,,,,,,
FCO,FCO,04/07/2014,4748525,25000.00,OXFORD SAID BUSINESS SCHOOL,Training Courses,,,,,,,,,,,,,,,,,,,,
FCO,FCO,04/07/2014,4748517,-41638.01,IISS - INTERNATIONAL INSTITUTE FOR STRATEGIC STUDIES,Programme Spend (Oracle Projects Control Account),,,,,,,,,,,,,,,,,,,,
