Department Family,Entity,Date,Account code description,Expense area,Supplier,Transaction number,Amount,VAT registration number
Defra,Royal Botanic Gardens Kew,09/11/2010,Professional Services – IT,IT Computing IT Corporate Core CORE NETWORK UPGRADE,COMPUTACENTER (UK) LIMITED,MS0188366,46875,Not known
Defra,Royal Botanic Gardens Kew,23/11/2010,Data Comms,IT Computing IT Corporate Core -----,Virgin Media Payments Ltd,MS0188873,29503.1,Not known
Defra,Royal Botanic Gardens Kew,02/11/2010,New works-Pt I-other costs    ,Estates Capital Projects Section Core Quarantine House,Unigro Ltd,MS0188072,321555,Not known
Defra,Royal Botanic Gardens Kew,10/11/2010,Electricity                   ,Estates Kew Section Core -----,EDF Energy Customers plc,MS0188426,43729.48,Not known
Defra,Royal Botanic Gardens Kew,15/11/2010,Office and window cleaning,Estates Kew Section Core -----,Design Clean Limited,MS0188521,34427.26,Not known
Defra,Royal Botanic Gardens Kew,30/11/2010,New works-Pt I-other costs    ,Estates Capital Projects Section Core Quarantine House,Unigro Ltd,MS0189003,469965,Not known
Defra,Royal Botanic Gardens Kew,15/11/2010,Advertising & publicity       ,Communications & Commercial Activities Advertising Kew Core AUTUMN EVENTS,Arena BLM Ltd,MS0188465,35195.29,Not known
Defra,Royal Botanic Gardens Kew,09/11/2010,Periodicals Purchase          ,"Herbarium, Library, Art & Archives Library Acquisitions Core -----",Swets Information Services Ltd,MS0188253,111201.58,Not known
Defra,Royal Botanic Gardens Kew,09/11/2010,Periodicals Purchase          ,"Herbarium, Library, Art & Archives Library Acquisitions Core -----",Swets Information Services Ltd,MS0188254,26371.23,Not known
Defra,Royal Botanic Gardens Kew,09/11/2010,Conservation (External),"Herbarium, Library, Art & Archives Library Services Core MARIANNE NORTH GALLERY REFURB",Plowden & Smith Ltd,MS0188337,32000,Not known
