Department Family,Entity,Date,Expense Type,Expense Area,Supplier Name,Transaction Number,Spend,
Home Office,UKBA - UK Border Agency,28/03/2012,IT & Telecoms Components.Computer Equip (FA),UKBA - UK Border Agency,IBM DIRECT UNITED KINGDOM LTD,1001237361,"30,916.04",
Home Office,UKBA - UK Border Agency,21/03/2012,"Science, Technical & Research.Computer services - PROG",UKBA - UK Border Agency,IBM DIRECT UNITED KINGDOM LTD,1001232599,"30,227.78",
Home Office,UKBA - UK Border Agency,22/03/2012,"Science, Technical & Research.Computer services - PROG",UKBA - UK Border Agency,IBM DIRECT UNITED KINGDOM LTD,1001233422,"31,818.72",
Home Office,UKBA - UK Border Agency,26/03/2012,IT & Telecoms Components.Standard Software  (FA) .,UKBA - UK Border Agency,IBM DIRECT UNITED KINGDOM LTD,1001235231,"3,340,811.00",
Home Office,UKBA - UK Border Agency,26/03/2012,IT & Telecoms Components.Standard Software (FA),UKBA - UK Border Agency,IBM DIRECT UNITED KINGDOM LTD,1001235231,"1,891,959.00",
Home Office,UKBA - UK Border Agency,28/03/2012,IT & Telecoms Components.Computer Equip (FA),UKBA - UK Border Agency,IBM DIRECT UNITED KINGDOM LTD,1001237361,"37,099.25",
Home Office,UKBA - UK Border Agency,26/03/2012,IT & Telecoms Components.Standard Software  (FA) .,UKBA - UK Border Agency,IBM DIRECT UNITED KINGDOM LTD,1001235231,"881,582.00",
Home Office,UKBA - UK Border Agency,26/03/2012,IT & Telecoms Components.Standard Software  (FA) .,UKBA - UK Border Agency,IBM DIRECT UNITED KINGDOM LTD,1001235231,"2,872,579.00",
Home Office,UKBA - UK Border Agency,30/03/2012,IT & Telecoms Components.Standard Software (FA),UKBA - UK Border Agency,IBM DIRECT UNITED KINGDOM LTD,4000004132,"268,039.00",
Home Office,UKBA - UK Border Agency,30/03/2012,"IT, TelecommsSoftware (COTS).SysSoftwareSupp & Maint-PROG",UKBA - UK Border Agency,IBM DIRECT UNITED KINGDOM LTD,4000004132,"1,488,889.00",
Home Office,UKBA - UK Border Agency,22/03/2012,"Science, Technical & Research.Computer services - PROG",UKBA - UK Border Agency,IBM DIRECT UNITED KINGDOM LTD,1001233422,"-29,205.52",
Home Office,UKBA - UK Border Agency,05/03/2012,"Transport, Storage & Mail Serv.Fuel & Vehicle Supp Serv- PROG",UKBA - UK Border Agency,INCHCAPE FLEET SOLUTIONS LTD,1001224338,"153,674.15",
Home Office,UKBA - UK Border Agency,07/03/2012,"Public Order, Security, Safety.Domestic Escort Services",UKBA - UK Border Agency,IOM INTERNATIONAL ORGANIZATION FOR MIGRATION,1001225639,"27,663.40",
Home Office,UKBA - UK Border Agency,21/03/2012,Grants,UKBA - UK Border Agency,IOM INTERNATIONAL(G),1001233206,"2,171,456.63",
Home Office,UKBA - UK Border Agency,21/03/2012,Grants,UKBA - UK Border Agency,IOM INTERNATIONAL(G),1001233206,"1,087,500.00",
Home Office,UKBA - UK Border Agency,19/03/2012,"Transport, Storage & Mail Serv.Document Storage Serv - ADMN",UKBA - UK Border Agency,IRON MOUNTAIN (UK) LTD,1001230840,"192,961.14",
Home Office,UKBA - UK Border Agency,19/03/2012,"Transport, Storage & Mail Serv.Document Storage Serv - ADMN",UKBA - UK Border Agency,IRON MOUNTAIN (UK) LTD,1001230840,"95,705.30",
Home Office,UKBA - UK Border Agency,19/03/2012,"Transport, Storage & Mail Serv.File (Archive) Storage - ADMN",UKBA - UK Border Agency,IRON MOUNTAIN (UK) LTD,1001230840,"273,686.25",
Home Office,UKBA - UK Border Agency,13/03/2012,Asylum Provision.Asylum accom Sec 95,UKBA - UK Border Agency,JOMAST PROPERTY AND FINANCE CO LTD,1001227915,"612,033.53",
Home Office,UKBA - UK Border Agency,13/03/2012,Asylum Provision.Asylum accom Sect4 Accom,UKBA - UK Border Agency,JOMAST PROPERTY AND FINANCE CO LTD,1001227915,"104,486.87",
Home Office,UKBA - UK Border Agency,27/03/2012,Laboratory & Scientific Equip.Scientific Equip Running Costs,UKBA - UK Border Agency,L3 COMMUNICATIONS (UK) LTD,1001236527,"28,410.00",
Home Office,UKBA - UK Border Agency,27/03/2012,Asylum Provision.Asylum accom Sec 95,UKBA - UK Border Agency,LEEDS CITY COUNCIL,1001236531,"509,686.80",
Home Office,UKBA - UK Border Agency,27/03/2012,Asylum Provision.Asylum accom Sect 98,UKBA - UK Border Agency,LEEDS CITY COUNCIL,1001236531,"175,907.34",
Home Office,UKBA - UK Border Agency,27/03/2012,Asylum Provision.Asylum accom Sect4 Accom,UKBA - UK Border Agency,LEEDS CITY COUNCIL,1001236531,"116,252.20",
Home Office,UKBA - UK Border Agency,07/03/2012,Grants,UKBA - UK Border Agency,LEEDS CITY COUNCIL (G),1001226041,"79,606.13",
Home Office,UKBA - UK Border Agency,12/03/2012,Grants,UKBA - UK Border Agency,LEEDS CITY COUNCIL 1 (G),1001227750,"83,100.00",
Home Office,UKBA - UK Border Agency,19/03/2012,Grants,UKBA - UK Border Agency,LEEDS CITY COUNCIL 1 (G),1001231432,"61,869.00",
Home Office,UKBA - UK Border Agency,05/03/2012,Grants,UKBA - UK Border Agency,LONDON BOROUGH  WALTHAM FOREST (G),1001224787,"28,424.18",
Home Office,UKBA - UK Border Agency,12/03/2012,Grants,UKBA - UK Border Agency,LONDON BOROUGH OF CAMDEN 1 (G),1001227754,"85,823.00",
Home Office,UKBA - UK Border Agency,12/03/2012,Grants,UKBA - UK Border Agency,LONDON BOROUGH OF ENFIELD 1 (G),1001227755,"40,822.00",
Home Office,UKBA - UK Border Agency,05/03/2012,Grants,UKBA - UK Border Agency,LONDON BOROUGH OF HARROW 1 (G),1001224789,"29,550.00",
Home Office,UKBA - UK Border Agency,14/03/2012,Citizen Ceremonies Payments,UKBA - UK Border Agency,LONDON BOROUGH OF HILLINGDON,1001228822,"30,240.00",
Home Office,UKBA - UK Border Agency,12/03/2012,Grants,UKBA - UK Border Agency,LONDON BOROUGH OF ISLINGTON (G),1001227757,"71,046.00",
Home Office,UKBA - UK Border Agency,12/03/2012,Grants,UKBA - UK Border Agency,LONDON BOROUGH OF KENSINGTON & CHELSEA (G),1001227758,"71,812.00",
Home Office,UKBA - UK Border Agency,12/03/2012,Grants,UKBA - UK Border Agency,LONDON BOROUGH OF LAMBETH 1 (G),1001227759,"27,684.00",
Home Office,UKBA - UK Border Agency,15/03/2012,Asylum Provision.Asylum accom Sec 95,UKBA - UK Border Agency,MANCHESTER CITY COUNCIL,1001229609,"612,104.73",
Home Office,UKBA - UK Border Agency,15/03/2012,Asylum Provision.Asylum accom Sec 95,UKBA - UK Border Agency,MANCHESTER CITY COUNCIL,1001229609,"33,050.99",
Home Office,UKBA - UK Border Agency,15/03/2012,Asylum Provision.Asylum accom Sect4 Accom,UKBA - UK Border Agency,MANCHESTER CITY COUNCIL,1001229609,"21,731.17",
Home Office,UKBA - UK Border Agency,14/03/2012,Asylum Provision.Asylum accom Sec 95,UKBA - UK Border Agency,MANCHESTER CITY COUNCIL,1001228830,"25,040.00",
Home Office,UKBA - UK Border Agency,15/03/2012,Grants,UKBA - UK Border Agency,MANCHESTER CITY COUNCIL (G),1001230041,"225,121.42",
Home Office,UKBA - UK Border Agency,12/03/2012,Public Order .Jail or prison services.Detention costs,UKBA - UK Border Agency,MAYORS OFFICE FOR POLICING AND CRIME (MOPC),1001227295,"26,301.00",
Home Office,UKBA - UK Border Agency,28/03/2012,"Messenger, Portering and Reception Services",UKBA - UK Border Agency,MAYORS OFFICE FOR POLICING AND CRIME (MOPC),1001237377,"37,500.00",
Home Office,UKBA - UK Border Agency,09/03/2012,Asylum Provision.Asylum accom Sec 95,UKBA - UK Border Agency,METROPOLITAN SUPPORT TRUST (EAST MIDLANDS),1001226773,"175,867.91",
Home Office,UKBA - UK Border Agency,09/03/2012,Asylum Provision.Asylum accom Sect4 Accom,UKBA - UK Border Agency,METROPOLITAN SUPPORT TRUST (EAST MIDLANDS),1001226773,"46,926.88",
Home Office,UKBA - UK Border Agency,26/03/2012,Grants,UKBA - UK Border Agency,MIGRANT HELPLINE (G),1001236295,"47,245.00",
Home Office,UKBA - UK Border Agency,28/03/2012,Grants,UKBA - UK Border Agency,MIGRANT HELPLINE (G),1001237536,"112,732.00",
Home Office,UKBA - UK Border Agency,28/03/2012,Grants,UKBA - UK Border Agency,MIGRANT HELPLINE (G),1001237536,"32,924.00",
Home Office,UKBA - UK Border Agency,07/03/2012,Other Government Department,UKBA - UK Border Agency,MINISTRY OF JUSTICE,3000044416,"34,920.14",
Home Office,UKBA - UK Border Agency,07/03/2012,Other Government Department,UKBA - UK Border Agency,MINISTRY OF JUSTICE,3000044416,"10,165.43",
Home Office,UKBA - UK Border Agency,21/03/2012,Other Government Department,UKBA - UK Border Agency,MINISTRY OF JUSTICE,3000044514,"130,000.00",
Home Office,UKBA - UK Border Agency,13/03/2012,"Building, Construction Service.Maintenance & Repair services - PROG",UKBA - UK Border Agency,MITIE CARE & CUSTODY LTD,1001227925,"68,993.28",
Home Office,UKBA - UK Border Agency,13/03/2012,"Building, Construction Service.Build a new structure (FA).",UKBA - UK Border Agency,MITIE CARE & CUSTODY LTD,1001227925,"50,003.34",
Home Office,UKBA - UK Border Agency,28/03/2012,"Building, Construction Service.Build a new structure (FA).",UKBA - UK Border Agency,MITIE CARE & CUSTODY LTD,1001237381,"49,269.12",
Home Office,UKBA - UK Border Agency,26/03/2012,Law Enforcement & safety Equip.Maint&Rep of Plant&Mach–PROG,UKBA - UK Border Agency,MORPHO UK LTD,1001235246,"147,500.00",
Home Office,UKBA - UK Border Agency,28/03/2012,Law Enforcement & safety Equip.Maint&Rep of Plant&Mach–PROG,UKBA - UK Border Agency,MORPHO UK LTD,1001237383,"58,950.00",
Home Office,UKBA - UK Border Agency,21/03/2012,"IT, Broadcasting & Telecomms.IT Run Costs other -Prog",UKBA - UK Border Agency,NDI TECHNOLOGIES LTD,1001232654,"33,400.00",
Home Office,UKBA - UK Border Agency,21/03/2012,"IT, Broadcasting & Telecomms.IT Run Costs other -Prog",UKBA - UK Border Agency,NDI TECHNOLOGIES LTD,1001232654,"4,600.00",
Home Office,UKBA - UK Border Agency,23/03/2012,"Science, Technical & Research.Computer services - PROG",UKBA - UK Border Agency,NDI TECHNOLOGIES LTD,1001234273,"59,800.00",
Home Office,UKBA - UK Border Agency,22/03/2012,"IT, TelecommsHardware.Server - ADMN",UKBA - UK Border Agency,NEDSTAT LTD,1001233441,"25,200.00",
Home Office,UKBA - UK Border Agency,21/03/2012,Asylum Provision.Asylum accom Sec 95,UKBA - UK Border Agency,NORTHERN IRELAND HOUSING EXEC,1001232659,"133,253.32",
Home Office,UKBA - UK Border Agency,21/03/2012,Asylum Provision.Asylum accom Sect4 Accom,UKBA - UK Border Agency,NORTHERN IRELAND HOUSING EXEC,1001232659,"18,265.50",
Home Office,UKBA - UK Border Agency,27/03/2012,"IT, Broadcasting & Telecomms.IT Run Costs other -Prog",UKBA - UK Border Agency,NPIA (National Policing Improvement Agency),1001236553,"43,964.80",
Home Office,UKBA - UK Border Agency,27/03/2012,"IT, Broadcasting & Telecomms.IT Run Costs other -Prog",UKBA - UK Border Agency,NPIA (National Policing Improvement Agency),1001236553,"45,253.76",
Home Office,UKBA - UK Border Agency,19/03/2012,"IT, TelecommsHardware Server.Support and Maintenance - PROG",UKBA - UK Border Agency,NPIA (National Policing Improvement Agency),1001230865,"43,111.70",
