Department Family,Entity,Transaction Date,Expense Type (a/c),Expense Area (c/c),Supplier,Invoice No.,Month,Gross ,Gross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEFRA,RPA,08-Feb-11,Professional Services - Consultancy,Operational Performance Team,METHODS CONSULTING,100013170,Feb-11,,"£25,850.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEFRA,RPA,25-Feb-11,Professional Services - Consultancy,Operational Performance Team,METHODS CONSULTING,100012650,Feb-11,,"£37,831.40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEFRA,RPA,25-Feb-11,Professional Services - Consultancy,Operational Performance Team,METHODS CONSULTING,100013549,Feb-11,,"£25,200.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEFRA,RPA,23-Feb-11,Professional Services - Learning & Development,HR - People Development,OEE,49001,Feb-11,,"£29,424.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEFRA,RPA,04-Feb-11,ICT,Programmes & Projects - Single Payment Scheme (SPS),SOFTWARE AG (UK) LIMITED,3090012770,Feb-11,,"£85,272.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEFRA,RPA,16-Feb-11,ICT,Service Management,VODAFONE LTD (CORPORATE),601208731/00001/57,Feb-11,,"£47,130.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
