Department,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Supplier Post Code,Transaction Number,Payment Description,Total
Ministry of Defence,Ministry of Defence,15/05/2015,Spend on Inventory - General,Air Command,SODEXO LTD,M50 0AL,11728,Estate + facilities management services - accommodation inventory + service,£5.46
Ministry of Defence,Ministry of Defence,19/05/2015,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,13090,Cost of other material consumed,£5.42
Ministry of Defence,Ministry of Defence,13/05/2015,Purchase of inventory and services ,Land Forces,SOFTCAT LIMITED,SL7 1TB,10774,Cost of other material consumed,£5.35
Ministry of Defence,Ministry of Defence,20/05/2015,Fuel for military use,DES Bespoke Trading Entity,DHL GLOBAL FORWARDING (UK)  LIMITED,KT16 8SH,13755,Freight movement costs,£4.91
Ministry of Defence,Ministry of Defence,18/05/2015,IT and communication services,DEFENCE INFRASTRUCTURE ORGANISATION,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,11955,Cost of other material consumed,£4.78
Ministry of Defence,Ministry of Defence,10/05/2015,Purchase of inventory and services ,Navy Command,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,10064,Computer equipment costing below the capitalisation threshold,£4.33
Ministry of Defence,Ministry of Defence,10/05/2015,Fees for professional services,DEFENCE INFRASTRUCTURE ORGANISATION,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,10063,Cost of other material consumed,£4.14
Ministry of Defence,Ministry of Defence,22/05/2015,Design services and minor equipment purchases,Air Command,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,14717,Cost of other material consumed,£4.01
Ministry of Defence,Ministry of Defence,26/05/2015,Spend on Inventory - General,Air Command,AAH PHARMACEUTICALS LTD,CV2 2TX,15174,Consumption of medical dental and veterinary inventory,£3.78
Ministry of Defence,Ministry of Defence,29/05/2015,Administration,HO+CS,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,300000109,General administration,£3.69
Ministry of Defence,Ministry of Defence,19/05/2015,Purchase of inventory and services ,JFC,WYEDEAN WEAVING COMPANY  LIMITED (THE),BD22 8PA,13621,Cost of purchasing and repairing clothing,£3.60
Ministry of Defence,Ministry of Defence,29/05/2015,Purchase of inventory and services ,DES Bespoke Trading Entity,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,16629,Cost of other material consumed,£3.38
Ministry of Defence,Ministry of Defence,18/05/2015,Design services and minor equipment purchases,Defence Equipment + Support,SOFTWARE BOX LIMITED,YO61 1ET,12821,Computer equipment costing below the capitalisation threshold,£2.89
Ministry of Defence,Ministry of Defence,18/05/2015,Estate management,Air Command,SOFTWARE BOX LIMITED,YO61 1ET,12821,Computer equipment costing below the capitalisation threshold,£2.89
Ministry of Defence,Ministry of Defence,18/05/2015,Fees for professional services,HO+CS,SOFTWARE BOX LIMITED,YO61 1ET,12821,Computer equipment costing below the capitalisation threshold,£2.89
Ministry of Defence,Ministry of Defence,18/05/2015,Food and clothing,Air Command,SOFTWARE BOX LIMITED,YO61 1ET,12821,Computer equipment costing below the capitalisation threshold,£2.89
Ministry of Defence,Ministry of Defence,18/05/2015,Fuel for military use,Land Forces,SOFTWARE BOX LIMITED,YO61 1ET,12821,Computer equipment costing below the capitalisation threshold,£2.89
Ministry of Defence,Ministry of Defence,18/05/2015,"Transportation of personnel, freight and travel expenses",Air Command,SOFTWARE BOX LIMITED,YO61 1ET,12821,Computer equipment costing below the capitalisation threshold,£2.89
Ministry of Defence,Ministry of Defence,18/05/2015,Fuel for military use,Land Forces,DHL GLOBAL FORWARDING (UK)  LIMITED,KT16 8SH,12150,Freight movement costs,£2.88
Ministry of Defence,Ministry of Defence,15/05/2015,Administration,Land Forces,SODEXO LTD,M50 0AL,11728,Estate + facilities management services - accommodation inventory + service,£2.73
Ministry of Defence,Ministry of Defence,18/05/2015,"Transportation of personnel, freight and travel expenses",HO+CS,SERCO LIMITED,RG27 9UY,12787,Cost of other material consumed,£2.47
Ministry of Defence,Ministry of Defence,18/05/2015,Food and clothing,JFC,SERCO LIMITED,RG27 9UY,12787,Cost of other material consumed,£2.45
Ministry of Defence,Ministry of Defence,22/05/2015,Design services and minor equipment purchases,Land Forces,AAH PHARMACEUTICALS LTD,CV2 2TX,14669,Consumption of medical dental and veterinary inventory,£2.38
Ministry of Defence,Ministry of Defence,18/05/2015,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,300000033,Estate + facilities management services - accommodation inventory + service,£2.33
Ministry of Defence,Ministry of Defence,10/05/2015,Estate management,Defence Equipment + Support,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,10064,Cost of other material consumed,£2.12
Ministry of Defence,Ministry of Defence,21/05/2015,Estate management,Air Command,ALLSTAR BUSINESS SOLUTIONS LTD,SN5 6PS,14169,Cost of ground diesel fuel consumed,£1.20
Ministry of Defence,Ministry of Defence,21/05/2015,Estate management,Defence Equipment + Support,ALLSTAR BUSINESS SOLUTIONS LTD,SN5 6PS,14169,Cost of ground diesel fuel consumed,£1.20
Ministry of Defence,Ministry of Defence,21/05/2015,Medical treatment & stores and welfare services,JFC,ALLSTAR BUSINESS SOLUTIONS LTD,SN5 6PS,14169,Cost of ground diesel fuel consumed,£1.20
Ministry of Defence,Ministry of Defence,27/05/2015,Spend on Inventory - General,DES Bespoke Trading Entity,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,15684,Cost of other material consumed,£1.15
Ministry of Defence,Ministry of Defence,28/05/2015,Spend on Inventory - General,Defence Equipment + Support,CARILLIONAMEY LIMITED,WV1 4HY,16207,Estate core services charge,£0.72
Ministry of Defence,Ministry of Defence,13/05/2015,IT and communication services,Land Forces,DHL GLOBAL FORWARDING (UK)  LIMITED,KT16 8SH,10605,Freight movement costs,£0.68
Ministry of Defence,Ministry of Defence,28/05/2015,Administration,HO+CS,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,300000103,General administration,£0.65
Ministry of Defence,Ministry of Defence,18/05/2015,IT and communication services,JFC,SERCO LIMITED,RG27 9UY,12787,Cost of other material consumed,£0.04
