Department,Entity,Date,Expense type,Expense Area,Supplier Name,Transaction Number,Amount,Description,Supplier Postcode,Supplier Type,Contract Number,Project Number,Expenditure type,
DEFRA,Core Defra,27/04/2012,Other Current Payments (Evidence R&D),"Strategy, Evidence and Customers DG",Cranfield University,1343059,"Ł33,000.00",Strategic EnvironmentaL Risk Appraisal: Lay Understanding and Communication Challenge.,MK43 0AL,,Exempt,00000000,Expense,
DEFRA,Core Defra,23/04/2012,Removal Expenses (Staff),"Strategy, Evidence and Customers DG",H M Treasury,27546,"Ł51,300.00",Payment to the HM Treasury for the cost of an Assistant Economist Fast Stream bids for 2012.,SW1A 2HQ,,exempt,00000000,Expense,
DEFRA,Core Defra,13/04/2012,Other Current Payments E,"Strategy, Evidence and Customers DG",SKM Enviros,JW02358,"Ł33,780.16",Server hosting for Waste Data Flow for 2 years (Oct 201 to Sept 2012).,CB3 6DP,,13908,00000000,Expense,
DEFRA,Core Defra,03/04/2012,Other Current Payments (Evidence R&D),"Strategy, Evidence and Customers DG",R S P B,SLINV00021863,"Ł35,321.00",Wild bird popoulation Indices,SG19 2DL,,exempt,00000000,Expense,
DEFRA,Core Defra,23/04/2012,Other Current Payments E,"Strategy, Evidence and Customers DG",Royal Botanic Gardens,S7803NP,"Ł57,000.00",Habitat restoration in Cristalino: Establishing Trail in the Brazilian Amazon.,TW9 3AB,,Exempt,00000000,Expense,
DEFRA,Core Defra,04/04/2012,Other Current Payments E,"Strategy, Evidence and Customers DG",United Nations,102,"Ł100,000.00",The United Nations Secretary Generals High level Panel on Global Sustainability Project ,10017,SME,,00000000,Expense,
DEFRA,Core Defra,23/04/2012,Other Current Payments E,"Strategy, Evidence and Customers DG",Botanic Gardens Conversation Inter,ISDFRL32012,"Ł44,968.00","Botanic Gardens Conservation International - study of Sustainable Management of wild flora for improved livelihood in Brazil, China, India and Mexico.",TW9 3BW,SME,Exempt,00000000,Expense,
DEFRA,Core Defra,04/04/2012,Other Current Payments E,"Strategy, Evidence and Customers DG",United Nations,DSD2012217,"Ł240,000.00",United Nations Conference on Sustainable Developement RIO+20.,10017,SME,,00000000,Expense,
DEFRA,Core Defra,03/04/2012,Other Current Payments E,"Strategy, Evidence and Customers DG",Royal Botanic Gardens,S7804NP,"Ł43,915.00","Vegetation mapping for reforestation and carbon in Jambi, Sumatra.",TW9 3AB,,exempt,00000000,Expense,
DEFRA,Core Defra,03/04/2012,Other Current Payments E,"Strategy, Evidence and Customers DG",Animal Health and Veterinary Laboratories Agency,5000009660,"Ł54,866.98",Animal Health and Veterinary Laboratories Agency  six months funding of Wildlife Licensing (1st October 2011 - 31st Marcch 2012),YO1 7PX,,Exempt,00000000,Expense,
DEFRA,Core Defra,23/04/2012,Other Current Payments (Evidence R&D),"Strategy, Evidence and Customers DG",Oecd,010312,"Ł43,485.06",Biological Resource Management - UK Contribution 2012,75775,,,EUIPARTN,Expense,
DEFRA,Core Defra,05/04/2012,Other Current Payments (Evidence R&D),"Strategy, Evidence and Customers DG",Forest Research Agency,R0007038,"Ł38,331.00",Forest Research - International Comparison and literature review for the Independent panel on forestry.,GU10 4LH,,Exempt MoU 21 Sept,RDEVFUND,Expense,
DEFRA,Core Defra,03/04/2012,Other Current Payments (Evidence R&D),"Strategy, Evidence and Customers DG",Town & Country Planning Association,TCPA12348,"Ł34,500.00",Developing an evidence base for the Green Infrastructure Partnership (A Strategic Evidence and Partnership Fund (SEPF) - funded Project) ,SW1Y 5AS,SME,Exempt,RDEVFUND,Expense,
DEFRA,Core Defra,05/04/2012,Other Current Payments (Evidence R&D),"Strategy, Evidence and Customers DG",A D A S UK Ltd,RIRP059801,"Ł183,553.16",Integrated Advice Pilot Study Project ,WV6 8TQ,,Exempt,RDEVFUND,Expense,
DEFRA,Core Defra,13/04/2012,GPC Card,Central Finance Group,Barclaycard Business Issuing,4715320649042975050412,"Ł360,653.23",Government Procurement Card payments across Defra for period April 2012.,TS17 6YG,,,00000000,Asset,
DEFRA,Core Defra,17/04/2012,Hardware Services/Non-Standard Hardware items,Chief Operating Officer DG,IBM United Kingdom Ltd,5803121725,"Ł30,868.66","Wide Area Networks options for joining up the Department of Environment, Food and Rural affairs network  02/12/11 - 27/01/12.",GU1 2LD,,FRW10040-00,DISPOSAL,Expense,
