Spend over £25000 - Publication template,,,,,,,
,,,,,,,
Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount
Department for Education,National College for Leadership of Schools and Children's Services,10/01/2011,Programme Costs,School Leadership Development,Serco Learning Solutions,106646,120311.58
Department for Education,National College for Leadership of Schools and Children's Services,10/01/2011,Irrecoverable Input VAT,School Leadership Development,Serco Learning Solutions,106647,21001.83
Department for Education,National College for Leadership of Schools and Children's Services,10/01/2011,Programme Costs,School Leadership Development,Serco Learning Solutions,106647,120010.43
Department for Education,National College for Leadership of Schools and Children's Services,13/01/2011,Irrecoverable Input VAT,School Leadership Development,Serco Learning Solutions,106749,12828.45
Department for Education,National College for Leadership of Schools and Children's Services,13/01/2011,Programme Costs,School Leadership Development,Serco Learning Solutions,106749,73305.45
Department for Education,National College for Leadership of Schools and Children's Services,31/01/2011,Irrecoverable Input VAT,School Leadership Development,Serco Learning Solutions,107133,4424
Department for Education,National College for Leadership of Schools and Children's Services,31/01/2011,Programme Costs,School Leadership Development,Serco Learning Solutions,107133,22120
Department for Education,National College for Leadership of Schools and Children's Services,11/01/2011,Building Running Costs,Corporate Services,Sodexo Ltd,106670,143458.6
Department for Education,National College for Leadership of Schools and Children's Services,11/01/2011,Irrecoverable Input VAT,Corporate Services,Sodexo Ltd,106670,25105.42
Department for Education,National College for Leadership of Schools and Children's Services,26/01/2011,Building Running Costs,Corporate Services,Sodexo Ltd,107039,193006.93
Department for Education,National College for Leadership of Schools and Children's Services,26/01/2011,Irrecoverable Input VAT,Corporate Services,Sodexo Ltd,107039,33776.21
Department for Education,National College for Leadership of Schools and Children's Services,07/01/2011,Irrecoverable Input VAT,School Leadership Development,Specialist Schools and Academies Trust,102612,-1056.65
Department for Education,National College for Leadership of Schools and Children's Services,07/01/2011,Operational Associates,School Leadership Development,Specialist Schools and Academies Trust,102612,-6038
Department for Education,National College for Leadership of Schools and Children's Services,10/01/2011,Irrecoverable Input VAT,Continuous Leadership Learning,Specialist Schools and Academies Trust,106640,8307.08
Department for Education,National College for Leadership of Schools and Children's Services,10/01/2011,Programme Costs,Continuous Leadership Learning,Specialist Schools and Academies Trust,106640,47469
Department for Education,National College for Leadership of Schools and Children's Services,31/01/2011,Grants Made,School Leadership Development,St Josephs RC Primary School,Collab Fund Grant,78731
Department for Education,National College for Leadership of Schools and Children's Services,26/01/2011,Grants Made,School Leadership Development,Sutton School & Specialist College,Collab Fund Grant,64340
