Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Transaction Description
HM Treasury,HM Treasury,13-Apr-11,Consultants-Mgt-Advisory only,Ministerial & Communications ,FUJITSU SERVICES LIMITED,92044,26518,"Additional IT Support in immediate post election period . Provision of 24 hour IT support to HMT business users between May 7th and May 9th. Includes service desk, on site support and specialist infrastructure support"
HM Treasury,HM Treasury,13-Apr-11,IT profssnl svcs contractd out,Corporate Centre,FUJITSU SERVICES LIMITED,92013,85969.44,"Provision of specialist technical support team to provide analysis, review and resolution of legacy IT issues"
HM Treasury,HM Treasury,13-Apr-11,IT profssnl svcs contractd out,Corporate Centre,FUJITSU SERVICES LIMITED,92046,118904,Design and implementation of essential upgrade to telephone conference equipment to support proposed increase in capacity
HM Treasury,HM Treasury,13-Apr-11,IT profssnl svcs contractd out,Corporate Centre,FUJITSU SERVICES LIMITED,92006,142971.08,FLEX Service charge January 2011 (Treasury IT contract)
HM Treasury,HM Treasury,13-Apr-11,IT profssnl svcs contractd out,Corporate Centre,FUJITSU SERVICES LIMITED,92014,177160,Milestone payment for the Flex restricted transformation. Paid on verification that disaster recovery facilities are in place for HMT IT applications.
HM Treasury,HM Treasury,13-Apr-11,IT profssnl svcs contractd out,Corporate Centre,FUJITSU SERVICES LIMITED,92008,507840.44,FLEX service charge December 2010 (Treasury IT contract)
HM Treasury,HM Treasury,13-Apr-11,Cost Additions - IT Hardware,Corporate Centre,FUJITSU SERVICES LIMITED,92033,1270057.54,Workplace project - costs associated with IT Hardware Required for Efficiency Reform Group move to 1HGR
HM Treasury,HM Treasury,13-Apr-11,Consultants-Mgt-Advisory only,Corporate Centre,REUTERS LIMITED,91791,23331,Provision of Reuters financial information service.
HM Treasury,HM Treasury,13-Apr-11,"Cost Additions - Furniture, Fittings & Fixtures",Corporate Centre,SENATOR INTERNATIONAL LTD,92050,38127.6,Workplace Optimisation Programme - Supply of furniture (chairs) in line with agreed designs.
HM Treasury,HM Treasury,13-Apr-11,"Cost Additions - Furniture, Fittings & Fixtures",Corporate Centre,SENATOR INTERNATIONAL LTD,92048,40224,Workplace Optimisation Programme - Supply of breakout furniture in line with agreed designs.
HM Treasury,HM Treasury,13-Apr-11,Cost Additions - IT Hardware,Corporate Centre,TRUSTMARQUE SOLUTIONS,92065,462092.48,Annual charge for the Microsoft Enterprise Agreement which covers the licensing for MS products.
HM Treasury,HM Treasury,15-Apr-11,Consultants - Financial - Advisory only,Financial Group,BDO STOY HAYWARD LLP,92117,375099.59,Independent Valuer of Northern Rock July 2010.  These costs are recovered from Northern Rock 
HM Treasury,HM Treasury,15-Apr-11,Consultants - Financial - Advisory only,Financial Management Reporting,ERNST & YOUNG LLP,92134,28260,"Provision of project management support for Project OSCAR - the system which will replace COINS currently used by HMT for fiscal management, operational and statistical publications "
HM Treasury,HM Treasury,15-Apr-11,COST ADDITIONS - ASSETS UNDER CONSTRUCTION-EXT GEN SOFTWARE,Financial Management Reporting,ERNST & YOUNG LLP,92133,92481.6,"Provision of project management support for Project OSCAR - the system which will replace COINS currently used by HMT for fiscal management, operational and statistical publications "
HM Treasury,HM Treasury,15-Apr-11,Consultants - Financial - Advisory only,Financial Management Reporting,ERNST & YOUNG LLP,92133,225672,"Provision of project management support for Project OSCAR - the system which will replace COINS currently used by HMT for fiscal management, operational and statistical publications "
HM Treasury,HM Treasury,15-Apr-11,IT profssnl svcs contractd out,Corporate Centre,FUJITSU SERVICES LIMITED,92135,291235.5,Flex Transformation milestone payment M4.3 ( For application design and build)
HM Treasury,HM Treasury,15-Apr-11,IT profssnl svcs contractd out,Corporate Centre,FUJITSU SERVICES LIMITED,92131,1066793,Flex transformation retention milestones; paid on completion of transformation project
HM Treasury,APA,15-Apr-11,Consultants - Mgt - Non Advisory,APA,GOVERNMENT ACTUARY'S DEPT,92129,31292.1,Actuarial Services February 2011
HM Treasury,HM Treasury,15-Apr-11,Consultancy - Legal -  Contracted out services,Treasury Legal Advisors,THE TREASURY SOLICITOR,92097,249676.87,Treasury Legal Advisors - salary costs recharged from TSOL 
HM Treasury,HM Treasury,20-Apr-11,Welfare,Corporate Centre,EDENRED (FORMERLY ACCOR SERVICES),92015,59438.72,Electronic Childcare Vouchers
HM Treasury,HM Treasury,20-Apr-11,IT profssnl svcs contractd out,Corporate Centre,FUJITSU SERVICES LIMITED,92166,23193.2,Supply and fit out of IT equipment for 150 Additional Desks- facilitate increased numbers in 1HGR re: Workplace Optimisation Programme
HM Treasury,HM Treasury,20-Apr-11,Budget Documentation,Business & International Tax,THE STATIONERY OFFICE -TSO,92177,40888,Supplementary Documents and the Service Level Agreement for budget book.
HM Treasury,HM Treasury,26-Apr-11,Consultants - Financial - Advisory only,Public Spending ,GOVERNMENT ACTUARY'S DEPT,92263,51314.05,Actuarial Services March 2011
HM Treasury,HM Treasury,26-Apr-11,Procurement Card Suspense,Corporate Centre,NATWEST BANK PLC,92296,95990.36,Settlement of the Government Procurement Card  April 2011
HM Treasury,HM Treasury,26-Apr-11,RBS LODGE CARD (TRAVEL),Corporate Centre,RBS LODGE,92295,81990.54,Various travel costs charged on the Lodge Card in April 2011
HM Treasury,HM Treasury,28-Apr-11,Other Utility expenses,Corporate Centre,BUYING SOLUTIONS,92151,90195.18,Whitehall Heating System Charges for Jan - Mar 11
