Department family,Entity,Date,Expense Type,Expense area,Supplier,Transation number,Amount,Narrative
Department for Culture Media and Sport,Department for Culture Media and Sport,01/04/2014,Grant-in-Aid (DCMS NDPBs),OFCOM,OFCOM,50001115,"333,834.00",OFCOM SCAP GIA APRIL 2014
Department for Culture Media and Sport,Department for Culture Media and Sport,01/04/2014,Grant-in-Aid (DCMS NDPBs),OFCOM,OFCOM,50001116,"4,123,101.00",OFCOM SPECTRUM MANAGEMENT GIA APRIL 14
Department for Culture Media and Sport,Department for Culture Media and Sport,01/04/2014,Grant-in-Aid (DCMS NDPBs),GIA Museums & Galleries,Science Museum Group (ex-NMSI),50001118,"3,125,000.00",SMG GIA APRIL 2014
Department for Culture Media and Sport,Department for Culture Media and Sport,01/04/2014,Grant-in-Aid (DCMS NDPBs),OFCOM,OFCOM,50001119,"438,992.00",OFCOM PSSR GIA APRIL 2014
Department for Culture Media and Sport,Department for Culture Media and Sport,01/04/2014,Grant-in-Aid (DCMS NDPBs),The Royal Parks - funding,The Royal Parks,50001120,"5,000,000.00",TRP_GIA_APR_14
Department for Culture Media and Sport,Department for Culture Media and Sport,01/04/2014,Grant-in-Aid (DCMS NDPBs),GIA Tourism bodies,VisitBritain,50001121,"3,405,000.00",VB GIA APR 14
Department for Culture Media and Sport,Department for Culture Media and Sport,03/04/2014,Grant-in-Aid (DCMS NDPBs),GIA Gambling + Lottery bodies,National Lottery Commission,50001122,"188,500.00",NLC GIA APR 14
Department for Culture Media and Sport,Department for Culture Media and Sport,11/04/2014,Grant-in-Aid (DCMS NDPBs),GIA Architecture+Heritage,English Heritage,50001127,"4,000,000.00",EH_GIA_APRIL_2014
Department for Culture Media and Sport,Department for Culture Media and Sport,23/04/2014,Capital Grant Private Sector,Grant support to NFTS,National Film & Television School,50001128,"225,500.00",NFTS_GIA_APRIL_2014
1,,,,,,,,
