,,,,,,,,,,,,,,,
Department,Entity,Date,Expense Type,Expense Area,Supplier ,Transaction Number, Amount ,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type,Vat Registration Number,
DEFRA,RPA,07/09/2012,Defra Estates -Depreciation/Establishment and Service Charges,Sustainable Workplace Management,DTZ,37165," Ł29,594.91 ",Sustainable Workplace Management - North Gate House August 2012,B4 6AJ,No,64261,n/a,ADMIN,,
DEFRA,RPA,12/09/2012,Defra Estates -Depreciation/Establishment and Service Charges,Sustainable Workplace Management,DTZ,37167," Ł25,300.97 ",Sustainable Workplace Management - Lancaster House August 2012,B4 6AJ,No,64261,n/a,ADMIN,,
DEFRA,RPA,13/09/2012,Defra Estates -Depreciation/Establishment and Service Charges,Sustainable Workplace Management,DTZ,36848," Ł33,629.84 ",Sustainable Workplace Management - Clyst House September 2012,B4 6AJ,No,64261,n/a,ADMIN,,
DEFRA,RPA,18/09/2012,Defra Estates -Depreciation/Establishment and Service Charges,Sustainable Workplace Management,DTZ,36874," Ł42,771.13 ",Sustainable Workplace Management - North Gate House September 2012,B4 6AJ,No,64261,n/a,ADMIN,,
DEFRA,RPA,18/09/2012,Defra Estates -Depreciation/Establishment and Service Charges,Sustainable Workplace Management,DTZ,36298," Ł37,815.28 ",Sustainable Workplace Management - Clyst House Exeter  April - July 2012,B4 6AJ,No,64261,n/a,ADMIN,,
DEFRA,RPA,18/09/2012,Defra Estates -Depreciation/Establishment and Service Charges,Sustainable Workplace Management,DTZ,30376," Ł385,639.79 ",Sustainable Workplace Management - Northallerton April - November 2011,B4 6AJ,No,64261,n/a,ADMIN,,
DEFRA,RPA,18/09/2012,Defra Estates -Depreciation/Establishment and Service Charges,Sustainable Workplace Management,DTZ,30419," Ł106,067.28 ",Sustainable Workplace Management - Workington April - November 2011,B4 6AJ,No,64261,n/a,ADMIN,,
DEFRA,RPA,18/09/2012,Defra Estates -Depreciation/Establishment and Service Charges,Sustainable Workplace Management,DTZ,30441," Ł108,618.56 ",Sustainable Workplace Management - North Gate House April - November 2011,B4 6AJ,No,64261,n/a,ADMIN,,
DEFRA,RPA,19/09/2012,Defra Estates -Depreciation/Establishment and Service Charges,Sustainable Workplace Management,DTZ,34913," Ł62,987.91 ",Sustainable Workplace Management - Workington April - November 2011,B4 6AJ,No,64261,n/a,ADMIN,,
DEFRA,RPA,19/09/2012,Defra Estates -Depreciation/Establishment and Service Charges,Sustainable Workplace Management,DTZ,34935," Ł362,814.19 ",Sustainable Workplace Management - Workington 1st 2012 Quarterly Service charge ,B4 6AJ,No,64261,n/a,ADMIN,,
DEFRA,RPA,21/09/2012,Defra Estates -Depreciation/Establishment and Service Charges,Sustainable Workplace Management,DTZ,30374," Ł69,232.24 ",Sustainable Workplace Management - Eden Bridge House April - Nov 2011,B4 6AJ,No,64261,n/a,ADMIN,,
DEFRA,RPA,21/09/2012,Defra Estates -Depreciation/Establishment and Service Charges,Sustainable Workplace Management,DTZ,30416," Ł226,924.48 ",Sustainable Workplace Management - Clyst House April - Nov 2011,B4 6AJ,No,64261,n/a,ADMIN,,
