Department,Entity,Posted Date,Internal Voucher Number,Invoice Line Amount Net GBP,Supplier Name,Account Code
FCO,FCO,07/12/2016,8598444,70000000,UNITED NATIONS,Programme Spend (Oracle Projects Control Account)
FCO,FCO,20/12/2016,8743456,13150000,BRITISH COUNCIL,Programme Spend (Oracle Projects Control Account)
FCO,FCO,09/12/2016,8625487,7234605.75,NATO INTERNATIONAL STAFF,Programme Spend (Oracle Projects Control Account)
FCO,FCO,02/12/2016,8575549,6500000,THE ASSOCIATION OF COMMONWEALTH UNIVERSITIES,Programme Spend (Oracle Projects Control Account)
FCO,FCO,09/12/2016,8624739,5957279.92,UNDP MULTI PARTNER TRUST FUND OFFICE,Programme Spend (Oracle Projects Control Account)
FCO,FCO,12/12/2016,8644452,5931524.88,HMRC HM REVENUE AND CUSTOMS,Multiple Accounts
FCO,FCO,29/12/2016,8800624,5462000,UNITED NATIONS,Programme Spend (Oracle Projects Control Account)
FCO,FCO,09/12/2016,8625554,4875444.95,UNITED NATIONS,Programme Spend (Oracle Projects Control Account)
FCO,FCO,13/12/2016,8661553,4678004.72,CABINET OFFICE,Multiple Accounts
FCO,FCO,20/12/2016,8756437,4029715.05,MAYDAY RESCUE,Programme Spend (Oracle Projects Control Account)
FCO,FCO,28/12/2016,8793606,4000000,THE ASSOCIATION OF COMMONWEALTH UNIVERSITIES,Programme Spend (Oracle Projects Control Account)
FCO,FCO,29/12/2016,8800721,4000000,BBC  BRITISH BROADCASTING CORPORATION,Programme Spend (Oracle Projects Control Account)
FCO,FCO,28/12/2016,8793522,3500000,UNMAS,Programme Spend (Oracle Projects Control Account)
FCO,FCO,14/12/2016,8687432,3046454.09,NATO,Programme Spend (Oracle Projects Control Account)
FCO,FCO,13/12/2016,8660552,2970000,ISS FACILITY SERVICES LTD FCO OP - POE,FMCU POE Trust Account Debtor
FCO,FCO,01/12/2016,8645459,2547181.31,THE ROYAL BANK OF SCOTLAND,Corporate Credit Card Clearing Account
FCO,FCO,21/12/2016,8765434,2307806.57,THE ROYAL BANK OF SCOTLAND,Multiple Accounts
FCO,FCO,02/12/2016,8575521,2253626.6,RISK ADVISORY GROUP PLC,Programme Spend (Oracle Projects Control Account)
FCO,FCO,23/12/2016,8782483,2184762.6,RISK ADVISORY GROUP PLC,Programme Spend (Oracle Projects Control Account)
FCO,FCO,13/12/2016,8661440,1892729.56,G4S RISK MANAGEMENT LTD,UK Guarding Contracts Overseas
FCO,FCO,06/12/2016,8586593,1505004,FCO SERVICES,Specialist Contractors
FCO,FCO,08/12/2016,8621581,1500000,ORGANIZATION OF AMERICAN STATES,Programme Spend (Oracle Projects Control Account)
FCO,FCO,20/12/2016,8744574,1483290.9,RISK ADVISORY GROUP PLC,Programme Spend (Oracle Projects Control Account)
FCO,FCO,29/12/2016,8800648,1400000,USAID,Programme Spend (Oracle Projects Control Account)
FCO,FCO,15/12/2016,8697602,1377238.89,H M EXCHEQUER,CFER Payments to The Exchequer (CSC Use Only)
FCO,FCO,09/12/2016,8625520,1348862.68,FCO SERVICES,Residential Property Services
FCO,FCO,09/12/2016,8627601,1282160.14,EUROPEAN COMMISSION,Programme Spend (Oracle Projects Control Account)
FCO,FCO,05/12/2016,8580004,1199328.38,EASTERN SECURITY SERVICES,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/12/2016,8649443,1027662.4,THE ROYAL BANK OF SCOTLAND,Travel Package Advance Overseas Posting (Credit Card Payments Only)
FCO,FCO,21/12/2016,8760470,1000000,AFRICAN UNION PEACE FUND,Programme Spend (Oracle Projects Control Account)
FCO,FCO,21/12/2016,8765504,1000000,NATO,Programme Spend (Oracle Projects Control Account)
FCO,FCO,14/12/2016,8687553,989403.64,EUROPEAN BANK FOR CONSTRUCTION + DEVELOPMENT,Protocol - General VAT Refunds to Other Organisations
FCO,FCO,22/12/2016,8773639,969857.84,GARDA WORLD LTD,UK Mobile Guarding Contract overseas
FCO,FCO,14/12/2016,8687490,851738.79,IOM INTERNATIONAL ORG FOR MIGRATION,Programme Spend (Oracle Projects Control Account)
FCO,FCO,05/12/2016,8580328,848366.85,BAE SYSTEMS APPLIED INTELLIGENCE LIMITED,Multiple Accounts
FCO,FCO,12/12/2016,8644572,706000,GOVERNMENT COMMUNICATIONS BUREAU  ADMIN A/C 6253,Information Systems Maintenance
FCO,FCO,14/12/2016,8687562,667999.52,EUROPEAN MOLECULAR BIOLOGY LABORATORY,Protocol - General VAT Refunds to Other Organisations
FCO,FCO,20/12/2016,8746451,660000,UNDP MULTI PARTNER TRUST FUND OFFICE,Programme Spend (Oracle Projects Control Account)
FCO,FCO,21/12/2016,8765424,659527,UNDP MULTI PARTNER TRUST FUND OFFICE,Programme Spend (Oracle Projects Control Account)
FCO,FCO,06/12/2016,8584660,634556.06,INPREDSERVICE,Rental Payments - non residential
FCO,FCO,06/12/2016,8592441,633314.08,THE ROYAL BANK OF SCOTLAND,Multiple Accounts
