Spend over £25000 - Publication template,,,,,,,
,,,,,,,
Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount
Department for Education,National College for School Leadership,15/07/2011,Grants Made,Leadership Development,Royal Borough of Kingston Upon Thames CPD,Wave 5 targeted support grant,20000
Department for Education,National College for School Leadership,29/07/2011,Grants Made,Leadership Development,Royal Borough of Kingston Upon Thames CPD,Wave 5 targeted support grant,95000
Department for Education,National College for School Leadership,27/07/2011,Irrecoverable Input VAT,Leadership Development,RS Live,111442,6297.09
Department for Education,National College for School Leadership,27/07/2011,Programme Costs,Leadership Development,RS Live,111442,31485.46
Department for Education,National College for School Leadership,06/07/2011,Building Running Costs,Business Services,Ruddington Build Co. Ltd,110908,68057.3
Department for Education,National College for School Leadership,06/07/2011,Irrecoverable Input VAT,Business Services,Ruddington Build Co. Ltd,110908,13611.46
Department for Education,National College for School Leadership,15/07/2011,Grants Made,Leadership Development,SDSA,Wave 5 targeted support grant,19500
Department for Education,National College for School Leadership,27/07/2011,Grants Made,Leadership Development,SDSA,Wave 5 targeted support grant,15000
Department for Education,National College for School Leadership,28/07/2011,Irrecoverable Input VAT,Leadership Development,Serco Learning Solutions,110699,8702.26
Department for Education,National College for School Leadership,28/07/2011,Programme Costs,Leadership Development,Serco Learning Solutions,110699,43511.31
Department for Education,National College for School Leadership,13/07/2011,Irrecoverable Input VAT,Leadership Development,Serco Learning Solutions,111115,15270.49
Department for Education,National College for School Leadership,13/07/2011,Programme Costs,Leadership Development,Serco Learning Solutions,111115,76352.44
Department for Education,National College for School Leadership,26/07/2011,Irrecoverable Input VAT,Leadership Development,Serco Learning Solutions,111391,32032.42
Department for Education,National College for School Leadership,26/07/2011,Programme Costs,Leadership Development,Serco Learning Solutions,111391,160162.1
Department for Education,National College for School Leadership,28/07/2011,Irrecoverable Input VAT,Leadership Development,Serco Learning Solutions,111449,4646.87
Department for Education,National College for School Leadership,28/07/2011,Programme Costs,Leadership Development,Serco Learning Solutions,111449,24948.17
Department for Education,National College for School Leadership,28/07/2011,Programme Costs,Leadership Development,Serco Learning Solutions,111450,-4.4
Department for Education,National College for School Leadership,25/07/2011,FM Support Services,Business Services,Sodexo Ltd,111093,129218.29
Department for Education,National College for School Leadership,25/07/2011,Irrecoverable Input VAT,Business Services,Sodexo Ltd,111093,25843.66
Department for Education,National College for School Leadership,15/07/2011,Grants Made,School to School support,Sutton School & Specialist College,Collaborative Fund Grant,176400
Department for Education,National College for School Leadership,12/07/2011,Grants Made,Leadership Development,Town Farm Primary School,SBM Primary Partnership Grant,30000
,,,,,,,
,,,,,,,"4,497,469.52"
