Department Family,Entity,Date,Account code description,Expense area,Supplier,Transaction number,Amount,VAT registration number
Defra,Royal Botanic Gardens Kew,05/10/2010,New works-Pt I-other costs    ,Estates Capital Projects Section Core Quarantine House,Unigro Ltd,MS0187114      ,127070,Not known
Defra,Royal Botanic Gardens Kew,14/10/2010,Electricity                   ,Estates Kew Section Core -----,EDF Energy Customers plc,MS0187498      ,45741.74,Not known
Defra,Royal Botanic Gardens Kew,19/10/2010,Office and window cleaning,Estates Kew Section Core -----,Design Clean Limited,MS0187601      ,34427.26,Not known
