Department,Entity,Date,Expense Type,Expense Area,Supplier ,Transaction Number, Amount ,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type,Vat Registration Number
DEFRA,VMD,01/08/12,STATUTORY RESIDUES SURVEILLANCE - SAMPLE COLLECTION,RESIDUES SURVEILLANCE UNIT,AHVLA,0000060705," Ł109,976.11 ",Collection of samples of food animal products for laboratory testing under the Statutory Residues Surveillance Programme,YO1 7PX,GOVN,,,ADMINISTRATION,
DEFRA,VMD,09/08/12,STATUTORY RESIDUES SURVEILLANCE - SAMPLE COLLECTION,RESIDUES SURVEILLANCE UNIT,FOOD STANDARDS AGENCY,0000060757," Ł38,314.46 ",Collection of samples of food animal products for laboratory testing under the Statutory Residues Surveillance Programme,YO1 7PX,GOVN,,,ADMINISTRATION,
DEFRA,VMD,13/08/12,STATUTORY RESIDUES SURVEILLANCE - SAMPLE COLLECTION,RESIDUES SURVEILLANCE UNIT,SCOTTISH EXECUTIVE,0000060774," Ł28,150.58 ",Collection of samples of food animal products for laboratory testing under the Statutory Residues Surveillance Programme,SCOTLAND  EH6 6QQ,GOVN,,,ADMINISTRATION,
DEFRA,VMD,14/08/12,STATUTORY RESIDUES SURVEILLANCE - LABORATORY TESTING,RESIDUES SURVEILLANCE UNIT,FOOD & ENV. RESEARCH AGENCY,0000060792," Ł194,007.68 ",Laboratory testing of food animal products under the Statutory Residues Surveillance Programme,0,0,,,ADMINISTRATION,
