Department,Entity,Date,Expense Type,Expense Area,Supplier ,Transaction Number, Amount ,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type,Vat Registration Num
DEFRA,DEFRA,27/10/2015,Current Grants E,"Strategy, International and Biosecurity DG",Birdlife International,60715,"26,106.00",PO 353803 DARWIN GRANT CLAIM FORM REF 19_022 FROM 01.04.2014 TO 31.03.2015,CB3 ONA,SME,Exempt,DARWDFID,Expense,
DEFRA,DEFRA,01/10/2015,Current Grants E,Policy Delivery DG,Broads Authority,140915,"797,238.00","PO 377275, BROADS AUTHORITY GRANT MONITORING FOR 2015-16 QUARTER 3",NR1 1RY,SME,GIA,BROADS01,Expense,
DEFRA,DEFRA,29/10/2015,Evidence Non R&D,Policy Delivery DG,Bureau Veritas UK Ltd,15016487,"181,540.00",PO 378237 SOURCING FEE,SE1 2TX,,18084,AQNONRDX,Expense,
DEFRA,DEFRA,27/10/2015,Evidence Non R&D,Policy Delivery DG,C E F A S,8005237,"1,558,420.73","PO 377543, NON EVIDENCE HLA OCTOBER 2015",NR33 0HT,SME,IGS,0,Expense,
DEFRA,DEFRA,27/10/2015,Other Current Payments (Evidence R&D),Policy Delivery DG,C E F A S,8004716,"50,242.00",PO 366068 C6160 MILESTONE 4 FINAL REPORT,NR33 0HT,SME,MF1234,0,Expense,
DEFRA,DEFRA,19/10/2015,Other Current Payments (Evidence R&D) (Agency),"Strategy, International and Biosecurity DG",C E F A S,8005238,"61,415.25","PO 371252,  AQUATICS EVIDENCE R&D 15/16",NR33 0HT,SME,IGS,0,Expense,
DEFRA,DEFRA,19/10/2015,Payments to Agencies GB,"Strategy, International and Biosecurity DG",C E F A S,8005239,"238,609.83","PO 379449,  AQUATICS NON R&D FUNDING FY 15/16  OCTOBER",NR33 0HT,SME,FDP,0,Expense,
DEFRA,DEFRA,23/10/2015,Online databases,Chief Operating Officer DG,Cambridge Information Ltd,1009990,"25,790.00",PO 373910 ENDS REPORTS JOURNAL SUBSCRIPTION,IP14 2EN,SME,17036,0,Expense,
DEFRA,DEFRA,05/10/2015,Current grants to charitable bodies,Policy Delivery DG,Canal & River Trust,90855180,"19,886,500.00","PO 377484,  PAYMENT OF PART A CORE GRANT TO CANAL & RIVER TRUST",MK9 1BB,,1032,0,Expense,
DEFRA,DEFRA,29/10/2015,Contractor - Management Cover,Chief Operating Officer DG,Capita Business Services Ltd,LO10071430,"69,281.03",REFERENCE PRE BILLER P47744 FEES & EXPENSES INCLUDED WITHIN PERIOD ENDING 17.10.2015,SL6 1DP,,,0,Asset,
DEFRA,DEFRA,23/10/2015,Contractor - Management Cover,Chief Operating Officer DG,Capita Business Services Ltd,LO10070414,"53,182.88",REFERENCE PRE BILLER P47552 FEES & EXPENSES INCLUDED WITHIN PERIOD ENDING 10.10.2015,SL6 1DP,,,0,Asset,
DEFRA,DEFRA,07/10/2015,Contractor - Management Cover,Chief Operating Officer DG,Capita Business Services Ltd,LO10067471,"73,731.50",REFERENCE PRE BILLER P47186 FEES & EXPENSES INCLUDED WITHIN PERIOD ENDING 26.09.2015,SL6 1DP,,,0,Asset,
DEFRA,DEFRA,01/10/2015,Contractor - Management Cover,Chief Operating Officer DG,Capita Business Services Ltd,LO10066188,"41,048.83",REFERENCE PRE - BILLER P46882 FEES & EXPENSES INCLUDED WITHIN PERIOD ENDING 19.09.2015,SL6 1DP,,,0,Expense,
DEFRA,DEFRA,21/10/2015,Contractor - Management Cover,Chief Operating Officer DG,Capita Business Services Ltd,LO10069262,"93,724.14",REF PRE BILLER P47402 FEES & EXPENSES INCLUDED WITHIN PERIOD ENDING 03.10.2015,SL6 1DP,,,0,Asset,
DEFRA,DEFRA,26/10/2015,Business Rates,Chief Operating Officer DG,Capita Property & Infrastructure Ltd,CAPFR102,"1,602,310.72",CHAPS PAYMENT Payment of Defra's Building utility bills.  CAPITA Invoice No. CAPFR102,EC2V 7NQ,,,0,Expense,
DEFRA,DEFRA,19/10/2015,Business Rates,Chief Operating Officer DG,Capita Property & Infrastructure Ltd,CAPFR101,"729,484.26",CHAPS PAYMENT DEFRA Weekly Funding - Capita Invoice No CAPFR101,EC2V 7NQ,,,0,Expense,
DEFRA,DEFRA,07/10/2015,Capital LA Grant E,Policy Delivery DG,Carlisle City Council,5361000189,"30,000.00",PO 371628 GRANT OF 5000 TO RRG005,CA3 8QG,,Grant,0,Expense,
DEFRA,DEFRA,27/10/2015,Current Grants E,Policy Delivery DG,Chilterns Conservation Board,230915,"103,217.00",PO 377260 PERIOD OF GRANT CLAIM 1 OCT - 31 DEC 2015,OX39 4HA,SME,GIA,0,Expense,
DEFRA,DEFRA,19/10/2015,Grant-in Aid Payments,Policy Delivery DG,Consumer Council for Water (CCW),81015,"1,282,500.00",PO 376671 CCWATERS GRANT IN AID CLAIM MONTH OCT TO DEC 2015,B2 4AJ,,,0,Expense,
DEFRA,DEFRA,27/10/2015,Gas,Chief Operating Officer DG,Corona Energy,10544514,"47,572.01",SITE 087 GAS 01/09/2015 TO 01/10/2015 A/C 20404458/10,WD17 1JW,,,B0870000,Expense,
DEFRA,DEFRA,27/10/2015,Gas,Chief Operating Officer DG,Corona Energy,10544537,"76,332.83",SITE 087 GAS 01/09/2015 TO 01/10/2015 A/C 20404458/1,WD17 1JW,,,B0870000,Expense,
DEFRA,DEFRA,27/10/2015,Gas,Chief Operating Officer DG,Corona Energy,10544518,"55,210.42",SITE 281 GAS 01/09/2015 TO 01/10/2015 A/C SITE 281,WD17 1JW,,,B2810000,Expense,
DEFRA,DEFRA,06/10/2015,Payments to Agencies GB,"Strategy, International and Biosecurity DG",D L O Holding/Prionics AG,40479,"189,253.70",FOREIGN PAYMENT CONTRACT 20298 - TUBERCULIN - ORDER 50670 - INVOICE 40479,8952,,,TUBP0468,Expense,
DEFRA,DEFRA,01/10/2015,Current Grants E,Policy Delivery DG,Dartmoor National Park Authority,240915,"794,799.00","PO 377272,  DARTMOOR NATIONAL PARK AUTHORITY 2015/16 QTR 3 GRANT CLAIM",TQ13 9JQ,SME,GIA,DARTMOOR,Expense,
DEFRA,DEFRA,05/10/2015,Other Current Payments (GB),Policy Delivery DG,Dept For Communities & Local Gov,300915,"250,000.00","PO 346070, LSSG CONTRIBUTION FROM DEFRA FOR OCT 2015",HP2 4XN,,IGS,0,Expense,
DEFRA,DEFRA,13/10/2015,Current Grants - Local Authorities,Policy Delivery DG,Dept For Communities & Local Gov,61015,"833,333.00",PO 377136 FY 15 - 16 LSSG GRANT PAYMENT SEP 15,HP2 4XN,,IGS,0,Expense,
DEFRA,DEFRA,29/10/2015,Contractor - Management Cover,Chief Operating Officer DG,DevOpsGuys Ltd,236,"109,440.00",PO 378077 03 AUG 15MATT SMITH CONSULTANCY,BN11 1QR,SME,17026,CAPDFA08,Expense,
